Orthogroup	m_conductrix_genome_proteins	a99_genome_proteins
OG0000988	PSC74628.1	scaffold12.g8161.t1, scaffold18.g1953.t1
OG0000989	PSC71569.1, PSC68510.1	scaffold18.g1972.t1
OG0000990	PSC68082.1, PSC68083.1	scaffold18.g1982.t1
OG0000991	PSC75740.1	scaffold18.g1986.t1
OG0000992	PSC72149.1	scaffold1.g5497.t1, scaffold21.g2086.t1
OG0000993	PSC68196.1, PSC68197.1	scaffold21.g2160.t1
OG0000994	PSC68619.1, PSC68618.1	scaffold21.g2172.t1
OG0000995	PSC70095.1	scaffold9.g3164.t1, scaffold21.g2178.t1
OG0000996	PSC68944.1	scaffold21.g2195.t1
OG0000997	PSC73487.1	scaffold10.g2250.t1, scaffold2.g6811.t1
OG0000998	PSC71931.1	scaffold10.g2286.t1
OG0000999	PSC71855.1	scaffold10.g2297.t1
OG0001001	PSC70696.1	scaffold6.g2777.t1, scaffold10.g2340.t1, scaffold20.g7776.t1
OG0001002	PSC71914.1	scaffold10.g2377.t1
OG0001003	PSC71531.1	scaffold2.g7352.t1, scaffold10.g2392.t1
OG0001004	PSC74978.1	scaffold10.g2395.t1
OG0001005	PSC67870.1, PSC67869.1, PSC69584.1	scaffold10.g2410.t1
OG0001006	PSC67863.1, PSC67864.1	scaffold10.g2413.t1
OG0001007	PSC74975.1, PSC74974.1	scaffold10.g2433.t1, scaffold9.g3186.t1
OG0001008	PSC67681.1, PSC67682.1, PSC67680.1	scaffold10.g2442.t1
OG0001009	PSC67667.1	scaffold10.g2445.t1
OG0001010	PSC70548.1	scaffold10.g2453.t1, scaffold11.g3940.t1
OG0001011	PSC67181.1, PSC67649.1, PSC67177.1, PSC67049.1	scaffold10.g2464.t1
OG0001012	PSC70928.1, PSC68629.1	scaffold9.g3059.t1, scaffold10.g2468.t1
OG0001013	PSC74001.1	scaffold6.g2510.t1
OG0001014	PSC70608.1	scaffold6.g2535.t1
OG0001015	PSC73705.1, PSC73706.1	scaffold6.g2545.t1
OG0001016	PSC68124.1	scaffold6.g2608.t1, scaffold6.g2601.t1
OG0001017	PSC69841.1, PSC69840.1	scaffold6.g2617.t1
OG0001018	PSC72809.1	scaffold6.g2628.t1
OG0001020	PSC72719.1	scaffold6.g2644.t1
OG0001021	PSC72714.1	scaffold6.g2656.t1
OG0001021	PSC68204.1	scaffold6.g2655.t1
OG0001022	PSC72664.1	scaffold6.g2698.t1
OG0001023	PSC72763.1	scaffold6.g2699.t1
OG0001024	PSC72660.1, PSC72659.1	scaffold6.g2701.t1
OG0001025	PSC72930.1, PSC72931.1	scaffold6.g2742.t1
OG0001026	PSC70414.1	scaffold2.g7404.t1
OG0001026	PSC70340.1	scaffold6.g2746.t1
OG0001027	PSC72864.1	scaffold6.g2787.t1
OG0001028	PSC71592.1	scaffold6.g2809.t1, scaffold2.g7172.t1, scaffold34.g4518.t1
OG0001029	PSC75401.1	scaffold6.g2819.t1
OG0001030	PSC74058.1, PSC72695.1	scaffold6.g2826.t1
OG0001031	PSC71516.1, PSC68303.1	scaffold6.g2852.t1
OG0001032	PSC69029.1	scaffold6.g2867.t1, scaffold6.g2864.t1
OG0001033	PSC68862.1, PSC68863.1, PSC68861.1	scaffold6.g2884.t1, scaffold7.g3406.t1
OG0001034	PSC73409.1	scaffold4.g4674.t1, scaffold6.g2902.t1
OG0001035	PSC69014.1	scaffold6.g2909.t1
OG0001036	PSC74954.1, PSC74955.1	scaffold24.g2927.t1
OG0001037	PSC70313.1	scaffold28.g7592.t1
OG0001037	PSC70014.1	scaffold24.g2977.t1
OG0001038	PSC74984.1, PSC76131.1, PSC71041.1	scaffold24.g2991.t1
OG0001039	PSC67345.1	scaffold9.g3024.t1
OG0001040	PSC72967.1	scaffold9.g3030.t1, scaffold22.g6076.t1
OG0001041	PSC75132.1, PSC75131.1	scaffold9.g3055.t1
OG0001043	PSC71016.1	scaffold20.g7766.t1, scaffold9.g3092.t1
OG0001044	PSC74915.1, PSC72358.1	scaffold9.g3097.t1
OG0001045	PSC75010.1, PSC75011.1	scaffold9.g3098.t1
OG0001046	PSC75090.1, PSC75088.1, PSC75089.1	scaffold9.g3136.t1
OG0001047	PSC75046.1	scaffold9.g3143.t1
OG0001048	PSC75154.1	scaffold9.g3155.t1
OG0001049	PSC75030.1	scaffold9.g3160.t1, scaffold9.g3159.t1
OG0001050	PSC76651.1	scaffold9.g3264.t1, scaffold3.g6493.t1
OG0001051	PSC72395.1	scaffold9.g3278.t1
OG0001052	PSC74305.1, PSC74304.1, PSC74306.1	scaffold9.g3279.t1
OG0001053	PSC74181.1	scaffold9.g3283.t1, scaffold9.g3282.t1
OG0001054	PSC73984.1	scaffold9.g3294.t1
OG0001055	PSC74834.1	scaffold11.g3927.t1
OG0001055	PSC73471.1	scaffold26.g3318.t1
OG0001056	PSC73606.1	scaffold26.g3331.t1
OG0001057	PSC75521.1, PSC68246.1, PSC68298.1	scaffold26.g3332.t1
OG0001058	PSC67102.1, PSC70502.1, PSC70503.1	scaffold26.g3333.t1
OG0001059	PSC74828.1	scaffold26.g3344.t1
OG0001060	PSC76140.1	scaffold4.g4784.t1, scaffold26.g3356.t1
OG0001061	PSC76770.1, PSC76769.1, PSC75425.1	scaffold7.g3381.t1
OG0001062	PSC68094.1, PSC67430.1	scaffold7.g3396.t1
OG0001063	PSC73192.1	scaffold7.g3417.t1
OG0001064	PSC73142.1, PSC73143.1	scaffold7.g3421.t1
OG0001065	PSC70015.1	scaffold7.g3470.t1
OG0001065	PSC72983.1	scaffold7.g3427.t1
OG0001066	PSC76556.1	scaffold7.g3450.t1
OG0001067	PSC76242.1	scaffold7.g3460.t1
OG0001068	PSC73206.1	scaffold7.g3522.t1
OG0001069	PSC76127.1, PSC76128.1, PSC76129.1	scaffold7.g3539.t1
OG0001070	PSC67310.1	scaffold7.g3562.t1, scaffold7.g3565.t1
OG0001071	PSC76378.1	scaffold7.g3586.t1
OG0001072	PSC76198.1	scaffold7.g3611.t1
OG0001073	PSC73154.1	scaffold7.g3623.t1
OG0001074	PSC73052.1	scaffold7.g3675.t1
OG0001075	PSC76858.1	scaffold7.g3679.t1
OG0001076	PSC76171.1, PSC76172.1	scaffold7.g3687.t1
OG0001077	PSC69798.1	scaffold7.g3710.t1, scaffold11.g3895.t1
OG0001078	PSC73048.1, PSC73049.1	scaffold7.g3716.t1
OG0001079	PSC69139.1	scaffold7.g3731.t1
OG0001081	PSC71608.1, PSC71609.1	scaffold7.g3743.t1
OG0001082	PSC69871.1	scaffold7.g3750.t1, scaffold12.g8080.t1, scaffold4.g4872.t1
OG0001083	PSC68537.1	scaffold11.g3833.t1
OG0001084	PSC68524.1	scaffold11.g3842.t1
OG0001085	PSC74008.1	scaffold11.g3977.t1, scaffold11.g3984.t1
OG0001086	PSC68938.1	scaffold11.g4005.t1
OG0001087	PSC74717.1	scaffold11.g4032.t1
OG0001088	PSC68800.1	scaffold11.g4075.t1
OG0001089	PSC68773.1, PSC74743.1, PSC74744.1	scaffold23.g4098.t1
OG0001090	PSC73255.1	scaffold23.g4141.t1
OG0001091	PSC73399.1	scaffold23.g4142.t1
OG0001092	PSC67536.1	scaffold23.g4143.t1
OG0001094	PSC70497.1	scaffold23.g4175.t1
OG0001095	PSC67537.1	scaffold23.g4179.t1
OG0001096	PSC69027.1	scaffold23.g4194.t1
OG0001097	PSC69890.1	scaffold15.g4245.t1
OG0001098	PSC70435.1, PSC67094.1	scaffold15.g4249.t1
OG0001099	PSC67095.1, PSC70426.1, PSC70425.1	scaffold15.g4265.t1
OG0001100	PSC70475.1	scaffold15.g4268.t1
OG0001101	PSC73477.1	scaffold15.g4313.t1
OG0001102	PSC73470.1	scaffold15.g4314.t1
OG0001104	PSC71819.1	scaffold34.g4497.t1
OG0001105	PSC71748.1, PSC69380.1, PSC71768.1	scaffold34.g4519.t1
OG0001106	PSC71602.1	scaffold2.g6850.t1, scaffold56.g4540.t1
OG0001107	PSC76143.1	scaffold4.g4571.t1
OG0001108	PSC67161.1	scaffold4.g4585.t1
OG0001109	PSC67838.1	scaffold4.g4599.t1
OG0001110	PSC71894.1	scaffold4.g4607.t1
OG0001111	PSC68854.1	scaffold4.g4621.t1, scaffold1.g5390.t1
OG0001112	PSC76460.1	scaffold4.g4623.t1
OG0001113	PSC67397.1, PSC76051.1	scaffold4.g4680.t1
OG0001114	PSC76582.1, PSC76581.1, PSC76937.1, PSC73800.1	scaffold4.g4737.t1
OG0001115	PSC76634.1	scaffold4.g4746.t1, scaffold4.g4747.t1
OG0001116	PSC68184.1	scaffold4.g4798.t1, scaffold4.g4799.t1
OG0001118	PSC71174.1	scaffold20.g7657.t1, scaffold4.g4835.t1
OG0001119	PSC70851.1	scaffold4.g4850.t1, scaffold4.g4849.t1
OG0001120	PSC71898.1, PSC71989.1	scaffold4.g4864.t1, scaffold2.g7497.t1
OG0001121	PSC69975.1, PSC69974.1	scaffold4.g4865.t1
OG0001122	PSC69902.1, PSC69903.1	scaffold4.g4866.t1
OG0001123	PSC68018.1	scaffold4.g4911.t1
OG0001123	PSC68695.1	scaffold2.g6831.t1
OG0001124	PSC69918.1	scaffold4.g5045.t1, scaffold4.g4926.t1
OG0001125	PSC69951.1	scaffold4.g4935.t1, scaffold4.g4940.t1
OG0001126	PSC69889.1	scaffold4.g4949.t1
OG0001127	PSC69912.1	scaffold4.g4968.t1
OG0001128	PSC70890.1	scaffold4.g5019.t1
OG0001129	PSC70592.1	scaffold4.g5032.t1
OG0001131	PSC75379.1	scaffold36.g5067.t1
OG0001132	PSC75693.1, PSC67057.1	scaffold36.g5073.t1
OG0001133	PSC67904.1	scaffold36.g5076.t1
OG0001134	PSC75198.1	scaffold25.g5087.t1
OG0001135	PSC67023.1, PSC71194.1, PSC67389.1, PSC67196.1	scaffold25.g5090.t1
OG0001136	PSC67386.1, PSC67191.1, PSC71062.1	scaffold25.g5091.t1
OG0001137	PSC73967.1	scaffold25.g5093.t1
OG0001138	PSC68239.1, PSC67317.1, PSC67098.1	scaffold1.g5173.t1
OG0001139	PSC67078.1, PSC67071.1, PSC67824.1	scaffold1.g5210.t1
OG0001140	PSC68136.1	scaffold1.g5218.t1, scaffold3.g6707.t1
OG0001141	PSC67485.1, PSC67070.1	scaffold1.g5234.t1
OG0001142	PSC67499.1, PSC67069.1	scaffold1.g5237.t1
OG0001143	PSC75688.1, PSC75689.1	scaffold430.g5907.t1, scaffold1.g5244.t1
OG0001144	PSC67247.1	scaffold1.g5260.t1
OG0001145	PSC67825.1, PSC67245.1, PSC67828.1	scaffold1.g5275.t1
OG0001146	PSC75936.1, PSC75937.1	scaffold1.g5296.t1
OG0001147	PSC75798.1, PSC75799.1, PSC75797.1	scaffold1.g5325.t1
OG0001148	PSC75857.1	scaffold28.g7538.t1, scaffold1.g5333.t1, scaffold1.g5330.t1
OG0001149	PSC75587.1	scaffold1.g5344.t1
OG0001150	PSC71678.1	scaffold1.g5353.t1
OG0001151	PSC68901.1	scaffold1.g5383.t1
OG0001152	PSC75367.1	scaffold1.g5396.t1
OG0001153	PSC69141.1	scaffold1.g5400.t1
OG0001154	PSC75502.1	scaffold1.g5438.t1
OG0001155	PSC70139.1	scaffold1.g5460.t1
OG0001156	PSC73940.1	scaffold1.g5492.t1
OG0001157	PSC76101.1	scaffold1.g5544.t1
OG0001158	PSC74506.1	scaffold12.g8283.t1, scaffold1.g5697.t1
OG0001159	PSC68734.1	scaffold1.g5752.t1
OG0001160	PSC73946.1	scaffold1.g5770.t1
OG0001161	PSC76436.1	scaffold1.g5772.t1
OG0001162	PSC73298.1	scaffold1.g5773.t1, scaffold27.g5990.t1
OG0001163	PSC76746.1, PSC76745.1	scaffold1.g5781.t1
OG0001164	PSC76536.1	scaffold1.g5807.t1
OG0001165	PSC71702.1, PSC71703.1	scaffold1.g5854.t1
OG0001166	PSC76851.1	scaffold1.g5866.t1
OG0001167	PSC72460.1	scaffold1.g5878.t1, scaffold1.g5898.t1
OG0001168	PSC72394.1, PSC72518.1	scaffold29.g5924.t1
OG0001169	PSC73882.1, PSC73884.1, PSC73883.1	scaffold29.g5925.t1
OG0001170	PSC69982.1, PSC69983.1	scaffold29.g5933.t1
OG0001171	PSC73885.1	scaffold29.g5946.t1
OG0001172	PSC70628.1, PSC73293.1	scaffold27.g6026.t1
OG0001173	PSC71530.1	scaffold22.g6045.t1
OG0001174	PSC72552.1, PSC72553.1	scaffold22.g6059.t1, scaffold22.g6101.t1
OG0001175	PSC72447.1, PSC72446.1	scaffold22.g6061.t1
OG0001176	PSC72597.1	scaffold22.g6077.t1
OG0001177	PSC72593.1, PSC72594.1	scaffold22.g6080.t1
OG0001178	PSC72565.1, PSC72566.1	scaffold22.g6086.t1
OG0001179	PSC74280.1	scaffold22.g6089.t1
OG0001180	PSC72536.1	scaffold22.g6106.t1
OG0001181	PSC72416.1, PSC72417.1	scaffold22.g6111.t1
OG0001182	PSC72451.1	scaffold22.g6133.t1
OG0001183	PSC72494.1	scaffold22.g6150.t1
OG0001184	PSC69612.1, PSC69613.1	scaffold3.g6162.t1
OG0001185	PSC69578.1, PSC69679.1	scaffold3.g6236.t1
OG0001186	PSC68307.1, PSC68308.1, PSC68306.1	scaffold3.g6249.t1
OG0001187	PSC69676.1, PSC68388.1, PSC71499.1	scaffold3.g6271.t1
OG0001188	PSC71265.1	scaffold3.g6306.t1
OG0001189	PSC71398.1	scaffold3.g6331.t1, scaffold3.g6341.t1
OG0001190	PSC74407.1	scaffold3.g6349.t1
OG0001191	PSC71297.1	scaffold3.g6362.t1
OG0001191	PSC71426.1	scaffold3.g6370.t1
OG0001192	PSC68353.1	scaffold3.g6420.t1
OG0001193	PSC71222.1	scaffold3.g6424.t1
OG0001194	PSC71341.1	scaffold3.g6425.t1
OG0001196	PSC67587.1, PSC67586.1	scaffold3.g6555.t1
OG0001197	PSC71096.1, PSC71151.1	scaffold3.g6601.t1
OG0001198	PSC73213.1	scaffold2.g6814.t1
OG0001199	PSC74994.1	scaffold2.g6817.t1, scaffold2.g6816.t1
OG0001200	PSC74003.1	scaffold2.g6887.t1, scaffold2.g6872.t1
OG0001201	PSC74713.1	scaffold2.g6892.t1
OG0001202	PSC74312.1	scaffold2.g6939.t1
OG0001203	PSC74248.1	scaffold2.g6945.t1
OG0001204	PSC73354.1	scaffold2.g6967.t1
OG0001205	PSC74222.1, PSC74221.1	scaffold2.g7007.t1
OG0001206	PSC74205.1, PSC74204.1	scaffold2.g7031.t1
OG0001207	PSC74184.1	scaffold2.g7038.t1, scaffold2.g7046.t1
OG0001208	PSC67274.1	scaffold2.g7068.t1, scaffold2.g7445.t1
OG0001209	PSC68062.1, PSC68061.1	scaffold2.g7094.t1, scaffold2.g7120.t1
OG0001210	PSC76925.1	scaffold2.g7112.t1
OG0001211	PSC75546.1	scaffold2.g7128.t1
OG0001212	PSC68466.1	scaffold2.g7129.t1
OG0001213	PSC68410.1, PSC68409.1	scaffold2.g7132.t1
OG0001214	PSC71177.1	scaffold20.g7646.t1, scaffold20.g7629.t1, scaffold2.g7178.t1
OG0001215	PSC67167.1	scaffold2.g7197.t1
OG0001216	PSC71774.1	scaffold2.g7208.t1
OG0001217	PSC73112.1	scaffold2.g7234.t1
OG0001218	PSC76447.1	scaffold2.g7271.t1
OG0001219	PSC68907.1	scaffold2.g7299.t1
OG0001220	PSC70478.1, PSC70479.1	scaffold2.g7392.t1
OG0001221	PSC70342.1	scaffold2.g7393.t1
OG0001222	PSC76698.1	scaffold2.g7424.t1
OG0001223	PSC70892.1, PSC70893.1	scaffold2.g7440.t1
OG0001224	PSC69716.1	scaffold2.g7454.t1
OG0001225	PSC70279.1, PSC70278.1	scaffold2.g7488.t1
OG0001226	PSC68266.1	scaffold2.g7509.t1
OG0001227	PSC70190.1	scaffold2.g7517.t1
OG0001228	PSC70347.1, PSC70346.1	scaffold28.g7563.t1
OG0001229	PSC70446.1	scaffold28.g7564.t1
OG0001230	PSC70349.1, PSC70350.1	scaffold28.g7573.t1
OG0001231	PSC70457.1	scaffold28.g7575.t1
OG0001233	PSC72945.1	scaffold20.g7628.t1
OG0001234	PSC71183.1	scaffold20.g7641.t1
OG0001235	PSC71048.1	scaffold20.g7648.t1
OG0001236	PSC71217.1, PSC71216.1	scaffold20.g7670.t1
OG0001237	PSC71040.1, PSC71038.1, PSC71039.1	scaffold20.g7689.t1
OG0001238	PSC71067.1, PSC71066.1	scaffold20.g7698.t1
OG0001239	PSC72292.1	scaffold20.g7724.t1
OG0001240	PSC71073.1	scaffold20.g7760.t1
OG0001241	PSC71020.1, PSC71021.1	scaffold20.g7769.t1
OG0001242	PSC71377.1, PSC71286.1	scaffold20.g7774.t1, scaffold20.g7775.t1
OG0001243	PSC69530.1	scaffold20.g7780.t1, scaffold20.g7783.t1
OG0001244	PSC70780.1, PSC70781.1	scaffold20.g7795.t1
OG0001245	PSC72572.1	scaffold20.g7809.t1
OG0001246	PSC70754.1	scaffold20.g7830.t1, scaffold20.g7829.t1
OG0001247	PSC74545.1, PSC74544.1	scaffold12.g7920.t1
OG0001248	PSC73785.1	scaffold12.g7936.t1
OG0001249	PSC73772.1, PSC73773.1, PSC73774.1	scaffold12.g7939.t1
OG0001250	PSC74658.1, PSC74659.1	scaffold12.g7954.t1
OG0001251	PSC74430.1	scaffold12.g7976.t1
OG0001252	PSC76050.1, PSC76049.1, PSC74418.1	scaffold12.g7986.t1
OG0001253	PSC74724.1	scaffold12.g7994.t1
OG0001254	PSC74911.1	scaffold12.g8002.t1
OG0001255	PSC75159.1, PSC75160.1	scaffold12.g8012.t1
OG0001256	PSC74875.1, PSC73078.1	scaffold12.g8017.t1
OG0001257	PSC74583.1, PSC74582.1, PSC74581.1	scaffold12.g8033.t1
OG0001258	PSC74360.1, PSC74361.1	scaffold12.g8034.t1
OG0001259	PSC74672.1	scaffold12.g8036.t1
OG0001260	PSC70274.1	scaffold12.g8102.t1
OG0001261	PSC70223.1	scaffold12.g8142.t1
OG0001262	PSC74725.1	scaffold12.g8181.t1
OG0001263	PSC70287.1, PSC74326.1	scaffold12.g8192.t1
OG0001264	PSC74403.1	scaffold12.g8212.t1
OG0001265	PSC74386.1, PSC75452.1, PSC75451.1	scaffold12.g8224.t1
OG0001266	PSC74734.1	scaffold12.g8247.t1, scaffold12.g8246.t1, scaffold12.g8245.t1
OG0001267	PSC74510.1, PSC74509.1	scaffold12.g8284.t1
OG0001315	PSC69315.1, PSC69314.1	scaffold16.g9.t1
OG0001316	PSC70738.1	scaffold16.g11.t1, scaffold2.g7300.t1
OG0001317	PSC70243.1	scaffold12.g8131.t1, scaffold16.g18.t1
OG0001318	PSC69358.1	scaffold16.g19.t1
OG0001319	PSC69359.1	scaffold16.g20.t1
OG0001320	PSC69327.1	scaffold16.g31.t1
OG0001321	PSC68579.1, PSC68580.1	scaffold16.g33.t1
OG0001322	PSC69363.1	scaffold16.g40.t1
OG0001323	PSC69404.1	scaffold26.g3348.t1, scaffold16.g45.t1
OG0001324	PSC69405.1	scaffold16.g52.t1
OG0001325	PSC76898.1	scaffold4.g4731.t1, scaffold16.g53.t1
OG0001327	PSC70114.1, PSC70113.1	scaffold16.g74.t1
OG0001328	PSC70024.1	scaffold16.g78.t1
OG0001330	PSC70125.1, PSC75329.1	scaffold16.g89.t1
OG0001331	PSC75211.1, PSC75212.1	scaffold16.g91.t1
OG0001332	PSC73793.1	scaffold2.g7174.t1, scaffold16.g110.t1
OG0001333	PSC75012.1	scaffold16.g117.t1
OG0001334	PSC69344.1	scaffold16.g141.t1, scaffold20.g7850.t1
OG0001335	PSC69203.1, PSC69202.1	scaffold16.g158.t1
OG0001336	PSC74832.1	scaffold16.g160.t1
OG0001338	PSC72994.1	scaffold13.g181.t1
OG0001339	PSC69087.1	scaffold13.g198.t1
OG0001340	PSC69094.1	scaffold13.g200.t1
OG0001341	PSC69222.1	scaffold13.g211.t1, scaffold19.g1755.t1
OG0001342	PSC76762.1	scaffold13.g219.t1
OG0001343	PSC71335.1, PSC71091.1	scaffold13.g241.t1, scaffold20.g7643.t1
OG0001344	PSC72123.1	scaffold13.g243.t1
OG0001346	PSC68324.1	scaffold3.g6411.t1, scaffold13.g264.t1
OG0001347	PSC74841.1	scaffold13.g267.t1
OG0001348	PSC75759.1	scaffold13.g270.t1, scaffold9.g3271.t1
OG0001349	PSC67135.1, PSC69101.1	scaffold13.g312.t1
OG0001350	PSC72791.1, PSC72661.1	scaffold13.g314.t1, scaffold13.g327.t1
OG0001351	PSC69106.1	scaffold8.g1661.t1, scaffold13.g322.t1
OG0001352	PSC69987.1	scaffold13.g331.t1
OG0001353	PSC74126.1	scaffold13.g333.t1
OG0001354	PSC67980.1	scaffold13.g337.t1
OG0001355	PSC70022.1, PSC70023.1	scaffold13.g344.t1
OG0001356	PSC67990.1, PSC67989.1	scaffold13.g345.t1
OG0001357	PSC67947.1, PSC67948.1	scaffold13.g351.t1
OG0001358	PSC67998.1	scaffold13.g367.t1
OG0001359	PSC70106.1	scaffold6.g2612.t1, scaffold13.g383.t1
OG0001360	PSC70255.1	scaffold13.g396.t1
OG0001361	PSC70155.1	scaffold13.g397.t1
OG0001362	PSC70177.1	scaffold13.g399.t1
OG0001363	PSC70185.1	scaffold13.g420.t1
OG0001364	PSC72760.1	scaffold17.g426.t1
OG0001365	PSC69205.1	scaffold17.g430.t1
OG0001366	PSC69269.1, PSC75186.1	scaffold17.g440.t1
OG0001367	PSC69247.1	scaffold17.g443.t1
OG0001368	PSC69227.1	scaffold17.g451.t1
OG0001369	PSC69208.1	scaffold17.g467.t1
OG0001370	PSC69188.1	scaffold17.g485.t1
OG0001371	PSC69261.1	scaffold17.g486.t1
OG0001372	PSC69221.1	scaffold17.g488.t1
OG0001373	PSC69276.1, PSC69275.1	scaffold17.g496.t1
OG0001374	PSC69229.1	scaffold17.g500.t1
OG0001376	PSC76727.1	scaffold17.g505.t1, scaffold6.g2782.t1
OG0001377	PSC73917.1	scaffold17.g508.t1
OG0001378	PSC76491.1	scaffold5.g751.t1, scaffold17.g518.t1
OG0001379	PSC68925.1	scaffold11.g3974.t1, scaffold17.g540.t1
OG0001380	PSC73745.1	scaffold17.g544.t1
OG0001381	PSC68725.1	scaffold17.g555.t1
OG0001382	PSC68715.1, PSC68716.1	scaffold17.g559.t1
OG0001383	PSC68753.1, PSC68766.1	scaffold17.g565.t1
OG0001385	PSC73741.1	scaffold17.g587.t1
OG0001386	PSC67588.1, PSC67589.1	scaffold17.g601.t1
OG0001387	PSC72361.1	scaffold5.g607.t1, scaffold5.g606.t1
OG0001388	PSC71777.1	scaffold5.g615.t1
OG0001389	PSC72608.1	scaffold5.g668.t1, scaffold5.g643.t1
OG0001390	PSC76643.1	scaffold5.g644.t1
OG0001391	PSC76586.1	scaffold5.g647.t1
OG0001392	PSC76394.1, PSC76395.1	scaffold5.g655.t1
OG0001393	PSC73662.1, PSC73663.1	scaffold5.g678.t1
OG0001394	PSC67914.1	scaffold5.g681.t1
OG0001395	PSC72434.1	scaffold5.g684.t1
OG0001396	PSC73686.1	scaffold5.g689.t1
OG0001397	PSC73262.1	scaffold5.g700.t1
OG0001398	PSC74148.1	scaffold5.g706.t1
OG0001399	PSC77028.1	scaffold1.g5833.t1, scaffold5.g707.t1
OG0001400	PSC76587.1	scaffold4.g4583.t1, scaffold10.g2335.t1, scaffold5.g740.t1
OG0001401	PSC76156.1	scaffold5.g742.t1
OG0001402	PSC76401.1	scaffold5.g755.t1
OG0001404	PSC73643.1	scaffold5.g783.t1
OG0001405	PSC75621.1, PSC75622.1, PSC75623.1	scaffold5.g787.t1
OG0001406	PSC75987.1, PSC76557.1	scaffold5.g794.t1
OG0001407	PSC75926.1, PSC75925.1	scaffold5.g801.t1
OG0001408	PSC67147.1, PSC68732.1	scaffold5.g809.t1
OG0001409	PSC73519.1	scaffold9.g3043.t1, scaffold1.g5779.t1, scaffold5.g813.t1
OG0001410	PSC73264.1, PSC73263.1	scaffold5.g821.t1
OG0001411	PSC75370.1, PSC75371.1	scaffold5.g822.t1
OG0001412	PSC75272.1, PSC75273.1	scaffold5.g828.t1
OG0001413	PSC75520.1, PSC75282.1	scaffold5.g829.t1
OG0001414	PSC75896.1	scaffold9.g3178.t1, scaffold5.g832.t1
OG0001415	PSC75450.1	scaffold5.g835.t1
OG0001417	PSC75553.1, PSC75552.1	scaffold5.g847.t1
OG0001418	PSC76529.1, PSC76528.1	scaffold5.g853.t1
OG0001419	PSC76593.1	scaffold5.g887.t1
OG0001420	PSC76407.1	scaffold5.g896.t1
OG0001421	PSC75304.1	scaffold6.g2871.t1, scaffold5.g899.t1
OG0001422	PSC75423.1	scaffold5.g901.t1
OG0001423	PSC75350.1	scaffold5.g903.t1
OG0001424	PSC74463.1	scaffold5.g904.t1, scaffold2.g7067.t1
OG0001425	PSC75780.1, PSC75288.1	scaffold5.g918.t1
OG0001426	PSC75633.1	scaffold5.g919.t1, scaffold31.g3801.t1
OG0001427	PSC69232.1	scaffold5.g920.t1
OG0001428	PSC72301.1	scaffold5.g940.t1, scaffold20.g7707.t1
OG0001429	PSC75463.1, PSC75527.1	scaffold5.g969.t1
OG0001430	PSC68011.1	scaffold5.g973.t1
OG0001431	PSC67954.1	scaffold5.g984.t1
OG0001432	PSC73532.1	scaffold5.g994.t1
OG0001433	PSC73732.1, PSC73733.1	scaffold5.g996.t1
OG0001434	PSC67987.1	scaffold5.g1003.t1
OG0001435	PSC76583.1, PSC76979.1	scaffold5.g1009.t1
OG0001436	PSC75474.1, PSC75475.1	scaffold14.g1023.t1
OG0001437	PSC68134.1	scaffold14.g1025.t1
OG0001438	PSC69337.1	scaffold14.g1032.t1
OG0001439	PSC69785.1	scaffold14.g1034.t1
OG0001441	PSC69728.1	scaffold14.g1052.t1
OG0001442	PSC75407.1	scaffold14.g1061.t1
OG0001443	PSC75733.1	scaffold14.g1081.t1
OG0001444	PSC72939.1, PSC72938.1	scaffold14.g1096.t1
OG0001445	PSC75675.1, PSC75676.1	scaffold14.g1104.t1
OG0001446	PSC75725.1	scaffold14.g1108.t1
OG0001447	PSC76007.1	scaffold14.g1110.t1
OG0001448	PSC69833.1	scaffold14.g1119.t1, scaffold12.g8067.t1
OG0001449	PSC76290.1, PSC76291.1	scaffold14.g1129.t1
OG0001450	PSC68594.1	scaffold42.g4476.t1, scaffold14.g1135.t1
OG0001451	PSC76429.1	scaffold14.g1147.t1
OG0001452	PSC77000.1, PSC76999.1	scaffold14.g1154.t1
OG0001453	PSC76463.1	scaffold14.g1156.t1, scaffold43.g4490.t1
OG0001454	PSC75742.1	scaffold32.g3807.t1, scaffold14.g1158.t1
OG0001455	PSC75305.1	scaffold14.g1164.t1
OG0001456	PSC75549.1	scaffold14.g1170.t1
OG0001457	PSC75328.1	scaffold14.g1173.t1
OG0001458	PSC73083.1, PSC75262.1	scaffold14.g1174.t1
OG0001459	PSC75494.1	scaffold14.g1190.t1
OG0001460	PSC75856.1	scaffold14.g1200.t1
OG0001461	PSC76834.1	scaffold14.g1202.t1
OG0001462	PSC76816.1	scaffold14.g1222.t1
OG0001463	PSC75564.1	scaffold14.g1223.t1
OG0001464	PSC75954.1	scaffold14.g1233.t1
OG0001465	PSC76687.1	scaffold14.g1251.t1
OG0001466	PSC76515.1, PSC76516.1	scaffold14.g1252.t1
OG0001467	PSC69348.1	scaffold14.g1269.t1
OG0001468	PSC75562.1	scaffold14.g1274.t1
OG0001469	PSC75432.1	scaffold14.g1287.t1
OG0001470	PSC75982.1, PSC75983.1	scaffold14.g1292.t1
OG0001472	PSC74132.1	scaffold14.g1298.t1
OG0001473	PSC69986.1	scaffold14.g1306.t1
OG0001474	PSC75833.1	scaffold14.g1309.t1
OG0001475	PSC75781.1	scaffold14.g1311.t1
