Orthogroup	m_conductrix_genome_proteins	c_variabilis_genome_proteins
OG0001099	PSC67095.1, PSC70426.1, PSC70425.1	XP_005848331.1
OG0001100	PSC70475.1	XP_005848334.1
OG0001101	PSC73477.1	XP_005850552.1
OG0001102	PSC73470.1	XP_005848417.1
OG0001104	PSC71819.1	XP_005844682.1, XP_005844681.1
OG0001105	PSC71748.1, PSC69380.1, PSC71768.1	XP_005844750.1
OG0001106	PSC71602.1	XP_005851230.1, XP_005850370.1
OG0001107	PSC76143.1	XP_005849802.1
OG0001108	PSC67161.1	XP_005849476.1
OG0001108	PSC71887.1	XP_005849477.1
OG0001109	PSC67838.1	XP_005851798.1, XP_005843247.1
OG0001110	PSC71894.1	XP_005849752.1, XP_005849483.1
OG0001111	PSC68854.1	XP_005851483.1
OG0001112	PSC76460.1	XP_005849450.1, XP_005849451.1
OG0001113	PSC67397.1, PSC76051.1	XP_005849731.1
OG0001115	PSC76634.1	XP_005849782.1
OG0001116	PSC68184.1	XP_005849714.1
OG0001118	PSC71174.1	XP_005846970.1
OG0001119	PSC70851.1	XP_005847424.1
OG0001120	PSC71898.1, PSC71989.1	XP_005847816.1
OG0001121	PSC69975.1, PSC69974.1	XP_005847335.1
OG0001122	PSC69902.1, PSC69903.1	XP_005847336.1
OG0001123	PSC68018.1, PSC68695.1	XP_005851347.1
OG0001124	PSC69918.1	XP_005847356.1
OG0001125	PSC69951.1	XP_005847351.1
OG0001126	PSC69889.1	XP_005847490.1
OG0001127	PSC69912.1, PSC69967.1	XP_005847486.1
OG0001128	PSC70890.1	XP_005847304.1, XP_005847477.1
OG0001129	PSC70592.1	XP_005847573.1, XP_005844389.1
OG0001131	PSC75379.1	YP_004347820.1, XP_005843436.1
OG0001132	PSC75693.1	XP_005842674.1
OG0001132	PSC67057.1	XP_005843835.1
OG0001133	PSC67904.1	XP_005843831.1
OG0001134	PSC76872.1	XP_005843089.1
OG0001136	PSC67386.1, PSC67191.1, PSC71062.1	XP_005843087.1
OG0001137	PSC76857.1, PSC73967.1	XP_005852319.1
OG0001138	PSC68239.1, PSC67317.1, PSC67098.1	XP_005845132.1
OG0001139	PSC67078.1, PSC67071.1, PSC67824.1	XP_005851121.1
OG0001140	PSC76001.1, PSC68136.1	XP_005851106.1
OG0001141	PSC67485.1, PSC67070.1	XP_005851124.1
OG0001142	PSC67499.1, PSC67069.1	XP_005851123.1
OG0001143	PSC75688.1, PSC75689.1	XP_005851135.1
OG0001144	PSC67247.1	XP_005851115.1
OG0001145	PSC67825.1, PSC67245.1, PSC67828.1	XP_005851418.1
OG0001146	PSC75936.1, PSC75937.1	XP_005851384.1
OG0001147	PSC75798.1, PSC75799.1, PSC75797.1	XP_005851436.1
OG0001148	PSC75857.1	XP_005851155.1
OG0001149	PSC75587.1	XP_005851438.1
OG0001150	PSC71678.1	XP_005844658.1, XP_005846674.1
OG0001151	PSC68901.1	XP_005851477.1, XP_005851476.1
OG0001152	PSC75367.1	XP_005851392.1
OG0001153	PSC69141.1	XP_005845218.1
OG0001154	PSC75296.1	XP_005847259.1
OG0001155	PSC70139.1	XP_005844545.1
OG0001156	PSC73940.1	XP_005851242.1, XP_005851241.1
OG0001157	PSC76101.1	XP_005851617.1, XP_005851616.1
OG0001158	PSC74506.1	XP_005843691.1
OG0001159	PSC68734.1	XP_005851654.1
OG0001160	PSC73946.1	XP_005851282.1
OG0001161	PSC76436.1, PSC76901.1	XP_005851286.1
OG0001162	PSC73298.1	XP_005844189.1
OG0001164	PSC76536.1	XP_005851291.1, XP_005851290.1
OG0001165	PSC71702.1, PSC71703.1	XP_005844770.1
OG0001166	PSC76851.1	XP_005852309.1
OG0001167	PSC72460.1	XP_005845906.1
OG0001168	PSC72394.1, PSC72518.1	XP_005846798.1
OG0001169	PSC73882.1, PSC73884.1, PSC73883.1	XP_005846650.1
OG0001170	PSC69982.1, PSC69983.1	XP_005845818.1
OG0001171	PSC73885.1	XP_005845102.1
OG0001172	PSC70628.1	XP_005851838.1
OG0001172	PSC73293.1	XP_005844303.1
OG0001175	PSC72447.1, PSC72446.1	XP_005850301.1
OG0001176	PSC72597.1	XP_005850240.1
OG0001177	PSC72593.1, PSC72594.1	XP_005850011.1
OG0001178	PSC72565.1, PSC72566.1	XP_005849992.1
OG0001179	PSC74280.1	XP_005846035.1
OG0001180	PSC72536.1	XP_005849989.1
OG0001181	PSC72416.1, PSC72417.1	XP_005850293.1
OG0001182	PSC72451.1	XP_005850010.1
OG0001183	PSC72494.1	XP_005850255.1
OG0001184	PSC69612.1, PSC69613.1	XP_005846389.1
OG0001185	PSC69679.1	XP_005846521.1
OG0001186	PSC68307.1, PSC68308.1, PSC68306.1	XP_005846318.1
OG0001187	PSC69676.1, PSC68388.1, PSC71499.1	XP_005846330.1
OG0001188	PSC71265.1	XP_005848808.1, XP_005844393.1, XP_005846465.1
OG0001189	PSC71398.1	XP_005846277.1, XP_005846278.1
OG0001190	PSC74407.1	XP_005847774.1
OG0001192	PSC68353.1	XP_005846475.1
OG0001193	PSC71222.1	XP_005846242.1, XP_005846418.1, XP_005846243.1
OG0001194	PSC71341.1	XP_005846239.1
OG0001196	PSC67587.1, PSC67586.1	XP_005845671.1, XP_005846941.1
OG0001197	PSC71096.1	XP_005842804.1
OG0001198	PSC73213.1	XP_005842727.1, XP_005844422.1
OG0001199	PSC74994.1	XP_005851739.1
OG0001200	PSC74003.1	XP_005843581.1, XP_005842570.1
OG0001201	PSC74713.1	XP_005842855.1
OG0001202	PSC74312.1	XP_005847638.1, XP_005845666.1
OG0001203	PSC74248.1	XP_005845539.1
OG0001204	PSC73354.1	XP_005843427.1
OG0001205	PSC74222.1, PSC74221.1	XP_005845518.1
OG0001206	PSC74205.1, PSC74204.1	XP_005845675.1
OG0001208	PSC67274.1	XP_005848663.1
OG0001209	PSC68062.1, PSC68061.1	XP_005843206.1
OG0001210	PSC76925.1	XP_005846002.1
OG0001211	PSC75546.1	XP_005846669.1
OG0001212	PSC68466.1	XP_005843168.1
OG0001213	PSC68410.1, PSC68409.1	XP_005843198.1
OG0001214	PSC71177.1	XP_005846974.1
OG0001215	PSC67140.1	XP_005844478.1
OG0001215	PSC67167.1	XP_005844477.1
OG0001216	PSC71774.1	XP_005844742.1, XP_005843153.1
OG0001217	PSC73112.1	XP_005843335.1, XP_005843336.1
OG0001218	PSC76447.1	XP_005843257.1, XP_005843372.1
OG0001219	PSC68907.1	XP_005848769.1, XP_005848770.1, XP_005851162.1
OG0001220	PSC70478.1, PSC70479.1	XP_005848264.1
OG0001221	PSC70342.1	XP_005848465.1
OG0001222	PSC76698.1	XP_005851643.1
OG0001223	PSC70892.1, PSC70893.1	XP_005848374.1
OG0001224	PSC69716.1	XP_005846070.1
OG0001224	PSC67615.1	XP_005845959.1
OG0001226	PSC68266.1	XP_005851522.1, XP_005844121.1
OG0001227	PSC70190.1	XP_005844233.1, XP_005844232.1
OG0001228	PSC70347.1, PSC70346.1	XP_005848291.1
OG0001229	PSC70446.1	XP_005848293.1, XP_005848292.1
OG0001230	PSC70349.1, PSC70350.1	XP_005848262.1
OG0001231	PSC70457.1	XP_005848266.1
OG0001233	PSC72945.1	XP_005842626.1, XP_005849171.1
OG0001234	PSC71183.1	XP_005847161.1, XP_005847160.1
OG0001235	PSC71048.1	XP_005846972.1, XP_005846971.1
OG0001236	PSC71217.1, PSC71216.1	XP_005847166.1
OG0001237	PSC71040.1, PSC71038.1, PSC71039.1	XP_005847184.1
OG0001238	PSC71067.1, PSC71066.1	XP_005847187.1
OG0001239	PSC72292.1	XP_005847110.1
OG0001240	PSC71073.1	XP_005851939.1, XP_005846995.1
OG0001241	PSC71020.1, PSC71021.1	XP_005847201.1
OG0001243	PSC69530.1	XP_005848131.1, XP_005848130.1
OG0001244	PSC70780.1, PSC70781.1	XP_005848124.1, XP_005847891.1
OG0001245	PSC72572.1	XP_005848719.1, XP_005844864.1
OG0001246	PSC70754.1	XP_005848067.1, XP_005848068.1
OG0001247	PSC74545.1, PSC74544.1	XP_005847629.1
OG0001248	PSC73785.1	XP_005842897.1, XP_005847551.1
OG0001249	PSC73772.1, PSC73773.1, PSC73774.1	XP_005847554.1
OG0001250	PSC74658.1, PSC74659.1	XP_005847731.1
OG0001251	PSC74430.1	XP_005847584.1, XP_005847585.1
OG0001252	PSC76050.1, PSC76049.1, PSC74418.1	XP_005847781.1
OG0001253	PSC74724.1	XP_005847783.1
OG0001254	PSC74911.1	XP_005847657.1
OG0001255	PSC75159.1, PSC75160.1	XP_005847641.1
OG0001256	PSC74875.1	XP_005847645.1
OG0001257	PSC74583.1, PSC74582.1, PSC74581.1	XP_005847740.1
OG0001258	PSC74360.1, PSC74361.1	XP_005847572.1
OG0001259	PSC74672.1	XP_005847580.1
OG0001260	PSC70217.1	XP_005847830.1
OG0001260	PSC70274.1	XP_005847831.1
OG0001261	PSC70223.1	XP_005847669.1
OG0001262	PSC74725.1	XP_005843143.1
OG0001263	PSC70287.1, PSC74326.1	XP_005847620.1
OG0001264	PSC74403.1	XP_005843653.1
OG0001265	PSC74386.1	XP_005843697.1
OG0001266	PSC74734.1	XP_005843655.1
OG0001267	PSC74510.1, PSC74509.1	XP_005843690.1
OG0001268	PSC68092.1	XP_005850410.1
OG0001268	PSC75454.1, PSC75455.1	XP_005850474.1
OG0001269	PSC72842.1	XP_005850513.1, XP_005850512.1
OG0001270	PSC70716.1	XP_005842915.1, XP_005842914.1
OG0001271	PSC70685.1, PSC70684.1	XP_005842952.1
OG0001272	PSC67130.1, PSC68121.1	XP_005844619.1, XP_005844618.1
OG0001273	PSC76247.1	XP_005846973.1
OG0001274	PSC69536.1, PSC69492.1, PSC71973.1, PSC67628.1	XP_005847960.1
OG0001275	PSC76019.1	XP_005848020.1
OG0001276	PSC69493.1	XP_005848128.1, XP_005848127.1
OG0001279	PSC67004.1, PSC67171.1, PSC67136.1, PSC69167.1	XP_005844570.1
OG0001282	PSC69993.1, PSC69992.1, PSC68468.1	XP_005851975.1
OG0001283	PSC70832.1	XP_005847421.1, XP_005842710.1
OG0001285	PSC68195.1	XP_005845042.1, XP_005845041.1
OG0001288	PSC68934.1, PSC68920.1, PSC68982.1, PSC68965.1	XP_005846692.1
OG0001289	PSC68100.1	XP_005850150.1
OG0001289	PSC68106.1	XP_005850149.1
OG0001290	PSC72443.1	XP_005850164.1, XP_005850264.1, XP_005850334.1
OG0001291	PSC71488.1	XP_005845553.1, XP_005845664.1, XP_005844808.1
OG0001293	PSC73664.1	XP_005847533.1, XP_005848704.1, XP_005844447.1, XP_005844449.1
OG0001294	PSC73555.1	XP_005847550.1, XP_005842636.1, XP_005842637.1
OG0001295	PSC72792.1	XP_005849225.1
OG0001297	PSC74617.1	XP_005847797.1
OG0001298	PSC76801.1	XP_005851606.1
OG0001298	PSC76523.1	XP_005851306.1
OG0001299	PSC76300.1, PSC76301.1, PSC76299.1	XP_005849539.1
OG0001300	PSC75753.1	XP_005844957.1, XP_005849591.1
OG0001301	PSC73916.1, PSC67900.1, PSC67901.1, PSC73756.1	XP_005849947.1
OG0001302	PSC76151.1	XP_005852194.1, XP_005845414.1, XP_005845451.1
OG0001303	PSC71281.1	XP_005851029.1, XP_005844910.1, XP_005850254.1, XP_005846223.1, XP_005846224.1
OG0001305	PSC74371.1	YP_004347746.1, XP_005843480.1
OG0001306	PSC74991.1, PSC75078.1	XP_005843528.1
OG0001307	PSC73289.1	XP_005844331.1
OG0001308	PSC69281.1, PSC69282.1, PSC69279.1, PSC69280.1	XP_005842742.1, XP_005844093.1
OG0001309	PSC67269.1, PSC74977.1	XP_005851792.1, XP_005846997.1, XP_005843368.1
OG0001315	PSC69315.1, PSC69314.1	XP_005846625.1
OG0001316	PSC70738.1	XP_005842916.1
OG0001317	PSC70243.1	XP_005847688.1
OG0001318	PSC69358.1	XP_005846777.1
OG0001319	PSC69359.1	XP_005846774.1
OG0001320	PSC69327.1	XP_005846780.1
OG0001321	PSC68579.1, PSC68580.1	XP_005845106.1
OG0001322	PSC69363.1	XP_005846628.1
OG0001323	PSC69404.1	XP_005846631.1
OG0001324	PSC69405.1	XP_005846771.1
OG0001325	PSC76898.1	XP_005849739.1
OG0001326	PSC72109.1	XP_005846945.1
OG0001327	PSC70114.1, PSC70113.1	XP_005845911.1
OG0001328	PSC70024.1	XP_005845800.1, XP_005845912.1
OG0001330	PSC70125.1, PSC75329.1	XP_005845799.1
OG0001331	PSC75211.1, PSC75212.1	XP_005845901.1
OG0001332	PSC73793.1	XP_005845197.1
OG0001333	PSC75012.1	XP_005845767.1, XP_005842630.1
OG0001334	PSC69344.1	XP_005845822.1
OG0001335	PSC69203.1, PSC69202.1	XP_005843235.1
OG0001336	PSC74832.1	XP_005845731.1
OG0001338	PSC72994.1	XP_005843412.1
OG0001339	PSC69087.1	XP_005844458.1
OG0001340	PSC69094.1	XP_005844556.1, XP_005844557.1
OG0001341	PSC69222.1	XP_005848019.1
OG0001342	PSC76762.1	XP_005851338.1
OG0001344	PSC72123.1	XP_005846908.1
OG0001346	PSC68324.1	XP_005846479.1
OG0001347	PSC74841.1	XP_005844103.1
OG0001348	PSC75759.1	XP_005847390.1
OG0001349	PSC67135.1, PSC69101.1	XP_005844483.1
OG0001351	PSC69106.1	XP_005844577.1
OG0001352	PSC69987.1	XP_005844496.1
OG0001353	PSC74126.1	XP_005847500.1
OG0001354	PSC67980.1	XP_005844504.1
OG0001355	PSC70022.1, PSC70023.1	XP_005844593.1
OG0001356	PSC67990.1, PSC67989.1	XP_005844600.1
OG0001357	PSC67947.1, PSC67948.1	XP_005844513.1
OG0001358	PSC67998.1	XP_005844518.1
OG0001359	PSC70106.1	XP_005844526.1
OG0001360	PSC70255.1	XP_005844531.1
OG0001361	PSC70155.1	XP_005844630.1
OG0001362	PSC70177.1	XP_005844533.1
OG0001363	PSC70185.1	XP_005844549.1
OG0001364	PSC72760.1	XP_005850113.1
OG0001365	PSC69205.1	XP_005844841.1, XP_005844840.1
OG0001366	PSC69269.1, PSC75186.1	XP_005843255.1
OG0001367	PSC69247.1	XP_005843299.1
OG0001368	PSC69227.1	XP_005844930.1
OG0001369	PSC69208.1	XP_005843296.1
OG0001370	PSC69188.1	XP_005843239.1
OG0001371	PSC69261.1	XP_005843240.1
OG0001372	PSC69221.1	XP_005843236.1
OG0001373	PSC69276.1, PSC69275.1	XP_005843272.1
OG0001374	PSC69229.1	XP_005843270.1
OG0001376	PSC76727.1	XP_005849652.1
OG0001377	PSC73917.1	XP_005844982.1
OG0001378	PSC76491.1	XP_005849883.1
OG0001379	PSC68925.1	XP_005852218.1
OG0001380	PSC73745.1	XP_005844980.1
OG0001381	PSC68725.1	XP_005844971.1
OG0001382	PSC68715.1, PSC68716.1	XP_005844865.1
OG0001383	PSC68753.1, PSC68766.1	XP_005844967.1
OG0001385	PSC73741.1	XP_005844886.1
OG0001386	PSC67588.1, PSC67589.1	XP_005852203.1
OG0001387	PSC72361.1	XP_005843811.1
OG0001388	PSC71777.1	XP_005844768.1
OG0001389	PSC72608.1	XP_005849512.1
OG0001390	PSC76643.1	XP_005849961.1
OG0001391	PSC76586.1	XP_005849958.1
OG0001392	PSC76394.1, PSC76395.1	XP_005849964.1
OG0001393	PSC73662.1, PSC73663.1	XP_005843770.1
OG0001394	PSC67914.1	XP_005843775.1
OG0001395	PSC72434.1	XP_005843756.1
OG0001396	PSC73686.1	XP_005843824.1
OG0001397	PSC73262.1	XP_005843819.1
OG0001398	PSC74148.1	XP_005849956.1
OG0001399	PSC77028.1	XP_005849702.1
OG0001400	PSC76587.1	XP_005845841.1
OG0001401	PSC76156.1	XP_005849889.1, XP_005849888.1
OG0001402	PSC76401.1	XP_005849874.1
OG0001404	PSC73643.1	XP_005849695.1
OG0001405	PSC75621.1, PSC75622.1, PSC75623.1	XP_005849936.1
OG0001407	PSC75926.1, PSC75925.1	XP_005849688.1
OG0001408	PSC67147.1, PSC68732.1	XP_005851698.1
OG0001409	PSC73519.1	XP_005851986.1
OG0001410	PSC73264.1, PSC73263.1	XP_005849942.1
OG0001411	PSC75370.1, PSC75371.1	XP_005849594.1
OG0001412	PSC75272.1, PSC75273.1	XP_005849598.1
OG0001413	PSC75520.1, PSC75282.1	XP_005849859.1
OG0001414	PSC75896.1	XP_005849849.1
OG0001415	PSC75450.1	XP_005849845.1, XP_005843631.1
OG0001417	PSC75553.1, PSC75552.1	XP_005849842.1
OG0001418	PSC76529.1, PSC76528.1	XP_005849878.1
OG0001419	PSC76593.1	XP_005849914.1
OG0001420	PSC76407.1	XP_005849871.1
OG0001421	PSC75304.1	XP_005850649.1
OG0001422	PSC75423.1	XP_005849919.1
OG0001423	PSC75350.1	XP_005849920.1
OG0001424	PSC74463.1	XP_005847624.1
OG0001425	PSC75780.1, PSC75288.1	XP_005849602.1
OG0001426	PSC75633.1	XP_005849861.1
OG0001427	PSC69232.1	XP_005843281.1, XP_005843290.1
OG0001428	PSC72301.1	XP_005847102.1
OG0001429	PSC75463.1, PSC75527.1	XP_005849840.1
OG0001430	PSC68011.1	XP_005849554.1
OG0001431	PSC67954.1	XP_005849812.1
OG0001433	PSC73732.1, PSC73733.1	XP_005844869.1
OG0001434	PSC67987.1	XP_005849809.1
OG0001435	PSC76583.1, PSC76979.1	XP_005847274.1
OG0001436	PSC75474.1, PSC75475.1	XP_005848992.1
OG0001437	PSC68134.1	XP_005848997.1, XP_005848998.1
OG0001438	PSC69337.1	XP_005847822.1
OG0001439	PSC69785.1	XP_005848794.1
OG0001441	PSC69728.1	XP_005849005.1, XP_005849004.1
OG0001442	PSC75407.1	XP_005848757.1
OG0001443	PSC75733.1	XP_005848960.1
OG0001444	PSC72939.1, PSC72938.1	XP_005845382.1
OG0001445	PSC75675.1, PSC75676.1	XP_005848956.1
OG0001446	PSC75725.1	XP_005848951.1
OG0001447	PSC76007.1	XP_005848950.1
OG0001448	PSC69833.1	XP_005850442.1
OG0001449	PSC76290.1, PSC76291.1	XP_005848718.1
OG0001450	PSC68594.1	XP_005845230.1
OG0001451	PSC76429.1	XP_005848714.1
OG0001452	PSC77000.1, PSC76999.1	XP_005848721.1
OG0001453	PSC76463.1	XP_005848725.1
OG0001454	PSC75742.1	XP_005848724.1
OG0001455	PSC75305.1	XP_005848731.1
OG0001456	PSC75549.1	XP_005848944.1
OG0001457	PSC75328.1	XP_005848726.1
OG0001459	PSC75494.1	XP_005848870.1
OG0001460	PSC75856.1	XP_005848949.1
OG0001461	PSC76834.1	XP_005848695.1
OG0001462	PSC76816.1	XP_005851288.1, XP_005851289.1
OG0001463	PSC75564.1	XP_005848890.1
OG0001464	PSC75954.1	XP_005848666.1
OG0001465	PSC76687.1	XP_005848917.1
OG0001466	PSC76515.1, PSC76516.1	XP_005848918.1
OG0001467	PSC69348.1	XP_005852171.1
OG0001468	PSC75562.1	XP_005848850.1
OG0001469	PSC75432.1	XP_005848853.1
OG0001470	PSC75982.1, PSC75983.1	XP_005848841.1
OG0001472	PSC74132.1	XP_005847404.1, XP_005850165.1
OG0001473	PSC69986.1	XP_005845888.1
OG0001474	PSC75833.1	XP_005848855.1
OG0001475	PSC75781.1	XP_005848844.1
OG0001476	PSC73822.1, PSC67125.1	XP_005848814.1
OG0001477	PSC75253.1, PSC75254.1	XP_005848645.1
OG0001478	PSC68430.1	XP_005843202.1
OG0001479	PSC71490.1	XP_005850590.1
OG0001480	PSC71586.1	XP_005850893.1, XP_005842601.1
OG0001481	PSC71492.1	XP_005850593.1
OG0001482	PSC72753.1, PSC72754.1	XP_005850854.1
OG0001483	PSC71562.1, PSC71561.1	XP_005850629.1
OG0001484	PSC71447.1	XP_005850881.1
OG0001485	PSC71472.1	XP_005850597.1
OG0001486	PSC71598.1	XP_005850887.1
OG0001487	PSC67458.1	XP_005850847.1
OG0001488	PSC72732.1	XP_005850535.1
OG0001489	PSC72601.1	XP_005850530.1, XP_005843245.1
OG0001490	PSC72676.1	XP_005850822.1, XP_005850823.1
OG0001491	PSC72796.1, PSC72795.1	XP_005850518.1
OG0001492	PSC72630.1	XP_005850808.1
OG0001493	PSC72696.1	XP_005850505.1
OG0001494	PSC72746.1, PSC72745.1	XP_005850782.1
OG0001495	PSC73480.1	XP_005846557.1
OG0001496	PSC76855.1	XP_005851334.1
OG0001497	PSC75932.1	XP_005848838.1
OG0001498	PSC68801.1	XP_005843933.1, XP_005843934.1
OG0001499	PSC74615.1	XP_005843137.1
OG0001500	PSC74650.1	XP_005842646.1, XP_005843959.1
OG0001501	PSC74719.1	XP_005843916.1
OG0001502	PSC74770.1	XP_005843945.1
OG0001503	PSC69984.1	XP_005845792.1
OG0001504	PSC67504.1, PSC67505.1	XP_005843960.1
OG0001505	PSC74625.1	XP_005842656.1, XP_005843943.1
OG0001507	PSC74380.1, PSC68781.1	XP_005843958.1
OG0001508	PSC70038.1	XP_005843351.1
OG0001509	PSC71595.1	XP_005850385.1
OG0001510	PSC74423.1, PSC74401.1	XP_005843948.1
OG0001511	PSC72329.1	XP_005846800.1
OG0001513	PSC76098.1, PSC76099.1	XP_005848196.1
OG0001514	PSC69556.1	XP_005848098.1
OG0001515	PSC69554.1	XP_005848106.1
OG0001516	PSC76717.1, PSC76716.1	XP_005848018.1
OG0001517	PSC69472.1	XP_005848096.1, XP_005842699.1
OG0001518	PSC73413.1	XP_005844439.1
OG0001519	PSC76500.1, PSC76501.1	XP_005848140.1
OG0001520	PSC76835.1	XP_005847980.1
OG0001522	PSC69548.1	XP_005847963.1
OG0001523	PSC69506.1	XP_005844010.1, XP_005848089.1
OG0001524	PSC74896.1, PSC74897.1	XP_005848010.1
OG0001525	PSC75321.1, PSC75320.1	XP_005850213.1
OG0001527	PSC75984.1	XP_005850223.1
OG0001528	PSC69805.1	XP_005850208.1
OG0001529	PSC72429.1, PSC72430.1	XP_005850321.1
OG0001530	PSC73714.1	XP_005845210.1
OG0001531	PSC72435.1	XP_005850062.1
OG0001532	PSC72488.1	XP_005850075.1
OG0001533	PSC72623.1	XP_005850349.1
OG0001534	PSC72759.1	XP_005850105.1
OG0001535	PSC72801.1	XP_005850106.1
OG0001536	PSC70511.1, PSC70512.1	XP_005850096.1
OG0001537	PSC70556.1	XP_005850093.1
OG0001538	PSC75572.1	XP_005847363.1
OG0001539	PSC74189.1	XP_005845621.1
OG0001540	PSC74142.1	XP_005843626.1
OG0001541	PSC71631.1	XP_005850130.1, XP_005850131.1
OG0001542	PSC71639.1, PSC71459.1	XP_005850136.1
OG0001543	PSC72487.1	XP_005850071.1
OG0001544	PSC71628.1, PSC71629.1	XP_005850384.1
OG0001545	PSC72350.1	XP_005850272.1
OG0001546	PSC72471.1	XP_005850311.1
OG0001547	PSC72206.1, PSC72207.1	XP_005846885.1
OG0001548	PSC71044.1, PSC71045.1	XP_005847191.1
OG0001549	PSC71171.1, PSC71172.1	XP_005847197.1
OG0001550	PSC71050.1, PSC71051.1	XP_005847199.1
OG0001551	PSC72095.1, PSC72096.1	XP_005847125.1
OG0001552	PSC68202.1	XP_005845163.1
OG0001553	PSC71740.1	XP_005845762.1, XP_005846826.1, XP_005846617.1
OG0001554	PSC69367.1	XP_005852169.1
OG0001555	PSC68582.1	XP_005845236.1
OG0001556	PSC68564.1	XP_005845120.1
OG0001557	PSC68645.1	XP_005845121.1
OG0001558	PSC68642.1	XP_005846696.1
OG0001559	PSC68191.1	XP_005845030.1
OG0001560	PSC72001.1, PSC71993.1	XP_005845942.1
OG0001561	PSC71884.1, PSC71888.1	XP_005846081.1
OG0001562	PSC73667.1	XP_005851258.1
OG0001564	PSC67630.1, PSC67619.1	XP_005846088.1
OG0001566	PSC71946.1	XP_005846076.1
OG0001567	PSC71904.1	XP_005846042.1
OG0001568	PSC72050.1, PSC72049.1	XP_005846176.1
OG0001569	PSC72011.1	XP_005846044.1
OG0001570	PSC71895.1	XP_005846041.1
OG0001571	PSC74235.1	XP_005845598.1
OG0001572	PSC71972.1	XP_005846092.1, XP_005843529.1
OG0001573	PSC71950.1	XP_005845975.1
OG0001574	PSC71380.1	XP_005844949.1
OG0001575	PSC71864.1	XP_005846110.1
OG0001576	PSC72023.1	XP_005846139.1
OG0001577	PSC72024.1	XP_005846135.1
OG0001578	PSC71967.1	XP_005844856.1
OG0001579	PSC71890.1, PSC74120.1	XP_005846025.1
OG0001580	PSC69055.1	XP_005845833.1, XP_005845832.1
OG0001581	PSC71921.1	XP_005846026.1
OG0001583	PSC73386.1, PSC73512.1	XP_005844940.1, XP_005848609.1
OG0001584	PSC72030.1, PSC72031.1	XP_005846147.1
OG0001585	PSC72014.1	XP_005846023.1
OG0001586	PSC71873.1	XP_005846013.1
OG0001587	PSC72009.1	XP_005846141.1
OG0001588	PSC67110.1	XP_005852012.1
OG0001589	PSC72045.1	XP_005846172.1
OG0001590	PSC76694.1	XP_005849033.1
OG0001591	PSC73270.1	XP_005845005.1
OG0001593	PSC67684.1	XP_005845019.1, XP_005845020.1
OG0001594	PSC67657.1	XP_005846212.1
OG0001595	PSC67655.1	XP_005844925.1
OG0001596	PSC71698.1	XP_005844725.1
OG0001597	PSC71723.1	XP_005844747.1
OG0001598	PSC72195.1	XP_005846868.1
OG0001599	PSC75978.1	XP_005847406.1
OG0001600	PSC67276.1	XP_005843609.1
OG0001601	PSC74338.1	XP_005843542.1, XP_005842584.1
OG0001602	PSC72287.1	XP_005846849.1
OG0001603	PSC70567.1	XP_005843613.1, XP_005850013.1
OG0001604	PSC70627.1	XP_005845642.1
OG0001606	PSC70609.1	XP_005843554.1
OG0001607	PSC70505.1	XP_005843569.1
OG0001608	PSC75446.1	XP_005847370.1
OG0001609	PSC75583.1	XP_005847369.1
OG0001610	PSC68127.1	XP_005850154.1
OG0001611	PSC71577.1, PSC71576.1	XP_005850143.1
OG0001612	PSC68120.1	XP_005850400.1
OG0001613	PSC71647.1, PSC71646.1	XP_005850146.1
OG0001614	PSC68109.1	XP_005842545.1, XP_005842638.1
OG0001616	PSC72774.1	XP_005850859.1, XP_005846537.1
OG0001617	PSC72182.1	XP_005847088.1
OG0001618	PSC72739.1, PSC72271.1	XP_005850563.1
OG0001619	PSC72715.1	XP_005850856.1
OG0001620	PSC75871.1	XP_005847263.1
OG0001621	PSC71575.1	XP_005850653.1
OG0001622	PSC71460.1	XP_005850924.1
OG0001623	PSC72737.1	XP_005850973.1
OG0001624	PSC69056.1	XP_005851000.1
OG0001625	PSC69052.1	XP_005851025.1
OG0001627	PSC68952.1	XP_005846667.1
OG0001628	PSC74211.1, PSC72841.1	XP_005850950.1
OG0001629	PSC72710.1, PSC72711.1	XP_005850951.1
OG0001630	PSC72892.1	XP_005852271.1, XP_005850672.1
OG0001631	PSC72604.1, PSC72603.1	XP_005850675.1
OG0001632	PSC70268.1	XP_005850019.1, XP_005850948.1
OG0001633	PSC71635.1, PSC71476.1	XP_005850628.1
OG0001634	PSC67676.1	XP_005846209.1
OG0001634	PSC67641.1	XP_005845955.1
OG0001635	PSC72646.1, PSC72645.1	XP_005850695.1
OG0001636	PSC72613.1	XP_005851618.1
OG0001637	PSC73091.1	XP_005843410.1
OG0001638	PSC75366.1	XP_005847382.1
OG0001639	PSC67601.1	XP_005844800.1
OG0001640	PSC69382.1	XP_005845920.1
OG0001640	PSC74908.1	XP_005852005.1
OG0001641	PSC71487.1	XP_005850909.1
OG0001642	PSC69039.1	XP_005850749.1
OG0001643	PSC69053.1	XP_005851036.1
OG0001644	PSC67837.1	XP_005849866.1, XP_005842749.1
OG0001645	PSC69001.1, PSC69000.1	XP_005851043.1
OG0001646	PSC69012.1, PSC69013.1	XP_005851054.1
OG0001647	PSC73943.1, PSC73942.1	XP_005847714.1
OG0001648	PSC70039.1	XP_005845780.1
OG0001651	PSC75035.1	XP_005852011.1
