Orthogroup	m_conductrix_genome_proteins	c_sorokiniana_genome_proteins
OG0001293	PSC73664.1	PRW57556.1
OG0001294	PSC73555.1	PRW57660.1
OG0001295	PSC72792.1	PRW57781.1
OG0001296	PSC74806.1, PSC67203.1, PSC67755.1, PSC67115.1, PSC67784.1, PSC67143.1	PRW57893.1
OG0001297	PSC74617.1	PRW57955.1
OG0001298	PSC76801.1, PSC76523.1	PRW58206.1
OG0001299	PSC76300.1, PSC76301.1, PSC76299.1	PRW58987.1
OG0001300	PSC75753.1	PRW59168.1, PRW59167.1
OG0001301	PSC73916.1, PSC67900.1, PSC67901.1, PSC73756.1	PRW59207.1
OG0001302	PSC76151.1	PRW59621.1
OG0001303	PSC71281.1	PRW59946.1
OG0001304	PSC68553.1, PSC68554.1, PSC68555.1	PRW60605.1, PRW60604.1
OG0001305	PSC74371.1	PRW60935.1, PRW60936.1, PRW60934.1
OG0001306	PSC74991.1, PSC75078.1	PRW61324.1
OG0001307	PSC73289.1	PRW61472.1, PRW61471.1, PRW61395.1
OG0001315	PSC69315.1, PSC69314.1	PRW45556.1
OG0001316	PSC70738.1	PRW20302.1
OG0001317	PSC70243.1	PRW34089.1
OG0001318	PSC69358.1	PRW45415.1, PRW45416.1
OG0001319	PSC69359.1	PRW45528.1, PRW45529.1
OG0001320	PSC69327.1	PRW45697.1
OG0001321	PSC68579.1, PSC68580.1	PRW45399.1
OG0001322	PSC69363.1	PRW45597.1
OG0001323	PSC69404.1	PRW45466.1
OG0001324	PSC69405.1	PRW45650.1, PRW45649.1
OG0001325	PSC76898.1	PRW58872.1
OG0001326	PSC72109.1	PRW57174.1
OG0001327	PSC70114.1, PSC70113.1	PRW33518.1
OG0001328	PSC70024.1	PRW33511.1
OG0001330	PSC75329.1	PRW33725.1
OG0001331	PSC75211.1, PSC75212.1	PRW33584.1
OG0001332	PSC73793.1	PRW45545.1
OG0001333	PSC75012.1	PRW33596.1
OG0001334	PSC69344.1	PRW33648.1
OG0001335	PSC69203.1, PSC69202.1	PRW33329.1
OG0001336	PSC74832.1	PRW33661.1, PRW33660.1
OG0001338	PSC72994.1	PRW32907.1, PRW32906.1
OG0001339	PSC69087.1	PRW32938.1
OG0001340	PSC69094.1	PRW33034.1
OG0001341	PSC69222.1	PRW20924.1
OG0001342	PSC76762.1	PRW58490.1, PRW58491.1
OG0001343	PSC71335.1	PRW44243.1
OG0001344	PSC72123.1	PRW57503.1, PRW57504.1
OG0001347	PSC74841.1	PRW20169.1
OG0001348	PSC75759.1	PRW44340.1
OG0001349	PSC67135.1, PSC69101.1	PRW20521.1
OG0001350	PSC72791.1, PSC72661.1	PRW56107.1
OG0001351	PSC69106.1	PRW20471.1
OG0001352	PSC69987.1	PRW20535.1, PRW20536.1
OG0001353	PSC74126.1	PRW44383.1
OG0001354	PSC67980.1	PRW20498.1, PRW20497.1
OG0001355	PSC70022.1, PSC70023.1	PRW20530.1
OG0001356	PSC67990.1, PSC67989.1	PRW20455.1
OG0001357	PSC67947.1, PSC67948.1	PRW20510.1
OG0001358	PSC67998.1	PRW20523.1, PRW20522.1
OG0001359	PSC70106.1	PRW20588.1
OG0001360	PSC70255.1	PRW20484.1, PRW20485.1
OG0001361	PSC70155.1	PRW20453.1
OG0001362	PSC70177.1	PRW20443.1
OG0001363	PSC70185.1	PRW20441.1, PRW20442.1
OG0001364	PSC72760.1	PRW56620.1, PRW56621.1
OG0001365	PSC69205.1	PRW33281.1
OG0001366	PSC69269.1, PSC75186.1	PRW33122.1
OG0001367	PSC69247.1	PRW33103.1
OG0001368	PSC69227.1	PRW33322.1
OG0001369	PSC69208.1	PRW33305.1
OG0001370	PSC69188.1	PRW33221.1, PRW33222.1
OG0001371	PSC69261.1	PRW33224.1, PRW33223.1
OG0001372	PSC69221.1	PRW33273.1
OG0001373	PSC69276.1, PSC69275.1	PRW33293.1
OG0001374	PSC69229.1	PRW33236.1, PRW33235.1
OG0001376	PSC76727.1	PRW58761.1
OG0001377	PSC73917.1	PRW33210.1, PRW33098.1
OG0001378	PSC76491.1	PRW58776.1
OG0001379	PSC68925.1	PRW60642.1
OG0001380	PSC73745.1	PRW33290.1, PRW33291.1
OG0001381	PSC68725.1	PRW33162.1
OG0001382	PSC68715.1, PSC68716.1	PRW33175.1
OG0001383	PSC68753.1, PSC68766.1	PRW33274.1
OG0001385	PSC73741.1	PRW33234.1
OG0001386	PSC67588.1, PSC67589.1	PRW39247.1
OG0001387	PSC72361.1	PRW59169.1
OG0001388	PSC71777.1	PRW21098.1, PRW21097.1
OG0001389	PSC72608.1	PRW05848.1, PRW05849.1
OG0001390	PSC76643.1	PRW58779.1, PRW58778.1
OG0001391	PSC76586.1	PRW58813.1, PRW58814.1
OG0001392	PSC76394.1, PSC76395.1	PRW58821.1
OG0001393	PSC73662.1, PSC73663.1	PRW59157.1
OG0001394	PSC67914.1	PRW59174.1, PRW59173.1
OG0001395	PSC72434.1	PRW58775.1
OG0001396	PSC73686.1	PRW59064.1, PRW59065.1
OG0001397	PSC73262.1	PRW59111.1
OG0001398	PSC74148.1	PRW59097.1
OG0001399	PSC77028.1	PRW59050.1
OG0001400	PSC76587.1	PRW44586.1
OG0001401	PSC76156.1	PRW59408.1
OG0001402	PSC76401.1	PRW59404.1, PRW58998.1
OG0001404	PSC73643.1	PRW59294.1
OG0001406	PSC75987.1, PSC76557.1	PRW59189.1
OG0001407	PSC75926.1, PSC75925.1	PRW58860.1
OG0001408	PSC67147.1, PSC68732.1	PRW60319.1
OG0001410	PSC73264.1, PSC73263.1	PRW59362.1
OG0001411	PSC75370.1, PSC75371.1	PRW59148.1
OG0001412	PSC75272.1, PSC75273.1	PRW59012.1
OG0001413	PSC75520.1, PSC75282.1	PRW59130.1
OG0001414	PSC75896.1	PRW58840.1
OG0001415	PSC75450.1	PRW58799.1
OG0001417	PSC75553.1, PSC75552.1	PRW59048.1
OG0001418	PSC76529.1, PSC76528.1	PRW59132.1
OG0001419	PSC76593.1	PRW58885.1
OG0001420	PSC76407.1	PRW59151.1, PRW59152.1
OG0001421	PSC75304.1	PRW59766.1
OG0001422	PSC75423.1	PRW58828.1, PRW59120.1
OG0001423	PSC75350.1	PRW59115.1, PRW59114.1
OG0001424	PSC74463.1	PRW57700.1
OG0001425	PSC75288.1	PRW58863.1
OG0001426	PSC75633.1	PRW59017.1
OG0001427	PSC69232.1	PRW33331.1
OG0001428	PSC72301.1	PRW57049.1
OG0001429	PSC75463.1, PSC75527.1	PRW59037.1
OG0001430	PSC68011.1	PRW59327.1
OG0001431	PSC67954.1	PRW59284.1, PRW59283.1
OG0001432	PSC73532.1	PRW32548.1, PRW61239.1
OG0001433	PSC73732.1, PSC73733.1	PRW33330.1
OG0001434	PSC67987.1	PRW59069.1, PRW59068.1
OG0001435	PSC76583.1, PSC76979.1	PRW59080.1
OG0001436	PSC75474.1, PSC75475.1	PRW51033.1
OG0001437	PSC68134.1	PRW50852.1
OG0001438	PSC69337.1	PRW33775.1, PRW33776.1
OG0001439	PSC69785.1	PRW50821.1
OG0001441	PSC69728.1	PRW51058.1
OG0001442	PSC75407.1	PRW50949.1, PRW50950.1
OG0001443	PSC75733.1	PRW51112.1, PRW51111.1
OG0001444	PSC72939.1, PSC72938.1	PRW59772.1
OG0001445	PSC75675.1, PSC75676.1	PRW51184.1
OG0001446	PSC75725.1	PRW50764.1, PRW50762.1
OG0001447	PSC76007.1	PRW50761.1, PRW50763.1
OG0001448	PSC69833.1	PRW56884.1
OG0001449	PSC76290.1, PSC76291.1	PRW51047.1
OG0001450	PSC68594.1	PRW45391.1
OG0001451	PSC76429.1	PRW50830.1, PRW50831.1
OG0001452	PSC77000.1, PSC76999.1	PRW50920.1
OG0001453	PSC76463.1	PRW51044.1
OG0001454	PSC75742.1	PRW51025.1
OG0001455	PSC75305.1	PRW51120.1
OG0001456	PSC75549.1	PRW51172.1
OG0001457	PSC75328.1	PRW50978.1
OG0001458	PSC73083.1, PSC75262.1	PRW51152.1, PRW51151.1
OG0001459	PSC75494.1	PRW50889.1, PRW50888.1
OG0001460	PSC75856.1	PRW51102.1, PRW51101.1
OG0001461	PSC76834.1	PRW50861.1
OG0001462	PSC76816.1	PRW58402.1
OG0001463	PSC75564.1	PRW51087.1, PRW51086.1
OG0001464	PSC75954.1	PRW50819.1
OG0001465	PSC76687.1	PRW50909.1, PRW61326.1
OG0001466	PSC76515.1, PSC76516.1	PRW50886.1
OG0001467	PSC69348.1	PRW60631.1, PRW56005.1
OG0001468	PSC75562.1	PRW50939.1, PRW50940.1
OG0001469	PSC75432.1	PRW50901.1, PRW50902.1
OG0001470	PSC75982.1, PSC75983.1	PRW50907.1
OG0001472	PSC74132.1	PRW50979.1
OG0001473	PSC69986.1	PRW33557.1, PRW33558.1
OG0001474	PSC75833.1	PRW50885.1, PRW59425.1
OG0001475	PSC75781.1	PRW51119.1, PRW51118.1
OG0001476	PSC73822.1, PSC67125.1	PRW51099.1
OG0001477	PSC75253.1, PSC75254.1	PRW51182.1
OG0001478	PSC68430.1	PRW05916.1, PRW05917.1
OG0001479	PSC71490.1	PRW56322.1
OG0001480	PSC71586.1	PRW55983.1
OG0001481	PSC71492.1	PRW60101.1
OG0001482	PSC72753.1, PSC72754.1	PRW56196.1
OG0001483	PSC71562.1, PSC71561.1	PRW56200.1
OG0001484	PSC71447.1	PRW55966.1
OG0001485	PSC71472.1	PRW56039.1
OG0001486	PSC71598.1	PRW55938.1
OG0001487	PSC67458.1	PRW55909.1
OG0001488	PSC72732.1	PRW18369.1
OG0001489	PSC72601.1	PRW18312.1
OG0001490	PSC72676.1	PRW18376.1
OG0001491	PSC72796.1, PSC72795.1	PRW18374.1
OG0001492	PSC72630.1	PRW18303.1
OG0001493	PSC72696.1	PRW18411.1
OG0001494	PSC72746.1, PSC72745.1	PRW18330.1
OG0001495	PSC73480.1	PRW18392.1
OG0001496	PSC76855.1	PRW58597.1
OG0001497	PSC75932.1	PRW51124.1, PRW51123.1
OG0001498	PSC68801.1	PRW20735.1
OG0001499	PSC74615.1	PRW20416.1, PRW20415.1
OG0001500	PSC74650.1	PRW20727.1
OG0001501	PSC74719.1	PRW20613.1
OG0001502	PSC74770.1	PRW20666.1
OG0001503	PSC69984.1	PRW33532.1
OG0001504	PSC67504.1, PSC67505.1	PRW20705.1
OG0001505	PSC74625.1	PRW20604.1
OG0001507	PSC74380.1, PSC68781.1	PRW20622.1
OG0001508	PSC70038.1	PRW39064.1
OG0001509	PSC71595.1	PRW56866.1
OG0001510	PSC74423.1, PSC74401.1	PRW20668.1
OG0001511	PSC72329.1	PRW33599.1, PRW33524.1, PRW33566.1
OG0001513	PSC76098.1, PSC76099.1	PRW20784.1
OG0001514	PSC69556.1	PRW05746.1, PRW57298.1
OG0001515	PSC69554.1	PRW57393.1, PRW57392.1
OG0001516	PSC76717.1, PSC76716.1	PRW20864.1
OG0001517	PSC69472.1	PRW57169.1
OG0001518	PSC73413.1	PRW61371.1
OG0001519	PSC76500.1, PSC76501.1	PRW20870.1
OG0001520	PSC76835.1	PRW20778.1
OG0001522	PSC69548.1	PRW20925.1
OG0001523	PSC69506.1	PRW57367.1
OG0001524	PSC74896.1, PSC74897.1	PRW20794.1
OG0001525	PSC75321.1, PSC75320.1	PRW05862.1
OG0001527	PSC75984.1	PRW05828.1, PRW05829.1
OG0001528	PSC69805.1	PRW05852.1, PRW05750.1
OG0001529	PSC72429.1, PSC72430.1	PRW56607.1
OG0001530	PSC73714.1	PRW45503.1, PRW45504.1
OG0001531	PSC72435.1	PRW56715.1, PRW56424.1
OG0001532	PSC72488.1	PRW56526.1, PRW56527.1
OG0001533	PSC72623.1	PRW56606.1
OG0001534	PSC72759.1	PRW56433.1, PRW56434.1
OG0001535	PSC72801.1	PRW56740.1
OG0001536	PSC70511.1, PSC70512.1	PRW56796.1
OG0001537	PSC70556.1	PRW56489.1, PRW56490.1
OG0001538	PSC75572.1	PRW05814.1, PRW05815.1
OG0001539	PSC74189.1	PRW60944.1
OG0001540	PSC74142.1	PRW61562.1, PRW61563.1
OG0001541	PSC71631.1	PRW56744.1
OG0001542	PSC71639.1, PSC71459.1	PRW56575.1, PRW56594.1
OG0001543	PSC72487.1	PRW56518.1, PRW56517.1
OG0001544	PSC71628.1, PSC71629.1	PRW56689.1
OG0001545	PSC72350.1	PRW44589.1
OG0001546	PSC72471.1	PRW56771.1
OG0001547	PSC72206.1, PSC72207.1	PRW57417.1
OG0001548	PSC71044.1, PSC71045.1	PRW57186.1
OG0001549	PSC71171.1, PSC71172.1	PRW57112.1
OG0001550	PSC71050.1, PSC71051.1	PRW57227.1
OG0001551	PSC72095.1, PSC72096.1	PRW57512.1
OG0001552	PSC68202.1	PRW45645.1
OG0001554	PSC69367.1	PRW60423.1
OG0001555	PSC68582.1	PRW45740.1
OG0001556	PSC68564.1	PRW45703.1, PRW45702.1
OG0001557	PSC68645.1	PRW45532.1, PRW45533.1
OG0001558	PSC68642.1	PRW45591.1
OG0001559	PSC68191.1	PRW45348.1
OG0001560	PSC72001.1, PSC71993.1	PRW05791.1
OG0001561	PSC71884.1, PSC71888.1	PRW05770.1
OG0001562	PSC73667.1	PRW58468.1
OG0001563	PSC67620.1	PRW05756.1
OG0001563	PSC67621.1	PRW05802.1
OG0001564	PSC67630.1, PSC67619.1	PRW05751.1
OG0001565	PSC67632.1	PRW05805.1
OG0001566	PSC71946.1	PRW05774.1, PRW05775.1
OG0001567	PSC71904.1	PRW39211.1, PRW39210.1
OG0001568	PSC72050.1, PSC72049.1	PRW39149.1
OG0001569	PSC72011.1	PRW39392.1, PRW39393.1
OG0001570	PSC71895.1	PRW39203.1, PRW39204.1
OG0001571	PSC74235.1	PRW61584.1
OG0001572	PSC71972.1	PRW05755.1
OG0001573	PSC71950.1	PRW39363.1, PRW39364.1
OG0001574	PSC71380.1	PRW33164.1, PRW33165.1
OG0001575	PSC71864.1	PRW39068.1, PRW39067.1
OG0001576	PSC72023.1	PRW39099.1, PRW39098.1
OG0001577	PSC72024.1	PRW39146.1
OG0001578	PSC71967.1	PRW39296.1
OG0001579	PSC74120.1	PRW39207.1
OG0001580	PSC69055.1	PRW44577.1
OG0001581	PSC71921.1	PRW39297.1
OG0001583	PSC73386.1, PSC73512.1	PRW51180.1
OG0001584	PSC72030.1, PSC72031.1	PRW39255.1
OG0001585	PSC72014.1	PRW39346.1, PRW39347.1
OG0001586	PSC71873.1	PRW39318.1
OG0001587	PSC72009.1	PRW39232.1, PRW39231.1
OG0001588	PSC67110.1	PRW45550.1, PRW45551.1
OG0001589	PSC72045.1	PRW39145.1
OG0001590	PSC76694.1	PRW34006.1
OG0001591	PSC73270.1	PRW39351.1
OG0001592	PSC67653.1	PRW39071.1, PRW39070.1, PRW39069.1
OG0001593	PSC67684.1	PRW39274.1
OG0001594	PSC67657.1	PRW39093.1
OG0001595	PSC67655.1	PRW39385.1, PRW39386.1
OG0001596	PSC71698.1	PRW20965.1
OG0001597	PSC71723.1	PRW21042.1
OG0001598	PSC72195.1	PRW56984.1, PRW56985.1
OG0001599	PSC75978.1	PRW44394.1
OG0001600	PSC67276.1	PRW61456.1, PRW61455.1
OG0001601	PSC74338.1	PRW60932.1
OG0001602	PSC72287.1	PRW57188.1
OG0001603	PSC70567.1	PRW61557.1
OG0001604	PSC70627.1	PRW61594.1
OG0001606	PSC70609.1	PRW61355.1, PRW61354.1
OG0001607	PSC70505.1	PRW61621.1, PRW61620.1
OG0001608	PSC75446.1	PRW44350.1
OG0001609	PSC75583.1	PRW44617.1
OG0001610	PSC68127.1	PRW56853.1, PRW56854.1
OG0001611	PSC71577.1, PSC71576.1	PRW56419.1
OG0001612	PSC68120.1	PRW56637.1
OG0001613	PSC71647.1, PSC71646.1	PRW56768.1
OG0001614	PSC68109.1	PRW56567.1
OG0001616	PSC72774.1	PRW56067.1
OG0001617	PSC72182.1	PRW44318.1
OG0001618	PSC72739.1, PSC72271.1	PRW56189.1
OG0001619	PSC72715.1	PRW05744.1, PRW56330.1
OG0001620	PSC75871.1	PRW44336.1, PRW44337.1
OG0001621	PSC71575.1	PRW56037.1
OG0001622	PSC71460.1	PRW55995.1
OG0001623	PSC72737.1	PRW56047.1
OG0001624	PSC69056.1	PRW55979.1, PRW55978.1
OG0001625	PSC69052.1	PRW56250.1, PRW56251.1
OG0001627	PSC68952.1	PRW59336.1
OG0001628	PSC74211.1, PSC72841.1	PRW56051.1
OG0001629	PSC72710.1, PSC72711.1	PRW56310.1
OG0001630	PSC72892.1	PRW56053.1
OG0001631	PSC72604.1, PSC72603.1	PRW55885.1
OG0001632	PSC70268.1	PRW50866.1, PRW50867.1
OG0001633	PSC71635.1, PSC71476.1	PRW56150.1
OG0001634	PSC67676.1, PSC67641.1	PRW59472.1
OG0001635	PSC72646.1, PSC72645.1	PRW56245.1
OG0001636	PSC72613.1	PRW55980.1
OG0001637	PSC73091.1	PRW33014.1
OG0001638	PSC75366.1	PRW44447.1
OG0001639	PSC67601.1	PRW61450.1
OG0001640	PSC69382.1, PSC74908.1	PRW60609.1
OG0001641	PSC71487.1	PRW56218.1
OG0001642	PSC69039.1	PRW55929.1
OG0001643	PSC69053.1	PRW56286.1, PRW56287.1
OG0001644	PSC67837.1	PRW58762.1
OG0001645	PSC69001.1, PSC69000.1	PRW56052.1
OG0001646	PSC69012.1, PSC69013.1	PRW56211.1
OG0001647	PSC73943.1, PSC73942.1	PRW58076.1
OG0001648	PSC70039.1	PRW33542.1, PRW33541.1
OG0001651	PSC75035.1	PRW60413.1
OG0001652	PSC75110.1	PRW60865.1, PRW60866.1
OG0001654	PSC68906.1	PRW56153.1
OG0001655	PSC67347.1	PRW60699.1
OG0001656	PSC68138.1	PRW60573.1, PRW60572.1
OG0001657	PSC74865.1	PRW60396.1
OG0001658	PSC69771.1	PRW57444.1
OG0001660	PSC69922.1	PRW44501.1
OG0001662	PSC68141.1, PSC68140.1	PRW60539.1
OG0001663	PSC75138.1	PRW60302.1
OG0001664	PSC75216.1, PSC75215.1	PRW60234.1
OG0001665	PSC74949.1, PSC74948.1	PRW60240.1
OG0001666	PSC67018.1, PSC68420.1, PSC68683.1	PRW60832.1
OG0001667	PSC68445.1, PSC68452.1	PRW60371.1
OG0001668	PSC68411.1, PSC68480.1	PRW60401.1
OG0001669	PSC68439.1	PRW60377.1
OG0001670	PSC67545.1	PRW60343.1
OG0001671	PSC74213.1	PRW33693.1
OG0001673	PSC68454.1, PSC68455.1	PRW60225.1
OG0001674	PSC68471.1, PSC68472.1	PRW60715.1
OG0001675	PSC75165.1	PRW60566.1
OG0001676	PSC74839.1	PRW60619.1, PRW60620.1
OG0001677	PSC68759.1	PRW60373.1
OG0001678	PSC69321.1, PSC69322.1	PRW60447.1
OG0001679	PSC75057.1, PSC75058.1	PRW60847.1
OG0001680	PSC67533.1	PRW45010.1
OG0001681	PSC72180.1	PRW57320.1
OG0001682	PSC74023.1	PRW60483.1, PRW60383.1
OG0001684	PSC74524.1	PRW61517.1, PRW61518.1
OG0001685	PSC67445.1	PRW33833.1, PRW33834.1
OG0001686	PSC67436.1	PRW33792.1
OG0001687	PSC67440.1, PSC67439.1	PRW33866.1
OG0001688	PSC67435.1, PSC68696.1	PRW34037.1
OG0001689	PSC67421.1	PRW34061.1
OG0001690	PSC73156.1	PRW57662.1, PRW57661.1
OG0001691	PSC72940.1	PRW57653.1, PRW57654.1
OG0001692	PSC72965.1, PSC72964.1	PRW57974.1
OG0001693	PSC76849.1	PRW33764.1, PRW33803.1
OG0001694	PSC76318.1	PRW33988.1
OG0001696	PSC76494.1, PSC76495.1	PRW34102.1
OG0001697	PSC76880.1	PRW33851.1, PRW33852.1
OG0001699	PSC75658.1	PRW61004.1
OG0001700	PSC76848.1	PRW34040.1, PRW34039.1
OG0001701	PSC76695.1	PRW57802.1
OG0001702	PSC76415.1	PRW33830.1
OG0001703	PSC76323.1	PRW33953.1, PRW33952.1
OG0001704	PSC76795.1	PRW34071.1
OG0001705	PSC76982.1	PRW34001.1
OG0001706	PSC76425.1	PRW33884.1, PRW33885.1
OG0001707	PSC73125.1	PRW58016.1
OG0001708	PSC73027.1, PSC73028.1	PRW58071.1
OG0001709	PSC72955.1	PRW57840.1
OG0001710	PSC76141.1, PSC76142.1	PRW33844.1
OG0001711	PSC76371.1	PRW58001.1, PRW58002.1
OG0001712	PSC73180.1	PRW57977.1, PRW57976.1
OG0001713	PSC73129.1	PRW57991.1, PRW57990.1
OG0001714	PSC75473.1	PRW44317.1
OG0001715	PSC72960.1, PSC72959.1	PRW57800.1
OG0001716	PSC73061.1, PSC73060.1	PRW58041.1
OG0001717	PSC73070.1, PSC73071.1	PRW57873.1
OG0001718	PSC76919.1, PSC76807.1	PRW33832.1
OG0001719	PSC73065.1	PRW57763.1
OG0001720	PSC73151.1	PRW57596.1
OG0001721	PSC68487.1, PSC68488.1	PRW33985.1
OG0001722	PSC73094.1	PRW57585.1, PRW57586.1
OG0001723	PSC69159.1	PRW57632.1, PRW57631.1
OG0001724	PSC69145.1	PRW57629.1
OG0001726	PSC71549.1, PSC71550.1	PRW56185.1
OG0001727	PSC69151.1	PRW57734.1
OG0001728	PSC69104.1	PRW57833.1
OG0001729	PSC67704.1	PRW20649.1, PRW20648.1
OG0001730	PSC74796.1	PRW57769.1
OG0001731	PSC67480.1	PRW20647.1
OG0001732	PSC68541.1	PRW60332.1, PRW60331.1
OG0001733	PSC68540.1	PRW60309.1
OG0001734	PSC68552.1	PRW60523.1, PRW60521.1, PRW60522.1
OG0001735	PSC68550.1	PRW60538.1, PRW60537.1
OG0001736	PSC68558.1	PRW60655.1, PRW60654.1
OG0001738	PSC68493.1, PSC68492.1	PRW60838.1
OG0001739	PSC68543.1	PRW60735.1
OG0001740	PSC68494.1, PSC68495.1	PRW60494.1
OG0001743	PSC67896.1	PRW60480.1
OG0001744	PSC67036.1, PSC67118.1, PSC69318.1	PRW60701.1
OG0001745	PSC69368.1	PRW60804.1
OG0001746	PSC69323.1	PRW60460.1
OG0001747	PSC67932.1, PSC67931.1	PRW60504.1
OG0001748	PSC71728.1	PRW50877.1, PRW20969.1
OG0001749	PSC68978.1	PRW60308.1, PRW60307.1
OG0001750	PSC74246.1	PRW60392.1
OG0001751	PSC74065.1	PRW60797.1
OG0001752	PSC68973.1	PRW60818.1, PRW60817.1
OG0001753	PSC74015.1, PSC74014.1, PSC74016.1	PRW60811.1
OG0001754	PSC74257.1	PRW60300.1, PRW60301.1
OG0001755	PSC69399.1	PRW60516.1, PRW60517.1
OG0001756	PSC74935.1	PRW60421.1
OG0001757	PSC74233.1	PRW60439.1, PRW60438.1
OG0001758	PSC68939.1	PRW60236.1, PRW60237.1
OG0001759	PSC69354.1, PSC69353.1	PRW60828.1
OG0001760	PSC74781.1, PSC68752.1	PRW20765.1
OG0001761	PSC76082.1	PRW59468.1
OG0001762	PSC76431.1	PRW20894.1
OG0001763	PSC73392.1, PSC67634.1	PRW60885.1
OG0001764	PSC71954.1	PRW39072.1
OG0001765	PSC68750.1, PSC74702.1	PRW20651.1
OG0001767	PSC71150.1	PRW59844.1
OG0001768	PSC76841.1	PRW59731.1
OG0001769	PSC73403.1	PRW45177.1
OG0001770	PSC74062.1	PRW60389.1
OG0001771	PSC67085.1, PSC76552.1	PRW58991.1
OG0001772	PSC70877.1	PRW45238.1
OG0001773	PSC67532.1	PRW45147.1
OG0001774	PSC67511.1	PRW44922.1, PRW44923.1
OG0001775	PSC71782.1	PRW21108.1
OG0001776	PSC68022.1, PSC68021.1	PRW59606.1
OG0001778	PSC67405.1	PRW44970.1, PRW44969.1
OG0001779	PSC69507.1	PRW58489.1
OG0001780	PSC70387.1	PRW45175.1, PRW45174.1
OG0001781	PSC70330.1, PSC70329.1	PRW45257.1
OG0001782	PSC71422.1	PRW59571.1
OG0001783	PSC70847.1, PSC71000.1	PRW45193.1
OG0001784	PSC70403.1, PSC70402.1, PSC70401.1	PRW45169.1
OG0001785	PSC72838.1, PSC72839.1	PRW18387.1
OG0001786	PSC67766.1	PRW44938.1
OG0001787	PSC67770.1	PRW45132.1
OG0001788	PSC68040.1	PRW45074.1
OG0001789	PSC71669.1	PRW20349.1
OG0001790	PSC71729.1	PRW21084.1, PRW21090.1
OG0001791	PSC72591.1	PRW56930.1
OG0001792	PSC71828.1	PRW20967.1, PRW20968.1
OG0001793	PSC71717.1	PRW20981.1
OG0001794	PSC69680.1	PRW59520.1
OG0001795	PSC72466.1	PRW56443.1
OG0001796	PSC68677.1	PRW32576.1
OG0001797	PSC71277.1	PRW56792.1
OG0001798	PSC76164.1, PSC76163.1	PRW20906.1
OG0001799	PSC75707.1	PRW58943.1, PRW58944.1
OG0001800	PSC67908.1	PRW59385.1, PRW59384.1
OG0001801	PSC67951.1, PSC67995.1	PRW59160.1
OG0001802	PSC67942.1, PSC67943.1	PRW58810.1
OG0001803	PSC68286.1	PRW58479.1
OG0001804	PSC71722.1	PRW21059.1
OG0001805	PSC71825.1, PSC71824.1	PRW21094.1
OG0001806	PSC71799.1, PSC71798.1	PRW20987.1
OG0001807	PSC70921.1	PRW44367.1
OG0001808	PSC75836.1	PRW58257.1
OG0001809	PSC68658.1	PRW32582.1
OG0001810	PSC72345.1	PRW57213.1
OG0001811	PSC70111.1	PRW33517.1
OG0001812	PSC76368.1, PSC76369.1	PRW59429.1
OG0001813	PSC76915.1, PSC76914.1	PRW59145.1
OG0001814	PSC76351.1	PRW59370.1
OG0001815	PSC75874.1	PRW44297.1
OG0001816	PSC67154.1, PSC72015.1	PRW59263.1
OG0001817	PSC67156.1, PSC72047.1	PRW58953.1
OG0001818	PSC75358.1	PRW59051.1, PRW59016.1
OG0001819	PSC75661.1	PRW59095.1, PRW59096.1
OG0001820	PSC76908.1	PRW57330.1
OG0001821	PSC71878.1, PSC71877.1	PRW59326.1
OG0001822	PSC73783.1	PRW58804.1, PRW58803.1
OG0001823	PSC75297.1	PRW20866.1, PRW56029.1
OG0001824	PSC76224.1, PSC76223.1	PRW59211.1
OG0001825	PSC73591.1, PSC73590.1	PRW59082.1
OG0001826	PSC76411.1	PRW58968.1
OG0001827	PSC76058.1	PRW58406.1
OG0001828	PSC73675.1, PSC73676.1	PRW59199.1
OG0001829	PSC76441.1	PRW59110.1
OG0001830	PSC76004.1	PRW59154.1
OG0001831	PSC67385.1, PSC67384.1	PRW33515.1
OG0001832	PSC73562.1	PRW20424.1
OG0001833	PSC73544.1	PRW59205.1
OG0001834	PSC73678.1	PRW59113.1, PRW59112.1
OG0001836	PSC73846.1	PRW58817.1
OG0001837	PSC75237.1	PRW59419.1, PRW51163.1
OG0001838	PSC76263.1, PSC76994.1	PRW56602.1, PRW59203.1
OG0001839	PSC75246.1	PRW58917.1
OG0001840	PSC76713.1	PRW58959.1
OG0001841	PSC72105.1	PRW57200.1, PRW57087.1
OG0001842	PSC68692.1	PRW58408.1
OG0001843	PSC70933.1	PRW44272.1
OG0001844	PSC69861.1, PSC69862.1	PRW44456.1
OG0001845	PSC69938.1	PRW44239.1
OG0001846	PSC69963.1, PSC69964.1	PRW44415.1
OG0001847	PSC70868.1	PRW44413.1
OG0001848	PSC70936.1	PRW44476.1, PRW44477.1
OG0001849	PSC69878.1, PSC70994.1	PRW44435.1
OG0001850	PSC69953.1	PRW44561.1
OG0001851	PSC69869.1	PRW44530.1, PRW44531.1
OG0001852	PSC69884.1	PRW44479.1
OG0001853	PSC69113.1	PRW57887.1, PRW57888.1
OG0001854	PSC70979.1, PSC70981.1	PRW44605.1
OG0001855	PSC72093.1	PRW57456.1
OG0001856	PSC69942.1, PSC69943.1	PRW44522.1
OG0001857	PSC69972.1	PRW44332.1, PRW44331.1
OG0001858	PSC71349.1	PRW59752.1
OG0001859	PSC73761.1	PRW45648.1
