Orthogroup	c_sorokiniana_genome_proteins	c_vulgaris_genome_proteins
OG0001266	PRW20428.1	KAI3424360.1
OG0001267	PRW20360.1, PRW20361.1	KAI3424280.1
OG0001268	PRW05859.1	KAI3428780.1
OG0001269	PRW18403.1	KAI3435518.1
OG0001269	PRW18316.1	KAI3435519.1
OG0001270	PRW20178.1	KAI3430716.1, KAI3430715.1, KAI3430717.1
OG0001271	PRW57035.1, PRW20305.1	KAI3432532.1
OG0001272	PRW20507.1, PRW20506.1	KAI3430279.1
OG0001273	PRW59303.1	KAI3436399.1
OG0001274	PRW20782.1	KAI3437733.1
OG0001275	PRW20783.1	KAI3437573.1
OG0001275	PRW61029.1	KAI3424263.1
OG0001276	PRW20940.1	KAI3437715.1
OG0001276	PRW20923.1	KAI3437716.1
OG0001277	PRW32637.1	KAI3431591.1, KAI3430697.1, KAI3430698.1
OG0001278	PRW32850.1	KAI3439057.1, KAI3439062.1, KAI3439058.1, KAI3439059.1, KAI3439100.1
OG0001279	PRW33071.1	KAI3430397.1
OG0001280	PRW33145.1, PRW61481.1, PRW61480.1	KAI3435709.1
OG0001282	PRW44308.1	KAI3429224.1, KAI3425152.1
OG0001283	PRW44500.1	KAI3428644.1
OG0001283	PRW44607.1	KAI3428645.1
OG0001284	PRW45260.1	KAI3423708.1
OG0001285	PRW45394.1	KAI3424737.1
OG0001286	PRW45483.1, PRW45573.1, PRW45472.1, PRW45670.1	KAI3429763.1
OG0001287	PRW45710.1	KAI3428817.1
OG0001288	PRW45718.1	KAI3424951.1
OG0001289	PRW56409.1	KAI3428272.1
OG0001290	PRW56730.1	KAI3428005.1, KAI3428132.1
OG0001291	PRW56738.1	KAI3424132.1, KAI3430871.1
OG0001292	PRW61289.1	KAI3432324.1
OG0001292	PRW57235.1	KAI3438686.1
OG0001293	PRW57556.1	KAI3425726.1
OG0001294	PRW57660.1	KAI3425737.1, KAI3425735.1
OG0001295	PRW57781.1	KAI3423311.1, KAI3433270.1, KAI3423793.1, KAI3434591.1
OG0001297	PRW57955.1	KAI3425896.1
OG0001297	PRW57954.1	KAI3425892.1
OG0001298	PRW58206.1	KAI3433375.1, KAI3433376.1
OG0001299	PRW58987.1	KAI3438597.1, KAI3438598.1
OG0001300	PRW59168.1, PRW59167.1	KAI3438680.1, KAI3431703.1
OG0001301	PRW59207.1	KAI3438912.1
OG0001302	PRW59621.1	KAI3436161.1, KAI3436162.1
OG0001304	PRW60605.1, PRW60604.1	KAI3429837.1, KAI3429838.1
OG0001305	PRW60935.1, PRW60936.1, PRW60934.1	KAI3432765.1
OG0001306	PRW61324.1	KAI3432776.1, KAI3432775.1, KAI3432777.1
OG0001307	PRW61472.1, PRW61471.1, PRW61395.1	KAI3432864.1, KAI3432863.1
OG0001315	PRW45556.1	KAI3425085.1
OG0001316	PRW20302.1	KAI3430721.1
OG0001317	PRW34089.1	KAI3426012.1
OG0001318	PRW45415.1, PRW45416.1	KAI3425064.1
OG0001319	PRW45528.1, PRW45529.1	KAI3425069.1
OG0001320	PRW45697.1	KAI3425054.1, KAI3425055.1
OG0001321	PRW45399.1	KAI3424887.1
OG0001322	PRW45597.1	KAI3425078.1, KAI3425077.1
OG0001323	PRW45466.1	KAI3425074.1
OG0001324	PRW45650.1, PRW45649.1	KAI3425070.1
OG0001325	PRW58872.1	KAI3438435.1
OG0001326	PRW57174.1, PRW45482.1	KAI3438079.1
OG0001327	PRW33518.1	KAI3425174.1
OG0001328	PRW33511.1	KAI3425170.1
OG0001331	PRW33584.1	KAI3425307.1
OG0001332	PRW45545.1	KAI3424841.1
OG0001333	PRW33596.1	KAI3425244.1
OG0001334	PRW33648.1	KAI3425122.1
OG0001335	PRW33329.1	KAI3431827.1
OG0001336	PRW33661.1, PRW33660.1	KAI3425337.1
OG0001337	PRW33038.1	KAI3430574.1
OG0001338	PRW32907.1, PRW32906.1	KAI3430447.1
OG0001339	PRW32938.1	KAI3430429.1, KAI3430426.1
OG0001340	PRW33034.1	KAI3430425.1
OG0001341	PRW20924.1	KAI3437586.1
OG0001342	PRW58490.1, PRW58491.1	KAI3433289.1
OG0001343	PRW44243.1	KAI3438039.1
OG0001344	PRW57503.1, PRW57504.1	KAI3438168.1
OG0001345	PRW59747.1	KAI3429450.1
OG0001347	PRW20169.1	KAI3430608.1, KAI3430609.1
OG0001348	PRW44340.1	KAI3428711.1
OG0001349	PRW20521.1	KAI3430383.1
OG0001350	PRW56107.1	KAI3436833.1
OG0001351	PRW20471.1	KAI3430379.1
OG0001352	PRW20535.1, PRW20536.1	KAI3430350.1
OG0001353	PRW44383.1	KAI3428471.1, KAI3428468.1
OG0001354	PRW20498.1, PRW20497.1	KAI3430333.1
OG0001355	PRW20530.1	KAI3430346.1
OG0001356	PRW20455.1	KAI3430323.1
OG0001357	PRW20510.1	KAI3430306.1
OG0001358	PRW20523.1, PRW20522.1	KAI3430287.1
OG0001359	PRW20588.1	KAI3430272.1
OG0001360	PRW20484.1, PRW20485.1	KAI3430260.1
OG0001361	PRW20453.1	KAI3430262.1, KAI3430330.1
OG0001362	PRW20443.1	KAI3430254.1, KAI3430256.1
OG0001363	PRW20441.1, PRW20442.1	KAI3430216.1
OG0001364	PRW56620.1, PRW56621.1	KAI3428192.1
OG0001365	PRW33281.1	KAI3431727.1
OG0001366	PRW33122.1	KAI3431790.1
OG0001367	PRW33103.1	KAI3431784.1, KAI3431785.1
OG0001368	PRW33322.1	KAI3431751.1, KAI3431752.1
OG0001369	PRW33305.1	KAI3431801.1, KAI3424777.1
OG0001370	PRW33221.1, PRW33222.1	KAI3431813.1
OG0001371	PRW33224.1, PRW33223.1	KAI3431811.1
OG0001372	PRW33273.1	KAI3423129.1, KAI3431825.1
OG0001373	PRW33293.1	KAI3431852.1
OG0001374	PRW33236.1, PRW33235.1	KAI3431856.1
OG0001375	PRW60284.1	KAI3429312.1, KAI3426181.1
OG0001376	PRW58761.1	KAI3438809.1
OG0001377	PRW33210.1, PRW33098.1	KAI3431646.1
OG0001378	PRW58776.1	KAI3438749.1
OG0001379	PRW60642.1	KAI3429700.1
OG0001380	PRW33290.1, PRW33291.1	KAI3431655.1
OG0001381	PRW33162.1	KAI3431675.1, KAI3431674.1
OG0001382	PRW33175.1	KAI3431667.1
OG0001383	PRW33274.1	KAI3431683.1
OG0001384	PRW33325.1	KAI3431697.1, KAI3431698.1
OG0001385	PRW33234.1	KAI3431627.1, KAI3431626.1
OG0001386	PRW39247.1	KAI3431603.1
OG0001387	PRW59169.1	KAI3438966.1
OG0001388	PRW21098.1, PRW21097.1	KAI3430799.1
OG0001390	PRW58779.1, PRW58778.1	KAI3438929.1
OG0001391	PRW58813.1, PRW58814.1	KAI3438926.1
OG0001392	PRW58821.1	KAI3438934.1
OG0001393	PRW59157.1	KAI3439000.1
OG0001394	PRW59174.1, PRW59173.1	KAI3439009.1
OG0001395	PRW58775.1	KAI3438956.1, KAI3423017.1
OG0001396	PRW59064.1, PRW59065.1	KAI3438996.1
OG0001397	PRW59111.1	KAI3438984.1, KAI3438985.1
OG0001398	PRW59097.1	KAI3438924.1
OG0001399	PRW59050.1	KAI3438925.1
OG0001401	PRW59408.1	KAI3438759.1
OG0001402	PRW58998.1	KAI3438729.1
OG0001404	PRW59294.1	KAI3438906.1, KAI3438905.1
OG0001406	PRW59189.1	KAI3438878.1, KAI3424175.1
OG0001407	PRW58860.1	KAI3438889.1
OG0001408	PRW60319.1	KAI3429326.1
OG0001410	PRW59362.1	KAI3438898.1
OG0001411	PRW59148.1	KAI3438692.1
OG0001412	PRW59012.1	KAI3438698.1
OG0001413	PRW59130.1	KAI3438697.1
OG0001414	PRW58840.1	KAI3438679.1
OG0001415	PRW58799.1	KAI3438667.1
OG0001416	PRW59350.1	KAI3438664.1
OG0001416	PRW58262.1	KAI3433477.1
OG0001417	PRW59048.1	KAI3438662.1
OG0001418	PRW59132.1	KAI3438739.1
OG0001419	PRW58885.1	KAI3432285.1, KAI3438827.1
OG0001420	PRW59151.1, PRW59152.1	KAI3438722.1
OG0001421	PRW59766.1	KAI3436674.1
OG0001422	PRW58828.1, PRW59120.1	KAI3438841.1
OG0001423	PRW59115.1, PRW59114.1	KAI3438844.1
OG0001424	PRW57700.1	KAI3434848.1
OG0001425	PRW58863.1	KAI3438704.1
OG0001426	PRW59017.1	KAI3438702.1
OG0001427	PRW33331.1	KAI3431836.1
OG0001428	PRW57049.1	KAI3438137.1
OG0001429	PRW59037.1	KAI3438655.1
OG0001430	PRW59327.1	KAI3438610.1, KAI3438161.1
OG0001431	PRW59284.1, PRW59283.1	KAI3438599.1
OG0001432	PRW32548.1	KAI3423835.1
OG0001432	PRW61239.1	KAI3432241.1
OG0001433	PRW33330.1	KAI3431657.1
OG0001434	PRW59069.1, PRW59068.1	KAI3438590.1
OG0001435	PRW59080.1	KAI3428633.1
OG0001436	PRW51033.1	KAI3426872.1
OG0001437	PRW50852.1	KAI3426869.1
OG0001438	PRW33775.1, PRW33776.1	KAI3425954.1
OG0001439	PRW50821.1	KAI3426839.1, KAI3426840.1
OG0001441	PRW51058.1	KAI3426859.1
OG0001442	PRW50949.1, PRW50950.1	KAI3426923.1
OG0001443	PRW51112.1, PRW51111.1	KAI3426927.1
OG0001444	PRW59772.1	KAI3436295.1
OG0001445	PRW51184.1	KAI3426943.1
OG0001446	PRW50764.1, PRW50762.1	KAI3426959.1
OG0001447	PRW50761.1, PRW50763.1	KAI3426960.1
OG0001448	PRW56884.1	KAI3428365.1
OG0001449	PRW51047.1	KAI3427020.1
OG0001450	PRW45391.1	KAI3424907.1
OG0001451	PRW50830.1, PRW50831.1	KAI3427027.1
OG0001452	PRW50920.1	KAI3427016.1
OG0001453	PRW51044.1	KAI3427009.1
OG0001454	PRW51025.1	KAI3427011.1
OG0001455	PRW51120.1	KAI3426985.1, KAI3426988.1
OG0001456	PRW51172.1	KAI3426971.1
OG0001457	PRW50978.1	KAI3427000.1, KAI3427001.1
OG0001458	PRW51152.1, PRW51151.1	KAI3426999.1
OG0001459	PRW50889.1, PRW50888.1	KAI3427127.1
OG0001460	PRW51102.1, PRW51101.1	KAI3426962.1
OG0001461	PRW50861.1	KAI3427035.1, KAI3427062.1
OG0001462	PRW58402.1	KAI3433423.1
OG0001463	PRW51087.1, PRW51086.1	KAI3427097.1
OG0001464	PRW50819.1	KAI3427134.1, KAI3430773.1
OG0001465	PRW50909.1, PRW61326.1	KAI3427043.1
OG0001466	PRW50886.1	KAI3427042.1
OG0001467	PRW60631.1, PRW56005.1	KAI3429595.1
OG0001468	PRW50939.1, PRW50940.1	KAI3427167.1
OG0001469	PRW50901.1, PRW50902.1	KAI3427161.1
OG0001470	PRW50907.1	KAI3427195.1
OG0001471	PRW51156.1	KAI3427186.1
OG0001472	PRW50979.1	KAI3434461.1
OG0001473	PRW33557.1, PRW33558.1	KAI3425232.1
OG0001474	PRW50885.1, PRW59425.1	KAI3427154.1
OG0001475	PRW51119.1, PRW51118.1	KAI3427185.1
OG0001476	PRW51099.1	KAI3427250.1
OG0001477	PRW51182.1	KAI3427169.1
OG0001478	PRW05916.1, PRW05917.1	KAI3427412.1
OG0001479	PRW56322.1	KAI3436796.1, KAI3436797.1
OG0001480	PRW55983.1	KAI3436744.1
OG0001481	PRW60101.1	KAI3436792.1
OG0001482	PRW56196.1	KAI3436848.1
OG0001483	PRW56200.1	KAI3436707.1
OG0001484	PRW55966.1	KAI3436780.1, KAI3436779.1
OG0001485	PRW56039.1	KAI3436781.1
OG0001486	PRW55938.1	KAI3436765.1
OG0001487	PRW55909.1	KAI3436865.1
OG0001488	PRW18369.1	KAI3435483.1, KAI3435484.1
OG0001489	PRW18312.1	KAI3435490.1
OG0001490	PRW18376.1	KAI3435493.1
OG0001491	PRW18374.1	KAI3435504.1
OG0001492	PRW18303.1	KAI3435525.1
OG0001493	PRW18411.1	KAI3435531.1, KAI3435530.1
OG0001494	PRW18330.1	KAI3435572.1
OG0001495	PRW18392.1	KAI3435618.1, KAI3435617.1
OG0001496	PRW58597.1	KAI3433300.1
OG0001497	PRW51124.1, PRW51123.1	KAI3427198.1
OG0001498	PRW20735.1	KAI3433845.1
OG0001499	PRW20416.1, PRW20415.1	KAI3424423.1
OG0001500	PRW20727.1	KAI3434482.1
OG0001501	PRW20613.1	KAI3434403.1
OG0001502	PRW20666.1	KAI3434515.1, KAI3434521.1
OG0001503	PRW33532.1	KAI3425184.1
OG0001504	PRW20705.1	KAI3434467.1
OG0001505	PRW20604.1	KAI3434560.1
OG0001507	PRW20622.1	KAI3434485.1
OG0001508	PRW39064.1	KAI3430445.1
OG0001509	PRW56866.1	KAI3428251.1
OG0001510	PRW20668.1	KAI3434536.1
OG0001512	PRW45605.1	KAI3437549.1
OG0001513	PRW20784.1	KAI3437551.1
OG0001514	PRW05746.1, PRW57298.1	KAI3437779.1
OG0001515	PRW57393.1, PRW57392.1	KAI3437763.1
OG0001516	PRW20864.1	KAI3437588.1
OG0001517	PRW57169.1	KAI3437782.1
OG0001518	PRW50975.1, PRW61371.1	KAI3432435.1
OG0001519	PRW20870.1	KAI3437694.1
OG0001520	PRW20778.1	KAI3437687.1, KAI3437686.1
OG0001521	PRW20961.1, PRW20963.1, PRW20962.1	KAI3437684.1
OG0001522	PRW20925.1	KAI3437728.1
OG0001523	PRW57367.1	KAI3437794.1
OG0001524	PRW20794.1	KAI3437617.1
OG0001525	PRW05862.1	KAI3428816.1
OG0001527	PRW05828.1, PRW05829.1	KAI3428776.1
OG0001528	PRW05852.1, PRW05750.1	KAI3428833.1
OG0001529	PRW56607.1	KAI3428108.1
OG0001530	PRW45503.1, PRW45504.1	KAI3424875.1
OG0001531	PRW56715.1, PRW56424.1	KAI3428097.1
OG0001532	PRW56526.1, PRW56527.1	KAI3428124.1
OG0001533	PRW56606.1	KAI3428168.1, KAI3428167.1
OG0001534	PRW56433.1, PRW56434.1	KAI3428173.1
OG0001535	PRW56740.1	KAI3428175.1
OG0001536	PRW56796.1	KAI3428154.1
OG0001537	PRW56489.1, PRW56490.1	KAI3428153.1
OG0001538	PRW05814.1, PRW05815.1	KAI3428772.1
OG0001539	PRW60944.1	KAI3423427.1
OG0001540	PRW61562.1, PRW61563.1	KAI3432584.1
OG0001541	PRW56744.1	KAI3428230.1
OG0001543	PRW56518.1, PRW56517.1	KAI3428115.1
OG0001544	PRW56689.1	KAI3428250.1
OG0001545	PRW56767.1, PRW44589.1	KAI3428017.1
OG0001546	PRW56771.1	KAI3428088.1, KAI3428087.1
OG0001547	PRW57417.1	KAI3438222.1
OG0001548	PRW57186.1	KAI3437980.1
OG0001549	PRW57112.1	KAI3437972.1
OG0001550	PRW57227.1	KAI3437969.1
OG0001551	PRW57512.1	KAI3438095.1
OG0001552	PRW45645.1	KAI3424765.1, KAI3424764.1
OG0001554	PRW60423.1	KAI3429598.1
OG0001555	PRW45740.1	KAI3424921.1
OG0001556	PRW45703.1, PRW45702.1	KAI3424920.1
OG0001557	PRW45532.1, PRW45533.1	KAI3424922.1
OG0001558	PRW45591.1	KAI3424942.1, KAI3424941.1
OG0001559	PRW45348.1	KAI3424705.1, KAI3424704.1
OG0001560	PRW05791.1	KAI3431264.1
OG0001561	PRW05770.1	KAI3431263.1
OG0001562	PRW58468.1	KAI3433502.1
OG0001563	PRW05756.1	KAI3431276.1
OG0001564	PRW05751.1	KAI3431281.1
OG0001565	PRW05796.1, PRW05805.1	KAI3431275.1
OG0001566	PRW05774.1, PRW05775.1	KAI3431258.1
OG0001567	PRW39211.1, PRW39210.1	KAI3431467.1
OG0001568	PRW39149.1	KAI3431469.1
OG0001570	PRW39203.1, PRW39204.1	KAI3431465.1
OG0001571	PRW61584.1	KAI3424208.1
OG0001572	PRW05755.1	KAI3431301.1
OG0001573	PRW39363.1, PRW39364.1	KAI3431314.1
OG0001574	PRW33164.1, PRW33165.1	KAI3431723.1
OG0001575	PRW39068.1, PRW39067.1	KAI3431332.1
OG0001576	PRW39099.1, PRW39098.1	KAI3431384.1
OG0001577	PRW39146.1	KAI3423187.1, KAI3431380.1
OG0001578	PRW39296.1	KAI3431438.1
OG0001579	PRW39207.1	KAI3431423.1
OG0001580	PRW44577.1	KAI3425351.1
OG0001581	PRW39297.1	KAI3431421.1
OG0001582	PRW44482.1	KAI3424127.1, KAI3424126.1
OG0001584	PRW39255.1	KAI3431405.1
OG0001585	PRW39346.1, PRW39347.1	KAI3431427.1
OG0001586	PRW39318.1	KAI3431395.1, KAI3431396.1
OG0001587	PRW39232.1, PRW39231.1	KAI3431394.1
OG0001588	PRW45550.1, PRW45551.1	KAI3424687.1
OG0001589	PRW39145.1, PRW33119.1	KAI3431459.1
OG0001590	PRW34006.1	KAI3435002.1
OG0001591	PRW39351.1	KAI3431587.1
OG0001592	PRW39071.1, PRW39070.1, PRW39069.1	KAI3431563.1
OG0001593	PRW39274.1	KAI3431556.1
OG0001594	PRW39093.1	KAI3431543.1, KAI3431542.1
OG0001595	PRW39385.1, PRW39386.1	KAI3431544.1
OG0001596	PRW20965.1	KAI3430863.1
OG0001597	PRW21042.1	KAI3430740.1, KAI3430741.1
OG0001598	PRW56984.1, PRW56985.1	KAI3438269.1
OG0001599	PRW44394.1	KAI3428673.1
OG0001600	PRW61456.1, PRW61455.1	KAI3432644.1
OG0001601	PRW60932.1	KAI3432672.1
OG0001602	PRW57188.1	KAI3438307.1, KAI3438306.1
OG0001603	PRW61557.1	KAI3432626.1
OG0001604	PRW61594.1	KAI3424192.1
OG0001605	PRW57379.1	KAI3438319.1
OG0001606	PRW61355.1, PRW61354.1	KAI3432618.1
OG0001607	PRW61621.1, PRW61620.1	KAI3432606.1
OG0001608	PRW44350.1	KAI3428747.1, KAI3428748.1
OG0001609	PRW44617.1	KAI3428750.1
OG0001610	PRW56853.1, PRW56854.1	KAI3428288.1
OG0001611	PRW56419.1	KAI3428255.1
OG0001612	PRW56637.1	KAI3428277.1
OG0001613	PRW56768.1	KAI3428268.1
OG0001614	PRW56567.1	KAI3428305.1
OG0001616	PRW56067.1	KAI3436839.1
OG0001617	PRW44318.1, PRW57447.1	KAI3438172.1
OG0001618	PRW56189.1	KAI3436845.1
OG0001619	PRW05744.1, PRW56330.1	KAI3436846.1
OG0001620	PRW44336.1, PRW44337.1	KAI3428667.1
OG0001621	PRW56037.1	KAI3436663.1
OG0001622	PRW55995.1	KAI3436684.1, KAI3436683.1
OG0001623	PRW56047.1	KAI3436589.1, KAI3436588.1
OG0001624	PRW55979.1, PRW55978.1	KAI3436524.1
OG0001625	PRW56250.1, PRW56251.1	KAI3436461.1
OG0001627	PRW59336.1	KAI3424987.1
OG0001628	PRW56051.1	KAI3436634.1
OG0001629	PRW56310.1	KAI3436633.1
OG0001630	PRW56053.1	KAI3436620.1
OG0001631	PRW55885.1	KAI3436615.1
OG0001633	PRW56150.1	KAI3436709.1
OG0001635	PRW56245.1	KAI3436576.1
OG0001636	PRW55980.1	KAI3433346.1, KAI3436604.1
OG0001637	PRW33014.1	KAI3430453.1
OG0001638	PRW44447.1	KAI3428721.1
OG0001639	PRW61450.1	KAI3430860.1
OG0001641	PRW56218.1	KAI3436717.1, KAI3436715.1
OG0001642	PRW55929.1	KAI3436445.1
OG0001643	PRW56286.1, PRW56287.1	KAI3436434.1
OG0001644	PRW58762.1	KAI3438629.1
OG0001645	PRW56052.1	KAI3436415.1
OG0001646	PRW56211.1	KAI3436388.1
OG0001647	PRW58076.1	KAI3425695.1
OG0001648	PRW33542.1, PRW33541.1	KAI3425220.1
OG0001649	PRW33598.1	KAI3425196.1
OG0001651	PRW60413.1	KAI3429290.1, KAI3429292.1
OG0001652	PRW60865.1, PRW60866.1	KAI3429283.1
OG0001653	PRW60659.1	KAI3429296.1
OG0001654	PRW56153.1	KAI3425762.1
OG0001655	PRW60699.1	KAI3429250.1
OG0001656	PRW60573.1, PRW60572.1	KAI3429318.1
OG0001657	PRW60396.1	KAI3429276.1, KAI3429277.1
OG0001658	PRW57444.1	KAI3427232.1
OG0001660	PRW44501.1	KAI3428437.1
OG0001662	PRW60539.1	KAI3429382.1
OG0001663	PRW60302.1	KAI3429523.1, KAI3429522.1
OG0001664	PRW60234.1	KAI3429520.1
OG0001665	PRW60240.1	KAI3429516.1
OG0001666	PRW60832.1	KAI3429385.1
OG0001667	PRW60371.1	KAI3429359.1
OG0001668	PRW60401.1	KAI3429351.1
OG0001669	PRW60377.1, PRW60367.1	KAI3429348.1
OG0001670	PRW60343.1	KAI3429333.1
OG0001671	PRW33693.1	KAI3424111.1
OG0001673	PRW60225.1	KAI3429309.1
OG0001674	PRW60715.1	KAI3429310.1
OG0001675	PRW60566.1	KAI3429236.1, KAI3429264.1
OG0001676	PRW60619.1, PRW60620.1	KAI3429263.1
OG0001677	PRW60373.1	KAI3429631.1, KAI3429633.1
OG0001678	PRW60447.1	KAI3429588.1
OG0001679	PRW60847.1	KAI3429270.1
OG0001680	PRW45010.1	KAI3426116.1
OG0001681	PRW57320.1	KAI3438155.1, KAI3438156.1
OG0001682	PRW60483.1, PRW60383.1	KAI3429781.1
OG0001684	PRW61517.1, PRW61518.1	KAI3432759.1
OG0001685	PRW33833.1, PRW33834.1	KAI3434998.1
OG0001686	PRW33792.1	KAI3435010.1
OG0001687	PRW33866.1	KAI3435011.1
OG0001688	PRW34037.1	KAI3435027.1
OG0001689	PRW34061.1	KAI3435024.1
OG0001690	PRW57662.1, PRW57661.1	KAI3434768.1
OG0001691	PRW57653.1, PRW57654.1	KAI3434798.1
OG0001692	PRW57974.1	KAI3434806.1
OG0001693	PRW33764.1, PRW33803.1	KAI3434880.1
OG0001694	PRW33988.1	KAI3434879.1
OG0001695	PRW45165.1	KAI3426233.1
OG0001696	PRW34102.1	KAI3434902.1
OG0001697	PRW33851.1, PRW33852.1	KAI3434903.1
OG0001699	PRW61004.1	KAI3432412.1
OG0001700	PRW34040.1, PRW34039.1	KAI3434915.1
OG0001701	PRW57802.1	KAI3434827.1, KAI3434826.1
OG0001702	PRW33830.1	KAI3434857.1
OG0001703	PRW33953.1, PRW33952.1	KAI3434910.1
OG0001704	PRW34071.1	KAI3434859.1
OG0001705	PRW34001.1	KAI3434929.1
OG0001706	PRW33884.1, PRW33885.1	KAI3434944.1
OG0001707	PRW58016.1	KAI3434724.1
OG0001708	PRW58071.1	KAI3434685.1
OG0001709	PRW57840.1	KAI3434808.1, KAI3434807.1
OG0001710	PRW33844.1	KAI3434865.1
OG0001711	PRW58001.1, PRW58002.1	KAI3434844.1
OG0001712	PRW57977.1, PRW57976.1	KAI3434706.1
OG0001713	PRW57991.1, PRW57990.1	KAI3434698.1
OG0001714	PRW44317.1	KAI3428684.1
OG0001715	PRW57800.1	KAI3434657.1
OG0001716	PRW58041.1	KAI3434678.1
OG0001717	PRW57873.1	KAI3434713.1
OG0001718	PRW33832.1	KAI3434982.1
OG0001719	PRW57763.1	KAI3434739.1
OG0001720	PRW57596.1	KAI3434740.1
OG0001721	PRW33985.1	KAI3429620.1
OG0001722	PRW57585.1, PRW57586.1	KAI3434662.1
OG0001723	PRW57632.1, PRW57631.1	KAI3434622.1
OG0001724	PRW57629.1	KAI3434630.1
OG0001726	PRW56185.1	KAI3436737.1
OG0001727	PRW57734.1	KAI3434598.1, KAI3434597.1
OG0001728	PRW57833.1	KAI3434607.1
OG0001730	PRW57769.1	KAI3425845.1
OG0001731	PRW20647.1	KAI3434460.1
OG0001732	PRW60332.1, PRW60331.1	KAI3429860.1
OG0001733	PRW60309.1	KAI3429868.1, KAI3429862.1
OG0001734	PRW60523.1, PRW60521.1, PRW60522.1	KAI3429861.1
OG0001735	PRW60538.1, PRW60537.1	KAI3429895.1
OG0001736	PRW60655.1, PRW60654.1	KAI3429897.1
OG0001737	PRW58517.1	KAI3433780.1
OG0001738	PRW60838.1	KAI3429866.1
OG0001739	PRW60735.1	KAI3429886.1
OG0001740	PRW60494.1	KAI3429851.1
OG0001741	PRW60259.1	KAI3429817.1, KAI3429816.1
OG0001743	PRW60480.1	KAI3429622.1, KAI3423310.1
OG0001744	PRW60701.1	KAI3429610.1
OG0001745	PRW60804.1	KAI3429607.1
OG0001746	PRW60514.1, PRW60460.1	KAI3429602.1
OG0001747	PRW60504.1	KAI3429618.1
OG0001748	PRW50877.1, PRW20969.1	KAI3424161.1
OG0001749	PRW60308.1, PRW60307.1	KAI3429672.1
OG0001750	PRW60392.1	KAI3429719.1
OG0001751	PRW60797.1	KAI3429725.1
OG0001752	PRW60818.1, PRW60817.1	KAI3429674.1
OG0001753	PRW60811.1	KAI3429731.1
OG0001754	PRW60300.1, PRW60301.1	KAI3429729.1
OG0001755	PRW60516.1, PRW60517.1	KAI3429567.1
OG0001756	PRW60421.1	KAI3429563.1, KAI3429562.1
OG0001757	PRW60439.1, PRW60438.1	KAI3429732.1
OG0001758	PRW60236.1, PRW60237.1	KAI3429691.1
OG0001759	PRW60828.1	KAI3429581.1
OG0001760	PRW20765.1	KAI3434514.1
OG0001761	PRW59468.1	KAI3436150.1
OG0001762	PRW20894.1	KAI3437574.1, KAI3437575.1
OG0001763	PRW60885.1	KAI3432440.1
OG0001764	PRW39072.1	KAI3431433.1, KAI3431432.1
OG0001765	PRW20651.1	KAI3434419.1
OG0001767	PRW59844.1	KAI3436011.1
OG0001768	PRW59731.1	KAI3436190.1
OG0001769	PRW45177.1	KAI3426193.1
OG0001770	PRW60599.1, PRW60389.1	KAI3429722.1
OG0001771	PRW58991.1	KAI3438715.1
OG0001772	PRW45238.1	KAI3426399.1
OG0001773	PRW45147.1	KAI3426122.1, KAI3426121.1
OG0001774	PRW44922.1, PRW44923.1	KAI3426109.1
OG0001775	PRW21108.1	KAI3430754.1
OG0001776	PRW59606.1	KAI3436372.1
OG0001778	PRW44970.1, PRW44969.1	KAI3426206.1
OG0001779	PRW58489.1	KAI3433410.1
OG0001780	PRW45175.1, PRW45174.1	KAI3426359.1
OG0001781	PRW45257.1	KAI3426336.1
OG0001782	PRW59571.1	KAI3435891.1
OG0001783	PRW45193.1	KAI3426411.1
OG0001784	PRW45169.1	KAI3426383.1
OG0001785	PRW18387.1	KAI3435553.1
OG0001786	PRW44938.1	KAI3426429.1
OG0001788	PRW45074.1	KAI3426415.1
OG0001789	PRW20349.1	KAI3430763.1
OG0001789	PRW21123.1	KAI3430743.1
OG0001790	PRW21084.1	KAI3430770.1
OG0001791	PRW56930.1	KAI3429408.1
OG0001792	PRW20967.1, PRW20968.1	KAI3430796.1
OG0001793	PRW20981.1	KAI3430823.1
OG0001794	PRW59520.1	KAI3435750.1
OG0001795	PRW56443.1	KAI3428074.1
OG0001796	PRW32576.1	KAI3423824.1
OG0001797	PRW56792.1	KAI3428147.1
OG0001798	PRW20906.1	KAI3437644.1
OG0001799	PRW58943.1, PRW58944.1	KAI3439039.1
OG0001800	PRW59385.1, PRW59384.1	KAI3439015.1
OG0001801	PRW59160.1	KAI3438943.1
OG0001802	PRW58810.1	KAI3439125.1
OG0001803	PRW58479.1	KAI3433576.1
OG0001804	PRW21059.1	KAI3430761.1
OG0001805	PRW21094.1	KAI3430787.1
OG0001806	PRW20987.1	KAI3430783.1
OG0001807	PRW44367.1	KAI3428651.1
OG0001808	PRW58257.1	KAI3433896.1
OG0001809	PRW32582.1	KAI3423854.1
OG0001810	PRW57213.1	KAI3438297.1
OG0001811	PRW33517.1	KAI3437558.1
OG0001812	PRW59429.1	KAI3438596.1
OG0001813	PRW59145.1	KAI3438586.1
OG0001814	PRW59370.1	KAI3438440.1, KAI3438441.1
OG0001815	PRW44297.1	KAI3428724.1
OG0001816	PRW59263.1	KAI3438454.1
OG0001817	PRW58953.1	KAI3438472.1
OG0001818	PRW59051.1, PRW59016.1	KAI3438501.1
OG0001819	PRW59095.1, PRW59096.1	KAI3438502.1
