Orthogroup	c_sorokiniana_genome_proteins	m_conductrix_genome_proteins
OG0001041	PRW60454.1, PRW60453.1	PSC75132.1, PSC75131.1
OG0001043	PRW56988.1, PRW60081.1	PSC71016.1
OG0001044	PRW60781.1	PSC74915.1, PSC72358.1
OG0001045	PRW60403.1	PSC75010.1, PSC75011.1
OG0001046	PRW60311.1	PSC75090.1, PSC75088.1, PSC75089.1
OG0001047	PRW60765.1, PRW60466.1	PSC75046.1
OG0001048	PRW60853.1	PSC75154.1
OG0001049	PRW60402.1	PSC75030.1
OG0001050	PRW59506.1	PSC76651.1
OG0001051	PRW60388.1	PSC72395.1
OG0001052	PRW60206.1	PSC74305.1, PSC74304.1, PSC74306.1
OG0001053	PRW60312.1	PSC74181.1
OG0001054	PRW60835.1	PSC73984.1
OG0001055	PRW44585.1	PSC74834.1
OG0001056	PRW45489.1	PSC73606.1
OG0001057	PRW50965.1	PSC75521.1, PSC68246.1, PSC68298.1
OG0001058	PRW60901.1	PSC67102.1, PSC70502.1, PSC70503.1
OG0001059	PRW60971.1, PRW60972.1	PSC74828.1
OG0001060	PRW32589.1, PRW32642.1	PSC76140.1
OG0001061	PRW33813.1	PSC76770.1, PSC76769.1, PSC75425.1
OG0001062	PRW50976.1	PSC68094.1
OG0001063	PRW57926.1	PSC73192.1, PSC72947.1
OG0001064	PRW57698.1	PSC73142.1, PSC73143.1
OG0001065	PRW57680.1	PSC72983.1
OG0001066	PRW33905.1	PSC76556.1
OG0001067	PRW33949.1, PRW33948.1, PRW61038.1	PSC76242.1
OG0001068	PRW57656.1, PRW57834.1, PRW57543.1	PSC73206.1
OG0001069	PRW34063.1	PSC76127.1, PSC76128.1, PSC76129.1
OG0001070	PRW33680.1, PRW33679.1	PSC67310.1
OG0001071	PRW34065.1	PSC76378.1
OG0001072	PRW57773.1, PRW57774.1, PRW57775.1	PSC76198.1
OG0001073	PRW57673.1	PSC73154.1
OG0001074	PRW57676.1, PRW57675.1	PSC73052.1
OG0001075	PRW33974.1, PRW33973.1, PRW33972.1	PSC76858.1
OG0001076	PRW34058.1, PRW34057.1	PSC76171.1, PSC76172.1
OG0001078	PRW57890.1, PRW57889.1	PSC73048.1, PSC73049.1
OG0001079	PRW57811.1	PSC69139.1
OG0001081	PRW56082.1	PSC71608.1, PSC71609.1
OG0001082	PRW44392.1	PSC69871.1
OG0001083	PRW60856.1	PSC68537.1
OG0001084	PRW60286.1	PSC68524.1
OG0001085	PRW60255.1	PSC74008.1
OG0001086	PRW60670.1	PSC68938.1
OG0001087	PRW20747.1	PSC74717.1
OG0001088	PRW20610.1	PSC68800.1
OG0001089	PRW20714.1	PSC68773.1, PSC74743.1, PSC74744.1
OG0001090	PRW33994.1	PSC73255.1
OG0001091	PRW44881.1, PRW44880.1, PRW44882.1	PSC73399.1
OG0001092	PRW45244.1, PRW45243.1, PRW45242.1	PSC67536.1
OG0001094	PRW61487.1, PRW61485.1, PRW61486.1	PSC70497.1
OG0001095	PRW44942.1, PRW44941.1, PRW44943.1	PSC67537.1
OG0001096	PRW56267.1	PSC69027.1
OG0001097	PRW44419.1, PRW44417.1, PRW44418.1	PSC69890.1
OG0001098	PRW44838.1	PSC70435.1, PSC67094.1
OG0001099	PRW45152.1	PSC67095.1, PSC70426.1, PSC70425.1
OG0001100	PRW45024.1, PRW45025.1	PSC70475.1
OG0001101	PRW44928.1, PRW44929.1	PSC73477.1
OG0001102	PRW44847.1, PRW44848.1, PRW44846.1	PSC73470.1
OG0001104	PRW20976.1, PRW20975.1	PSC71819.1
OG0001105	PRW21128.1	PSC71748.1, PSC69380.1, PSC71768.1
OG0001106	PRW56865.1	PSC71602.1
OG0001107	PRW59310.1	PSC76143.1
OG0001108	PRW59224.1	PSC67161.1
OG0001109	PRW61336.1, PRW20414.1	PSC67838.1
OG0001110	PRW59143.1	PSC71894.1
OG0001111	PRW58144.1, PRW58145.1	PSC68854.1
OG0001112	PRW57327.1	PSC76460.1
OG0001113	PRW59289.1, PRW59288.1	PSC67397.1, PSC76051.1
OG0001114	PRW58538.1	PSC76582.1, PSC76581.1, PSC76937.1
OG0001114	PRW59796.1	PSC73800.1
OG0001115	PRW59053.1	PSC76634.1
OG0001116	PRW57157.1	PSC68184.1
OG0001118	PRW57029.1, PRW57028.1	PSC71174.1
OG0001119	PRW44355.1	PSC70851.1
OG0001121	PRW44262.1	PSC69975.1, PSC69974.1
OG0001122	PRW44283.1, PRW44284.1	PSC69902.1, PSC69903.1
OG0001123	PRW44575.1, PRW44424.1	PSC68018.1
OG0001124	PRW44512.1	PSC69918.1
OG0001125	PRW44268.1	PSC69951.1
OG0001126	PRW44485.1, PRW44486.1	PSC69889.1
OG0001127	PRW44503.1	PSC69912.1
OG0001127	PRW44459.1	PSC69967.1
OG0001128	PRW44245.1	PSC70890.1
OG0001129	PRW61026.1	PSC70592.1
OG0001131	PRW59237.1	PSC75379.1
OG0001132	PRW58843.1	PSC75693.1, PSC67057.1
OG0001133	PRW59242.1, PRW59243.1	PSC67904.1
OG0001134	PRW32594.1	PSC75198.1, PSC76872.1
OG0001135	PRW32493.1	PSC67023.1, PSC71194.1, PSC67389.1, PSC67196.1
OG0001136	PRW32599.1	PSC67386.1, PSC67191.1, PSC71062.1
OG0001137	PRW32649.1, PRW32641.1	PSC76857.1, PSC73967.1
OG0001138	PRW45500.1	PSC68239.1, PSC67317.1, PSC67098.1
OG0001139	PRW58398.1	PSC67078.1, PSC67071.1, PSC67824.1
OG0001140	PRW58332.1	PSC76001.1
OG0001141	PRW58470.1	PSC67485.1, PSC67070.1
OG0001142	PRW58641.1, PRW20979.1	PSC67499.1, PSC67069.1
OG0001143	PRW58205.1	PSC75688.1, PSC75689.1
OG0001144	PRW58235.1, PRW58236.1	PSC67247.1
OG0001145	PRW58357.1	PSC67825.1, PSC67245.1, PSC67828.1
OG0001146	PRW58355.1, PRW58354.1	PSC75936.1, PSC75937.1
OG0001147	PRW58161.1	PSC75798.1, PSC75799.1, PSC75797.1
OG0001148	PRW56295.1	PSC75857.1
OG0001149	PRW58373.1, PRW58371.1, PRW58372.1	PSC75587.1
OG0001150	PRW21083.1	PSC71678.1
OG0001151	PRW58253.1, PRW58649.1	PSC68901.1
OG0001152	PRW58622.1	PSC75367.1
OG0001153	PRW58604.1, PRW58605.1	PSC69141.1
OG0001154	PRW44293.1	PSC75296.1, PSC75502.1
OG0001155	PRW20546.1, PRW20545.1	PSC70139.1
OG0001156	PRW58175.1	PSC73940.1
OG0001157	PRW58272.1	PSC76101.1
OG0001158	PRW20398.1	PSC74506.1
OG0001159	PRW58201.1, PRW58203.1, PRW58202.1	PSC68734.1
OG0001160	PRW58434.1, PRW58433.1	PSC73946.1
OG0001161	PRW58407.1	PSC76436.1, PSC76901.1
OG0001162	PRW61068.1	PSC73298.1
OG0001163	PRW58630.1	PSC76746.1, PSC76745.1
OG0001164	PRW58182.1, PRW58583.1	PSC76536.1
OG0001165	PRW21081.1, PRW21080.1	PSC71702.1, PSC71703.1
OG0001166	PRW32525.1, PRW32524.1, PRW32523.1	PSC76851.1
OG0001167	PRW60618.1	PSC72460.1
OG0001168	PRW45396.1, PRW45395.1	PSC72394.1
OG0001169	PRW45423.1	PSC73882.1, PSC73884.1, PSC73883.1
OG0001170	PRW33616.1	PSC69982.1, PSC69983.1
OG0001171	PRW45405.1, PRW44282.1, PRW45404.1	PSC73885.1
OG0001172	PRW61416.1	PSC70628.1, PSC73293.1
OG0001173	PRW58259.1	PSC71530.1
OG0001174	PRW56667.1	PSC72552.1, PSC72553.1
OG0001175	PRW56880.1, PRW56881.1	PSC72447.1, PSC72446.1
OG0001176	PRW56389.1, PRW56387.1, PRW56388.1	PSC72597.1
OG0001177	PRW56486.1	PSC72593.1, PSC72594.1
OG0001178	PRW56417.1, PRW56416.1	PSC72565.1, PSC72566.1
OG0001179	PRW61054.1	PSC74280.1
OG0001180	PRW56693.1, PRW56692.1, PRW56220.1	PSC72536.1
OG0001181	PRW56501.1	PSC72416.1, PSC72417.1
OG0001182	PRW56725.1, PRW59131.1	PSC72451.1
OG0001183	PRW56846.1	PSC72494.1
OG0001184	PRW59756.1, PRW59757.1	PSC69612.1, PSC69613.1
OG0001185	PRW59457.1	PSC69578.1
OG0001186	PRW60187.1	PSC68307.1, PSC68308.1, PSC68306.1
OG0001187	PRW59523.1	PSC69676.1, PSC68388.1, PSC71499.1
OG0001188	PRW59677.1	PSC71265.1
OG0001189	PRW60003.1	PSC71398.1
OG0001190	PRW57843.1	PSC74407.1
OG0001191	PRW59644.1	PSC71426.1
OG0001192	PRW59893.1, PRW59891.1, PRW59892.1	PSC68353.1
OG0001193	PRW60120.1	PSC71222.1
OG0001194	PRW59713.1	PSC71341.1
OG0001196	PRW39358.1	PSC67587.1, PSC67586.1
OG0001197	PRW59799.1	PSC71096.1, PSC71151.1
OG0001198	PRW60998.1	PSC73213.1
OG0001199	PRW60870.1, PRW60871.1	PSC74994.1
OG0001200	PRW61571.1	PSC74003.1
OG0001201	PRW61343.1, PRW61269.1, PRW45134.1	PSC74713.1
OG0001202	PRW59142.1, PRW59141.1	PSC74312.1
OG0001203	PRW60923.1	PSC74248.1
OG0001204	PRW58732.1, PRW58731.1	PSC73354.1
OG0001205	PRW61604.1	PSC74222.1, PSC74221.1
OG0001206	PRW61275.1, PRW61274.1	PSC74205.1, PSC74204.1
OG0001207	PRW61208.1, PRW61186.1	PSC74184.1
OG0001208	PRW61446.1	PSC67274.1
OG0001209	PRW05923.1	PSC68062.1, PSC68061.1
OG0001210	PRW39167.1, PRW39166.1	PSC76925.1
OG0001211	PRW45513.1	PSC75546.1
OG0001212	PRW05924.1	PSC68466.1
OG0001213	PRW05900.1, PRW05899.1	PSC68410.1, PSC68409.1
OG0001214	PRW57391.1	PSC71177.1
OG0001215	PRW32918.1	PSC67167.1
OG0001216	PRW20168.1, PRW33943.1	PSC71774.1
OG0001217	PRW32983.1	PSC73112.1
OG0001218	PRW60966.1, PRW57690.1	PSC76447.1
OG0001219	PRW58629.1	PSC68907.1
OG0001220	PRW45151.1	PSC70478.1, PSC70479.1
OG0001221	PRW45001.1	PSC70342.1
OG0001222	PRW33033.1, PRW32879.1	PSC76698.1
OG0001223	PRW44861.1	PSC70892.1, PSC70893.1
OG0001224	PRW60711.1	PSC69716.1
OG0001225	PRW33831.1	PSC70279.1, PSC70278.1
OG0001226	PRW58681.1	PSC68266.1
OG0001227	PRW33770.1	PSC70190.1
OG0001228	PRW45117.1, PRW45118.1	PSC70347.1, PSC70346.1
OG0001229	PRW45233.1	PSC70446.1
OG0001230	PRW44999.1, PRW44998.1	PSC70349.1, PSC70350.1
OG0001231	PRW45230.1, PRW45229.1	PSC70457.1
OG0001233	PRW57646.1	PSC72945.1
OG0001234	PRW57386.1	PSC71183.1
OG0001235	PRW57450.1, PRW57796.1	PSC71048.1
OG0001236	PRW57009.1	PSC71217.1, PSC71216.1
OG0001237	PRW57246.1	PSC71040.1, PSC71038.1, PSC71039.1
OG0001238	PRW57108.1	PSC71067.1, PSC71066.1
OG0001239	PRW57527.1, PRW57525.1, PRW57526.1	PSC72292.1
OG0001240	PRW57083.1, PRW57082.1	PSC71073.1
OG0001241	PRW57300.1, PRW57301.1	PSC71020.1, PSC71021.1
OG0001242	PRW20275.1, PRW20216.1	PSC71377.1, PSC71286.1
OG0001243	PRW20851.1	PSC69530.1
OG0001245	PRW57550.1	PSC72572.1
OG0001246	PRW57011.1	PSC70754.1
OG0001247	PRW57639.1, PRW57640.1	PSC74545.1, PSC74544.1
OG0001248	PRW57574.1, PRW57575.1	PSC73785.1
OG0001249	PRW57880.1	PSC73772.1, PSC73773.1, PSC73774.1
OG0001250	PRW57651.1, PRW57652.1	PSC74658.1, PSC74659.1
OG0001251	PRW58068.1	PSC74430.1
OG0001252	PRW57713.1	PSC76050.1, PSC76049.1, PSC74418.1
OG0001253	PRW57869.1, PRW57868.1	PSC74724.1
OG0001254	PRW33975.1, PRW33977.1, PRW33976.1	PSC74911.1
OG0001255	PRW57727.1, PRW57726.1	PSC75159.1, PSC75160.1
OG0001256	PRW57914.1	PSC74875.1
OG0001256	PRW33139.1	PSC73078.1
OG0001257	PRW57764.1	PSC74583.1, PSC74582.1, PSC74581.1
OG0001258	PRW57951.1	PSC74360.1, PSC74361.1
OG0001259	PRW57919.1, PRW57921.1, PRW57920.1	PSC74672.1
OG0001260	PRW34099.1	PSC70274.1
OG0001261	PRW34014.1	PSC70223.1
OG0001262	PRW61498.1	PSC74725.1
OG0001263	PRW58165.1, PRW33910.1, PRW20181.1	PSC70287.1
OG0001264	PRW20388.1, PRW20389.1, PRW59291.1	PSC74403.1
OG0001265	PRW44521.1	PSC74386.1, PSC75452.1, PSC75451.1
OG0001266	PRW20428.1	PSC74734.1
OG0001267	PRW20360.1, PRW20361.1	PSC74510.1, PSC74509.1
OG0001268	PRW05859.1	PSC75454.1, PSC75455.1
OG0001269	PRW18403.1, PRW18316.1	PSC72842.1
OG0001270	PRW20178.1	PSC70716.1
OG0001271	PRW57035.1	PSC74732.1
OG0001271	PRW20305.1	PSC70685.1, PSC70684.1
OG0001272	PRW20507.1, PRW20506.1	PSC67130.1, PSC68121.1
OG0001273	PRW20766.1	PSC76247.1
OG0001274	PRW20782.1	PSC69536.1, PSC69492.1, PSC71973.1, PSC67628.1
OG0001275	PRW20783.1	PSC76019.1
OG0001276	PRW20940.1, PRW20923.1	PSC69493.1
OG0001279	PRW33071.1	PSC67004.1, PSC67171.1, PSC67136.1, PSC69167.1
OG0001282	PRW44308.1	PSC69993.1, PSC69992.1, PSC68468.1
OG0001283	PRW44500.1, PRW44607.1	PSC70832.1
OG0001285	PRW45394.1	PSC68195.1
OG0001286	PRW45483.1, PRW45573.1, PRW45472.1, PRW45670.1	PSC75054.1, PSC68210.1
OG0001288	PRW45718.1	PSC68934.1, PSC68920.1, PSC68982.1, PSC68965.1
OG0001289	PRW56409.1	PSC68106.1
OG0001290	PRW56730.1	PSC72443.1
OG0001291	PRW56738.1	PSC71488.1
OG0001292	PRW57235.1	PSC76989.1, PSC67295.1, PSC70066.1
OG0001293	PRW57556.1	PSC73664.1
OG0001294	PRW57660.1	PSC73555.1
OG0001295	PRW57781.1	PSC72792.1
OG0001296	PRW57893.1	PSC74806.1, PSC67203.1, PSC67755.1, PSC67115.1, PSC67784.1, PSC67143.1
OG0001297	PRW57955.1	PSC74617.1
OG0001298	PRW58206.1	PSC76801.1, PSC76523.1
OG0001299	PRW58987.1	PSC76300.1, PSC76301.1, PSC76299.1
OG0001300	PRW59168.1, PRW59167.1	PSC75753.1
OG0001301	PRW59207.1	PSC73916.1, PSC67900.1, PSC67901.1, PSC73756.1
OG0001302	PRW59621.1	PSC76151.1
OG0001303	PRW59946.1	PSC71281.1
OG0001304	PRW60605.1, PRW60604.1	PSC68553.1, PSC68554.1, PSC68555.1
OG0001305	PRW60935.1, PRW60936.1, PRW60934.1	PSC74371.1
OG0001306	PRW61324.1	PSC74991.1, PSC75078.1
OG0001307	PRW61472.1, PRW61471.1, PRW61395.1	PSC73289.1
OG0001315	PRW45556.1	PSC69315.1, PSC69314.1
OG0001316	PRW20302.1	PSC70738.1
OG0001317	PRW34089.1	PSC70243.1
OG0001318	PRW45415.1, PRW45416.1	PSC69358.1
OG0001319	PRW45528.1, PRW45529.1	PSC69359.1
OG0001320	PRW45697.1	PSC69327.1
OG0001321	PRW45399.1	PSC68579.1, PSC68580.1
OG0001322	PRW45597.1	PSC69363.1
OG0001323	PRW45466.1	PSC69404.1
OG0001324	PRW45650.1, PRW45649.1	PSC69405.1
OG0001325	PRW58872.1	PSC76898.1
OG0001326	PRW57174.1	PSC72109.1
OG0001327	PRW33518.1	PSC70114.1, PSC70113.1
OG0001328	PRW33511.1	PSC70024.1
OG0001330	PRW33725.1	PSC75329.1
OG0001331	PRW33584.1	PSC75211.1, PSC75212.1
OG0001332	PRW45545.1	PSC73793.1
OG0001333	PRW33596.1	PSC75012.1
OG0001334	PRW33648.1	PSC69344.1
OG0001335	PRW33329.1	PSC69203.1, PSC69202.1
OG0001336	PRW33661.1, PRW33660.1	PSC74832.1
OG0001338	PRW32907.1, PRW32906.1	PSC72994.1
OG0001339	PRW32938.1	PSC69087.1
OG0001340	PRW33034.1	PSC69094.1
OG0001341	PRW20924.1	PSC69222.1
OG0001342	PRW58490.1, PRW58491.1	PSC76762.1
OG0001343	PRW44243.1	PSC71335.1
OG0001344	PRW57503.1, PRW57504.1	PSC72123.1
OG0001347	PRW20169.1	PSC74841.1
OG0001348	PRW44340.1	PSC75759.1
OG0001349	PRW20521.1	PSC67135.1, PSC69101.1
OG0001350	PRW56107.1	PSC72791.1, PSC72661.1
OG0001351	PRW20471.1	PSC69106.1
OG0001352	PRW20535.1, PRW20536.1	PSC69987.1
OG0001353	PRW44383.1	PSC74126.1
OG0001354	PRW20498.1, PRW20497.1	PSC67980.1
OG0001355	PRW20530.1	PSC70022.1, PSC70023.1
OG0001356	PRW20455.1	PSC67990.1, PSC67989.1
OG0001357	PRW20510.1	PSC67947.1, PSC67948.1
OG0001358	PRW20523.1, PRW20522.1	PSC67998.1
OG0001359	PRW20588.1	PSC70106.1
OG0001360	PRW20484.1, PRW20485.1	PSC70255.1
OG0001361	PRW20453.1	PSC70155.1
OG0001362	PRW20443.1	PSC70177.1
OG0001363	PRW20441.1, PRW20442.1	PSC70185.1
OG0001364	PRW56620.1, PRW56621.1	PSC72760.1
OG0001365	PRW33281.1	PSC69205.1
OG0001366	PRW33122.1	PSC69269.1, PSC75186.1
OG0001367	PRW33103.1	PSC69247.1
OG0001368	PRW33322.1	PSC69227.1
OG0001369	PRW33305.1	PSC69208.1
OG0001370	PRW33221.1, PRW33222.1	PSC69188.1
OG0001371	PRW33224.1, PRW33223.1	PSC69261.1
OG0001372	PRW33273.1	PSC69221.1
OG0001373	PRW33293.1	PSC69276.1, PSC69275.1
OG0001374	PRW33236.1, PRW33235.1	PSC69229.1
OG0001376	PRW58761.1	PSC76727.1
OG0001377	PRW33210.1, PRW33098.1	PSC73917.1
OG0001378	PRW58776.1	PSC76491.1
OG0001379	PRW60642.1	PSC68925.1
OG0001380	PRW33290.1, PRW33291.1	PSC73745.1
OG0001381	PRW33162.1	PSC68725.1
OG0001382	PRW33175.1	PSC68715.1, PSC68716.1
OG0001383	PRW33274.1	PSC68753.1, PSC68766.1
OG0001385	PRW33234.1	PSC73741.1
OG0001386	PRW39247.1	PSC67588.1, PSC67589.1
OG0001387	PRW59169.1	PSC72361.1
OG0001388	PRW21098.1, PRW21097.1	PSC71777.1
OG0001389	PRW05848.1, PRW05849.1	PSC72608.1
OG0001390	PRW58779.1, PRW58778.1	PSC76643.1
OG0001391	PRW58813.1, PRW58814.1	PSC76586.1
OG0001392	PRW58821.1	PSC76394.1, PSC76395.1
OG0001393	PRW59157.1	PSC73662.1, PSC73663.1
OG0001394	PRW59174.1, PRW59173.1	PSC67914.1
OG0001395	PRW58775.1	PSC72434.1
OG0001396	PRW59064.1, PRW59065.1	PSC73686.1
OG0001397	PRW59111.1	PSC73262.1
OG0001398	PRW59097.1	PSC74148.1
OG0001399	PRW59050.1	PSC77028.1
OG0001400	PRW44586.1	PSC76587.1
OG0001401	PRW59408.1	PSC76156.1
OG0001402	PRW59404.1, PRW58998.1	PSC76401.1
OG0001404	PRW59294.1	PSC73643.1
OG0001406	PRW59189.1	PSC75987.1, PSC76557.1
OG0001407	PRW58860.1	PSC75926.1, PSC75925.1
OG0001408	PRW60319.1	PSC67147.1, PSC68732.1
OG0001410	PRW59362.1	PSC73264.1, PSC73263.1
OG0001411	PRW59148.1	PSC75370.1, PSC75371.1
OG0001412	PRW59012.1	PSC75272.1, PSC75273.1
OG0001413	PRW59130.1	PSC75520.1, PSC75282.1
OG0001414	PRW58840.1	PSC75896.1
OG0001415	PRW58799.1	PSC75450.1
OG0001417	PRW59048.1	PSC75553.1, PSC75552.1
OG0001418	PRW59132.1	PSC76529.1, PSC76528.1
OG0001419	PRW58885.1	PSC76593.1
OG0001420	PRW59151.1, PRW59152.1	PSC76407.1
OG0001421	PRW59766.1	PSC75304.1
OG0001422	PRW58828.1, PRW59120.1	PSC75423.1
OG0001423	PRW59115.1, PRW59114.1	PSC75350.1
OG0001424	PRW57700.1	PSC74463.1
OG0001425	PRW58863.1	PSC75288.1
OG0001426	PRW59017.1	PSC75633.1
OG0001427	PRW33331.1	PSC69232.1
OG0001428	PRW57049.1	PSC72301.1
OG0001429	PRW59037.1	PSC75463.1, PSC75527.1
OG0001430	PRW59327.1	PSC68011.1
OG0001431	PRW59284.1, PRW59283.1	PSC67954.1
OG0001432	PRW32548.1, PRW61239.1	PSC73532.1
OG0001433	PRW33330.1	PSC73732.1, PSC73733.1
OG0001434	PRW59069.1, PRW59068.1	PSC67987.1
OG0001435	PRW59080.1	PSC76583.1, PSC76979.1
OG0001436	PRW51033.1	PSC75474.1, PSC75475.1
OG0001437	PRW50852.1	PSC68134.1
OG0001438	PRW33775.1, PRW33776.1	PSC69337.1
OG0001439	PRW50821.1	PSC69785.1
OG0001441	PRW51058.1	PSC69728.1
OG0001442	PRW50949.1, PRW50950.1	PSC75407.1
OG0001443	PRW51112.1, PRW51111.1	PSC75733.1
OG0001444	PRW59772.1	PSC72939.1, PSC72938.1
OG0001445	PRW51184.1	PSC75675.1, PSC75676.1
OG0001446	PRW50764.1, PRW50762.1	PSC75725.1
OG0001447	PRW50761.1, PRW50763.1	PSC76007.1
OG0001448	PRW56884.1	PSC69833.1
OG0001449	PRW51047.1	PSC76290.1, PSC76291.1
OG0001450	PRW45391.1	PSC68594.1
OG0001451	PRW50830.1, PRW50831.1	PSC76429.1
OG0001452	PRW50920.1	PSC77000.1, PSC76999.1
OG0001453	PRW51044.1	PSC76463.1
OG0001454	PRW51025.1	PSC75742.1
OG0001455	PRW51120.1	PSC75305.1
OG0001456	PRW51172.1	PSC75549.1
OG0001457	PRW50978.1	PSC75328.1
OG0001458	PRW51152.1, PRW51151.1	PSC73083.1, PSC75262.1
OG0001459	PRW50889.1, PRW50888.1	PSC75494.1
OG0001460	PRW51102.1, PRW51101.1	PSC75856.1
OG0001461	PRW50861.1	PSC76834.1
OG0001462	PRW58402.1	PSC76816.1
OG0001463	PRW51087.1, PRW51086.1	PSC75564.1
OG0001464	PRW50819.1	PSC75954.1
OG0001465	PRW50909.1, PRW61326.1	PSC76687.1
OG0001466	PRW50886.1	PSC76515.1, PSC76516.1
OG0001467	PRW60631.1, PRW56005.1	PSC69348.1
OG0001468	PRW50939.1, PRW50940.1	PSC75562.1
OG0001469	PRW50901.1, PRW50902.1	PSC75432.1
OG0001470	PRW50907.1	PSC75982.1, PSC75983.1
OG0001472	PRW50979.1	PSC74132.1
OG0001473	PRW33557.1, PRW33558.1	PSC69986.1
OG0001474	PRW50885.1, PRW59425.1	PSC75833.1
OG0001475	PRW51119.1, PRW51118.1	PSC75781.1
OG0001476	PRW51099.1	PSC73822.1, PSC67125.1
OG0001477	PRW51182.1	PSC75253.1, PSC75254.1
OG0001478	PRW05916.1, PRW05917.1	PSC68430.1
OG0001479	PRW56322.1	PSC71490.1
OG0001480	PRW55983.1	PSC71586.1
OG0001481	PRW60101.1	PSC71492.1
OG0001482	PRW56196.1	PSC72753.1, PSC72754.1
OG0001483	PRW56200.1	PSC71562.1, PSC71561.1
OG0001484	PRW55966.1	PSC71447.1
OG0001485	PRW56039.1	PSC71472.1
OG0001486	PRW55938.1	PSC71598.1
OG0001487	PRW55909.1	PSC67458.1
OG0001488	PRW18369.1	PSC72732.1
OG0001489	PRW18312.1	PSC72601.1
OG0001490	PRW18376.1	PSC72676.1
OG0001491	PRW18374.1	PSC72796.1, PSC72795.1
OG0001492	PRW18303.1	PSC72630.1
OG0001493	PRW18411.1	PSC72696.1
OG0001494	PRW18330.1	PSC72746.1, PSC72745.1
OG0001495	PRW18392.1	PSC73480.1
OG0001496	PRW58597.1	PSC76855.1
OG0001497	PRW51124.1, PRW51123.1	PSC75932.1
OG0001498	PRW20735.1	PSC68801.1
OG0001499	PRW20416.1, PRW20415.1	PSC74615.1
OG0001500	PRW20727.1	PSC74650.1
OG0001501	PRW20613.1	PSC74719.1
OG0001502	PRW20666.1	PSC74770.1
OG0001503	PRW33532.1	PSC69984.1
OG0001504	PRW20705.1	PSC67504.1, PSC67505.1
OG0001505	PRW20604.1	PSC74625.1
OG0001507	PRW20622.1	PSC74380.1, PSC68781.1
OG0001508	PRW39064.1	PSC70038.1
OG0001509	PRW56866.1	PSC71595.1
OG0001510	PRW20668.1	PSC74423.1, PSC74401.1
OG0001511	PRW33599.1, PRW33524.1, PRW33566.1	PSC72329.1
OG0001513	PRW20784.1	PSC76098.1, PSC76099.1
OG0001514	PRW05746.1, PRW57298.1	PSC69556.1
OG0001515	PRW57393.1, PRW57392.1	PSC69554.1
OG0001516	PRW20864.1	PSC76717.1, PSC76716.1
OG0001517	PRW57169.1	PSC69472.1
OG0001518	PRW61371.1	PSC73413.1
OG0001519	PRW20870.1	PSC76500.1, PSC76501.1
OG0001520	PRW20778.1	PSC76835.1
OG0001522	PRW20925.1	PSC69548.1
OG0001523	PRW57367.1	PSC69506.1
OG0001524	PRW20794.1	PSC74896.1, PSC74897.1
OG0001525	PRW05862.1	PSC75321.1, PSC75320.1
OG0001527	PRW05828.1, PRW05829.1	PSC75984.1
OG0001528	PRW05852.1, PRW05750.1	PSC69805.1
OG0001529	PRW56607.1	PSC72429.1, PSC72430.1
OG0001530	PRW45503.1, PRW45504.1	PSC73714.1
OG0001531	PRW56715.1, PRW56424.1	PSC72435.1
OG0001532	PRW56526.1, PRW56527.1	PSC72488.1
OG0001533	PRW56606.1	PSC72623.1
OG0001534	PRW56433.1, PRW56434.1	PSC72759.1
OG0001535	PRW56740.1	PSC72801.1
OG0001536	PRW56796.1	PSC70511.1, PSC70512.1
OG0001537	PRW56489.1, PRW56490.1	PSC70556.1
OG0001538	PRW05814.1, PRW05815.1	PSC75572.1
OG0001539	PRW60944.1	PSC74189.1
OG0001540	PRW61562.1, PRW61563.1	PSC74142.1
OG0001541	PRW56744.1	PSC71631.1
OG0001542	PRW56575.1, PRW56594.1	PSC71639.1, PSC71459.1
OG0001543	PRW56518.1, PRW56517.1	PSC72487.1
OG0001544	PRW56689.1	PSC71628.1, PSC71629.1
OG0001545	PRW44589.1	PSC72350.1
OG0001546	PRW56771.1	PSC72471.1
OG0001547	PRW57417.1	PSC72206.1, PSC72207.1
OG0001548	PRW57186.1	PSC71044.1, PSC71045.1
OG0001549	PRW57112.1	PSC71171.1, PSC71172.1
OG0001550	PRW57227.1	PSC71050.1, PSC71051.1
OG0001551	PRW57512.1	PSC72095.1, PSC72096.1
OG0001552	PRW45645.1	PSC68202.1
OG0001554	PRW60423.1	PSC69367.1
OG0001555	PRW45740.1	PSC68582.1
OG0001556	PRW45703.1, PRW45702.1	PSC68564.1
OG0001557	PRW45532.1, PRW45533.1	PSC68645.1
OG0001558	PRW45591.1	PSC68642.1
OG0001559	PRW45348.1	PSC68191.1
OG0001560	PRW05791.1	PSC72001.1, PSC71993.1
OG0001561	PRW05770.1	PSC71884.1, PSC71888.1
OG0001562	PRW58468.1	PSC73667.1
OG0001563	PRW05756.1	PSC67620.1
OG0001563	PRW05802.1	PSC67621.1
OG0001564	PRW05751.1	PSC67630.1, PSC67619.1
OG0001565	PRW05805.1	PSC67632.1
OG0001566	PRW05774.1, PRW05775.1	PSC71946.1
OG0001567	PRW39211.1, PRW39210.1	PSC71904.1
OG0001568	PRW39149.1	PSC72050.1, PSC72049.1
OG0001569	PRW39392.1, PRW39393.1	PSC72011.1
OG0001570	PRW39203.1, PRW39204.1	PSC71895.1
OG0001571	PRW61584.1	PSC74235.1
