Orthogroup	oneline_c_variabilis_genome_proteins	oneline_A99_genome_proteins
OG0000800	XP_005844158.1	scaffold2.g7524.t1
OG0000801	XP_005848475.1	scaffold28.g7549.t1
OG0000802	XP_005843416.1	scaffold20.g7616.t1
OG0000803	XP_005846996.1	scaffold20.g7754.t1
OG0000805	XP_005847967.1	scaffold20.g7845.t1
OG0000805	XP_005847973.1	scaffold20.g7876.t1
OG0000806	XP_005852091.1	scaffold12.g7912.t1
OG0000807	XP_005851958.1	scaffold12.g7928.t1
OG0000808	XP_005847559.1	scaffold12.g7953.t1
OG0000809	XP_005847745.1, XP_005847767.1	scaffold12.g7981.t1
OG0000810	XP_005847760.1, XP_005847762.1	scaffold12.g8027.t1
OG0000811	XP_005849610.1, XP_005843344.1, XP_005852273.1	scaffold12.g8079.t1
OG0000812	XP_005842746.1, XP_005842744.1, XP_005844229.1, XP_005844228.1	scaffold12.g8086.t1
OG0000813	XP_005844140.1	scaffold12.g8092.t1
OG0000814	XP_005847836.1	scaffold12.g8107.t1
OG0000814	XP_005847835.1	scaffold12.g8108.t1
OG0000815	XP_005846339.1, XP_005847391.1	scaffold12.g8188.t1
OG0000816	XP_005843128.1	scaffold12.g8204.t1
OG0000858	XP_005846768.1	scaffold16.g6.t1
OG0000859	XP_005850462.1	scaffold16.g15.t1
OG0000860	XP_005852112.1	scaffold9.g3220.t1, scaffold16.g17.t1
OG0000861	XP_005845745.1	scaffold16.g63.t1
OG0000862	XP_005851391.1	scaffold16.g68.t1
OG0000863	XP_005845795.1	scaffold16.g75.t1
OG0000864	XP_005845914.1	scaffold16.g79.t1
OG0000865	XP_005844139.1	scaffold12.g8088.t1
OG0000865	XP_005847006.1	scaffold16.g86.t1
OG0000867	XP_005845110.1	scaffold16.g97.t1
OG0000868	XP_005849660.1	scaffold2.g7092.t1, scaffold14.g1072.t1, scaffold16.g100.t1, scaffold5.g884.t1
OG0000869	XP_005843561.1	scaffold6.g2548.t1
OG0000870	XP_005845859.1	scaffold10.g2474.t1, scaffold3.g6339.t1, scaffold2.g7219.t1, scaffold16.g124.t1
OG0000871	XP_005845867.1	scaffold16.g130.t1
OG0000872	XP_005845835.1	scaffold16.g146.t1
OG0000873	XP_005845726.1	scaffold34.g4501.t1, scaffold16.g151.t1
OG0000874	XP_005848738.1	scaffold13.g162.t1
OG0000875	XP_005844732.1	scaffold2.g7367.t1, scaffold13.g163.t1, scaffold1.g5862.t1
OG0000876	XP_005844177.1	scaffold13.g205.t1
OG0000877	XP_005844559.1	scaffold13.g207.t1
OG0000878	XP_005844106.1	scaffold13.g225.t1
OG0000878	XP_005844105.1	scaffold13.g223.t1
OG0000879	XP_005844014.1	scaffold13.g227.t1
OG0000880	XP_005847412.1	scaffold2.g6864.t1
OG0000880	XP_005847411.1	scaffold13.g236.t1
OG0000881	XP_005850315.1	scaffold18.g1950.t1
OG0000881	XP_005847506.1	scaffold13.g253.t1
OG0000882	XP_005844029.1, XP_005844027.1	scaffold13.g255.t1
OG0000883	XP_005844525.1	scaffold13.g274.t1
OG0000884	XP_005843871.1	scaffold23.g4117.t1, scaffold13.g289.t1
OG0000885	XP_005844597.1, XP_005844598.1	scaffold13.g338.t1
OG0000886	XP_005848859.1	scaffold13.g381.t1
OG0000886	XP_005848858.1	scaffold2.g7433.t1
OG0000887	XP_005844624.1	scaffold13.g382.t1
OG0000888	XP_005844641.1	scaffold13.g408.t1
OG0000889	XP_005845324.1	scaffold13.g413.t1
OG0000890	XP_005844834.1	scaffold17.g454.t1
OG0000891	XP_005851149.1	scaffold17.g470.t1
OG0000892	XP_005843234.1	scaffold17.g480.t1
OG0000893	XP_005843285.1	scaffold17.g489.t1
OG0000894	XP_005849303.1, XP_005843057.1	scaffold17.g525.t1
OG0000895	XP_005850101.1	scaffold17.g538.t1, scaffold17.g535.t1, scaffold17.g534.t1
OG0000896	XP_005844871.1, XP_005851427.1	scaffold17.g537.t1
OG0000897	XP_005845683.1	scaffold2.g6989.t1, scaffold17.g561.t1
OG0000898	XP_005848407.1	scaffold23.g4188.t1, scaffold23.g4186.t1, scaffold17.g564.t1
OG0000899	XP_005844962.1, XP_005842685.1	scaffold17.g574.t1
OG0000900	XP_005843070.1	scaffold2.g6841.t1
OG0000901	XP_005844858.1, XP_005844857.1	scaffold17.g576.t1
OG0000902	XP_005844954.1	scaffold17.g577.t1
OG0000904	XP_005847297.1	scaffold5.g665.t1, scaffold4.g5008.t1
OG0000905	XP_005844381.1	scaffold5.g703.t1
OG0000906	XP_005852113.1	scaffold5.g709.t1
OG0000906	XP_005851885.1	scaffold11.g3976.t1
OG0000907	XP_005849616.1	scaffold5.g720.t1
OG0000909	XP_005843564.1	scaffold5.g758.t1, scaffold10.g2382.t1
OG0000910	XP_005849821.1	scaffold5.g761.t1
OG0000911	XP_005849925.1	scaffold5.g777.t1
OG0000911	XP_005849926.1	scaffold5.g778.t1
OG0000912	XP_005842602.1	scaffold5.g800.t1
OG0000913	XP_005848627.1	scaffold2.g7125.t1, scaffold5.g844.t1, scaffold1.g5840.t1
OG0000914	XP_005849640.1	scaffold1.g5579.t1, scaffold40.g5168.t1, scaffold1.g5447.t1, scaffold2.g7251.t1, scaffold5.g864.t1
OG0000915	XP_005843238.1	scaffold5.g866.t1
OG0000916	XP_005849907.1	scaffold37.g4380.t1, scaffold39.g4413.t1, scaffold5.g877.t1
OG0000917	XP_005849671.1	scaffold5.g893.t1, scaffold2.g7065.t1
OG0000918	XP_005849922.1	scaffold5.g905.t1
OG0000918	XP_005849921.1	scaffold5.g894.t1
OG0000919	XP_005849567.1, XP_005849568.1	scaffold5.g911.t1
OG0000920	XP_005849828.1	scaffold5.g912.t1
OG0000921	XP_005849563.1	scaffold5.g935.t1
OG0000921	XP_005849564.1	scaffold5.g915.t1
OG0000922	XP_005849571.1	scaffold5.g949.t1
OG0000923	XP_005849556.1	scaffold5.g970.t1
OG0000924	XP_005851982.1	scaffold9.g3226.t1
OG0000924	XP_005851983.1	scaffold5.g990.t1
OG0000925	XP_005849807.1	scaffold5.g1010.t1
OG0000926	XP_005848983.1	scaffold14.g1041.t1
OG0000927	XP_005848787.1	scaffold14.g1053.t1, scaffold14.g1318.t1
OG0000928	XP_005846107.1	scaffold4.g5039.t1, scaffold14.g1055.t1
OG0000929	XP_005848789.1	scaffold14.g1057.t1
OG0000930	XP_005848967.1	scaffold14.g1062.t1
OG0000931	XP_005848761.1, XP_005848974.1	scaffold14.g1078.t1
OG0000932	XP_005850351.1	scaffold14.g1132.t1
OG0000933	XP_005846299.1	scaffold3.g6441.t1
OG0000933	XP_005845665.1	scaffold14.g1136.t1
OG0000934	XP_005843576.1	scaffold14.g1141.t1, scaffold22.g6083.t1, scaffold22.g6088.t1
OG0000935	XP_005848930.1	scaffold14.g1155.t1
OG0000936	XP_005848939.1	scaffold14.g1162.t1
OG0000938	XP_005846114.1	scaffold10.g2248.t1
OG0000939	XP_005844200.1	scaffold6.g2508.t1, scaffold14.g1215.t1
OG0000940	XP_005843082.1	scaffold53.g4532.t1
OG0000940	XP_005851690.1	scaffold14.g1242.t1
OG0000941	XP_005848647.1, XP_005846274.1	scaffold14.g1275.t1
OG0000942	XP_005849606.1	scaffold14.g1288.t1
OG0000943	XP_005848636.1	scaffold14.g1310.t1
OG0000944	XP_005845607.1	scaffold14.g1312.t1
OG0000945	XP_005848602.1	scaffold14.g1316.t1
OG0000946	XP_005850865.1	scaffold8.g1369.t1
OG0000947	XP_005850877.1	scaffold8.g1388.t1
OG0000948	XP_005845231.1	scaffold8.g1393.t1
OG0000949	XP_005850888.1	scaffold8.g1440.t1
OG0000950	XP_005850892.1	scaffold8.g1444.t1
OG0000951	XP_005850833.1	scaffold8.g1445.t1
OG0000952	XP_005843218.1	scaffold8.g1448.t1
OG0000953	XP_005850840.1	scaffold8.g1452.t1
OG0000954	XP_005850520.1, XP_005850521.1	scaffold8.g1490.t1
OG0000955	XP_005844514.1	scaffold8.g1508.t1
OG0000956	XP_005850500.1	scaffold8.g1528.t1
OG0000957	XP_005847245.1	scaffold8.g1593.t1
OG0000958	XP_005842867.1	scaffold8.g1596.t1
OG0000958	XP_005842884.1	scaffold1.g5740.t1
OG0000959	XP_005852061.1	scaffold8.g1604.t1, scaffold2.g7248.t1
OG0000960	XP_005843953.1	scaffold11.g4024.t1, scaffold8.g1609.t1, scaffold8.g1606.t1
OG0000963	XP_005849282.1	scaffold42.g4472.t1, scaffold8.g1641.t1, scaffold7.g3439.t1
OG0000964	XP_005843629.1	scaffold8.g1651.t1
OG0000965	XP_005843865.1	scaffold8.g1671.t1
OG0000966	XP_005848588.1	scaffold8.g1672.t1
OG0000967	XP_005843914.1	scaffold8.g1687.t1
OG0000968	XP_005844295.1	scaffold8.g1699.t1
OG0000970	XP_005842736.1, XP_005848028.1	scaffold19.g1740.t1
OG0000971	XP_005842657.1, XP_005848097.1	scaffold19.g1747.t1
OG0000972	XP_005847939.1, XP_005847938.1	scaffold19.g1748.t1
OG0000973	XP_005851310.1	scaffold1.g5616.t1, scaffold1.g5617.t1, scaffold19.g1753.t1
OG0000974	XP_005847940.1	scaffold19.g1763.t1
OG0000975	XP_005849042.1	scaffold19.g1788.t1, scaffold7.g3667.t1
OG0000976	XP_005849976.1, XP_005845794.1	scaffold19.g1794.t1
OG0000978	XP_005847951.1	scaffold19.g1848.t1
OG0000979	XP_005842808.1	scaffold3.g6457.t1
OG0000980	XP_005847874.1, XP_005844224.1	scaffold19.g1875.t1
OG0000981	XP_005850459.1	scaffold18.g1908.t1
OG0000982	XP_005850466.1	scaffold2.g6772.t1, scaffold18.g1914.t1
OG0000983	XP_005850324.1	scaffold18.g1929.t1
OG0000984	XP_005850083.1	scaffold18.g1942.t1
OG0000985	XP_005850084.1	scaffold18.g1944.t1
OG0000986	XP_005850316.1	scaffold18.g1947.t1
OG0000987	XP_005850077.1	scaffold18.g1951.t1
OG0000988	XP_005843156.1	scaffold18.g1953.t1, scaffold12.g8161.t1
OG0000989	XP_005852267.1	scaffold18.g1972.t1
OG0000990	XP_005850156.1	scaffold18.g1982.t1
OG0000991	XP_005850214.1	scaffold18.g1986.t1
OG0000992	XP_005846842.1, XP_005842605.1	scaffold21.g2086.t1, scaffold1.g5497.t1
OG0000993	XP_005845039.1	scaffold21.g2160.t1
OG0000994	XP_005845240.1	scaffold21.g2172.t1
OG0000995	XP_005851350.1	scaffold9.g3164.t1, scaffold21.g2178.t1
OG0000996	XP_005843931.1, XP_005846828.1	scaffold21.g2195.t1
OG0000997	XP_005846116.1	scaffold2.g6811.t1, scaffold10.g2250.t1
OG0000998	XP_005852297.1, XP_005851826.1	scaffold10.g2286.t1
OG0000999	XP_005846102.1	scaffold10.g2297.t1
OG0001000	XP_005849105.1, XP_005849106.1, XP_005843589.1, XP_005849326.1, XP_005843514.1, XP_005844278.1	scaffold10.g2301.t1
OG0001001	XP_005848034.1	scaffold10.g2340.t1, scaffold6.g2777.t1, scaffold20.g7776.t1
OG0001002	XP_005846132.1	scaffold10.g2377.t1
OG0001003	XP_005845002.1	scaffold2.g7352.t1
OG0001003	XP_005850390.1	scaffold10.g2392.t1
OG0001004	XP_005852100.1	scaffold10.g2395.t1
OG0001005	XP_005846194.1	scaffold10.g2410.t1
OG0001006	XP_005846055.1	scaffold10.g2413.t1
OG0001007	XP_005847998.1	scaffold9.g3186.t1, scaffold10.g2433.t1
OG0001008	XP_005846205.1	scaffold10.g2442.t1
OG0001009	XP_005844918.1, XP_005849231.1	scaffold10.g2445.t1
OG0001010	XP_005850409.1	scaffold10.g2453.t1, scaffold11.g3940.t1
OG0001012	XP_005845112.1	scaffold9.g3059.t1, scaffold10.g2468.t1
OG0001013	XP_005843628.1	scaffold6.g2510.t1
OG0001014	XP_005843617.1	scaffold6.g2535.t1
OG0001015	XP_005845094.1	scaffold6.g2545.t1
OG0001016	XP_005850416.1	scaffold6.g2601.t1
OG0001018	XP_005850858.1	scaffold6.g2628.t1
OG0001020	XP_005846098.1	scaffold6.g2644.t1
OG0001021	XP_005850938.1	scaffold6.g2656.t1
OG0001022	XP_005850714.1	scaffold6.g2698.t1
OG0001023	XP_005850994.1	scaffold6.g2699.t1
OG0001024	XP_005850719.1	scaffold6.g2701.t1
OG0001025	XP_005850668.1	scaffold6.g2742.t1
OG0001026	XP_005848497.1	scaffold6.g2746.t1
OG0001027	XP_005850964.1	scaffold6.g2787.t1
OG0001028	XP_005850659.1	scaffold2.g7172.t1, scaffold34.g4518.t1, scaffold6.g2809.t1
OG0001030	XP_005850976.1	scaffold6.g2826.t1
OG0001031	XP_005850619.1	scaffold6.g2852.t1
OG0001032	XP_005850726.1	scaffold6.g2867.t1, scaffold6.g2864.t1
OG0001034	XP_005844419.1	scaffold6.g2902.t1
OG0001035	XP_005851047.1	scaffold6.g2909.t1
OG0001036	XP_005845827.1	scaffold24.g2927.t1
OG0001037	XP_005848451.1	scaffold28.g7592.t1
OG0001037	XP_005845790.1	scaffold24.g2977.t1
OG0001038	XP_005845765.1	scaffold24.g2991.t1
OG0001039	XP_005842761.1	scaffold9.g3024.t1
OG0001040	XP_005849986.1	scaffold9.g3030.t1, scaffold22.g6076.t1
OG0001041	XP_005851759.1	scaffold9.g3055.t1
OG0001043	XP_005846990.1	scaffold20.g7766.t1
OG0001044	XP_005852110.1	scaffold9.g3097.t1
OG0001045	XP_005851772.1	scaffold9.g3098.t1
OG0001046	XP_005852120.1	scaffold9.g3136.t1
OG0001047	XP_005851802.1	scaffold9.g3143.t1
OG0001048	XP_005851796.1, XP_005851795.1	scaffold9.g3155.t1
OG0001049	XP_005851790.1	scaffold9.g3159.t1
OG0001050	XP_005845480.1	scaffold9.g3264.t1, scaffold3.g6493.t1
OG0001051	XP_005852145.1	scaffold9.g3278.t1
OG0001052	XP_005852242.1	scaffold9.g3279.t1
OG0001053	XP_005851908.1	scaffold9.g3283.t1
OG0001054	XP_005852235.1	scaffold9.g3293.t1
OG0001055	XP_005844216.1	scaffold26.g3318.t1
OG0001056	XP_005845204.1, XP_005842734.1, XP_005845205.1	scaffold26.g3331.t1
OG0001057	XP_005848683.1	scaffold26.g3332.t1
OG0001058	XP_005844427.1	scaffold26.g3333.t1
OG0001059	XP_005845917.1	scaffold26.g3344.t1
OG0001060	XP_005852321.1	scaffold26.g3356.t1, scaffold4.g4784.t1
OG0001061	XP_005849034.1	scaffold7.g3381.t1
OG0001062	XP_005848999.1, XP_005849230.1	scaffold7.g3396.t1
OG0001063	XP_005849146.1	scaffold7.g3417.t1
OG0001064	XP_005849341.1	scaffold7.g3421.t1
OG0001065	XP_005849336.1	scaffold7.g3470.t1
OG0001066	XP_005849080.1	scaffold7.g3431.t1
OG0001066	XP_005849081.1	scaffold7.g3450.t1
OG0001067	XP_005849084.1	scaffold7.g3460.t1
OG0001068	XP_005849328.1	scaffold7.g3522.t1
OG0001069	XP_005849264.1	scaffold7.g3539.t1
OG0001070	XP_005845860.1	scaffold7.g3562.t1, scaffold7.g3565.t1
OG0001071	XP_005849300.1	scaffold7.g3586.t1
OG0001072	XP_005849112.1	scaffold7.g3611.t1
OG0001073	XP_005849186.1, XP_005852157.1	scaffold7.g3623.t1
OG0001074	XP_005849167.1	scaffold7.g3675.t1
OG0001075	XP_005849043.1	scaffold7.g3679.t1
OG0001076	XP_005849044.1	scaffold7.g3687.t1
OG0001077	XP_005847656.1	scaffold7.g3710.t1, scaffold11.g3895.t1
OG0001078	XP_005849402.1	scaffold7.g3716.t1
OG0001079	XP_005849208.1	scaffold7.g3731.t1
OG0001080	XP_005845001.1	scaffold7.g3740.t1
OG0001081	XP_005850615.1	scaffold7.g3743.t1
OG0001082	XP_005847443.1	scaffold7.g3750.t1, scaffold12.g8080.t1, scaffold4.g4872.t1
OG0001083	XP_005851947.1, XP_005851944.1	scaffold11.g3833.t1
OG0001084	XP_005851948.1, XP_005851949.1	scaffold11.g3842.t1
OG0001085	XP_005851891.1, XP_005842717.1	scaffold11.g3977.t1, scaffold11.g3984.t1
OG0001086	XP_005852217.1, XP_005850788.1, XP_005844701.1	scaffold11.g4005.t1
OG0001087	XP_005843899.1, XP_005843961.1	scaffold11.g4032.t1
OG0001088	XP_005843856.1	scaffold11.g4075.t1
OG0001089	XP_005843973.1	scaffold23.g4098.t1
OG0001090	XP_005842831.1	scaffold23.g4141.t1
OG0001091	XP_005848424.1	scaffold23.g4142.t1
OG0001092	XP_005848410.1	scaffold23.g4143.t1
OG0001093	XP_005844897.1, XP_005843311.1, XP_005847142.1, XP_005845568.1	scaffold23.g4164.t1
OG0001094	XP_005851091.1	scaffold23.g4175.t1
OG0001095	XP_005848205.1	scaffold23.g4179.t1
OG0001096	XP_005850743.1, XP_005850744.1	scaffold23.g4194.t1
OG0001097	XP_005847514.1	scaffold15.g4245.t1
OG0001098	XP_005848518.1	scaffold15.g4249.t1
OG0001099	XP_005848331.1	scaffold15.g4265.t1
OG0001100	XP_005848334.1	scaffold15.g4268.t1
OG0001101	XP_005850552.1	scaffold15.g4313.t1
OG0001102	XP_005848417.1	scaffold15.g4314.t1
OG0001103	XP_005844058.1	scaffold30.g4431.t1
OG0001104	XP_005844681.1	scaffold34.g4497.t1
OG0001105	XP_005844750.1	scaffold34.g4519.t1
OG0001106	XP_005851230.1	scaffold2.g6850.t1, scaffold56.g4540.t1
OG0001107	XP_005849802.1	scaffold4.g4571.t1
OG0001108	XP_005849476.1	scaffold4.g4585.t1
OG0001109	XP_005851798.1, XP_005843247.1	scaffold4.g4599.t1
OG0001110	XP_005849483.1, XP_005849752.1	scaffold4.g4607.t1
OG0001111	XP_005851483.1	scaffold1.g5390.t1, scaffold4.g4621.t1
OG0001112	XP_005849451.1	scaffold4.g4623.t1
OG0001113	XP_005849731.1	scaffold4.g4680.t1
OG0001115	XP_005849782.1	scaffold4.g4746.t1, scaffold4.g4747.t1
OG0001116	XP_005849714.1	scaffold4.g4799.t1
OG0001117	XP_005847426.1	scaffold3.g6623.t1, scaffold4.g4852.t1, scaffold4.g4808.t1
OG0001118	XP_005846970.1	scaffold20.g7657.t1, scaffold4.g4835.t1
OG0001119	XP_005847424.1	scaffold4.g4850.t1
OG0001120	XP_005847816.1	scaffold4.g4864.t1, scaffold2.g7497.t1
OG0001121	XP_005847335.1	scaffold4.g4865.t1
OG0001122	XP_005847336.1	scaffold4.g4866.t1
OG0001123	XP_005851347.1	scaffold4.g4911.t1, scaffold2.g6831.t1
OG0001125	XP_005847351.1	scaffold4.g4940.t1
OG0001126	XP_005847490.1	scaffold4.g4949.t1
OG0001127	XP_005847486.1	scaffold4.g4968.t1
OG0001128	XP_005847304.1, XP_005847477.1	scaffold4.g5019.t1
OG0001129	XP_005844389.1, XP_005847573.1	scaffold4.g5032.t1
OG0001130	XP_005843045.1	scaffold4.g5034.t1
OG0001131	XP_005842674.1, XP_005843835.1	scaffold36.g5073.t1
OG0001132	XP_005843831.1	scaffold36.g5076.t1
OG0001135	XP_005843087.1	scaffold25.g5091.t1
OG0001136	XP_005852319.1	scaffold25.g5093.t1
OG0001137	XP_005845132.1	scaffold1.g5173.t1
OG0001138	XP_005851121.1	scaffold1.g5210.t1
OG0001139	XP_005851106.1	scaffold1.g5218.t1, scaffold3.g6707.t1
OG0001140	XP_005851124.1	scaffold1.g5234.t1
OG0001141	XP_005851123.1	scaffold1.g5237.t1
OG0001142	XP_005851135.1	scaffold430.g5907.t1, scaffold1.g5244.t1
OG0001143	XP_005851115.1	scaffold1.g5260.t1
OG0001144	XP_005851418.1	scaffold1.g5275.t1
OG0001145	XP_005851384.1	scaffold1.g5296.t1
OG0001146	XP_005851436.1	scaffold1.g5325.t1
OG0001147	XP_005851155.1	scaffold1.g5330.t1, scaffold1.g5333.t1, scaffold28.g7538.t1
OG0001148	XP_005851438.1	scaffold1.g5344.t1
OG0001149	XP_005846674.1	scaffold1.g5353.t1
OG0001150	XP_005851477.1, XP_005851476.1	scaffold1.g5383.t1
OG0001151	XP_005851392.1, XP_005850034.1	scaffold1.g5396.t1
OG0001152	XP_005845218.1	scaffold1.g5400.t1
OG0001154	XP_005844545.1	scaffold1.g5460.t1
OG0001155	XP_005851242.1	scaffold1.g5492.t1
OG0001156	XP_005851616.1	scaffold1.g5544.t1
OG0001157	XP_005843691.1	scaffold12.g8283.t1, scaffold1.g5697.t1
OG0001158	XP_005851654.1	scaffold1.g5752.t1
OG0001159	XP_005851282.1	scaffold1.g5770.t1
OG0001160	XP_005851286.1	scaffold1.g5772.t1
OG0001161	XP_005844189.1	scaffold1.g5773.t1, scaffold27.g5990.t1
OG0001162	XP_005851577.1	scaffold1.g5781.t1
OG0001163	XP_005851290.1	scaffold1.g5807.t1
OG0001164	XP_005844770.1	scaffold1.g5854.t1
OG0001165	XP_005852309.1	scaffold1.g5866.t1
OG0001166	XP_005845906.1	scaffold1.g5898.t1, scaffold1.g5878.t1
OG0001167	XP_005843886.1	scaffold1.g5885.t1
OG0001168	XP_005846798.1	scaffold29.g5924.t1
OG0001169	XP_005846650.1	scaffold29.g5925.t1
OG0001170	XP_005845818.1	scaffold29.g5933.t1
OG0001171	XP_005845102.1	scaffold29.g5946.t1
OG0001172	XP_005844303.1, XP_005851838.1	scaffold27.g6026.t1
OG0001175	XP_005850301.1	scaffold22.g6061.t1
OG0001176	XP_005850240.1	scaffold22.g6077.t1
OG0001177	XP_005850011.1	scaffold22.g6080.t1
OG0001178	XP_005849992.1	scaffold22.g6086.t1
OG0001179	XP_005846035.1, XP_005845722.1	scaffold22.g6089.t1
OG0001180	XP_005849989.1	scaffold22.g6106.t1
OG0001181	XP_005850293.1	scaffold22.g6111.t1
OG0001182	XP_005850010.1	scaffold22.g6133.t1
OG0001183	XP_005850255.1	scaffold22.g6152.t1
OG0001184	XP_005846389.1	scaffold3.g6162.t1
OG0001185	XP_005846521.1	scaffold3.g6236.t1
OG0001186	XP_005846318.1	scaffold3.g6249.t1
OG0001187	XP_005846330.1	scaffold3.g6271.t1
OG0001188	XP_005848808.1, XP_005844393.1, XP_005846465.1	scaffold3.g6306.t1
OG0001189	XP_005846277.1	scaffold3.g6341.t1, scaffold3.g6331.t1
OG0001190	XP_005847774.1	scaffold3.g6349.t1
OG0001192	XP_005846475.1	scaffold3.g6420.t1
OG0001193	XP_005846418.1, XP_005846243.1, XP_005846242.1	scaffold3.g6424.t1
OG0001194	XP_005846239.1	scaffold3.g6425.t1
OG0001195	XP_005846951.1	scaffold3.g6513.t1
OG0001196	XP_005845671.1, XP_005846941.1	scaffold3.g6555.t1
OG0001197	XP_005842804.1	scaffold3.g6601.t1
OG0001198	XP_005844422.1, XP_005842727.1	scaffold2.g6814.t1
OG0001199	XP_005851739.1	scaffold2.g6817.t1, scaffold2.g6816.t1
OG0001200	XP_005843581.1, XP_005842570.1	scaffold2.g6887.t1, scaffold2.g6872.t1
OG0001201	XP_005842855.1	scaffold2.g6892.t1
OG0001202	XP_005845666.1, XP_005847638.1	scaffold2.g6939.t1
OG0001203	XP_005843427.1	scaffold2.g6967.t1
OG0001204	XP_005845518.1	scaffold2.g7007.t1
OG0001205	XP_005845675.1	scaffold2.g7031.t1
OG0001207	XP_005848663.1	scaffold2.g7445.t1
OG0001208	XP_005843206.1	scaffold2.g7120.t1, scaffold2.g7094.t1
OG0001209	XP_005846002.1, XP_005845998.1	scaffold2.g7112.t1
OG0001210	XP_005846669.1	scaffold2.g7128.t1
OG0001210	XP_005844586.1	scaffold2.g7170.t1
OG0001211	XP_005843168.1	scaffold2.g7129.t1
OG0001212	XP_005843198.1	scaffold2.g7132.t1
OG0001213	XP_005846974.1	scaffold20.g7629.t1, scaffold20.g7646.t1
OG0001214	XP_005844477.1	scaffold2.g7197.t1
OG0001215	XP_005844742.1, XP_005843153.1	scaffold2.g7208.t1
OG0001216	XP_005843335.1, XP_005843336.1	scaffold2.g7234.t1
OG0001217	XP_005843257.1, XP_005843372.1	scaffold2.g7271.t1
OG0001218	XP_005848770.1, XP_005848769.1, XP_005851162.1	scaffold2.g7299.t1
OG0001219	XP_005848264.1	scaffold2.g7392.t1
OG0001220	XP_005848465.1, XP_005846837.1	scaffold2.g7393.t1
OG0001221	XP_005843040.1, XP_005851643.1	scaffold2.g7424.t1
OG0001222	XP_005848374.1	scaffold2.g7440.t1
OG0001223	XP_005846070.1	scaffold2.g7454.t1
OG0001225	XP_005844121.1	scaffold2.g7509.t1
OG0001226	XP_005844233.1	scaffold2.g7517.t1
OG0001227	XP_005848291.1	scaffold28.g7563.t1
OG0001228	XP_005848293.1	scaffold28.g7564.t1
OG0001229	XP_005848262.1	scaffold28.g7573.t1
OG0001230	XP_005848266.1	scaffold28.g7575.t1
OG0001231	XP_005845538.1	scaffold12.g8085.t1, scaffold20.g7634.t1, scaffold20.g7652.t1, scaffold20.g7668.t1, scaffold20.g7610.t1, scaffold20.g7679.t1
OG0001232	XP_005842626.1	scaffold20.g7628.t1
OG0001233	XP_005847161.1	scaffold20.g7641.t1
OG0001234	XP_005846972.1	scaffold20.g7648.t1
OG0001235	XP_005847166.1, XP_005845974.1	scaffold20.g7670.t1
OG0001236	XP_005847184.1	scaffold20.g7689.t1
OG0001237	XP_005847187.1	scaffold20.g7698.t1
OG0001238	XP_005847110.1	scaffold20.g7724.t1
OG0001239	XP_005851939.1, XP_005846995.1	scaffold20.g7760.t1
OG0001240	XP_005847201.1	scaffold20.g7769.t1
OG0001242	XP_005848130.1	scaffold20.g7780.t1, scaffold20.g7783.t1
OG0001243	XP_005848124.1	scaffold20.g7795.t1
OG0001244	XP_005848719.1	scaffold20.g7809.t1
OG0001245	XP_005848067.1	scaffold20.g7830.t1
OG0001245	XP_005848068.1	scaffold20.g7829.t1
OG0001246	XP_005847629.1	scaffold12.g7920.t1
OG0001247	XP_005842897.1, XP_005847551.1	scaffold12.g7936.t1
OG0001248	XP_005847554.1	scaffold12.g7939.t1
OG0001249	XP_005847731.1	scaffold12.g7954.t1
OG0001250	XP_005847584.1, XP_005847585.1	scaffold12.g7976.t1
OG0001251	XP_005847781.1	scaffold12.g7986.t1
OG0001252	XP_005847783.1	scaffold12.g7994.t1
OG0001253	XP_005847657.1	scaffold12.g8002.t1
OG0001254	XP_005847641.1	scaffold12.g8012.t1
OG0001255	XP_005847645.1	scaffold12.g8017.t1
OG0001256	XP_005847740.1	scaffold12.g8033.t1
OG0001257	XP_005847572.1	scaffold12.g8034.t1
OG0001258	XP_005847580.1	scaffold12.g8036.t1
OG0001259	XP_005847831.1	scaffold12.g8102.t1
OG0001260	XP_005843631.1, XP_005847691.1	scaffold12.g8118.t1
OG0001261	XP_005847669.1	scaffold12.g8142.t1
OG0001262	XP_005843143.1	scaffold12.g8181.t1
OG0001263	XP_005847620.1	scaffold12.g8192.t1
OG0001264	XP_005843653.1	scaffold12.g8212.t1
OG0001265	XP_005843697.1	scaffold12.g8224.t1
OG0001266	XP_005843655.1	scaffold12.g8247.t1, scaffold12.g8245.t1, scaffold12.g8246.t1
OG0001267	XP_005843690.1	scaffold12.g8284.t1
OG0001315	XP_005846625.1	scaffold16.g9.t1
OG0001316	XP_005842916.1	scaffold16.g11.t1, scaffold2.g7300.t1
OG0001317	XP_005847688.1	scaffold12.g8131.t1, scaffold16.g18.t1
OG0001318	XP_005846777.1	scaffold16.g19.t1
OG0001319	XP_005846774.1	scaffold16.g20.t1
OG0001320	XP_005846780.1	scaffold16.g31.t1
OG0001321	XP_005845106.1	scaffold16.g33.t1
OG0001323	XP_005846631.1	scaffold26.g3348.t1, scaffold16.g45.t1
OG0001324	XP_005846771.1	scaffold16.g52.t1
OG0001325	XP_005849739.1	scaffold16.g53.t1, scaffold4.g4731.t1
OG0001326	XP_005846945.1	scaffold16.g67.t1
OG0001327	XP_005845911.1	scaffold16.g74.t1
