HOG	OG	Gene Tree Parent Clade	a99_genome_proteins	c_sorokiniana_genome_proteins	c_variabilis_genome_proteins	c_vulgaris_genome_proteins	m_conductrix_genome_proteins
N3.HOG0002350	OG0001325	n0			XP_005849739.1	KAI3438435.1	
N3.HOG0002351	OG0001326	n0			XP_005846945.1	KAI3438079.1	
N3.HOG0002352	OG0001327	n0			XP_005845911.1	KAI3425174.1	
N3.HOG0002353	OG0001328	n0			XP_005845800.1, XP_005845912.1	KAI3425170.1	
N3.HOG0002354	OG0001330	n0			XP_005845799.1	KAI3425176.1	
N3.HOG0002355	OG0001331	n0			XP_005845901.1	KAI3425307.1	
N3.HOG0002356	OG0001332	n0			XP_005845197.1	KAI3424841.1	
N3.HOG0002357	OG0001333	n0			XP_005845767.1, XP_005842630.1	KAI3425244.1	
N3.HOG0002358	OG0001334	n0			XP_005845822.1	KAI3425122.1	
N3.HOG0002359	OG0001335	n0			XP_005843235.1	KAI3431827.1	
N3.HOG0002360	OG0001336	n0			XP_005845731.1	KAI3425337.1	
N3.HOG0002361	OG0001337	n0			XP_005844732.1	KAI3430574.1	
N3.HOG0002362	OG0001338	n0			XP_005843412.1	KAI3430447.1	
N3.HOG0002363	OG0001339	n0			XP_005844458.1	KAI3430429.1, KAI3430426.1	
N3.HOG0002364	OG0001340	n0			XP_005844556.1, XP_005844557.1	KAI3430425.1	
N3.HOG0002365	OG0001341	n0			XP_005848019.1	KAI3437586.1	
N3.HOG0002366	OG0001342	n0			XP_005851338.1	KAI3433289.1	
N3.HOG0002367	OG0001343	n0				KAI3438039.1	
N3.HOG0002368	OG0001344	n0			XP_005846908.1	KAI3438168.1	
N3.HOG0002369	OG0001345	n2			XP_005851755.1	KAI3429450.1	
N3.HOG0002370	OG0001345	n4			XP_005846530.1		
N3.HOG0002371	OG0001346	n2			XP_005846479.1	KAI3435818.1	
N3.HOG0002372	OG0001346	n4				KAI3427994.1	
N3.HOG0002373	OG0001347	n0			XP_005844103.1	KAI3430608.1, KAI3430609.1	
N3.HOG0002374	OG0001348	n0			XP_005847390.1	KAI3428711.1	
N3.HOG0002375	OG0001349	n0			XP_005844483.1	KAI3430383.1	
N3.HOG0002376	OG0001350	n0				KAI3436833.1	
N3.HOG0002377	OG0001351	n0			XP_005844577.1	KAI3430379.1	
N3.HOG0002378	OG0001352	n0			XP_005844496.1	KAI3430350.1	
N3.HOG0002379	OG0001353	n0			XP_005847500.1	KAI3428471.1, KAI3428468.1	
N3.HOG0002380	OG0001354	n0			XP_005844504.1	KAI3430333.1	
N3.HOG0002381	OG0001355	n0			XP_005844593.1	KAI3430346.1	
N3.HOG0002382	OG0001356	n0			XP_005844600.1	KAI3430323.1	
N3.HOG0002383	OG0001357	n0			XP_005844513.1	KAI3430306.1	
N3.HOG0002384	OG0001358	n0			XP_005844518.1	KAI3430287.1	
N3.HOG0002385	OG0001359	n0			XP_005844526.1	KAI3430272.1	
N3.HOG0002386	OG0001360	n0			XP_005844531.1	KAI3430260.1	
N3.HOG0002387	OG0001361	n0			XP_005844630.1	KAI3430262.1, KAI3430330.1	
N3.HOG0002388	OG0001362	n0			XP_005844533.1	KAI3430254.1, KAI3430256.1	
N3.HOG0002389	OG0001363	n0			XP_005844549.1	KAI3430216.1	
N3.HOG0002390	OG0001364	n0			XP_005850113.1	KAI3428192.1	
N3.HOG0002391	OG0001365	n0			XP_005844841.1, XP_005844840.1	KAI3431727.1	
N3.HOG0002392	OG0001366	n0			XP_005843255.1	KAI3431790.1	
N3.HOG0002393	OG0001367	n0			XP_005843299.1	KAI3431784.1, KAI3431785.1	
N3.HOG0002394	OG0001368	n0			XP_005844930.1	KAI3431751.1, KAI3431752.1	
N3.HOG0002395	OG0001369	n0			XP_005843296.1	KAI3431801.1, KAI3424777.1	
N3.HOG0002396	OG0001370	n0			XP_005843239.1	KAI3431813.1	
N3.HOG0002397	OG0001371	n0			XP_005843240.1	KAI3431811.1	
N3.HOG0002398	OG0001372	n0			XP_005843236.1	KAI3423129.1, KAI3431825.1	
N3.HOG0002399	OG0001373	n0			XP_005843272.1	KAI3431852.1	
N3.HOG0002400	OG0001374	n0			XP_005843270.1	KAI3431856.1	
N3.HOG0002401	OG0001375	n3			XP_005851691.1	KAI3429312.1	
N3.HOG0002402	OG0001375	n4			XP_005848232.1	KAI3426181.1	
N3.HOG0002403	OG0001376	n0			XP_005849652.1	KAI3438809.1	
N3.HOG0002404	OG0001377	n0			XP_005844982.1	KAI3431646.1	
N3.HOG0002405	OG0001378	n0			XP_005849883.1	KAI3438749.1	
N3.HOG0002406	OG0001379	n0			XP_005852218.1	KAI3429700.1	
N3.HOG0002407	OG0001380	n0			XP_005844980.1	KAI3431655.1	
N3.HOG0002408	OG0001381	n0			XP_005844971.1	KAI3431675.1, KAI3431674.1	
N3.HOG0002409	OG0001382	n0			XP_005844865.1	KAI3431667.1	
N3.HOG0002410	OG0001383	n0			XP_005844967.1	KAI3431683.1	
N3.HOG0002411	OG0001384	n3			XP_005844959.1	KAI3431697.1	
N3.HOG0002412	OG0001384	n4			XP_005844850.1	KAI3431698.1	
N3.HOG0002413	OG0001385	n0			XP_005844886.1	KAI3431627.1, KAI3431626.1	
N3.HOG0002414	OG0001386	n0			XP_005852203.1	KAI3431603.1	
N3.HOG0002415	OG0001387	n3			XP_005843811.1		
N3.HOG0002416	OG0001387	n4				KAI3438966.1	
N3.HOG0002417	OG0001388	n0			XP_005844768.1	KAI3430799.1	
N3.HOG0002418	OG0001389	n0			XP_005849512.1		
N3.HOG0002419	OG0001390	n0			XP_005849961.1	KAI3438929.1	
N3.HOG0002420	OG0001391	n0			XP_005849958.1	KAI3438926.1	
N3.HOG0002421	OG0001392	n0			XP_005849964.1	KAI3438934.1	
N3.HOG0002422	OG0001393	n0			XP_005843770.1	KAI3439000.1	
N3.HOG0002423	OG0001394	n0			XP_005843775.1	KAI3439009.1	
N3.HOG0002424	OG0001395	n0			XP_005843756.1	KAI3438956.1, KAI3423017.1	
N3.HOG0002425	OG0001396	n0			XP_005843824.1	KAI3438996.1	
N3.HOG0002426	OG0001397	n0			XP_005843819.1	KAI3438984.1, KAI3438985.1	
N3.HOG0002427	OG0001398	n0			XP_005849956.1	KAI3438924.1, KAI3438923.1	
N3.HOG0002428	OG0001399	n0			XP_005849702.1	KAI3438925.1	
N3.HOG0002429	OG0001400	n0			XP_005845841.1		
N3.HOG0002430	OG0001401	n0			XP_005849889.1, XP_005849888.1	KAI3438759.1	
N3.HOG0002431	OG0001402	n4				KAI3438729.1	
N3.HOG0002432	OG0001403	n0			XP_005844074.1	KAI3430561.1	
N3.HOG0002433	OG0001404	n0			XP_005849695.1	KAI3438906.1, KAI3438905.1	
N3.HOG0002434	OG0001405	n0			XP_005849936.1	KAI3438885.1	
N3.HOG0002435	OG0001406	n3				KAI3438878.1	
N3.HOG0002436	OG0001406	n4				KAI3424175.1	
N3.HOG0002437	OG0001407	n0			XP_005849688.1	KAI3438889.1	
N3.HOG0002438	OG0001408	n0			XP_005851698.1	KAI3429326.1	
N3.HOG0002439	OG0001409	n0			XP_005851986.1	KAI3429243.1	
N3.HOG0002440	OG0001410	n0			XP_005849942.1	KAI3438898.1	
N3.HOG0002441	OG0001411	n0			XP_005849594.1	KAI3438692.1	
N3.HOG0002442	OG0001412	n0			XP_005849598.1	KAI3438698.1	
N3.HOG0002443	OG0001413	n0			XP_005849859.1	KAI3438697.1	
N3.HOG0002444	OG0001414	n0			XP_005849849.1	KAI3438679.1	
N3.HOG0002445	OG0001415	n0			XP_005849845.1, XP_005843631.1	KAI3438667.1	
N3.HOG0002446	OG0001416	n1			XP_005849843.1	KAI3438664.1	
N3.HOG0002447	OG0001416	n3				KAI3433477.1	
N3.HOG0002448	OG0001417	n0			XP_005849842.1	KAI3438662.1	
N3.HOG0002449	OG0001418	n0			XP_005849878.1	KAI3438739.1	
N3.HOG0002450	OG0001419	n0			XP_005849914.1	KAI3432285.1, KAI3438827.1	
N3.HOG0002451	OG0001420	n0			XP_005849871.1	KAI3438722.1	
N3.HOG0002452	OG0001421	n0			XP_005850649.1	KAI3436674.1	
N3.HOG0002453	OG0001422	n0			XP_005849919.1	KAI3438841.1	
N3.HOG0002454	OG0001423	n0			XP_005849920.1	KAI3438844.1	
N3.HOG0002455	OG0001424	n0			XP_005847624.1	KAI3434848.1	
N3.HOG0002456	OG0001425	n0			XP_005849602.1	KAI3438704.1	
N3.HOG0002457	OG0001426	n0			XP_005849861.1	KAI3438702.1	
N3.HOG0002458	OG0001427	n0			XP_005843281.1, XP_005843290.1	KAI3431836.1	
N3.HOG0002459	OG0001428	n0			XP_005847102.1	KAI3438137.1	
N3.HOG0002460	OG0001429	n0			XP_005849840.1	KAI3438655.1	
N3.HOG0002461	OG0001430	n0			XP_005849554.1	KAI3438610.1, KAI3438161.1	
N3.HOG0002462	OG0001431	n0			XP_005849812.1	KAI3438599.1	
N3.HOG0002463	OG0001432	n3				KAI3423835.1	
N3.HOG0002464	OG0001432	n4				KAI3432241.1	
N3.HOG0002465	OG0001433	n0			XP_005844869.1	KAI3431657.1	
N3.HOG0002466	OG0001434	n0			XP_005849809.1	KAI3438590.1	
N3.HOG0002467	OG0001435	n0			XP_005847274.1	KAI3428633.1	
N3.HOG0002468	OG0001436	n0			XP_005848992.1	KAI3426872.1	
N3.HOG0002469	OG0001437	n3			XP_005848997.1		
N3.HOG0002470	OG0001437	n4			XP_005848998.1	KAI3426869.1	
N3.HOG0002471	OG0001438	n0			XP_005847822.1	KAI3425954.1	
N3.HOG0002472	OG0001439	n0			XP_005848794.1	KAI3426839.1, KAI3426840.1	
N3.HOG0002473	OG0001440	n0			XP_005845773.1		
N3.HOG0002474	OG0001441	n0			XP_005849005.1, XP_005849004.1	KAI3426859.1	
N3.HOG0002475	OG0001442	n0			XP_005848757.1	KAI3426923.1	
N3.HOG0002476	OG0001443	n0			XP_005848960.1	KAI3426927.1	
N3.HOG0002477	OG0001444	n0			XP_005845382.1	KAI3436295.1	
N3.HOG0002478	OG0001445	n0			XP_005848956.1	KAI3426943.1	
N3.HOG0002479	OG0001446	n0			XP_005848951.1	KAI3426959.1	
N3.HOG0002480	OG0001447	n0			XP_005848950.1	KAI3426960.1	
N3.HOG0002481	OG0001448	n0			XP_005850442.1	KAI3428365.1	
N3.HOG0002482	OG0001449	n0			XP_005848718.1	KAI3427020.1	
N3.HOG0002483	OG0001450	n0			XP_005845230.1	KAI3424907.1	
N3.HOG0002484	OG0001451	n0			XP_005848714.1	KAI3427027.1	
N3.HOG0002485	OG0001452	n0			XP_005848721.1	KAI3427016.1	
N3.HOG0002486	OG0001453	n0			XP_005848725.1	KAI3427009.1	
N3.HOG0002487	OG0001454	n0			XP_005848724.1	KAI3427011.1	
N3.HOG0002488	OG0001455	n0			XP_005848731.1	KAI3426985.1, KAI3426988.1	
N3.HOG0002489	OG0001456	n0			XP_005851209.1, XP_005848944.1	KAI3426971.1	
N3.HOG0002490	OG0001457	n3				KAI3427000.1	
N3.HOG0002491	OG0001457	n4			XP_005848726.1	KAI3427001.1	
N3.HOG0002492	OG0001458	n0				KAI3426999.1	
N3.HOG0002493	OG0001459	n0			XP_005848870.1	KAI3427127.1	
N3.HOG0002494	OG0001460	n0			XP_005848949.1	KAI3426962.1	
N3.HOG0002495	OG0001461	n0			XP_005848695.1	KAI3427035.1, KAI3427062.1	
N3.HOG0002496	OG0001462	n0			XP_005851288.1, XP_005851289.1	KAI3433423.1	
N3.HOG0002497	OG0001463	n0			XP_005848890.1	KAI3427097.1	
N3.HOG0002498	OG0001464	n0			XP_005848666.1	KAI3427134.1, KAI3430773.1	
N3.HOG0002499	OG0001465	n0			XP_005848917.1	KAI3427043.1	
N3.HOG0002500	OG0001466	n0			XP_005848918.1	KAI3427042.1	
N3.HOG0002501	OG0001467	n0			XP_005852171.1	KAI3429595.1	
N3.HOG0002502	OG0001468	n0			XP_005848850.1	KAI3427167.1	
N3.HOG0002503	OG0001469	n0			XP_005848853.1	KAI3427161.1	
N3.HOG0002504	OG0001470	n0			XP_005848841.1	KAI3427195.1	
N3.HOG0002505	OG0001471	n0			XP_005848843.1, XP_005848635.1	KAI3427186.1	
N3.HOG0002506	OG0001472	n0			XP_005847404.1, XP_005850165.1	KAI3434461.1	
N3.HOG0002507	OG0001473	n0			XP_005845888.1	KAI3425232.1	
N3.HOG0002508	OG0001474	n0			XP_005848855.1	KAI3427154.1	
N3.HOG0002509	OG0001475	n0			XP_005848844.1	KAI3427185.1	
N3.HOG0002510	OG0001476	n0			XP_005848814.1	KAI3427250.1	
N3.HOG0002511	OG0001477	n0			XP_005848645.1	KAI3427169.1	
N3.HOG0002512	OG0001478	n0			XP_005843202.1	KAI3427412.1	
N3.HOG0002513	OG0001479	n0			XP_005850590.1	KAI3436796.1, KAI3436797.1	
N3.HOG0002514	OG0001480	n0			XP_005850893.1, XP_005842601.1	KAI3436744.1	
N3.HOG0002515	OG0001481	n0			XP_005850593.1, XP_005846513.1	KAI3436792.1	
N3.HOG0002516	OG0001482	n0			XP_005850854.1	KAI3436848.1	
N3.HOG0002517	OG0001483	n0			XP_005850629.1	KAI3436707.1	
N3.HOG0002518	OG0001484	n0			XP_005850881.1	KAI3436780.1, KAI3436779.1	
N3.HOG0002519	OG0001485	n0			XP_005850597.1	KAI3436781.1	
N3.HOG0002520	OG0001486	n0			XP_005850887.1	KAI3436765.1	
N3.HOG0002521	OG0001487	n0			XP_005850847.1	KAI3436865.1	
N3.HOG0002522	OG0001488	n0			XP_005850535.1	KAI3435483.1, KAI3435484.1	
N3.HOG0002523	OG0001489	n0			XP_005850530.1, XP_005843245.1	KAI3435490.1	
N3.HOG0002524	OG0001490	n0			XP_005850822.1, XP_005850823.1	KAI3435493.1	
N3.HOG0002525	OG0001491	n0			XP_005850518.1	KAI3435504.1	
N3.HOG0002526	OG0001492	n0			XP_005850808.1	KAI3435525.1	
N3.HOG0002527	OG0001493	n0			XP_005850505.1	KAI3435531.1, KAI3435530.1	
N3.HOG0002528	OG0001494	n0			XP_005850782.1	KAI3435572.1	
N3.HOG0002529	OG0001495	n0			XP_005846557.1	KAI3435618.1, KAI3435617.1	
N3.HOG0002530	OG0001496	n0			XP_005851334.1	KAI3433300.1	
N3.HOG0002531	OG0001497	n0			XP_005848838.1	KAI3427198.1	
N3.HOG0002532	OG0001498	n0			XP_005843933.1, XP_005843934.1	KAI3433845.1	
N3.HOG0002533	OG0001499	n0			XP_005843137.1	KAI3424423.1	
N3.HOG0002534	OG0001500	n0			XP_005842646.1, XP_005843959.1	KAI3434482.1	
N3.HOG0002535	OG0001501	n0			XP_005843916.1	KAI3434403.1	
N3.HOG0002536	OG0001502	n0			XP_005843945.1	KAI3434515.1, KAI3434521.1	
N3.HOG0002537	OG0001503	n0			XP_005845792.1	KAI3425184.1	
N3.HOG0002538	OG0001504	n0			XP_005843960.1	KAI3434467.1	
N3.HOG0002539	OG0001505	n0			XP_005842656.1, XP_005843943.1	KAI3434560.1	
N3.HOG0002540	OG0001506	n0			XP_005847355.1	KAI3423434.1	
N3.HOG0002541	OG0001507	n0			XP_005843958.1	KAI3434485.1	
N3.HOG0002542	OG0001508	n0			XP_005843351.1	KAI3430445.1	
N3.HOG0002543	OG0001509	n0			XP_005850385.1	KAI3428251.1	
N3.HOG0002544	OG0001510	n0			XP_005843948.1	KAI3434536.1	
N3.HOG0002545	OG0001511	n0			XP_005846800.1		
N3.HOG0002546	OG0001512	n2			XP_005846579.1		
N3.HOG0002547	OG0001512	n3			XP_005848194.1	KAI3437549.1	
N3.HOG0002548	OG0001513	n0			XP_005848196.1	KAI3437551.1	
N3.HOG0002549	OG0001514	n0			XP_005848098.1	KAI3437779.1	
N3.HOG0002550	OG0001515	n0			XP_005848106.1	KAI3437763.1	
N3.HOG0002551	OG0001516	n0			XP_005848018.1	KAI3437588.1	
N3.HOG0002552	OG0001517	n0			XP_005848096.1, XP_005842699.1	KAI3437782.1	
N3.HOG0002553	OG0001518	n0			XP_005844439.1	KAI3432435.1	
N3.HOG0002554	OG0001519	n0			XP_005848140.1	KAI3437694.1	
N3.HOG0002555	OG0001520	n3			XP_005847980.1	KAI3437687.1	
N3.HOG0002556	OG0001520	n4				KAI3437686.1	
N3.HOG0002557	OG0001521	n0			XP_005847982.1	KAI3437684.1	
N3.HOG0002558	OG0001522	n0			XP_005847963.1	KAI3437728.1	
N3.HOG0002559	OG0001523	n0			XP_005844010.1, XP_005848089.1	KAI3437794.1	
N3.HOG0002560	OG0001524	n0			XP_005848010.1	KAI3437617.1	
N3.HOG0002561	OG0001525	n0			XP_005850213.1	KAI3428816.1	
N3.HOG0002562	OG0001527	n0			XP_005850223.1	KAI3428776.1	
N3.HOG0002563	OG0001528	n0			XP_005850208.1	KAI3428833.1	
N3.HOG0002564	OG0001529	n0			XP_005850321.1	KAI3428108.1	
N3.HOG0002565	OG0001530	n0			XP_005845210.1	KAI3424875.1	
N3.HOG0002566	OG0001531	n0			XP_005850062.1	KAI3428097.1	
N3.HOG0002567	OG0001532	n0			XP_005850075.1	KAI3428124.1	
N3.HOG0002568	OG0001533	n0			XP_005850349.1	KAI3428168.1, KAI3428167.1	
N3.HOG0002569	OG0001534	n0			XP_005850105.1	KAI3428173.1	
N3.HOG0002570	OG0001535	n0			XP_005850106.1	KAI3428175.1	
N3.HOG0002571	OG0001536	n0			XP_005850096.1	KAI3428154.1	
N3.HOG0002572	OG0001537	n0			XP_005850093.1	KAI3428153.1	
N3.HOG0002573	OG0001538	n0			XP_005847363.1	KAI3428772.1	
N3.HOG0002574	OG0001539	n0			XP_005845621.1	KAI3423427.1	
N3.HOG0002575	OG0001540	n0			XP_005843626.1	KAI3432584.1	
N3.HOG0002576	OG0001541	n0			XP_005850130.1, XP_005850131.1	KAI3428230.1	
N3.HOG0002577	OG0001542	n0			XP_005850136.1		
N3.HOG0002578	OG0001543	n0			XP_005850071.1	KAI3428115.1	
N3.HOG0002579	OG0001544	n0			XP_005850384.1	KAI3428250.1	
N3.HOG0002580	OG0001545	n0			XP_005850272.1	KAI3428017.1	
N3.HOG0002581	OG0001546	n0			XP_005850311.1	KAI3428088.1, KAI3428087.1	
N3.HOG0002582	OG0001547	n0			XP_005846885.1	KAI3438222.1	
N3.HOG0002583	OG0001548	n0			XP_005847191.1	KAI3437980.1	
N3.HOG0002584	OG0001549	n0			XP_005847197.1	KAI3437972.1	
N3.HOG0002585	OG0001550	n0			XP_005847199.1	KAI3437969.1	
N3.HOG0002586	OG0001551	n0			XP_005847125.1	KAI3438095.1	
N3.HOG0002587	OG0001552	n0			XP_005845163.1	KAI3424765.1, KAI3424764.1	
N3.HOG0002588	OG0001553	n0			XP_005845762.1, XP_005846826.1, XP_005846617.1	KAI3423818.1	
N3.HOG0002589	OG0001554	n0			XP_005852169.1	KAI3429598.1	
N3.HOG0002590	OG0001555	n0			XP_005845236.1	KAI3424921.1	
N3.HOG0002591	OG0001556	n0			XP_005845120.1	KAI3424920.1	
N3.HOG0002592	OG0001557	n0			XP_005845121.1	KAI3424922.1	
N3.HOG0002593	OG0001558	n0			XP_005846696.1	KAI3424942.1, KAI3424941.1	
N3.HOG0002594	OG0001559	n0			XP_005845030.1	KAI3424705.1, KAI3424704.1	
N3.HOG0002595	OG0001560	n0			XP_005845942.1	KAI3431264.1	
N3.HOG0002596	OG0001561	n0			XP_005846081.1	KAI3431263.1	
N3.HOG0002597	OG0001562	n0			XP_005851258.1	KAI3433502.1	
N3.HOG0002598	OG0001563	n1				KAI3431276.1	
N3.HOG0002599	OG0001564	n0			XP_005846088.1	KAI3431281.1	
N3.HOG0002600	OG0001565	n0			XP_005845951.1	KAI3431275.1	
N3.HOG0002601	OG0001566	n0			XP_005846076.1	KAI3431258.1	
N3.HOG0002602	OG0001567	n0			XP_005846042.1	KAI3431467.1	
N3.HOG0002603	OG0001568	n0			XP_005846176.1	KAI3431469.1	
N3.HOG0002604	OG0001569	n0			XP_005846044.1		
N3.HOG0002605	OG0001570	n0			XP_005846041.1	KAI3431465.1	
N3.HOG0002606	OG0001571	n0			XP_005845598.1	KAI3424208.1	
N3.HOG0002607	OG0001572	n0			XP_005846092.1, XP_005843529.1	KAI3431301.1	
N3.HOG0002608	OG0001573	n0			XP_005845975.1	KAI3431314.1	
N3.HOG0002609	OG0001574	n0			XP_005844949.1	KAI3431723.1	
N3.HOG0002610	OG0001575	n0			XP_005846110.1	KAI3431332.1	
N3.HOG0002611	OG0001576	n0			XP_005846139.1	KAI3431384.1	
N3.HOG0002612	OG0001577	n0			XP_005846135.1	KAI3423187.1, KAI3431380.1	
N3.HOG0002613	OG0001578	n0			XP_005844856.1, XP_005846030.1	KAI3431438.1	
N3.HOG0002614	OG0001579	n0			XP_005846025.1	KAI3431423.1	
N3.HOG0002615	OG0001580	n0			XP_005845833.1, XP_005845832.1	KAI3425351.1	
N3.HOG0002616	OG0001581	n0			XP_005846026.1	KAI3431421.1	
N3.HOG0002617	OG0001582	n0			XP_005845661.1	KAI3424127.1, KAI3424126.1	
N3.HOG0002618	OG0001583	n0			XP_005844940.1, XP_005848609.1		
N3.HOG0002619	OG0001584	n0			XP_005846147.1	KAI3431405.1	
N3.HOG0002620	OG0001585	n0			XP_005846023.1	KAI3431427.1	
N3.HOG0002621	OG0001586	n0			XP_005846013.1	KAI3431395.1, KAI3431396.1	
N3.HOG0002622	OG0001587	n0			XP_005846141.1	KAI3431394.1	
N3.HOG0002623	OG0001588	n0			XP_005852012.1	KAI3424687.1	
N3.HOG0002624	OG0001589	n0			XP_005846172.1	KAI3431459.1	
N3.HOG0002625	OG0001590	n0			XP_005849033.1	KAI3435002.1	
N3.HOG0002626	OG0001591	n0			XP_005845005.1	KAI3431587.1, KAI3431586.1	
N3.HOG0002627	OG0001592	n0				KAI3431563.1	
N3.HOG0002628	OG0001593	n0			XP_005845019.1, XP_005845020.1	KAI3431556.1	
N3.HOG0002629	OG0001594	n0			XP_005846212.1	KAI3431543.1, KAI3431542.1	
N3.HOG0002630	OG0001595	n0			XP_005844925.1	KAI3431544.1	
N3.HOG0002631	OG0001596	n0			XP_005844725.1	KAI3430863.1	
N3.HOG0002632	OG0001597	n0			XP_005844747.1	KAI3430740.1, KAI3430741.1	
N3.HOG0002633	OG0001598	n0			XP_005846868.1	KAI3438269.1	
N3.HOG0002634	OG0001599	n0			XP_005847406.1	KAI3428673.1	
N3.HOG0002635	OG0001600	n0			XP_005843609.1	KAI3432644.1	
N3.HOG0002636	OG0001601	n0			XP_005843542.1, XP_005842584.1	KAI3432672.1	
N3.HOG0002637	OG0001602	n0			XP_005846849.1	KAI3438307.1, KAI3438306.1	
N3.HOG0002638	OG0001603	n0			XP_005843613.1, XP_005850013.1	KAI3432626.1	
N3.HOG0002639	OG0001604	n0			XP_005845642.1	KAI3424192.1	
N3.HOG0002640	OG0001605	n2			XP_005844694.1		
N3.HOG0002641	OG0001605	n3			XP_005846845.1	KAI3438319.1	
N3.HOG0002642	OG0001606	n0			XP_005843554.1	KAI3432618.1	
N3.HOG0002643	OG0001607	n0			XP_005843569.1	KAI3432606.1	
N3.HOG0002644	OG0001608	n0			XP_005847370.1	KAI3428747.1, KAI3428748.1	
N3.HOG0002645	OG0001609	n0			XP_005847369.1	KAI3428750.1	
N3.HOG0002646	OG0001610	n0			XP_005850154.1	KAI3428288.1	
N3.HOG0002647	OG0001611	n0			XP_005850143.1	KAI3428255.1	
N3.HOG0002648	OG0001612	n0			XP_005850400.1	KAI3428277.1	
N3.HOG0002649	OG0001613	n0			XP_005850146.1	KAI3428268.1	
N3.HOG0002650	OG0001614	n0			XP_005842545.1, XP_005842638.1	KAI3428305.1	
N3.HOG0002651	OG0001615	n0				KAI3434473.1, KAI3432805.1, KAI3432433.1, KAI3438705.1	
N3.HOG0002652	OG0001616	n0			XP_005850859.1, XP_005846537.1	KAI3436839.1	
N3.HOG0002653	OG0001617	n0			XP_005847088.1	KAI3438172.1	
N3.HOG0002654	OG0001618	n0			XP_005850563.1	KAI3436845.1	
N3.HOG0002655	OG0001619	n0			XP_005850856.1	KAI3436846.1	
N3.HOG0002656	OG0001620	n0			XP_005847263.1	KAI3428667.1	
N3.HOG0002657	OG0001621	n0			XP_005850653.1	KAI3436663.1	
N3.HOG0002658	OG0001622	n0			XP_005850924.1	KAI3436684.1, KAI3436683.1	
N3.HOG0002659	OG0001623	n0			XP_005850973.1	KAI3436589.1, KAI3436588.1	
N3.HOG0002660	OG0001624	n0			XP_005851000.1	KAI3436524.1	
N3.HOG0002661	OG0001625	n0			XP_005851025.1	KAI3436461.1	
N3.HOG0002662	OG0001626	n3			XP_005850278.1	KAI3428029.1	
N3.HOG0002663	OG0001626	n4			XP_005851073.1	KAI3428030.1	
N3.HOG0002664	OG0001627	n0			XP_005846667.1	KAI3424987.1	
N3.HOG0002665	OG0001628	n0			XP_005850950.1	KAI3436634.1	
N3.HOG0002666	OG0001629	n0			XP_005850951.1	KAI3436633.1	
N3.HOG0002667	OG0001630	n3			XP_005852271.1		
N3.HOG0002668	OG0001630	n4			XP_005850672.1	KAI3436620.1	
N3.HOG0002669	OG0001631	n0			XP_005850675.1	KAI3436615.1	
N3.HOG0002670	OG0001632	n0			XP_005850019.1, XP_005850948.1		
N3.HOG0002671	OG0001633	n0			XP_005850628.1	KAI3436709.1	
N3.HOG0002672	OG0001634	n3			XP_005846209.1		
N3.HOG0002673	OG0001634	n4			XP_005845955.1		
N3.HOG0002674	OG0001635	n0			XP_005850695.1	KAI3436576.1	
N3.HOG0002675	OG0001636	n0			XP_005851618.1	KAI3433346.1, KAI3436604.1	
N3.HOG0002676	OG0001637	n0			XP_005843410.1	KAI3430453.1	
N3.HOG0002677	OG0001638	n0			XP_005847382.1	KAI3428721.1	
N3.HOG0002678	OG0001639	n0			XP_005844800.1	KAI3430860.1	
N3.HOG0002679	OG0001640	n2			XP_005845920.1		
N3.HOG0002680	OG0001640	n4			XP_005852005.1		
N3.HOG0002681	OG0001641	n0			XP_005850909.1	KAI3436717.1, KAI3436715.1	
N3.HOG0002682	OG0001642	n0			XP_005850749.1	KAI3436445.1	
N3.HOG0002683	OG0001643	n0			XP_005851036.1	KAI3436434.1	
N3.HOG0002684	OG0001644	n0			XP_005849866.1, XP_005842749.1	KAI3438629.1	
N3.HOG0002685	OG0001645	n0			XP_005851043.1	KAI3436415.1	
N3.HOG0002686	OG0001646	n0			XP_005851054.1	KAI3436388.1	
N3.HOG0002687	OG0001647	n0			XP_005847714.1	KAI3425695.1	
N3.HOG0002688	OG0001648	n0			XP_005845780.1	KAI3425220.1	
N3.HOG0002689	OG0001649	n1				KAI3425195.1	
N3.HOG0002690	OG0001649	n3				KAI3425196.1	
N3.HOG0002691	OG0001651	n0			XP_005852011.1	KAI3429290.1, KAI3429292.1	
N3.HOG0002692	OG0001652	n0			XP_005852008.1	KAI3429283.1	
N3.HOG0002693	OG0001653	n2			XP_005852013.1	KAI3429296.1	
N3.HOG0002694	OG0001654	n0			XP_005847560.1, XP_005851114.1	KAI3425762.1	
N3.HOG0002695	OG0001655	n3			XP_005852305.1	KAI3429250.1	
N3.HOG0002696	OG0001655	n4			XP_005851988.1		
N3.HOG0002697	OG0001656	n0			XP_005852024.1	KAI3429318.1	
N3.HOG0002698	OG0001657	n0			XP_005852003.1	KAI3429276.1, KAI3429277.1	
N3.HOG0002699	OG0001658	n0			XP_005848819.1	KAI3427232.1	
N3.HOG0002700	OG0001659	n0			XP_005851776.1	KAI3429498.1	
N3.HOG0002701	OG0001660	n0			XP_005847520.1	KAI3428437.1	
N3.HOG0002702	OG0001662	n0			XP_005851724.1	KAI3429382.1	
N3.HOG0002703	OG0001663	n0			XP_005852129.1	KAI3429523.1, KAI3429522.1	
