HOG	OG	Gene Tree Parent Clade	a99_genome_proteins	c_sorokiniana_genome_proteins	c_variabilis_genome_proteins	c_vulgaris_genome_proteins	m_conductrix_genome_proteins
N1.HOG0000992	OG0000461	n4		PRW61124.1			PSC73013.1
N1.HOG0000993	OG0000462	n1		PRW45720.1			PSC67097.1
N1.HOG0000994	OG0000462	n5		PRW45614.1			PSC68224.1
N1.HOG0000995	OG0000463	n0		PRW45450.1, PRW45425.1, PRW45622.1			PSC68971.1
N1.HOG0000996	OG0000464	n1		PRW33663.1			PSC69431.1, PSC69430.1
N1.HOG0000997	OG0000464	n6		PRW57650.1			
N1.HOG0000998	OG0000464	n7		PRW44883.1			
N1.HOG0000999	OG0000465	n0		PRW56610.1			PSC71643.1
N1.HOG0001000	OG0000466	n0		PRW57965.1, PRW60222.1			
N1.HOG0001001	OG0000467	n2					PSC71865.1
N1.HOG0001002	OG0000467	n4					PSC77053.1
N1.HOG0001003	OG0000468	n0		PRW39289.1, PRW39290.1			PSC72003.1
N1.HOG0001004	OG0000469	n0		PRW05928.1			PSC67789.1, PSC67764.1
N1.HOG0001005	OG0000470	n0		PRW60862.1, PRW61223.1			PSC68503.1, PSC67195.1, PSC67192.1
N1.HOG0001006	OG0000471	n1		PRW60850.1			PSC68153.1
N1.HOG0001007	OG0000471	n5		PRW45619.1			PSC73839.1
N1.HOG0001008	OG0000472	n0		PRW61160.1, PRW61159.1			PSC70532.1, PSC70533.1
N1.HOG0001009	OG0000473	n3					PSC67538.1
N1.HOG0001010	OG0000473	n6					PSC76381.1, PSC76971.1
N1.HOG0001011	OG0000474	n1		PRW55952.1			
N1.HOG0001012	OG0000474	n4					PSC72100.1
N1.HOG0001013	OG0000475	n1		PRW20839.1			
N1.HOG0001014	OG0000475	n4		PRW59075.1			PSC73693.1
N1.HOG0001015	OG0000476	n0		PRW33815.1, PRW33816.1			PSC77005.1
N1.HOG0001016	OG0000477	n1		PRW58869.1			
N1.HOG0001017	OG0000477	n4		PRW61353.1			PSC73468.1
N1.HOG0001018	OG0000478	n1		PRW56343.1			PSC71556.1
N1.HOG0001019	OG0000478	n5		PRW59910.1			PSC68373.1
N1.HOG0001020	OG0000479	n4		PRW33643.1			PSC67393.1
N1.HOG0001021	OG0000479	n6		PRW33658.1, PRW33659.1			
N1.HOG0001022	OG0000480	n0		PRW05851.1			PSC75848.1, PSC75501.1
N1.HOG0001023	OG0000481	n0		PRW33732.1			PSC70020.1
N1.HOG0001024	OG0000482	n0		PRW33603.1, PRW33602.1			PSC74963.1
N1.HOG0001025	OG0000483	n1		PRW60462.1			PSC70712.1
N1.HOG0001026	OG0000483	n5		PRW50936.1			PSC70183.1
N1.HOG0001027	OG0000484	n0		PRW44400.1, PRW44401.1			PSC75300.1
N1.HOG0001028	OG0000485	n2		PRW45033.1			PSC67733.1, PSC67732.1
N1.HOG0001029	OG0000485	n6		PRW59698.1			PSC71083.1
N1.HOG0001030	OG0000486	n1		PRW60792.1			PSC75044.1
N1.HOG0001031	OG0000486	n4		PRW60785.1			PSC68152.1
N1.HOG0001032	OG0000487	n1		PRW56705.1			PSC70549.1, PSC70488.1
N1.HOG0001033	OG0000487	n4		PRW56495.1			PSC72729.1
N1.HOG0001034	OG0000488	n1					PSC68764.1
N1.HOG0001035	OG0000488	n4		PRW60249.1			PSC74849.1, PSC74848.1
N1.HOG0001036	OG0000489	n2					PSC74075.1
N1.HOG0001037	OG0000489	n5					PSC74230.1
N1.HOG0001038	OG0000490	n2		PRW60501.1			PSC74906.1
N1.HOG0001039	OG0000490	n5		PRW50871.1			PSC69218.1
N1.HOG0001040	OG0000491	n0		PRW20354.1			PSC74567.1, PSC74568.1, PSC74566.1
N1.HOG0001041	OG0000492	n0		PRW33924.1, PRW33923.1			PSC76352.1, PSC76353.1, PSC67425.1, PSC67426.1
N1.HOG0001042	OG0000493	n0		PRW57952.1			PSC73135.1
N1.HOG0001043	OG0000494	n2		PRW57672.1			PSC73082.1
N1.HOG0001044	OG0000494	n5		PRW60323.1			PSC68169.1
N1.HOG0001045	OG0000495	n2		PRW58054.1			PSC73053.1
N1.HOG0001046	OG0000495	n5		PRW56986.1			PSC73766.1
N1.HOG0001047	OG0000496	n2		PRW45661.1, PRW45660.1			
N1.HOG0001048	OG0000496	n6		PRW45599.1			
N1.HOG0001049	OG0000497	n1		PRW57801.1			PSC72989.1
N1.HOG0001050	OG0000497	n4		PRW57905.1			PSC73014.1
N1.HOG0001051	OG0000498	n1		PRW33869.1, PRW45713.1			PSC76333.1
N1.HOG0001052	OG0000498	n6					PSC76175.1
N1.HOG0001053	OG0000499	n1		PRW45370.1			PSC68789.1
N1.HOG0001054	OG0000499	n4		PRW45250.1, PRW45251.1			PSC70375.1
N1.HOG0001055	OG0000500	n1		PRW33868.1			PSC70144.1
N1.HOG0001056	OG0000500	n5		PRW20706.1			PSC68795.1
N1.HOG0001057	OG0000501	n3		PRW60639.1, PRW60833.1			
N1.HOG0001058	OG0000501	n5		PRW60366.1			
N1.HOG0001059	OG0000501	n7					PSC68496.1, PSC68497.1
N1.HOG0001060	OG0000502	n0		PRW60497.1			PSC67065.1, PSC67093.1, PSC67117.1, PSC69319.1, PSC67060.1
N1.HOG0001061	OG0000503	n1		PRW60456.1			
N1.HOG0001062	OG0000503	n4		PRW60313.1			PSC74907.1
N1.HOG0001063	OG0000504	n2		PRW56772.1			PSC70613.1
N1.HOG0001064	OG0000504	n6		PRW56831.1			PSC74803.1
N1.HOG0001065	OG0000505	n2		PRW58099.1			PSC76125.1
N1.HOG0001066	OG0000505	n5		PRW44896.1			PSC73376.1
N1.HOG0001067	OG0000506	n2		PRW45064.1			
N1.HOG0001068	OG0000506	n5		PRW45097.1			
N1.HOG0001069	OG0000507	n1		PRW55962.1			PSC71597.1
N1.HOG0001070	OG0000507	n4		PRW39302.1			PSC75319.1
N1.HOG0001071	OG0000508	n2					PSC73232.1
N1.HOG0001072	OG0000508	n5					PSC73373.1
N1.HOG0001073	OG0000509	n1		PRW20589.1			PSC74874.1
N1.HOG0001074	OG0000509	n3		PRW60457.1			PSC74285.1
N1.HOG0001075	OG0000510	n1		PRW21124.1			PSC71847.1
N1.HOG0001076	OG0000510	n4					PSC71848.1, PSC76135.1, PSC76134.1
N1.HOG0001077	OG0000511	n3		PRW57490.1			PSC69463.1, PSC69461.1, PSC69464.1
N1.HOG0001078	OG0000511	n7		PRW58892.1			PSC77030.1
N1.HOG0001079	OG0000512	n2					PSC76032.1
N1.HOG0001080	OG0000512	n5					PSC76532.1
N1.HOG0001081	OG0000513	n4					PSC77066.1
N1.HOG0001082	OG0000513	n6		PRW59060.1			PSC76889.1
N1.HOG0001083	OG0000514	n1		PRW59059.1			PSC73830.1
N1.HOG0001084	OG0000514	n5		PRW58893.1			
N1.HOG0001085	OG0000515	n0		PRW44623.1, PRW44622.1			PSC69958.1, PSC69960.1, PSC69959.1
N1.HOG0001086	OG0000516	n2		PRW44449.1			PSC69919.1
N1.HOG0001087	OG0000516	n5		PRW57633.1			PSC69817.1
N1.HOG0001088	OG0000517	n1					PSC75464.1
N1.HOG0001089	OG0000517	n4		PRW61299.1, PRW61298.1			PSC74328.1
N1.HOG0001090	OG0000518	n1		PRW20550.1			
N1.HOG0001091	OG0000518	n3		PRW59073.1			PSC75565.1, PSC75325.1, PSC75682.1
N1.HOG0001092	OG0000519	n2		PRW57605.1			
N1.HOG0001093	OG0000519	n5		PRW57872.1			
N1.HOG0001094	OG0000520	n0		PRW39135.1			PSC75620.1, PSC67199.1, PSC67197.1, PSC67585.1, PSC67584.1
N1.HOG0001095	OG0000521	n1		PRW58092.1			
N1.HOG0001096	OG0000521	n3		PRW58473.1			PSC75613.1
N1.HOG0001097	OG0000522	n2		PRW58282.1			PSC75317.1
N1.HOG0001098	OG0000522	n5		PRW58711.1			PSC76002.1
N1.HOG0001099	OG0000523	n0		PRW58664.1, PRW58663.1			PSC67243.1, PSC67074.1
N1.HOG0001100	OG0000524	n0		PRW58697.1			PSC75702.1, PSC75703.1
N1.HOG0001101	OG0000525	n1		PRW60884.1, PRW60883.1			PSC70517.1, PSC70516.1
N1.HOG0001102	OG0000525	n6		PRW59664.1			
N1.HOG0001103	OG0000526	n0		PRW58640.1			PSC75067.1
N1.HOG0001104	OG0000527	n4		PRW58557.1			
N1.HOG0001105	OG0000527	n6		PRW58561.1			
N1.HOG0001106	OG0000528	n2					PSC76531.1
N1.HOG0001107	OG0000528	n4		PRW58410.1, PRW58120.1			PSC76252.1
N1.HOG0001108	OG0000529	n1					PSC68701.1, PSC68702.1
N1.HOG0001109	OG0000529	n4		PRW32685.1			
N1.HOG0001110	OG0000529	n6		PRW32671.1			
N1.HOG0001111	OG0000530	n3					PSC73575.1
N1.HOG0001112	OG0000530	n5					PSC73867.1, PSC73868.1
N1.HOG0001113	OG0000531	n0		PRW58149.1			PSC73908.1
N1.HOG0001114	OG0000532	n0		PRW58786.1, PRW58787.1, PRW58809.1			PSC76682.1, PSC69706.1, PSC76957.1
N1.HOG0001115	OG0000533	n2		PRW58624.1			PSC76833.1
N1.HOG0001116	OG0000533	n5		PRW58666.1			PSC76681.1
N1.HOG0001117	OG0000534	n2		PRW57462.1			
N1.HOG0001118	OG0000534	n5		PRW57177.1			
N1.HOG0001119	OG0000535	n0					PSC72433.1, PSC72402.1
N1.HOG0001120	OG0000536	n0		PRW58031.1, PRW58030.1			PSC74762.1
N1.HOG0001121	OG0000537	n2		PRW61418.1			PSC70580.1
N1.HOG0001122	OG0000537	n5		PRW45465.1			PSC73924.1
N1.HOG0001123	OG0000538	n1		PRW45701.1			PSC73859.1, PSC73858.1
N1.HOG0001124	OG0000538	n5		PRW45592.1			PSC73644.1
N1.HOG0001125	OG0000539	n1		PRW45510.1			PSC73737.1
N1.HOG0001126	OG0000539	n5					PSC73628.1
N1.HOG0001127	OG0000540	n0		PRW20335.1			PSC74802.1, PSC77036.1
N1.HOG0001128	OG0000541	n0		PRW56820.1			PSC71256.1, PSC71257.1
N1.HOG0001129	OG0000542	n0		PRW56646.1, PRW56647.1			PSC72473.1
N1.HOG0001130	OG0000543	n1		PRW58620.1			
N1.HOG0001131	OG0000543	n4		PRW59614.1			PSC69702.1
N1.HOG0001132	OG0000544	n2		PRW59553.1			PSC69628.1
N1.HOG0001133	OG0000544	n5		PRW60009.1			PSC69615.1
N1.HOG0001134	OG0000545	n1					PSC68315.1
N1.HOG0001135	OG0000545	n4		PRW59692.1			PSC68304.1
N1.HOG0001136	OG0000546	n1					PSC68364.1
N1.HOG0001137	OG0000546	n6		PRW59464.1			
N1.HOG0001138	OG0000547	n0		PRW59700.1			PSC70377.1, PSC70378.1, PSC68349.1
N1.HOG0001139	OG0000548	n0		PRW33002.1			PSC68379.1, PSC68381.1, PSC68380.1
N1.HOG0001140	OG0000549	n1					PSC71285.1
N1.HOG0001141	OG0000549	n4		PRW59592.1			PSC71413.1
N1.HOG0001142	OG0000550	n0		PRW59954.1, PRW60123.1, PRW59829.1, PRW59739.1			PSC71724.1
N1.HOG0001143	OG0000551	n1		PRW59792.1			PSC70605.1
N1.HOG0001144	OG0000551	n6					PSC76130.1
N1.HOG0001145	OG0000552	n1		PRW59781.1			
N1.HOG0001146	OG0000552	n4		PRW59687.1			PSC73123.1
N1.HOG0001147	OG0000553	n0		PRW60097.1, PRW60098.1			PSC73021.1
N1.HOG0001148	OG0000554	n1		PRW61587.1, PRW61588.1			
N1.HOG0001149	OG0000554	n5					PSC74485.1
N1.HOG0001150	OG0000554	n7					PSC74729.1
N1.HOG0001151	OG0000555	n0		PRW61410.1			PSC67298.1, PSC67007.1, PSC67119.1, PSC67051.1
N1.HOG0001152	OG0000556	n0		PRW50797.1			PSC75326.1
N1.HOG0001153	OG0000557	n0					PSC70619.1
N1.HOG0001154	OG0000558	n1		PRW32984.1			PSC76530.1
N1.HOG0001155	OG0000558	n5					PSC73041.1
N1.HOG0001156	OG0000559	n0		PRW20297.1, PRW20296.1			PSC70691.1
N1.HOG0001157	OG0000560	n0		PRW20232.1			PSC70824.1, PSC70825.1
N1.HOG0001158	OG0000561	n0		PRW57293.1, PRW60911.1, PRW45635.1, PRW45610.1, PRW45611.1			PSC73816.1
N1.HOG0001159	OG0000562	n1		PRW45569.1			PSC73660.1
N1.HOG0001160	OG0000562	n3		PRW60931.1			PSC74273.1
N1.HOG0001161	OG0000563	n2					PSC67724.1
N1.HOG0001162	OG0000563	n5					PSC67726.1
N1.HOG0001163	OG0000564	n0		PRW58753.1			PSC70126.1, PSC67155.1, PSC72020.1
N1.HOG0001164	OG0000565	n2		PRW57439.1			
N1.HOG0001165	OG0000565	n5		PRW57285.1			
N1.HOG0001166	OG0000566	n2					PSC76253.1
N1.HOG0001167	OG0000566	n4		PRW61232.1			PSC74838.1
N1.HOG0001168	OG0000567	n3					PSC70728.1
N1.HOG0001169	OG0000567	n5		PRW57517.1			PSC70787.1
N1.HOG0001170	OG0000568	n0		PRW20811.1, PRW20813.1, PRW20812.1			PSC67813.1, PSC67814.1, PSC67815.1
N1.HOG0001171	OG0000569	n3					PSC75097.1, PSC75098.1
N1.HOG0001172	OG0000569	n6					PSC75069.1
N1.HOG0001173	OG0000570	n1		PRW57785.1			PSC74518.1
N1.HOG0001174	OG0000570	n5		PRW57784.1			PSC74457.1
N1.HOG0001175	OG0000571	n0		PRW34003.1, PRW34004.1			PSC70159.1
N1.HOG0001176	OG0000572	n2					PSC70141.1
N1.HOG0001177	OG0000572	n5					PSC70191.1
N1.HOG0001178	OG0000573	n1		PRW61174.1, PRW61175.1			
N1.HOG0001179	OG0000573	n3					PSC74695.1
N1.HOG0001180	OG0000573	n6					PSC74517.1
N1.HOG0001181	OG0000574	n0		PRW20431.1			PSC74614.1, PSC74612.1, PSC74613.1
N1.HOG0001182	OG0000575	n1		PRW20358.1			
N1.HOG0001183	OG0000575	n4		PRW20357.1			PSC74447.1
N1.HOG0001184	OG0000576	n1					PSC69305.1
N1.HOG0001185	OG0000576	n2		PRW33286.1, PRW20258.1, PRW20301.1			PSC68652.1, PSC68640.1
N1.HOG0001186	OG0000577	n0		PRW56843.1, PRW56690.1, PRW56713.1, PRW44275.1, PRW57803.1, PRW32914.1			PSC72583.1
N1.HOG0001187	OG0000578	n1		PRW33278.1			PSC69068.1
N1.HOG0001188	OG0000578	n4		PRW56307.1			PSC69069.1
N1.HOG0001189	OG0000579	n1					PSC68382.1
N1.HOG0001190	OG0000579	n3		PRW39271.1, PRW39125.1, PRW39084.1			PSC71139.1
N1.HOG0001191	OG0000580	n1		PRW39394.1			PSC67923.1
N1.HOG0001192	OG0000580	n4		PRW55914.1, PRW55915.1			
N1.HOG0001193	OG0000581	n1					PSC70353.1
N1.HOG0001194	OG0000581	n4		PRW45220.1			PSC70352.1, PSC70354.1
N1.HOG0001195	OG0000582	n2		PRW58483.1, PRW56406.1			
N1.HOG0001196	OG0000582	n6		PRW58312.1			
N1.HOG0001197	OG0000583	n2					PSC67746.1
N1.HOG0001198	OG0000583	n4					PSC72455.1
N1.HOG0001199	OG0000584	n1					PSC72728.1
N1.HOG0001200	OG0000584	n3		PRW57966.1, PRW58044.1			PSC70648.1
N1.HOG0001201	OG0000585	n0		PRW58910.1			PSC71913.1, PSC67839.1, PSC67865.1
N1.HOG0001202	OG0000591	n0					PSC73784.1, PSC75900.1, PSC73117.1, PSC74909.1, PSC67113.1, PSC67164.1, PSC67595.1, PSC75025.1, PSC67231.1
N1.HOG0001203	OG0000592	n0		PRW32934.1			PSC72999.1, PSC73001.1, PSC73000.1, PSC73002.1
N1.HOG0001204	OG0000593	n2					PSC69398.1
N1.HOG0001205	OG0000593	n5					PSC69309.1, PSC69308.1
N1.HOG0001206	OG0000594	n0		PRW33588.1			PSC70064.1
N1.HOG0001207	OG0000595	n0		PRW33538.1			PSC67313.1
N1.HOG0001208	OG0000596	n0		PRW58167.1			PSC71326.1
N1.HOG0001209	OG0000597	n0		PRW32955.1, PRW32956.1, PRW33009.1, PRW32957.1			PSC69116.1
N1.HOG0001210	OG0000598	n0		PRW33035.1			PSC69136.1
N1.HOG0001211	OG0000599	n3		PRW20221.1			
N1.HOG0001212	OG0000599	n5		PRW20300.1			
N1.HOG0001213	OG0000600	n1					PSC71334.1
N1.HOG0001214	OG0000600	n3		PRW20211.1			PSC71249.1
N1.HOG0001215	OG0000601	n1		PRW20229.1			
N1.HOG0001216	OG0000601	n3		PRW20228.1			PSC71226.1
N1.HOG0001217	OG0000602	n0		PRW20538.1			PSC67169.1, PSC68087.1, PSC68086.1, PSC68088.1
N1.HOG0001218	OG0000603	n1		PRW61386.1			
N1.HOG0001219	OG0000603	n5		PRW60834.1			
N1.HOG0001220	OG0000604	n1		PRW57269.1			
N1.HOG0001221	OG0000604	n4		PRW57232.1			PSC70749.1
N1.HOG0001222	OG0000605	n3					PSC69278.1
N1.HOG0001223	OG0000605	n6					PSC69235.1
N1.HOG0001224	OG0000606	n0		PRW60436.1, PRW60437.1			PSC75080.1
N1.HOG0001225	OG0000607	n2		PRW33201.1			
N1.HOG0001226	OG0000607	n4		PRW60148.1			PSC73849.1
N1.HOG0001227	OG0000608	n2		PRW20885.1			
N1.HOG0001228	OG0000608	n6		PRW60745.1			
N1.HOG0001229	OG0000609	n3		PRW61285.1			
N1.HOG0001230	OG0000609	n4		PRW56422.1			
N1.HOG0001231	OG0000610	n1		PRW33255.1			
N1.HOG0001232	OG0000610	n2		PRW33247.1			PSC68665.1
N1.HOG0001233	OG0000611	n0		PRW58716.1, PRW45574.1, PRW56871.1, PRW56870.1, PRW56542.1, PRW33507.1			
N1.HOG0001234	OG0000612	n0		PRW59078.1, PRW59077.1			PSC72425.1
N1.HOG0001235	OG0000613	n1		PRW59033.1			
N1.HOG0001236	OG0000613	n4		PRW59206.1			PSC67927.1
N1.HOG0001237	OG0000614	n0		PRW59272.1			PSC73454.1
N1.HOG0001238	OG0000615	n1					PSC72089.1
N1.HOG0001239	OG0000615	n3		PRW58960.1			PSC76270.1
N1.HOG0001240	OG0000616	n3		PRW59436.1			
N1.HOG0001241	OG0000616	n5		PRW59312.1			
N1.HOG0001242	OG0000617	n3					PSC75796.1
N1.HOG0001243	OG0000617	n5					PSC75361.1
N1.HOG0001244	OG0000618	n0		PRW33196.1			PSC73792.1
N1.HOG0001245	OG0000619	n0		PRW59341.1, PRW59342.1			PSC67858.1
N1.HOG0001246	OG0000620	n1					PSC71910.1
N1.HOG0001247	OG0000620	n4		PRW59383.1			PSC71885.1
N1.HOG0001248	OG0000621	n0		PRW58981.1, PRW58979.1, PRW58980.1			PSC75233.1, PSC75232.1
N1.HOG0001249	OG0000622	n3		PRW59180.1			
N1.HOG0001250	OG0000622	n5		PRW59213.1			
N1.HOG0001251	OG0000623	n1					PSC67871.1
N1.HOG0001252	OG0000623	n2		PRW59121.1			PSC70783.1
N1.HOG0001253	OG0000624	n0		PRW57819.1			PSC67692.1
N1.HOG0001254	OG0000625	n0		PRW33618.1, PRW33536.1, PRW33692.1, PRW33572.1, PRW33571.1			
N1.HOG0001255	OG0000626	n2					PSC75802.1
N1.HOG0001256	OG0000626	n5					PSC69435.1
N1.HOG0001257	OG0000627	n0		PRW50879.1, PRW50878.1			PSC69732.1, PSC69731.1
N1.HOG0001258	OG0000628	n3		PRW32629.1			
N1.HOG0001259	OG0000628	n5		PRW32601.1			
N1.HOG0001260	OG0000629	n2		PRW44480.1			
N1.HOG0001261	OG0000629	n4		PRW51093.1			
N1.HOG0001262	OG0000630	n0		PRW50844.1, PRW50843.1			PSC75595.1
N1.HOG0001263	OG0000631	n0		PRW44890.1			PSC67518.1, PSC67519.1
N1.HOG0001264	OG0000632	n0		PRW61421.1			PSC73974.1, PSC73975.1
N1.HOG0001265	OG0000633	n0		PRW61153.1			PSC67089.1, PSC67011.1, PSC67272.1, PSC70547.1, PSC67087.1
N1.HOG0001266	OG0000634	n0		PRW56605.1			PSC68132.1
N1.HOG0001267	OG0000635	n2					PSC73860.1
N1.HOG0001268	OG0000635	n4		PRW20606.1			PSC74389.1
N1.HOG0001269	OG0000636	n0		PRW39341.1			PSC71988.1
N1.HOG0001270	OG0000637	n0		PRW56183.1, PRW56184.1			PSC71520.1, PSC71519.1
N1.HOG0001271	OG0000638	n0		PRW55900.1			PSC71584.1
N1.HOG0001272	OG0000639	n2		PRW44865.1			
N1.HOG0001273	OG0000639	n4		PRW57907.1			PSC68995.1
N1.HOG0001274	OG0000640	n0		PRW56093.1, PRW56092.1			PSC71600.1
N1.HOG0001275	OG0000641	n0		PRW39281.1			PSC71939.1
N1.HOG0001276	OG0000642	n0		PRW61393.1, PRW61392.1, PRW61391.1			PSC73412.1, PSC73411.1
N1.HOG0001277	OG0000643	n1		PRW56216.1			PSC67477.1
N1.HOG0001278	OG0000643	n4		PRW56215.1			
N1.HOG0001279	OG0000644	n2		PRW56091.1			PSC67459.1
N1.HOG0001280	OG0000644	n5		PRW56098.1			
N1.HOG0001281	OG0000645	n0		PRW45479.1			PSC72810.1
N1.HOG0001282	OG0000646	n0		PRW18320.1			PSC72876.1
N1.HOG0001283	OG0000647	n0		PRW61504.1			PSC73342.1
N1.HOG0001284	OG0000648	n3		PRW20686.1			
N1.HOG0001285	OG0000648	n6		PRW33521.1			PSC74962.1
N1.HOG0001286	OG0000649	n1		PRW20717.1			
N1.HOG0001287	OG0000649	n4		PRW20736.1			PSC74530.1
N1.HOG0001288	OG0000650	n0		PRW57165.1			PSC72298.1, PSC72297.1
N1.HOG0001289	OG0000651	n0		PRW20831.1, PRW20830.1			PSC76693.1
N1.HOG0001290	OG0000652	n0		PRW56958.1, PRW56957.1			PSC71750.1, PSC69491.1, PSC69475.1
N1.HOG0001291	OG0000653	n0		PRW45640.1			PSC72468.1, PSC72452.1
N1.HOG0001292	OG0000654	n0		PRW20893.1			PSC69499.1, PSC69500.1
N1.HOG0001293	OG0000655	n0		PRW56797.1			PSC69836.1
N1.HOG0001294	OG0000656	n0		PRW56553.1			PSC72532.1
N1.HOG0001295	OG0000657	n2		PRW45538.1			
N1.HOG0001296	OG0000657	n4		PRW61216.1			PSC70591.1
N1.HOG0001297	OG0000658	n0					PSC73623.1
N1.HOG0001298	OG0000659	n2		PRW57187.1			
N1.HOG0001299	OG0000659	n4					PSC72320.1, PSC72319.1
N1.HOG0001300	OG0000659	n6					PSC72136.1
N1.HOG0001301	OG0000660	n0		PRW57249.1			PSC72174.1
N1.HOG0001302	OG0000661	n3		PRW60565.1			
N1.HOG0001303	OG0000661	n5		PRW60375.1			
N1.HOG0001304	OG0000662	n2					PSC68571.1
N1.HOG0001305	OG0000662	n5					PSC68621.1
N1.HOG0001306	OG0000663	n1					PSC72010.1
N1.HOG0001307	OG0000663	n4		PRW05769.1			PSC67618.1
N1.HOG0001308	OG0000664	n0		PRW05798.1			PSC71891.1
N1.HOG0001309	OG0000665	n2		PRW39144.1			
N1.HOG0001310	OG0000665	n4		PRW39287.1			PSC71917.1
N1.HOG0001311	OG0000666	n2					PSC68125.1
N1.HOG0001312	OG0000666	n5					PSC69763.1
N1.HOG0001313	OG0000667	n0					PSC68252.1
N1.HOG0001314	OG0000668	n0		PRW39395.1			PSC67260.1
N1.HOG0001315	OG0000669	n0		PRW32669.1			PSC75346.1
N1.HOG0001316	OG0000670	n0		PRW20205.1, PRW20204.1, PRW34084.1			PSC71295.1
N1.HOG0001317	OG0000671	n0		PRW21068.1, PRW21066.1, PRW21067.1			PSC71758.1
N1.HOG0001318	OG0000672	n3					PSC70894.1
N1.HOG0001319	OG0000672	n5					PSC70899.1
N1.HOG0001320	OG0000673	n3					PSC72084.1
N1.HOG0001321	OG0000673	n5					PSC70617.1
N1.HOG0001322	OG0000674	n0		PRW44496.1			PSC75825.1
N1.HOG0001323	OG0000675	n0		PRW56807.1, PRW56806.1			PSC69741.1
N1.HOG0001324	OG0000676	n0		PRW56465.1			PSC68113.1
N1.HOG0001325	OG0000677	n1		PRW56103.1			
N1.HOG0001326	OG0000677	n3		PRW55942.1			PSC72844.1, PSC72843.1
N1.HOG0001327	OG0000678	n0		PRW56272.1			PSC67478.1
N1.HOG0001328	OG0000679	n3		PRW55969.1			
N1.HOG0001329	OG0000679	n4		PRW59014.1, PRW39288.1, PRW59250.1			
N1.HOG0001330	OG0000680	n2		PRW56033.1			
N1.HOG0001331	OG0000680	n5		PRW39304.1			
N1.HOG0001332	OG0000681	n0		PRW56066.1			PSC69041.1, PSC75344.1, PSC75283.1, PSC67698.1
N1.HOG0001333	OG0000682	n2		PRW32611.1			
N1.HOG0001334	OG0000682	n4		PRW55931.1			PSC72672.1
N1.HOG0001335	OG0000683	n0		PRW55996.1			PSC72724.1
N1.HOG0001336	OG0000684	n1		PRW44354.1, PRW44353.1			
N1.HOG0001337	OG0000684	n5					PSC72533.1
N1.HOG0001338	OG0000685	n3		PRW56262.1			
N1.HOG0001339	OG0000685	n5		PRW55945.1			
N1.HOG0001340	OG0000686	n1		PRW32510.1			PSC76264.1
N1.HOG0001341	OG0000686	n3		PRW58116.1			
N1.HOG0001342	OG0000687	n3					PSC74997.1
N1.HOG0001343	OG0000687	n5					PSC67369.1
N1.HOG0001344	OG0000688	n0					PSC75292.1
N1.HOG0001345	OG0000689	n0		PRW60673.1			PSC75085.1
N1.HOG0001346	OG0000690	n0		PRW60444.1, PRW60443.1			PSC75179.1, PSC75178.1, PSC75177.1
N1.HOG0001347	OG0000691	n2		PRW60354.1, PRW60355.1			
N1.HOG0001348	OG0000691	n4					PSC75106.1
N1.HOG0001349	OG0000691	n6					PSC71836.1
N1.HOG0001350	OG0000692	n2		PRW60381.1			PSC68930.1
N1.HOG0001351	OG0000692	n4					PSC68962.1
N1.HOG0001352	OG0000693	n1		PRW61156.1			
N1.HOG0001353	OG0000693	n4		PRW61221.1			PSC73308.1
N1.HOG0001354	OG0000694	n1		PRW45693.1			PSC73665.1
N1.HOG0001355	OG0000694	n3		PRW45523.1			PSC73645.1
N1.HOG0001356	OG0000695	n1		PRW20630.1			PSC67424.1
N1.HOG0001357	OG0000695	n3		PRW20631.1			PSC67222.1, PSC67221.1
N1.HOG0001358	OG0000696	n0		PRW33883.1			PSC76068.1
N1.HOG0001359	OG0000697	n0		PRW33882.1, PRW33881.1			PSC76806.1
N1.HOG0001360	OG0000698	n0		PRW34047.1, PRW34046.1			PSC76750.1, PSC76749.1
N1.HOG0001361	OG0000699	n0		PRW45603.1, PRW45459.1			PSC72579.1, PSC69406.1
N1.HOG0001362	OG0000700	n0		PRW33853.1			
N1.HOG0001363	OG0000701	n0		PRW60648.1, PRW21016.1			PSC71685.1
N1.HOG0001364	OG0000702	n3		PRW33931.1			
N1.HOG0001365	OG0000702	n5		PRW33829.1			
N1.HOG0001366	OG0000703	n1		PRW51013.1			
N1.HOG0001367	OG0000703	n2		PRW51012.1, PRW51011.1			PSC73713.1
N1.HOG0001368	OG0000704	n0		PRW57787.1, PRW57786.1, PRW57788.1			PSC69096.1, PSC69095.1
N1.HOG0001369	OG0000705	n1		PRW60840.1			PSC68532.1
N1.HOG0001370	OG0000705	n3		PRW60524.1			
N1.HOG0001371	OG0000706	n0		PRW60531.1, PRW60330.1, PRW60525.1, PRW60204.1, PRW60203.1			PSC68536.1
N1.HOG0001372	OG0000707	n0		PRW58551.1			PSC76182.1
N1.HOG0001373	OG0000708	n0		PRW58866.1			PSC76281.1
N1.HOG0001374	OG0000709	n1		PRW61171.1			PSC74108.1
N1.HOG0001375	OG0000709	n6					PSC74287.1
N1.HOG0001376	OG0000710	n0		PRW20703.1, PRW20702.1			PSC74471.1
N1.HOG0001377	OG0000711	n2					PSC74550.1
N1.HOG0001378	OG0000711	n5					PSC76715.1
