Orthogroup	a99_genome_proteins	c_sorokiniana_genome_proteins
OG0001001	scaffold6.g2777.t1, scaffold10.g2340.t1, scaffold20.g7776.t1	PRW57277.1
OG0001002	scaffold10.g2377.t1	PRW39261.1, PRW39262.1
OG0001003	scaffold2.g7352.t1, scaffold10.g2392.t1	PRW56780.1
OG0001004	scaffold10.g2395.t1	PRW60562.1
OG0001005	scaffold10.g2410.t1	PRW39110.1
OG0001006	scaffold10.g2413.t1	PRW39359.1, PRW39360.1
OG0001007	scaffold10.g2433.t1, scaffold9.g3186.t1	PRW20795.1
OG0001008	scaffold10.g2442.t1	PRW39097.1
OG0001009	scaffold10.g2445.t1	PRW39217.1
OG0001010	scaffold10.g2453.t1, scaffold11.g3940.t1	PRW56653.1, PRW45534.1
OG0001011	scaffold10.g2464.t1	PRW39311.1
OG0001012	scaffold9.g3059.t1, scaffold10.g2468.t1	PRW45350.1
OG0001013	scaffold6.g2510.t1	PRW61294.1, PRW61556.1, PRW61300.1
OG0001014	scaffold6.g2535.t1	PRW61016.1
OG0001015	scaffold6.g2545.t1	PRW45681.1
OG0001016	scaffold6.g2608.t1, scaffold6.g2601.t1	PRW56723.1
OG0001017	scaffold6.g2617.t1	PRW56400.1
OG0001018	scaffold6.g2628.t1	PRW56256.1, PRW56191.1
OG0001020	scaffold6.g2644.t1	PRW32537.1, PRW32536.1, PRW56890.1
OG0001021	scaffold6.g2656.t1	PRW56314.1
OG0001022	scaffold6.g2698.t1	PRW59557.1
OG0001023	scaffold6.g2699.t1	PRW56235.1, PRW56279.1
OG0001024	scaffold6.g2701.t1	PRW55951.1, PRW55950.1
OG0001025	scaffold6.g2742.t1	PRW56023.1
OG0001026	scaffold2.g7404.t1, scaffold6.g2746.t1	PRW45042.1
OG0001027	scaffold3.g6679.t1	PRW60591.1
OG0001027	scaffold6.g2787.t1	PRW55994.1
OG0001028	scaffold6.g2809.t1, scaffold2.g7172.t1, scaffold34.g4518.t1	PRW56119.1
OG0001029	scaffold6.g2819.t1	PRW61185.1
OG0001030	scaffold6.g2826.t1	PRW56242.1, PRW56241.1
OG0001031	scaffold6.g2852.t1	PRW56109.1, PRW56110.1
OG0001032	scaffold6.g2867.t1, scaffold6.g2864.t1	PRW56346.1
OG0001033	scaffold6.g2884.t1, scaffold7.g3406.t1	PRW58442.1
OG0001034	scaffold4.g4674.t1, scaffold6.g2902.t1	PRW61528.1, PRW61529.1
OG0001035	scaffold6.g2909.t1	PRW56352.1
OG0001036	scaffold24.g2927.t1	PRW33698.1
OG0001038	scaffold24.g2991.t1	PRW33530.1
OG0001039	scaffold9.g3024.t1	PRW60548.1, PRW60549.1, PRW60547.1
OG0001040	scaffold9.g3030.t1, scaffold22.g6076.t1	PRW60730.1
OG0001041	scaffold9.g3055.t1	PRW60454.1, PRW60453.1
OG0001043	scaffold20.g7766.t1	PRW56988.1
OG0001043	scaffold9.g3092.t1	PRW60081.1
OG0001044	scaffold9.g3097.t1	PRW60781.1
OG0001045	scaffold9.g3098.t1	PRW60403.1
OG0001046	scaffold9.g3136.t1	PRW60311.1
OG0001047	scaffold9.g3143.t1	PRW60765.1
OG0001048	scaffold9.g3155.t1	PRW60853.1
OG0001049	scaffold9.g3160.t1, scaffold9.g3159.t1	PRW60402.1
OG0001050	scaffold9.g3264.t1, scaffold3.g6493.t1	PRW59506.1
OG0001051	scaffold9.g3278.t1	PRW60388.1
OG0001052	scaffold9.g3279.t1	PRW60206.1
OG0001053	scaffold9.g3283.t1, scaffold9.g3282.t1	PRW60312.1
OG0001054	scaffold9.g3293.t1	PRW60836.1
OG0001054	scaffold9.g3294.t1	PRW60835.1
OG0001055	scaffold11.g3927.t1	PRW44585.1
OG0001056	scaffold26.g3331.t1	PRW45489.1
OG0001057	scaffold26.g3332.t1	PRW50965.1
OG0001058	scaffold26.g3333.t1	PRW60901.1
OG0001059	scaffold26.g3344.t1	PRW60971.1, PRW60972.1
OG0001060	scaffold4.g4784.t1, scaffold26.g3356.t1	PRW32589.1
OG0001061	scaffold7.g3381.t1	PRW33813.1
OG0001062	scaffold7.g3396.t1	PRW50976.1
OG0001063	scaffold7.g3417.t1	PRW57926.1
OG0001064	scaffold7.g3421.t1	PRW57698.1
OG0001065	scaffold7.g3427.t1	PRW57680.1
OG0001066	scaffold7.g3450.t1, scaffold7.g3431.t1	PRW33905.1
OG0001067	scaffold7.g3460.t1	PRW33949.1, PRW33948.1, PRW61038.1
OG0001068	scaffold7.g3522.t1	PRW57656.1, PRW57834.1, PRW57543.1
OG0001069	scaffold7.g3539.t1	PRW34063.1
OG0001070	scaffold7.g3562.t1, scaffold7.g3565.t1	PRW33680.1, PRW33679.1
OG0001071	scaffold7.g3586.t1	PRW34065.1, PRW33929.1
OG0001072	scaffold7.g3611.t1	PRW57773.1, PRW57774.1, PRW57775.1
OG0001073	scaffold7.g3623.t1	PRW57673.1
OG0001074	scaffold7.g3675.t1	PRW57676.1, PRW57675.1
OG0001075	scaffold7.g3679.t1	PRW33974.1, PRW33973.1, PRW33972.1
OG0001076	scaffold7.g3687.t1	PRW34058.1, PRW34057.1
OG0001078	scaffold7.g3716.t1	PRW57890.1, PRW57889.1
OG0001079	scaffold7.g3731.t1	PRW57811.1
OG0001080	scaffold7.g3740.t1	PRW57207.1
OG0001081	scaffold7.g3743.t1	PRW56082.1
OG0001082	scaffold7.g3750.t1, scaffold12.g8080.t1, scaffold4.g4872.t1	PRW44392.1
OG0001083	scaffold11.g3833.t1	PRW60856.1
OG0001084	scaffold11.g3842.t1	PRW60286.1
OG0001085	scaffold11.g3977.t1, scaffold11.g3984.t1	PRW60255.1
OG0001086	scaffold11.g4005.t1	PRW60670.1
OG0001087	scaffold11.g4032.t1	PRW20747.1, PRW20709.1
OG0001088	scaffold11.g4075.t1	PRW20610.1
OG0001089	scaffold23.g4098.t1	PRW20714.1
OG0001090	scaffold23.g4141.t1	PRW33994.1
OG0001091	scaffold23.g4142.t1	PRW44881.1, PRW44880.1, PRW44882.1
OG0001092	scaffold23.g4143.t1	PRW45244.1, PRW45243.1, PRW45242.1
OG0001093	scaffold23.g4164.t1	PRW58947.1
OG0001094	scaffold23.g4175.t1	PRW61487.1, PRW61485.1, PRW61486.1
OG0001095	scaffold23.g4179.t1	PRW44942.1, PRW44941.1, PRW44943.1
OG0001096	scaffold23.g4194.t1	PRW56267.1, PRW56160.1
OG0001097	scaffold15.g4245.t1	PRW44419.1, PRW44417.1, PRW44418.1
OG0001098	scaffold15.g4249.t1	PRW44838.1
OG0001099	scaffold15.g4265.t1	PRW45152.1
OG0001100	scaffold15.g4268.t1	PRW45024.1, PRW45025.1
OG0001101	scaffold15.g4313.t1	PRW44928.1, PRW44929.1
OG0001102	scaffold15.g4314.t1	PRW44847.1, PRW44848.1, PRW44846.1
OG0001103	scaffold30.g4431.t1	PRW20582.1, PRW20583.1
OG0001104	scaffold34.g4497.t1	PRW20976.1, PRW20975.1
OG0001105	scaffold34.g4519.t1	PRW21128.1
OG0001106	scaffold2.g6850.t1, scaffold56.g4540.t1	PRW56865.1
OG0001107	scaffold4.g4571.t1	PRW59310.1
OG0001108	scaffold4.g4585.t1	PRW59224.1
OG0001109	scaffold4.g4599.t1	PRW61336.1, PRW20414.1
OG0001110	scaffold4.g4607.t1	PRW59143.1
OG0001111	scaffold4.g4621.t1, scaffold1.g5390.t1	PRW58144.1, PRW58145.1
OG0001112	scaffold4.g4623.t1	PRW57327.1
OG0001113	scaffold4.g4680.t1	PRW59289.1, PRW59288.1
OG0001114	scaffold4.g4737.t1	PRW58538.1, PRW59796.1
OG0001115	scaffold4.g4746.t1, scaffold4.g4747.t1	PRW59053.1
OG0001116	scaffold4.g4798.t1, scaffold4.g4799.t1	PRW57157.1
OG0001117	scaffold4.g4852.t1, scaffold4.g4808.t1, scaffold3.g6623.t1	PRW44375.1
OG0001118	scaffold20.g7657.t1, scaffold4.g4835.t1	PRW57029.1, PRW57028.1
OG0001119	scaffold4.g4850.t1, scaffold4.g4849.t1	PRW44355.1
OG0001121	scaffold4.g4865.t1	PRW44262.1
OG0001122	scaffold4.g4866.t1	PRW44283.1, PRW44284.1
OG0001123	scaffold4.g4911.t1	PRW44575.1, PRW44424.1
OG0001124	scaffold4.g5045.t1, scaffold4.g4926.t1	PRW44512.1
OG0001125	scaffold4.g4935.t1, scaffold4.g4940.t1	PRW44268.1
OG0001126	scaffold4.g4949.t1	PRW44485.1, PRW44486.1
OG0001127	scaffold4.g4968.t1	PRW44503.1
OG0001128	scaffold4.g5019.t1	PRW44245.1
OG0001129	scaffold4.g5032.t1	PRW61026.1
OG0001130	scaffold4.g5034.t1	PRW32635.1, PRW56639.1, PRW56638.1
OG0001131	scaffold36.g5067.t1	PRW59237.1
OG0001132	scaffold36.g5073.t1	PRW58843.1
OG0001133	scaffold36.g5076.t1	PRW59242.1, PRW59243.1
OG0001134	scaffold25.g5087.t1	PRW32594.1
OG0001135	scaffold25.g5090.t1	PRW32493.1
OG0001136	scaffold25.g5091.t1	PRW32599.1
OG0001137	scaffold25.g5093.t1	PRW32649.1, PRW32641.1
OG0001138	scaffold1.g5173.t1	PRW45500.1
OG0001139	scaffold1.g5210.t1	PRW58398.1
OG0001141	scaffold1.g5234.t1	PRW58470.1
OG0001142	scaffold1.g5237.t1	PRW58641.1, PRW20979.1
OG0001143	scaffold430.g5907.t1, scaffold1.g5244.t1	PRW58205.1
OG0001144	scaffold1.g5260.t1	PRW58235.1, PRW58236.1
OG0001145	scaffold1.g5275.t1	PRW58357.1
OG0001146	scaffold1.g5296.t1	PRW58355.1, PRW58354.1
OG0001147	scaffold1.g5325.t1	PRW58161.1
OG0001148	scaffold28.g7538.t1, scaffold1.g5333.t1, scaffold1.g5330.t1	PRW56295.1
OG0001149	scaffold1.g5344.t1	PRW58373.1, PRW58371.1, PRW58372.1
OG0001150	scaffold1.g5353.t1	PRW21083.1
OG0001151	scaffold1.g5383.t1	PRW58253.1, PRW58649.1
OG0001152	scaffold1.g5396.t1	PRW58622.1, PRW44235.1
OG0001153	scaffold1.g5400.t1	PRW58604.1, PRW58605.1
OG0001154	scaffold1.g5438.t1	PRW44293.1
OG0001155	scaffold1.g5460.t1	PRW20546.1, PRW20545.1
OG0001156	scaffold1.g5492.t1	PRW58175.1
OG0001157	scaffold1.g5544.t1	PRW58272.1
OG0001158	scaffold12.g8283.t1, scaffold1.g5697.t1	PRW51125.1, PRW20398.1
OG0001159	scaffold1.g5752.t1	PRW58201.1, PRW58203.1, PRW58202.1
OG0001160	scaffold1.g5770.t1	PRW58434.1, PRW58433.1
OG0001161	scaffold1.g5772.t1	PRW58407.1
OG0001162	scaffold1.g5773.t1, scaffold27.g5990.t1	PRW61068.1
OG0001163	scaffold1.g5781.t1	PRW58630.1, PRW44499.1
OG0001164	scaffold1.g5807.t1	PRW58583.1
OG0001165	scaffold1.g5854.t1	PRW21081.1, PRW21080.1
OG0001166	scaffold1.g5866.t1	PRW32525.1, PRW32524.1, PRW32523.1
OG0001167	scaffold1.g5878.t1, scaffold1.g5898.t1	PRW60618.1, PRW39328.1
OG0001168	scaffold29.g5924.t1	PRW45396.1, PRW45395.1
OG0001169	scaffold29.g5925.t1	PRW45423.1
OG0001170	scaffold29.g5933.t1	PRW33616.1
OG0001171	scaffold29.g5946.t1	PRW45405.1, PRW44282.1, PRW45404.1
OG0001172	scaffold27.g6026.t1	PRW61416.1
OG0001173	scaffold22.g6045.t1	PRW58259.1
OG0001174	scaffold22.g6059.t1, scaffold22.g6101.t1	PRW56667.1
OG0001175	scaffold22.g6061.t1	PRW56880.1, PRW56881.1
OG0001176	scaffold22.g6077.t1	PRW56389.1, PRW56387.1, PRW56388.1
OG0001177	scaffold22.g6080.t1	PRW56486.1
OG0001178	scaffold22.g6086.t1	PRW56417.1, PRW56416.1
OG0001179	scaffold22.g6089.t1	PRW61054.1
OG0001180	scaffold22.g6106.t1	PRW56693.1, PRW56692.1, PRW56220.1
OG0001181	scaffold22.g6111.t1	PRW56501.1
OG0001182	scaffold22.g6133.t1	PRW56725.1, PRW59131.1
OG0001183	scaffold22.g6150.t1, scaffold22.g6152.t1	PRW56846.1
OG0001184	scaffold3.g6162.t1	PRW59756.1, PRW59757.1
OG0001185	scaffold3.g6236.t1	PRW59457.1
OG0001186	scaffold3.g6249.t1	PRW60187.1
OG0001187	scaffold3.g6271.t1	PRW59523.1
OG0001188	scaffold3.g6306.t1	PRW59677.1
OG0001189	scaffold3.g6331.t1, scaffold3.g6341.t1	PRW60003.1
OG0001190	scaffold3.g6349.t1	PRW57843.1
OG0001191	scaffold3.g6370.t1	PRW59644.1
OG0001192	scaffold3.g6420.t1	PRW59893.1, PRW59891.1, PRW59892.1
OG0001193	scaffold3.g6424.t1	PRW60120.1
OG0001194	scaffold3.g6425.t1	PRW59630.1, PRW59713.1
OG0001195	scaffold3.g6513.t1	PRW20405.1, PRW20407.1
OG0001196	scaffold3.g6555.t1	PRW39358.1
OG0001197	scaffold3.g6601.t1	PRW59799.1
OG0001198	scaffold2.g6814.t1	PRW60998.1
OG0001199	scaffold2.g6817.t1, scaffold2.g6816.t1	PRW60870.1, PRW60871.1
OG0001200	scaffold2.g6887.t1, scaffold2.g6872.t1	PRW61571.1
OG0001201	scaffold2.g6892.t1	PRW61343.1, PRW61269.1, PRW45134.1
OG0001202	scaffold2.g6939.t1	PRW59142.1, PRW59141.1
OG0001203	scaffold2.g6945.t1	PRW60923.1
OG0001204	scaffold2.g6967.t1	PRW58732.1, PRW58731.1
OG0001205	scaffold2.g7007.t1	PRW61604.1
OG0001206	scaffold2.g7031.t1	PRW61275.1, PRW61274.1
OG0001207	scaffold2.g7038.t1, scaffold2.g7046.t1	PRW61208.1, PRW61186.1
OG0001208	scaffold2.g7445.t1	PRW61446.1
OG0001209	scaffold2.g7094.t1, scaffold2.g7120.t1	PRW05923.1
OG0001210	scaffold2.g7112.t1	PRW39167.1, PRW39166.1
OG0001211	scaffold2.g7128.t1, scaffold2.g7170.t1	PRW45513.1
OG0001212	scaffold2.g7129.t1	PRW05924.1
OG0001213	scaffold2.g7132.t1	PRW05900.1, PRW05899.1
OG0001214	scaffold20.g7646.t1, scaffold20.g7629.t1, scaffold2.g7178.t1	PRW57391.1
OG0001215	scaffold2.g7197.t1	PRW32918.1
OG0001216	scaffold2.g7208.t1	PRW20168.1, PRW33943.1
OG0001217	scaffold2.g7234.t1	PRW32983.1
OG0001218	scaffold2.g7271.t1	PRW60966.1, PRW57690.1
OG0001219	scaffold2.g7299.t1	PRW58629.1
OG0001220	scaffold2.g7392.t1	PRW45151.1
OG0001221	scaffold2.g7393.t1	PRW45001.1, PRW57827.1
OG0001222	scaffold2.g7424.t1	PRW33033.1, PRW32879.1
OG0001223	scaffold2.g7440.t1	PRW44861.1
OG0001224	scaffold2.g7454.t1	PRW60711.1
OG0001225	scaffold2.g7488.t1	PRW33831.1, PRW33906.1
OG0001226	scaffold2.g7509.t1	PRW58681.1
OG0001227	scaffold2.g7517.t1	PRW33770.1
OG0001228	scaffold28.g7563.t1	PRW45117.1, PRW45118.1
OG0001229	scaffold28.g7564.t1	PRW45233.1
OG0001230	scaffold28.g7573.t1	PRW44999.1, PRW44998.1
OG0001231	scaffold28.g7575.t1	PRW45230.1, PRW45229.1
OG0001233	scaffold20.g7628.t1	PRW57646.1
OG0001234	scaffold20.g7641.t1	PRW57386.1
OG0001235	scaffold20.g7648.t1	PRW57450.1
OG0001236	scaffold20.g7670.t1	PRW57009.1
OG0001237	scaffold20.g7689.t1	PRW57246.1
OG0001238	scaffold20.g7698.t1	PRW57108.1
OG0001239	scaffold20.g7724.t1	PRW57527.1, PRW57525.1, PRW57526.1
OG0001240	scaffold20.g7760.t1	PRW57083.1, PRW57082.1
OG0001241	scaffold20.g7769.t1	PRW57300.1, PRW57301.1
OG0001242	scaffold20.g7774.t1, scaffold20.g7775.t1	PRW20275.1, PRW20216.1
OG0001243	scaffold20.g7780.t1, scaffold20.g7783.t1	PRW20851.1
OG0001245	scaffold20.g7809.t1	PRW57550.1
OG0001246	scaffold20.g7830.t1, scaffold20.g7829.t1	PRW57011.1
OG0001247	scaffold12.g7920.t1	PRW57639.1, PRW57640.1
OG0001248	scaffold12.g7936.t1	PRW57574.1, PRW57575.1
OG0001249	scaffold12.g7939.t1	PRW57880.1
OG0001250	scaffold12.g7954.t1	PRW57651.1, PRW57652.1
OG0001251	scaffold12.g7976.t1	PRW58068.1
OG0001252	scaffold12.g7986.t1	PRW57713.1
OG0001253	scaffold12.g7994.t1	PRW57869.1, PRW57868.1
OG0001254	scaffold12.g8002.t1	PRW33975.1, PRW33977.1, PRW33976.1
OG0001255	scaffold12.g8012.t1	PRW57727.1, PRW57726.1
OG0001256	scaffold12.g8017.t1	PRW57914.1, PRW33139.1
OG0001257	scaffold12.g8033.t1	PRW57764.1
OG0001258	scaffold12.g8034.t1	PRW57951.1
OG0001259	scaffold12.g8036.t1	PRW57919.1, PRW57921.1, PRW57920.1
OG0001260	scaffold12.g8102.t1	PRW34099.1
OG0001261	scaffold12.g8142.t1	PRW34014.1
OG0001262	scaffold12.g8181.t1	PRW61498.1
OG0001263	scaffold12.g8192.t1	PRW58165.1, PRW33910.1, PRW20181.1
OG0001264	scaffold12.g8212.t1	PRW59291.1
OG0001265	scaffold12.g8224.t1	PRW44521.1
OG0001266	scaffold12.g8247.t1, scaffold12.g8246.t1, scaffold12.g8245.t1	PRW20428.1
OG0001267	scaffold12.g8284.t1	PRW20360.1, PRW20361.1
OG0001315	scaffold16.g9.t1	PRW45556.1
OG0001316	scaffold16.g11.t1, scaffold2.g7300.t1	PRW20302.1
OG0001317	scaffold12.g8131.t1, scaffold16.g18.t1	PRW34089.1
OG0001318	scaffold16.g19.t1	PRW45415.1, PRW45416.1
OG0001319	scaffold16.g20.t1	PRW45528.1, PRW45529.1
OG0001320	scaffold16.g31.t1	PRW45697.1
OG0001321	scaffold16.g33.t1	PRW45399.1
OG0001322	scaffold16.g40.t1	PRW45597.1
OG0001323	scaffold26.g3348.t1, scaffold16.g45.t1	PRW45466.1
OG0001324	scaffold16.g52.t1	PRW45650.1, PRW45649.1
OG0001325	scaffold4.g4731.t1, scaffold16.g53.t1	PRW58872.1
OG0001326	scaffold16.g67.t1	PRW45482.1
OG0001327	scaffold16.g74.t1	PRW33518.1
OG0001328	scaffold16.g78.t1	PRW33511.1
OG0001330	scaffold16.g89.t1	PRW33725.1
OG0001331	scaffold16.g91.t1	PRW33584.1
OG0001332	scaffold2.g7174.t1, scaffold16.g110.t1	PRW45545.1
OG0001333	scaffold16.g117.t1	PRW33596.1
OG0001334	scaffold16.g141.t1, scaffold20.g7850.t1	PRW33648.1
OG0001335	scaffold16.g158.t1	PRW33329.1
OG0001336	scaffold16.g160.t1	PRW33661.1, PRW33660.1
OG0001337	scaffold13.g163.t1, scaffold2.g7367.t1, scaffold1.g5862.t1	PRW33038.1
OG0001338	scaffold13.g181.t1	PRW32907.1, PRW32906.1
OG0001339	scaffold13.g198.t1	PRW32938.1
OG0001340	scaffold13.g200.t1	PRW33034.1
OG0001341	scaffold13.g211.t1, scaffold19.g1755.t1	PRW20924.1
OG0001342	scaffold13.g219.t1	PRW58490.1, PRW58491.1
OG0001343	scaffold13.g241.t1, scaffold20.g7643.t1	PRW44243.1
OG0001344	scaffold13.g243.t1	PRW57503.1, PRW57504.1
OG0001345	scaffold9.g3062.t1, scaffold13.g244.t1	PRW59747.1
OG0001347	scaffold13.g267.t1	PRW20169.1
OG0001348	scaffold13.g270.t1, scaffold9.g3271.t1	PRW44340.1
OG0001349	scaffold13.g312.t1	PRW20521.1
OG0001350	scaffold13.g314.t1, scaffold13.g327.t1	PRW56107.1
OG0001351	scaffold8.g1661.t1, scaffold13.g322.t1	PRW20471.1
OG0001352	scaffold13.g331.t1	PRW20535.1, PRW20536.1
OG0001353	scaffold13.g333.t1	PRW44383.1
OG0001354	scaffold13.g337.t1	PRW20498.1, PRW20497.1
OG0001355	scaffold13.g344.t1	PRW20530.1
OG0001356	scaffold13.g345.t1	PRW20455.1
OG0001357	scaffold13.g351.t1	PRW20510.1
OG0001358	scaffold13.g367.t1	PRW20523.1, PRW20522.1
OG0001359	scaffold6.g2612.t1, scaffold13.g383.t1	PRW20588.1
OG0001360	scaffold13.g396.t1	PRW20484.1, PRW20485.1
OG0001361	scaffold13.g397.t1	PRW20453.1
OG0001362	scaffold13.g399.t1	PRW20443.1
OG0001363	scaffold13.g420.t1	PRW20441.1, PRW20442.1
OG0001364	scaffold17.g426.t1	PRW56620.1, PRW56621.1
OG0001365	scaffold17.g430.t1	PRW33281.1
OG0001366	scaffold17.g440.t1	PRW33122.1
OG0001367	scaffold17.g443.t1	PRW33103.1
OG0001368	scaffold17.g451.t1	PRW33322.1
OG0001369	scaffold17.g467.t1	PRW33305.1
OG0001370	scaffold17.g485.t1	PRW33221.1, PRW33222.1
OG0001371	scaffold17.g486.t1	PRW33224.1, PRW33223.1
OG0001372	scaffold17.g488.t1	PRW33273.1
OG0001373	scaffold17.g496.t1	PRW33293.1
OG0001374	scaffold17.g500.t1	PRW33236.1, PRW33235.1
OG0001375	scaffold17.g503.t1	PRW60284.1
OG0001376	scaffold17.g505.t1, scaffold6.g2782.t1	PRW58761.1
OG0001377	scaffold17.g508.t1	PRW33210.1, PRW33098.1
OG0001378	scaffold5.g751.t1, scaffold17.g518.t1	PRW58776.1
OG0001379	scaffold11.g3974.t1, scaffold17.g540.t1	PRW60642.1
OG0001380	scaffold17.g544.t1	PRW33290.1, PRW33291.1
OG0001381	scaffold17.g555.t1	PRW33162.1
OG0001382	scaffold17.g559.t1	PRW33175.1
OG0001383	scaffold17.g565.t1	PRW33274.1
OG0001384	scaffold17.g570.t1	PRW33325.1
OG0001385	scaffold17.g587.t1	PRW33234.1
OG0001386	scaffold17.g601.t1	PRW39247.1
OG0001387	scaffold5.g607.t1, scaffold5.g606.t1	PRW59169.1
OG0001388	scaffold5.g615.t1	PRW21098.1, PRW21097.1
OG0001389	scaffold5.g668.t1, scaffold5.g643.t1	PRW05848.1, PRW05849.1
OG0001390	scaffold5.g644.t1	PRW58779.1, PRW58778.1
OG0001391	scaffold5.g647.t1	PRW58813.1, PRW58814.1
OG0001392	scaffold5.g655.t1	PRW58821.1
OG0001393	scaffold5.g678.t1	PRW59157.1
OG0001394	scaffold5.g681.t1	PRW59174.1, PRW59173.1
OG0001395	scaffold5.g684.t1	PRW58775.1
OG0001396	scaffold5.g689.t1	PRW59064.1, PRW59065.1
OG0001397	scaffold5.g700.t1	PRW59111.1
OG0001398	scaffold5.g706.t1	PRW59097.1
OG0001399	scaffold1.g5833.t1, scaffold5.g707.t1	PRW59050.1
OG0001400	scaffold4.g4583.t1, scaffold10.g2335.t1, scaffold5.g740.t1	PRW44586.1
OG0001401	scaffold5.g742.t1	PRW59408.1
OG0001402	scaffold5.g755.t1	PRW59404.1
OG0001404	scaffold5.g783.t1	PRW59294.1
OG0001406	scaffold5.g794.t1	PRW59189.1
OG0001407	scaffold5.g801.t1	PRW58860.1
OG0001408	scaffold5.g809.t1	PRW60319.1
OG0001410	scaffold5.g821.t1	PRW59362.1
OG0001411	scaffold5.g822.t1	PRW59148.1
OG0001412	scaffold5.g828.t1	PRW59012.1
OG0001413	scaffold5.g829.t1	PRW59130.1
OG0001414	scaffold9.g3178.t1, scaffold5.g832.t1	PRW58840.1
OG0001415	scaffold5.g835.t1	PRW58799.1
OG0001416	scaffold5.g845.t1	PRW58262.1
OG0001417	scaffold5.g847.t1	PRW59048.1
OG0001418	scaffold5.g853.t1	PRW59132.1
OG0001419	scaffold5.g887.t1	PRW58885.1
OG0001420	scaffold5.g896.t1	PRW59151.1, PRW59152.1
OG0001421	scaffold6.g2871.t1, scaffold5.g899.t1	PRW59766.1
OG0001422	scaffold5.g901.t1	PRW58828.1, PRW59120.1
OG0001423	scaffold5.g903.t1	PRW59115.1, PRW59114.1
OG0001424	scaffold5.g904.t1, scaffold2.g7067.t1	PRW57700.1
OG0001425	scaffold5.g918.t1	PRW58863.1
OG0001426	scaffold5.g919.t1, scaffold31.g3801.t1	PRW59017.1
OG0001427	scaffold5.g920.t1	PRW33331.1
OG0001428	scaffold5.g940.t1, scaffold20.g7707.t1	PRW57049.1
OG0001429	scaffold5.g969.t1	PRW59037.1
OG0001430	scaffold5.g973.t1	PRW59327.1
OG0001431	scaffold5.g984.t1	PRW59284.1, PRW59283.1
OG0001432	scaffold5.g994.t1	PRW32548.1, PRW61239.1
OG0001433	scaffold5.g996.t1	PRW33330.1
OG0001434	scaffold5.g1003.t1	PRW59069.1, PRW59068.1
OG0001435	scaffold5.g1009.t1	PRW59080.1
OG0001436	scaffold14.g1023.t1	PRW51033.1
OG0001437	scaffold14.g1025.t1	PRW50852.1
OG0001438	scaffold14.g1032.t1	PRW33775.1, PRW33776.1
OG0001439	scaffold14.g1034.t1	PRW50821.1
OG0001440	scaffold6.g2551.t1, scaffold4.g4981.t1, scaffold14.g1048.t1, scaffold4.g4983.t1	PRW33707.1
OG0001441	scaffold14.g1052.t1	PRW51058.1
OG0001442	scaffold14.g1061.t1	PRW50949.1, PRW50950.1
OG0001443	scaffold14.g1081.t1	PRW51112.1, PRW51111.1
OG0001444	scaffold14.g1096.t1	PRW59772.1
OG0001445	scaffold14.g1104.t1	PRW51184.1
OG0001446	scaffold14.g1108.t1	PRW50764.1, PRW50762.1
OG0001447	scaffold14.g1110.t1	PRW50761.1, PRW50763.1
OG0001448	scaffold14.g1119.t1, scaffold12.g8067.t1	PRW56884.1
OG0001449	scaffold14.g1129.t1	PRW51047.1
OG0001450	scaffold42.g4476.t1, scaffold14.g1135.t1	PRW45391.1
OG0001451	scaffold14.g1147.t1	PRW50830.1, PRW50831.1
OG0001452	scaffold14.g1154.t1	PRW50920.1
OG0001453	scaffold14.g1156.t1, scaffold43.g4490.t1	PRW51044.1
OG0001454	scaffold32.g3807.t1, scaffold14.g1158.t1	PRW51025.1
OG0001455	scaffold14.g1164.t1	PRW51120.1
OG0001456	scaffold14.g1170.t1	PRW51172.1
OG0001457	scaffold14.g1173.t1	PRW50978.1
OG0001458	scaffold14.g1174.t1	PRW51152.1, PRW51151.1
OG0001459	scaffold14.g1190.t1	PRW50889.1, PRW50888.1
OG0001460	scaffold14.g1200.t1	PRW51102.1, PRW51101.1
OG0001461	scaffold14.g1202.t1	PRW50861.1
OG0001462	scaffold14.g1222.t1	PRW58402.1
OG0001463	scaffold14.g1223.t1	PRW51087.1, PRW51086.1
OG0001464	scaffold14.g1233.t1	PRW50819.1
OG0001465	scaffold14.g1251.t1	PRW50909.1, PRW61326.1
OG0001466	scaffold14.g1252.t1	PRW50886.1
OG0001467	scaffold14.g1269.t1	PRW60631.1, PRW56005.1
OG0001468	scaffold14.g1274.t1	PRW50939.1, PRW50940.1
OG0001469	scaffold14.g1287.t1	PRW50901.1, PRW50902.1
OG0001470	scaffold14.g1292.t1	PRW50907.1
OG0001471	scaffold14.g1293.t1, scaffold14.g1327.t1	PRW51156.1
OG0001472	scaffold14.g1298.t1	PRW50979.1
OG0001473	scaffold14.g1306.t1	PRW33557.1, PRW33558.1
OG0001474	scaffold14.g1309.t1	PRW50885.1, PRW59425.1
OG0001475	scaffold14.g1311.t1	PRW51119.1, PRW51118.1
OG0001476	scaffold14.g1314.t1	PRW51099.1
OG0001477	scaffold14.g1320.t1	PRW51182.1
OG0001478	scaffold14.g1342.t1	PRW05916.1, PRW05917.1
OG0001479	scaffold8.g1354.t1	PRW56322.1
OG0001480	scaffold8.g1378.t1	PRW55983.1
OG0001481	scaffold8.g1391.t1	PRW60101.1
OG0001482	scaffold8.g1408.t1	PRW56196.1
OG0001483	scaffold8.g1411.t1	PRW56200.1
