Orthogroup	a99_genome_proteins	c_variabilis_genome_proteins
OG0000907	scaffold5.g720.t1	XP_005849616.1
OG0000908	scaffold5.g732.t1	XP_005849651.1
OG0000909	scaffold5.g758.t1, scaffold10.g2382.t1	XP_005843564.1
OG0000910	scaffold5.g761.t1	XP_005849821.1
OG0000911	scaffold5.g777.t1	XP_005849925.1
OG0000911	scaffold5.g778.t1	XP_005849926.1
OG0000912	scaffold5.g800.t1	XP_005842602.1
OG0000913	scaffold2.g7125.t1, scaffold5.g844.t1, scaffold1.g5840.t1	XP_005848627.1
OG0000914	scaffold5.g864.t1, scaffold1.g5447.t1, scaffold40.g5168.t1, scaffold1.g5579.t1, scaffold2.g7251.t1	XP_005849640.1
OG0000915	scaffold5.g866.t1	XP_005843238.1
OG0000916	scaffold5.g877.t1, scaffold37.g4380.t1, scaffold39.g4413.t1	XP_005849907.1
OG0000917	scaffold5.g893.t1, scaffold2.g7065.t1	XP_005849671.1
OG0000918	scaffold5.g894.t1	XP_005849921.1
OG0000918	scaffold5.g905.t1	XP_005849922.1
OG0000919	scaffold5.g911.t1	XP_005849567.1, XP_005849568.1
OG0000920	scaffold5.g912.t1	XP_005849828.1
OG0000921	scaffold5.g935.t1	XP_005849563.1
OG0000921	scaffold5.g915.t1	XP_005849564.1
OG0000922	scaffold5.g949.t1	XP_005849571.1
OG0000923	scaffold5.g970.t1	XP_005849556.1
OG0000924	scaffold5.g990.t1	XP_005851983.1
OG0000924	scaffold9.g3226.t1	XP_005851982.1
OG0000925	scaffold5.g1010.t1	XP_005849807.1
OG0000926	scaffold14.g1041.t1	XP_005848983.1
OG0000927	scaffold14.g1053.t1, scaffold14.g1318.t1	XP_005848787.1
OG0000928	scaffold4.g5039.t1, scaffold14.g1055.t1	XP_005846107.1
OG0000930	scaffold14.g1062.t1	XP_005848967.1
OG0000931	scaffold14.g1078.t1	XP_005848761.1, XP_005848974.1
OG0000932	scaffold14.g1132.t1	XP_005850351.1
OG0000933	scaffold3.g6441.t1	XP_005846299.1
OG0000933	scaffold14.g1136.t1	XP_005845665.1
OG0000934	scaffold14.g1141.t1, scaffold22.g6083.t1, scaffold22.g6088.t1	XP_005843576.1
OG0000935	scaffold14.g1155.t1	XP_005848930.1
OG0000936	scaffold14.g1162.t1	XP_005848939.1
OG0000937	scaffold14.g1177.t1	XP_005848933.1
OG0000938	scaffold10.g2248.t1	XP_005846114.1
OG0000939	scaffold6.g2508.t1, scaffold14.g1215.t1	XP_005844200.1
OG0000940	scaffold53.g4532.t1	XP_005843082.1
OG0000940	scaffold14.g1242.t1	XP_005851690.1
OG0000941	scaffold14.g1275.t1	XP_005848647.1, XP_005846274.1
OG0000942	scaffold14.g1288.t1	XP_005849606.1
OG0000943	scaffold14.g1310.t1	XP_005848636.1
OG0000944	scaffold14.g1312.t1	XP_005845607.1
OG0000945	scaffold14.g1316.t1	XP_005848602.1
OG0000946	scaffold8.g1369.t1	XP_005850865.1
OG0000947	scaffold8.g1388.t1	XP_005850877.1
OG0000948	scaffold8.g1393.t1	XP_005845231.1
OG0000949	scaffold8.g1440.t1	XP_005850888.1
OG0000950	scaffold8.g1444.t1	XP_005850892.1
OG0000951	scaffold8.g1445.t1	XP_005850833.1
OG0000952	scaffold8.g1448.t1	XP_005843218.1
OG0000953	scaffold8.g1452.t1	XP_005850840.1
OG0000954	scaffold8.g1490.t1	XP_005850520.1, XP_005850521.1
OG0000955	scaffold8.g1508.t1	XP_005844514.1
OG0000956	scaffold8.g1528.t1	XP_005850500.1
OG0000957	scaffold8.g1593.t1	XP_005847245.1
OG0000958	scaffold1.g5740.t1	XP_005842884.1
OG0000958	scaffold8.g1596.t1	XP_005842867.1
OG0000959	scaffold8.g1604.t1, scaffold2.g7248.t1	XP_005852061.1
OG0000960	scaffold11.g4024.t1, scaffold8.g1609.t1, scaffold8.g1606.t1	XP_005843953.1
OG0000963	scaffold7.g3439.t1, scaffold8.g1641.t1, scaffold42.g4472.t1	XP_005849282.1
OG0000964	scaffold8.g1651.t1	XP_005843629.1
OG0000965	scaffold8.g1671.t1	XP_005843865.1
OG0000966	scaffold8.g1672.t1	XP_005848588.1
OG0000967	scaffold8.g1687.t1	XP_005843914.1
OG0000968	scaffold8.g1699.t1	XP_005844295.1
OG0000970	scaffold19.g1740.t1	XP_005848028.1, XP_005842736.1
OG0000971	scaffold19.g1747.t1	XP_005842657.1, XP_005848097.1
OG0000972	scaffold19.g1748.t1	XP_005847939.1, XP_005847938.1
OG0000973	scaffold1.g5616.t1, scaffold19.g1753.t1, scaffold1.g5617.t1	XP_005851310.1
OG0000974	scaffold19.g1763.t1	XP_005847940.1
OG0000975	scaffold7.g3667.t1, scaffold19.g1788.t1	XP_005849042.1
OG0000976	scaffold19.g1794.t1	XP_005849976.1, XP_005845794.1
OG0000978	scaffold19.g1848.t1	XP_005847951.1
OG0000979	scaffold3.g6457.t1	XP_005842808.1
OG0000980	scaffold19.g1875.t1	XP_005844224.1, XP_005847874.1
OG0000981	scaffold18.g1908.t1	XP_005850459.1
OG0000982	scaffold18.g1914.t1, scaffold2.g6772.t1	XP_005850466.1
OG0000983	scaffold18.g1929.t1	XP_005850324.1
OG0000984	scaffold18.g1942.t1	XP_005850083.1
OG0000985	scaffold18.g1944.t1	XP_005850084.1
OG0000986	scaffold18.g1947.t1	XP_005850316.1
OG0000987	scaffold18.g1951.t1	XP_005850077.1
OG0000988	scaffold12.g8161.t1, scaffold18.g1953.t1	XP_005843156.1
OG0000989	scaffold18.g1972.t1	XP_005852267.1
OG0000990	scaffold18.g1982.t1	XP_005850156.1
OG0000991	scaffold18.g1986.t1	XP_005850214.1
OG0000992	scaffold1.g5497.t1, scaffold21.g2086.t1	XP_005846842.1, XP_005842605.1
OG0000993	scaffold21.g2160.t1	XP_005845039.1
OG0000994	scaffold21.g2172.t1	XP_005845240.1
OG0000995	scaffold9.g3164.t1, scaffold21.g2178.t1	XP_005851350.1
OG0000996	scaffold21.g2195.t1	XP_005843931.1, XP_005846828.1
OG0000997	scaffold10.g2250.t1, scaffold2.g6811.t1	XP_005846116.1
OG0000998	scaffold10.g2286.t1	XP_005852297.1, XP_005851826.1
OG0000999	scaffold10.g2297.t1	XP_005846102.1
OG0001000	scaffold10.g2301.t1	XP_005843514.1, XP_005844278.1, XP_005843589.1, XP_005849326.1, XP_005849106.1, XP_005849105.1
OG0001001	scaffold6.g2777.t1, scaffold10.g2340.t1, scaffold20.g7776.t1	XP_005848034.1
OG0001003	scaffold2.g7352.t1	XP_005845002.1
OG0001003	scaffold10.g2392.t1	XP_005850390.1
OG0001004	scaffold10.g2395.t1	XP_005852100.1
OG0001005	scaffold10.g2410.t1	XP_005846194.1
OG0001006	scaffold10.g2413.t1	XP_005846055.1
OG0001007	scaffold10.g2433.t1, scaffold9.g3186.t1	XP_005847998.1
OG0001008	scaffold10.g2442.t1	XP_005846205.1
OG0001009	scaffold10.g2445.t1	XP_005844918.1, XP_005849231.1
OG0001010	scaffold10.g2453.t1, scaffold11.g3940.t1	XP_005850409.1
OG0001012	scaffold9.g3059.t1, scaffold10.g2468.t1	XP_005845112.1
OG0001013	scaffold6.g2510.t1	XP_005843628.1
OG0001015	scaffold6.g2545.t1	XP_005845094.1
OG0001016	scaffold6.g2601.t1	XP_005850416.1
OG0001018	scaffold6.g2628.t1	XP_005850858.1
OG0001020	scaffold6.g2644.t1	XP_005846098.1
OG0001021	scaffold6.g2656.t1	XP_005850938.1
OG0001022	scaffold6.g2698.t1	XP_005850714.1
OG0001023	scaffold6.g2699.t1	XP_005850994.1
OG0001024	scaffold6.g2701.t1	XP_005850719.1
OG0001025	scaffold6.g2742.t1	XP_005850668.1
OG0001026	scaffold6.g2746.t1	XP_005848497.1
OG0001027	scaffold6.g2787.t1	XP_005850964.1
OG0001028	scaffold6.g2809.t1, scaffold2.g7172.t1, scaffold34.g4518.t1	XP_005850659.1
OG0001030	scaffold6.g2826.t1	XP_005850976.1
OG0001031	scaffold6.g2852.t1	XP_005850619.1
OG0001032	scaffold6.g2867.t1, scaffold6.g2864.t1	XP_005850726.1
OG0001034	scaffold6.g2902.t1	XP_005844419.1
OG0001035	scaffold6.g2909.t1	XP_005851047.1
OG0001036	scaffold24.g2927.t1	XP_005845827.1
OG0001037	scaffold28.g7592.t1	XP_005848451.1
OG0001037	scaffold24.g2977.t1	XP_005845790.1
OG0001038	scaffold24.g2991.t1	XP_005845765.1
OG0001039	scaffold9.g3024.t1	XP_005842761.1
OG0001040	scaffold9.g3030.t1, scaffold22.g6076.t1	XP_005849986.1
OG0001041	scaffold9.g3055.t1	XP_005851759.1
OG0001043	scaffold20.g7766.t1	XP_005846990.1
OG0001044	scaffold9.g3097.t1	XP_005852110.1
OG0001045	scaffold9.g3098.t1	XP_005851772.1
OG0001046	scaffold9.g3136.t1	XP_005852120.1
OG0001047	scaffold9.g3143.t1	XP_005851802.1
OG0001048	scaffold9.g3155.t1	XP_005851796.1, XP_005851795.1
OG0001049	scaffold9.g3159.t1	XP_005851790.1
OG0001050	scaffold9.g3264.t1, scaffold3.g6493.t1	XP_005845480.1
OG0001051	scaffold9.g3278.t1	XP_005852145.1
OG0001052	scaffold9.g3279.t1	XP_005852242.1
OG0001053	scaffold9.g3283.t1	XP_005851908.1
OG0001054	scaffold9.g3293.t1	XP_005852235.1
OG0001055	scaffold26.g3318.t1	XP_005844216.1
OG0001056	scaffold26.g3331.t1	XP_005845204.1, XP_005842734.1, XP_005845205.1
OG0001057	scaffold26.g3332.t1	XP_005848683.1
OG0001058	scaffold26.g3333.t1	XP_005844427.1
OG0001059	scaffold26.g3344.t1	XP_005845917.1
OG0001060	scaffold4.g4784.t1, scaffold26.g3356.t1	XP_005852321.1
OG0001061	scaffold7.g3381.t1	XP_005849034.1
OG0001062	scaffold7.g3396.t1	XP_005848999.1, XP_005849230.1
OG0001063	scaffold7.g3417.t1	XP_005849146.1
OG0001064	scaffold7.g3421.t1	XP_005849341.1
OG0001065	scaffold7.g3470.t1	XP_005849336.1
OG0001066	scaffold7.g3450.t1	XP_005849081.1
OG0001066	scaffold7.g3431.t1	XP_005849080.1
OG0001067	scaffold7.g3460.t1	XP_005849084.1
OG0001068	scaffold7.g3522.t1	XP_005849328.1
OG0001069	scaffold7.g3539.t1	XP_005849264.1
OG0001070	scaffold7.g3562.t1, scaffold7.g3565.t1	XP_005845860.1
OG0001071	scaffold7.g3586.t1	XP_005849300.1
OG0001072	scaffold7.g3611.t1	XP_005849112.1
OG0001073	scaffold7.g3623.t1	XP_005849186.1, XP_005852157.1
OG0001074	scaffold7.g3675.t1	XP_005849167.1
OG0001075	scaffold7.g3679.t1	XP_005849043.1
OG0001076	scaffold7.g3687.t1	XP_005849044.1
OG0001077	scaffold7.g3710.t1, scaffold11.g3895.t1	XP_005847656.1
OG0001078	scaffold7.g3716.t1	XP_005849402.1
OG0001079	scaffold7.g3731.t1	XP_005849208.1
OG0001080	scaffold7.g3740.t1	XP_005850640.1, XP_005845001.1
OG0001081	scaffold7.g3743.t1	XP_005850615.1
OG0001082	scaffold7.g3750.t1, scaffold12.g8080.t1, scaffold4.g4872.t1	XP_005847443.1
OG0001083	scaffold11.g3833.t1	XP_005851947.1, XP_005851944.1
OG0001084	scaffold11.g3842.t1	XP_005851948.1, XP_005851949.1
OG0001085	scaffold11.g3977.t1, scaffold11.g3984.t1	XP_005851891.1, XP_005842717.1
OG0001086	scaffold11.g4005.t1	XP_005852217.1, XP_005850788.1, XP_005844701.1
OG0001087	scaffold11.g4032.t1	XP_005843899.1, XP_005843961.1
OG0001088	scaffold11.g4075.t1	XP_005843856.1
OG0001089	scaffold23.g4098.t1	XP_005843973.1
OG0001090	scaffold23.g4141.t1	XP_005842831.1
OG0001091	scaffold23.g4142.t1	XP_005848424.1
OG0001092	scaffold23.g4143.t1	XP_005848410.1
OG0001093	scaffold23.g4164.t1	XP_005844897.1, XP_005843311.1, XP_005847142.1, XP_005845568.1
OG0001094	scaffold23.g4175.t1	XP_005851091.1
OG0001095	scaffold23.g4179.t1	XP_005848205.1
OG0001096	scaffold23.g4194.t1	XP_005850743.1, XP_005850744.1
OG0001097	scaffold15.g4245.t1	XP_005847514.1
OG0001098	scaffold15.g4249.t1	XP_005848515.1, XP_005848518.1
OG0001099	scaffold15.g4265.t1	XP_005848331.1
OG0001100	scaffold15.g4268.t1	XP_005848334.1
OG0001101	scaffold15.g4313.t1	XP_005850552.1
OG0001102	scaffold15.g4314.t1	XP_005848417.1
OG0001103	scaffold30.g4431.t1	XP_005844058.1
OG0001104	scaffold34.g4497.t1	XP_005844681.1
OG0001105	scaffold34.g4519.t1	XP_005844750.1
OG0001106	scaffold2.g6850.t1, scaffold56.g4540.t1	XP_005851230.1
OG0001107	scaffold4.g4571.t1	XP_005849802.1
OG0001108	scaffold4.g4585.t1	XP_005849476.1
OG0001109	scaffold4.g4599.t1	XP_005851798.1, XP_005843247.1
OG0001110	scaffold4.g4607.t1	XP_005849752.1, XP_005849483.1
OG0001111	scaffold4.g4621.t1, scaffold1.g5390.t1	XP_005851483.1
OG0001112	scaffold4.g4623.t1	XP_005849451.1
OG0001113	scaffold4.g4680.t1	XP_005849731.1
OG0001115	scaffold4.g4746.t1, scaffold4.g4747.t1	XP_005849782.1
OG0001116	scaffold4.g4799.t1	XP_005849714.1
OG0001117	scaffold4.g4852.t1, scaffold4.g4808.t1, scaffold3.g6623.t1	XP_005847426.1
OG0001118	scaffold20.g7657.t1, scaffold4.g4835.t1	XP_005846970.1
OG0001119	scaffold4.g4850.t1	XP_005847424.1
OG0001120	scaffold4.g4864.t1, scaffold2.g7497.t1	XP_005847816.1
OG0001121	scaffold4.g4865.t1	XP_005847335.1
OG0001122	scaffold4.g4866.t1	XP_005847336.1
OG0001123	scaffold4.g4911.t1, scaffold2.g6831.t1	XP_005851347.1
OG0001125	scaffold4.g4940.t1	XP_005847351.1
OG0001126	scaffold4.g4949.t1	XP_005847490.1
OG0001127	scaffold4.g4968.t1	XP_005847486.1
OG0001128	scaffold4.g5019.t1	XP_005847304.1, XP_005847477.1
OG0001129	scaffold4.g5032.t1	XP_005847573.1, XP_005844389.1
OG0001130	scaffold4.g5034.t1	XP_005843045.1
OG0001131	scaffold36.g5067.t1	XP_005843436.1
OG0001132	scaffold36.g5073.t1	XP_005842674.1, XP_005843835.1
OG0001133	scaffold36.g5076.t1	XP_005843831.1
OG0001136	scaffold25.g5091.t1	XP_005843087.1
OG0001137	scaffold25.g5093.t1	XP_005852319.1
OG0001138	scaffold1.g5173.t1	XP_005845132.1
OG0001139	scaffold1.g5210.t1	XP_005851121.1
OG0001140	scaffold1.g5218.t1, scaffold3.g6707.t1	XP_005851106.1
OG0001141	scaffold1.g5234.t1	XP_005851124.1
OG0001142	scaffold1.g5237.t1	XP_005851123.1
OG0001143	scaffold430.g5907.t1, scaffold1.g5244.t1	XP_005851135.1
OG0001144	scaffold1.g5260.t1	XP_005851115.1
OG0001145	scaffold1.g5275.t1	XP_005851418.1
OG0001146	scaffold1.g5296.t1	XP_005851384.1
OG0001147	scaffold1.g5325.t1	XP_005851436.1
OG0001148	scaffold28.g7538.t1, scaffold1.g5333.t1, scaffold1.g5330.t1	XP_005851155.1
OG0001149	scaffold1.g5344.t1	XP_005851438.1
OG0001150	scaffold1.g5353.t1	XP_005846674.1
OG0001151	scaffold1.g5383.t1	XP_005851477.1, XP_005851476.1
OG0001152	scaffold1.g5396.t1	XP_005851392.1, XP_005850034.1
OG0001153	scaffold1.g5400.t1	XP_005845218.1
OG0001155	scaffold1.g5460.t1	XP_005844545.1
OG0001156	scaffold1.g5492.t1	XP_005851242.1
OG0001157	scaffold1.g5544.t1	XP_005851616.1
OG0001158	scaffold12.g8283.t1, scaffold1.g5697.t1	XP_005843691.1
OG0001159	scaffold1.g5752.t1	XP_005851654.1
OG0001160	scaffold1.g5770.t1	XP_005851282.1
OG0001161	scaffold1.g5772.t1	XP_005851286.1
OG0001162	scaffold1.g5773.t1, scaffold27.g5990.t1	XP_005844189.1
OG0001163	scaffold1.g5781.t1	XP_005851577.1
OG0001164	scaffold1.g5807.t1	XP_005851290.1
OG0001165	scaffold1.g5854.t1	XP_005844770.1
OG0001166	scaffold1.g5866.t1	XP_005852309.1
OG0001167	scaffold1.g5878.t1, scaffold1.g5898.t1	XP_005845906.1
OG0001168	scaffold29.g5924.t1	XP_005846798.1
OG0001169	scaffold29.g5925.t1	XP_005846650.1
OG0001170	scaffold29.g5933.t1	XP_005845818.1
OG0001171	scaffold29.g5946.t1	XP_005845102.1
OG0001172	scaffold27.g6026.t1	XP_005851838.1, XP_005844303.1
OG0001175	scaffold22.g6061.t1	XP_005850301.1
OG0001176	scaffold22.g6077.t1	XP_005850240.1
OG0001177	scaffold22.g6080.t1	XP_005850011.1
OG0001178	scaffold22.g6086.t1	XP_005849992.1
OG0001179	scaffold22.g6089.t1	XP_005846035.1
OG0001180	scaffold22.g6106.t1	XP_005849989.1
OG0001181	scaffold22.g6111.t1	XP_005850293.1
OG0001182	scaffold22.g6133.t1	XP_005850010.1
OG0001183	scaffold22.g6150.t1	XP_005850255.1
OG0001184	scaffold3.g6162.t1	XP_005846389.1
OG0001185	scaffold3.g6236.t1	XP_005846521.1
OG0001186	scaffold3.g6249.t1	XP_005846318.1
OG0001187	scaffold3.g6271.t1	XP_005846330.1
OG0001188	scaffold3.g6306.t1	XP_005848808.1, XP_005844393.1, XP_005846465.1
OG0001189	scaffold3.g6331.t1, scaffold3.g6341.t1	XP_005846277.1
OG0001190	scaffold3.g6349.t1	XP_005847774.1
OG0001192	scaffold3.g6420.t1	XP_005846475.1
OG0001193	scaffold3.g6424.t1	XP_005846242.1, XP_005846418.1, XP_005846243.1
OG0001194	scaffold3.g6425.t1	XP_005846239.1
OG0001195	scaffold3.g6513.t1	XP_005846951.1
OG0001196	scaffold3.g6555.t1	XP_005845671.1, XP_005846941.1
OG0001197	scaffold3.g6601.t1	XP_005842804.1
OG0001198	scaffold2.g6814.t1	XP_005842727.1, XP_005844422.1
OG0001199	scaffold2.g6817.t1, scaffold2.g6816.t1	XP_005851739.1
OG0001200	scaffold2.g6887.t1, scaffold2.g6872.t1	XP_005843581.1, XP_005842570.1
OG0001201	scaffold2.g6892.t1	XP_005842855.1
OG0001202	scaffold2.g6939.t1	XP_005847638.1, XP_005845666.1
OG0001204	scaffold2.g6967.t1	XP_005843427.1
OG0001205	scaffold2.g7007.t1	XP_005845518.1
OG0001206	scaffold2.g7031.t1	XP_005845675.1
OG0001208	scaffold2.g7445.t1	XP_005848663.1
OG0001209	scaffold2.g7094.t1, scaffold2.g7120.t1	XP_005843206.1
OG0001210	scaffold2.g7112.t1	XP_005845998.1, XP_005846002.1
OG0001211	scaffold2.g7128.t1	XP_005846669.1
OG0001211	scaffold2.g7170.t1	XP_005844586.1
OG0001212	scaffold2.g7129.t1	XP_005843168.1
OG0001213	scaffold2.g7132.t1	XP_005843198.1
OG0001214	scaffold20.g7646.t1, scaffold20.g7629.t1	XP_005846974.1
OG0001215	scaffold2.g7197.t1	XP_005844477.1
OG0001216	scaffold2.g7208.t1	XP_005844742.1, XP_005843153.1
OG0001217	scaffold2.g7234.t1	XP_005843335.1, XP_005843336.1
OG0001218	scaffold2.g7271.t1	XP_005843257.1, XP_005843372.1
OG0001219	scaffold2.g7299.t1	XP_005848769.1, XP_005848770.1, XP_005851162.1
OG0001220	scaffold2.g7392.t1	XP_005848264.1
OG0001221	scaffold2.g7393.t1	XP_005848465.1, XP_005846837.1
OG0001222	scaffold2.g7424.t1	XP_005851643.1, XP_005843040.1
OG0001223	scaffold2.g7440.t1	XP_005848374.1
OG0001224	scaffold2.g7454.t1	XP_005846070.1
OG0001226	scaffold2.g7509.t1	XP_005844121.1
OG0001227	scaffold2.g7517.t1	XP_005844233.1
OG0001228	scaffold28.g7563.t1	XP_005848291.1
OG0001229	scaffold28.g7564.t1	XP_005848293.1
OG0001230	scaffold28.g7573.t1	XP_005848262.1
OG0001231	scaffold28.g7575.t1	XP_005848266.1
OG0001232	scaffold12.g8085.t1, scaffold20.g7634.t1, scaffold20.g7652.t1, scaffold20.g7679.t1, scaffold20.g7610.t1, scaffold20.g7668.t1	XP_005845538.1
OG0001233	scaffold20.g7628.t1	XP_005842626.1
OG0001234	scaffold20.g7641.t1	XP_005847161.1, XP_005847160.1
OG0001235	scaffold20.g7648.t1	XP_005846972.1
OG0001236	scaffold20.g7670.t1	XP_005847166.1, XP_005845974.1
OG0001237	scaffold20.g7689.t1	XP_005847184.1
OG0001238	scaffold20.g7698.t1	XP_005847187.1
OG0001239	scaffold20.g7724.t1	XP_005847110.1
OG0001240	scaffold20.g7760.t1	XP_005851939.1, XP_005846995.1
OG0001241	scaffold20.g7769.t1	XP_005847201.1
OG0001243	scaffold20.g7780.t1, scaffold20.g7783.t1	XP_005848130.1
OG0001244	scaffold20.g7795.t1	XP_005848124.1
OG0001245	scaffold20.g7809.t1	XP_005848719.1
OG0001246	scaffold20.g7830.t1	XP_005848067.1
OG0001246	scaffold20.g7829.t1	XP_005848068.1
OG0001247	scaffold12.g7920.t1	XP_005847629.1
OG0001248	scaffold12.g7936.t1	XP_005842897.1, XP_005847551.1
OG0001249	scaffold12.g7939.t1	XP_005847554.1
OG0001250	scaffold12.g7954.t1	XP_005847731.1
OG0001251	scaffold12.g7976.t1	XP_005847584.1, XP_005847585.1
OG0001252	scaffold12.g7986.t1	XP_005847781.1
OG0001253	scaffold12.g7994.t1	XP_005847783.1
OG0001254	scaffold12.g8002.t1	XP_005847657.1
OG0001255	scaffold12.g8012.t1	XP_005847641.1
OG0001256	scaffold12.g8017.t1	XP_005847645.1
OG0001257	scaffold12.g8033.t1	XP_005847740.1
OG0001258	scaffold12.g8034.t1	XP_005847572.1
OG0001259	scaffold12.g8036.t1	XP_005847580.1
OG0001260	scaffold12.g8102.t1	XP_005847831.1
OG0001261	scaffold12.g8142.t1	XP_005847669.1
OG0001262	scaffold12.g8181.t1	XP_005843143.1
OG0001263	scaffold12.g8192.t1	XP_005847620.1
OG0001264	scaffold12.g8212.t1	XP_005843653.1
OG0001265	scaffold12.g8224.t1	XP_005843697.1
OG0001266	scaffold12.g8247.t1, scaffold12.g8246.t1, scaffold12.g8245.t1	XP_005843655.1
OG0001267	scaffold12.g8284.t1	XP_005843690.1
OG0001315	scaffold16.g9.t1	XP_005846625.1
OG0001316	scaffold16.g11.t1, scaffold2.g7300.t1	XP_005842916.1
OG0001317	scaffold12.g8131.t1, scaffold16.g18.t1	XP_005847688.1
OG0001318	scaffold16.g19.t1	XP_005846777.1
OG0001319	scaffold16.g20.t1	XP_005846774.1
OG0001320	scaffold16.g31.t1	XP_005846780.1
OG0001321	scaffold16.g33.t1	XP_005845106.1
OG0001323	scaffold26.g3348.t1, scaffold16.g45.t1	XP_005846631.1
OG0001324	scaffold16.g52.t1	XP_005846771.1
OG0001325	scaffold4.g4731.t1, scaffold16.g53.t1	XP_005849739.1
OG0001326	scaffold16.g67.t1	XP_005846945.1
OG0001327	scaffold16.g74.t1	XP_005845911.1
OG0001328	scaffold16.g78.t1	XP_005845800.1, XP_005845912.1
OG0001330	scaffold16.g89.t1	XP_005845799.1
OG0001331	scaffold16.g91.t1	XP_005845901.1
OG0001332	scaffold2.g7174.t1, scaffold16.g110.t1	XP_005845197.1
OG0001333	scaffold16.g117.t1	XP_005845767.1, XP_005842630.1
OG0001334	scaffold16.g141.t1, scaffold20.g7850.t1	XP_005845822.1
OG0001335	scaffold16.g158.t1	XP_005843235.1
OG0001336	scaffold16.g160.t1	XP_005845731.1
OG0001337	scaffold13.g163.t1, scaffold2.g7367.t1, scaffold1.g5862.t1	XP_005844732.1
OG0001338	scaffold13.g181.t1	XP_005843412.1
OG0001339	scaffold13.g198.t1	XP_005844458.1
OG0001340	scaffold13.g200.t1	XP_005844556.1, XP_005844557.1
OG0001341	scaffold13.g211.t1, scaffold19.g1755.t1	XP_005848019.1
OG0001342	scaffold13.g219.t1	XP_005851338.1
OG0001344	scaffold13.g243.t1	XP_005846908.1
OG0001345	scaffold9.g3062.t1	XP_005851755.1
OG0001345	scaffold13.g244.t1	XP_005846530.1
OG0001346	scaffold3.g6411.t1	XP_005846479.1
OG0001347	scaffold13.g267.t1	XP_005844103.1
OG0001348	scaffold13.g270.t1, scaffold9.g3271.t1	XP_005847390.1
OG0001349	scaffold13.g312.t1	XP_005844483.1
OG0001351	scaffold8.g1661.t1, scaffold13.g322.t1	XP_005844577.1
OG0001352	scaffold13.g331.t1	XP_005844496.1
OG0001353	scaffold13.g333.t1	XP_005847500.1
OG0001354	scaffold13.g337.t1	XP_005844504.1
OG0001355	scaffold13.g344.t1	XP_005844593.1
OG0001356	scaffold13.g345.t1	XP_005844600.1
OG0001357	scaffold13.g351.t1	XP_005844513.1
OG0001358	scaffold13.g367.t1	XP_005844518.1
OG0001359	scaffold6.g2612.t1, scaffold13.g383.t1	XP_005844526.1
OG0001360	scaffold13.g396.t1	XP_005844531.1
OG0001361	scaffold13.g397.t1	XP_005844630.1
OG0001362	scaffold13.g399.t1	XP_005844533.1
OG0001363	scaffold13.g420.t1	XP_005844549.1
OG0001364	scaffold17.g426.t1	XP_005850113.1
OG0001365	scaffold17.g430.t1	XP_005844841.1, XP_005844840.1
OG0001366	scaffold17.g440.t1	XP_005843255.1
OG0001367	scaffold17.g443.t1	XP_005843299.1
OG0001368	scaffold17.g451.t1	XP_005844930.1
OG0001369	scaffold17.g467.t1	XP_005843296.1
OG0001370	scaffold17.g485.t1	XP_005843239.1
OG0001371	scaffold17.g486.t1	XP_005843240.1
OG0001372	scaffold17.g488.t1	XP_005843236.1
OG0001373	scaffold17.g496.t1	XP_005843272.1
OG0001374	scaffold17.g500.t1	XP_005843270.1
OG0001375	scaffold17.g503.t1	XP_005851691.1, XP_005848232.1
OG0001376	scaffold17.g505.t1, scaffold6.g2782.t1	XP_005849652.1
OG0001377	scaffold17.g508.t1	XP_005844982.1
OG0001378	scaffold5.g751.t1, scaffold17.g518.t1	XP_005849883.1
OG0001379	scaffold11.g3974.t1, scaffold17.g540.t1	XP_005852218.1
OG0001380	scaffold17.g544.t1	XP_005844980.1
OG0001381	scaffold17.g555.t1	XP_005844971.1
OG0001382	scaffold17.g559.t1	XP_005844865.1
OG0001383	scaffold17.g565.t1	XP_005844967.1
OG0001384	scaffold17.g570.t1	XP_005844959.1, XP_005844850.1
OG0001385	scaffold17.g587.t1	XP_005844886.1
OG0001386	scaffold17.g601.t1	XP_005852203.1
OG0001387	scaffold5.g607.t1	XP_005843811.1
OG0001388	scaffold5.g615.t1	XP_005844768.1
OG0001389	scaffold5.g668.t1, scaffold5.g643.t1	XP_005849512.1
OG0001390	scaffold5.g644.t1	XP_005849961.1
OG0001391	scaffold5.g647.t1	XP_005849958.1
OG0001392	scaffold5.g655.t1	XP_005849964.1
OG0001393	scaffold5.g678.t1	XP_005843770.1
OG0001394	scaffold5.g681.t1	XP_005843775.1
OG0001395	scaffold5.g684.t1	XP_005843756.1
OG0001396	scaffold5.g689.t1	XP_005843824.1
OG0001397	scaffold5.g700.t1	XP_005843819.1
OG0001398	scaffold5.g706.t1	XP_005849956.1
OG0001399	scaffold1.g5833.t1, scaffold5.g707.t1	XP_005849702.1
OG0001400	scaffold4.g4583.t1, scaffold10.g2335.t1, scaffold5.g740.t1	XP_005845841.1
OG0001401	scaffold5.g742.t1	XP_005849889.1
OG0001402	scaffold5.g755.t1	XP_005849874.1
OG0001403	scaffold12.g7908.t1, scaffold5.g757.t1, scaffold12.g7909.t1, scaffold2.g7297.t1	XP_005844074.1
OG0001404	scaffold5.g783.t1	XP_005849695.1
OG0001405	scaffold5.g787.t1	XP_005849936.1
