Orthogroup	oneline_m_conductrix_genome_proteins	oneline_c_sorokiniana_genome_proteins
OG0000896	PSC73953.1	PRW33106.1
OG0000897	PSC74333.1, PSC74309.1	PRW60925.1
OG0000898	PSC67539.1	PRW44917.1
OG0000899	PSC68813.1	PRW33092.1
OG0000900	PSC70525.1	PRW60989.1
OG0000901	PSC68731.1, PSC68730.1	PRW33133.1
OG0000902	PSC71287.1	PRW33125.1, PRW33124.1, PRW33126.1
OG0000903	PSC73904.1	PRW58176.1
OG0000904	PSC70989.1, PSC70848.1	PRW44569.1
OG0000905	PSC67296.1, PSC67052.1, PSC67006.1	PRW61293.1
OG0000906	PSC68937.1	PRW60716.1
OG0000907	PSC76274.1	PRW58986.1, PRW58985.1
OG0000908	PSC76468.1	PRW59217.1
OG0000908	PSC76885.1	PRW59354.1
OG0000909	PSC73391.1	PRW61309.1, PRW61215.1
OG0000910	PSC67832.1, PSC67833.1	PRW59006.1, PRW59007.1
OG0000911	PSC75585.1	PRW59119.1
OG0000912	PSC75806.1	PRW59234.1, PRW59347.1
OG0000913	PSC75786.1	PRW51030.1
OG0000915	PSC69271.1	PRW33142.1, PRW33140.1, PRW33141.1
OG0000916	PSC76563.1	PRW59076.1
OG0000917	PSC74638.1, PSC75774.1	PRW58883.1
OG0000918	PSC75787.1	PRW58737.1
OG0000919	PSC67834.1	PRW59055.1
OG0000920	PSC67846.1, PSC67848.1, PSC67847.1	PRW59215.1
OG0000921	PSC67881.1	PRW59101.1
OG0000922	PSC67855.1, PSC71899.1, PSC67830.1	PRW59324.1
OG0000923	PSC67970.1, PSC67968.1, PSC67969.1	PRW58859.1
OG0000925	PSC73988.1	PRW59391.1, PRW61304.1
OG0000926	PSC75991.1	PRW51056.1
OG0000927	PSC69736.1	PRW50836.1
OG0000928	PSC71994.1	PRW39087.1, PRW39390.1
OG0000929	PSC69711.1	PRW51043.1
OG0000930	PSC75971.1	PRW56238.1, PRW44962.1, PRW51110.1
OG0000931	PSC75285.1	PRW50937.1
OG0000932	PSC76997.1	PRW56778.1, PRW56681.1
OG0000934	PSC74099.1	PRW61558.1
OG0000935	PSC76741.1, PSC76740.1	PRW50835.1
OG0000936	PSC75709.1	PRW50840.1
OG0000937	PSC67891.1	PRW60513.1
OG0000937	PSC75469.1	PRW50973.1
OG0000938	PSC69720.1	PRW56608.1
OG0000939	PSC67282.1	PRW61133.1
OG0000940	PSC76907.1	PRW32633.1
OG0000941	PSC75534.1	PRW51062.1
OG0000942	PSC75365.1	PRW58836.1
OG0000943	PSC75590.1	PRW50863.1, PRW50862.1, PRW50864.1
OG0000944	PSC74252.1, PSC73577.1	PRW61560.1
OG0000945	PSC73903.1, PSC73902.1, PSC73901.1	PRW51085.1
OG0000946	PSC71618.1	PRW56288.1
OG0000946	PSC72972.1	PRW57792.1
OG0000947	PSC68609.1	PRW45485.1
OG0000948	PSC71614.1	PRW56175.1
OG0000949	PSC71605.1	PRW56186.1
OG0000950	PSC71457.1	PRW56338.1
OG0000951	PSC67462.1	PRW56046.1, PRW55974.1
OG0000952	PSC69240.1, PSC69239.1	PRW33134.1
OG0000953	PSC67454.1, PSC67455.1	PRW55959.1
OG0000954	PSC72833.1, PSC72799.1	PRW18382.1
OG0000955	PSC76585.1	PRW56449.1, PRW57994.1
OG0000956	PSC72648.1, PSC72649.1, PSC72650.1	PRW18394.1
OG0000957	PSC75951.1, PSC75923.1	PRW44369.1
OG0000959	PSC68160.1	PRW60281.1, PRW60280.1
OG0000960	PSC74490.1	PRW20751.1
OG0000961	PSC71959.1, PSC71960.1, PSC71927.1	PRW39258.1
OG0000962	PSC76519.1	PRW44396.1
OG0000962	PSC71560.1	PRW56733.1
OG0000963	PSC76480.1	PRW33762.1
OG0000964	PSC70939.1, PSC70909.1, PSC73971.1	PRW61369.1
OG0000965	PSC74559.1, PSC74558.1	PRW20643.1
OG0000966	PSC67208.1	PRW05896.1, PRW39366.1, PRW05897.1
OG0000967	PSC74534.1, PSC74535.1	PRW20760.1, PRW20615.1
OG0000968	PSC75591.1, PSC75592.1, PSC70286.1	PRW60997.1
OG0000969	PSC74446.1	PRW60263.1
OG0000970	PSC76614.1, PSC76615.1	PRW20816.1
OG0000971	PSC69457.1, PSC69458.1	PRW57304.1
OG0000972	PSC69481.1	PRW57129.1, PRW05749.1
OG0000973	PSC76822.1	PRW58108.1
OG0000974	PSC69519.1	PRW57172.1, PRW57171.1, PRW05748.1
OG0000975	PSC76748.1	PRW33840.1, PRW33841.1
OG0000976	PSC68278.1	PRW05771.1
OG0000977	PSC68128.1	PRW56837.1
OG0000978	PSC69508.1	PRW20908.1
OG0000979	PSC76579.1	PRW20879.1
OG0000980	PSC70731.1	PRW57209.1, PRW59490.1
OG0000981	PSC69832.1	PRW05822.1, PRW05823.1, PRW05879.1
OG0000982	PSC75718.1	PRW05838.1, PRW05837.1
OG0000983	PSC72574.1	PRW56783.1
OG0000984	PSC72508.1, PSC72509.1	PRW56624.1, PRW56625.1
OG0000985	PSC72485.1, PSC72484.1	PRW56521.1, PRW56522.1
OG0000986	PSC72377.1	PRW56682.1, PRW56684.1, PRW56683.1
OG0000987	PSC72540.1	PRW56585.1, PRW56584.1, PRW56583.1
OG0000988	PSC74628.1	PRW61137.1, PRW61138.1
OG0000989	PSC71569.1, PSC68510.1	PRW56731.1
OG0000990	PSC68082.1, PSC68083.1	PRW56863.1, PRW56862.1
OG0000991	PSC75740.1	PRW05836.1
OG0000992	PSC72149.1	PRW56898.1
OG0000993	PSC68196.1, PSC68197.1	PRW45549.1
OG0000994	PSC68619.1, PSC68618.1	PRW45446.1
OG0000995	PSC70095.1	PRW44506.1
OG0000996	PSC68944.1	PRW44904.1, PRW45377.1
OG0000997	PSC73487.1	PRW61116.1
OG0000998	PSC71931.1	PRW05763.1
OG0000999	PSC71855.1	PRW05800.1, PRW05799.1
OG0001001	PSC70696.1	PRW57277.1
OG0001002	PSC71914.1, PSC71984.1	PRW39261.1, PRW39262.1
OG0001003	PSC71531.1	PRW56780.1
OG0001004	PSC74978.1	PRW60562.1
OG0001005	PSC69584.1, PSC67870.1, PSC67869.1	PRW39110.1
OG0001006	PSC67863.1, PSC67864.1	PRW39360.1, PRW39359.1
OG0001007	PSC76194.1, PSC74974.1, PSC74975.1	PRW20795.1
OG0001008	PSC67682.1, PSC67681.1, PSC67680.1	PRW39097.1
OG0001009	PSC67667.1	PRW39217.1
OG0001010	PSC70548.1	PRW45534.1, PRW56653.1
OG0001011	PSC67181.1, PSC67649.1, PSC67177.1, PSC67049.1	PRW39311.1
OG0001012	PSC70928.1, PSC68629.1	PRW45350.1
OG0001013	PSC74001.1	PRW61300.1, PRW61556.1, PRW61294.1
OG0001014	PSC70608.1	PRW61016.1
OG0001015	PSC73705.1, PSC73706.1	PRW45681.1
OG0001016	PSC68124.1	PRW56723.1
OG0001017	PSC69840.1, PSC69841.1	PRW56400.1
OG0001018	PSC72809.1	PRW56191.1, PRW56256.1
OG0001020	PSC72719.1	PRW56890.1, PRW32536.1, PRW32537.1
OG0001021	PSC72714.1	PRW56314.1
OG0001022	PSC72664.1	PRW56140.1, PRW59557.1
OG0001023	PSC72763.1	PRW56279.1, PRW56235.1
OG0001024	PSC72659.1, PSC72660.1	PRW55950.1, PRW55951.1
OG0001025	PSC72931.1, PSC72930.1	PRW56023.1
OG0001026	PSC70414.1, PSC70340.1	PRW45042.1
OG0001027	PSC72864.1	PRW55994.1
OG0001028	PSC71592.1	PRW56119.1
OG0001029	PSC75401.1	PRW59393.1, PRW61185.1
OG0001030	PSC72695.1	PRW56242.1, PRW56241.1
OG0001031	PSC71516.1, PSC68303.1	PRW56109.1, PRW56110.1
OG0001032	PSC69029.1	PRW56346.1
OG0001033	PSC68862.1, PSC68861.1, PSC68863.1	PRW58442.1
OG0001034	PSC73409.1	PRW61528.1, PRW61529.1
OG0001035	PSC69014.1	PRW59610.1, PRW56352.1
OG0001036	PSC74954.1, PSC74955.1	PRW33698.1
OG0001038	PSC71041.1, PSC76131.1, PSC74984.1	PRW33530.1
OG0001039	PSC67345.1	PRW60547.1, PRW60549.1, PRW60548.1
OG0001040	PSC72967.1	PRW60730.1
OG0001041	PSC75131.1, PSC75132.1	PRW60453.1, PRW60454.1
OG0001043	PSC71016.1	PRW56988.1, PRW60081.1
OG0001044	PSC72358.1, PSC74915.1	PRW60781.1
OG0001045	PSC75010.1, PSC75011.1	PRW60403.1
OG0001046	PSC75088.1, PSC75090.1, PSC75089.1	PRW60311.1
OG0001047	PSC75046.1	PRW60466.1, PRW60765.1
OG0001048	PSC75154.1	PRW60853.1
OG0001049	PSC75030.1	PRW60402.1
OG0001050	PSC76651.1	PRW59506.1
OG0001051	PSC72395.1	PRW60388.1
OG0001052	PSC74306.1, PSC74304.1, PSC74305.1	PRW60206.1
OG0001053	PSC74181.1	PRW60312.1
OG0001054	PSC73984.1	PRW60835.1
OG0001055	PSC74834.1	PRW44585.1
OG0001056	PSC73606.1	PRW45489.1
OG0001057	PSC75521.1, PSC68298.1, PSC68246.1	PRW50965.1
OG0001058	PSC67102.1, PSC70503.1, PSC70502.1	PRW60901.1
OG0001059	PSC74828.1	PRW60972.1, PRW60971.1
OG0001060	PSC76140.1	PRW32589.1, PRW32642.1
OG0001061	PSC76769.1, PSC76770.1, PSC75425.1	PRW33813.1
OG0001062	PSC68094.1	PRW50976.1
OG0001063	PSC73192.1, PSC72947.1	PRW57926.1
OG0001064	PSC73143.1, PSC73142.1	PRW57698.1
OG0001065	PSC72983.1	PRW57680.1
OG0001066	PSC76556.1	PRW33905.1
OG0001067	PSC76242.1	PRW33949.1, PRW33948.1, PRW61038.1
OG0001068	PSC73206.1	PRW57543.1, PRW57656.1, PRW57834.1
OG0001069	PSC76128.1, PSC76129.1, PSC76127.1	PRW34063.1
OG0001070	PSC67310.1	PRW33679.1, PRW33680.1
OG0001071	PSC76378.1	PRW34065.1
OG0001072	PSC76198.1	PRW57775.1, PRW57774.1, PRW57773.1
OG0001073	PSC73154.1	PRW57673.1
OG0001074	PSC73052.1	PRW57675.1, PRW57676.1
OG0001075	PSC76858.1	PRW33974.1, PRW33973.1, PRW33972.1
OG0001076	PSC76172.1, PSC76171.1	PRW34057.1, PRW34058.1
OG0001078	PSC73048.1, PSC73049.1	PRW57889.1, PRW57890.1
OG0001079	PSC69139.1	PRW57811.1
OG0001081	PSC71608.1, PSC71609.1	PRW56082.1
OG0001082	PSC69871.1	PRW44392.1
OG0001083	PSC68537.1	PRW60856.1
OG0001084	PSC68524.1	PRW60286.1
OG0001085	PSC74008.1	PRW60255.1
OG0001086	PSC68938.1	PRW60670.1
OG0001087	PSC74717.1	PRW20747.1
OG0001088	PSC68800.1	PRW20610.1
OG0001089	PSC68773.1, PSC74744.1, PSC74743.1	PRW20714.1
OG0001090	PSC73255.1	PRW33994.1
OG0001091	PSC73399.1	PRW44880.1, PRW44882.1, PRW44881.1
OG0001092	PSC67536.1	PRW45243.1, PRW45242.1, PRW45244.1
OG0001094	PSC70497.1	PRW61487.1, PRW61485.1, PRW61486.1
OG0001095	PSC67537.1	PRW44943.1, PRW44942.1, PRW44941.1
OG0001096	PSC69027.1	PRW56267.1
OG0001097	PSC69890.1	PRW44418.1, PRW44417.1, PRW44419.1
OG0001098	PSC67094.1, PSC70435.1	PRW44838.1
OG0001099	PSC67095.1, PSC70426.1, PSC70425.1	PRW45152.1
OG0001100	PSC70475.1	PRW45025.1, PRW45024.1
OG0001101	PSC73477.1	PRW44929.1, PRW44928.1
OG0001102	PSC73470.1	PRW44847.1, PRW44848.1, PRW44846.1
OG0001104	PSC71819.1	PRW20975.1, PRW20976.1
OG0001105	PSC69380.1, PSC71748.1, PSC71768.1	PRW21128.1
OG0001106	PSC71602.1	PRW56865.1
OG0001107	PSC76143.1	PRW59310.1
OG0001108	PSC67161.1	PRW59224.1
OG0001109	PSC67838.1	PRW61336.1, PRW20414.1
OG0001110	PSC71894.1	PRW59143.1
OG0001111	PSC68854.1	PRW58144.1, PRW58145.1
OG0001112	PSC76460.1	PRW57327.1
OG0001113	PSC76051.1, PSC67397.1	PRW59289.1, PRW59288.1
OG0001114	PSC76582.1, PSC76581.1, PSC76937.1	PRW58538.1
OG0001114	PSC73800.1	PRW59796.1
OG0001115	PSC76634.1	PRW59053.1
OG0001116	PSC68184.1	PRW57157.1
OG0001118	PSC71174.1	PRW57028.1, PRW57029.1
OG0001119	PSC70851.1	PRW44355.1
OG0001121	PSC69974.1, PSC69975.1	PRW44262.1
OG0001122	PSC69902.1, PSC69903.1	PRW44284.1, PRW44283.1
OG0001123	PSC68018.1	PRW44424.1, PRW44575.1
OG0001124	PSC69918.1	PRW44512.1
OG0001125	PSC69951.1	PRW44268.1
OG0001126	PSC69889.1	PRW44486.1, PRW44485.1
OG0001127	PSC69912.1	PRW44503.1
OG0001127	PSC69967.1	PRW44459.1
OG0001128	PSC70890.1	PRW44245.1
OG0001129	PSC70592.1	PRW61026.1
OG0001131	PSC75693.1, PSC67057.1	PRW58843.1
OG0001132	PSC67904.1	PRW59242.1, PRW59243.1
OG0001133	PSC75198.1, PSC76872.1	PRW32594.1
OG0001134	PSC67196.1, PSC67389.1, PSC71194.1, PSC67023.1	PRW32493.1
OG0001135	PSC67191.1, PSC67386.1, PSC71062.1	PRW32599.1
OG0001136	PSC76857.1, PSC73967.1	PRW32649.1, PRW32641.1
OG0001137	PSC67098.1, PSC67317.1, PSC68239.1	PRW45500.1
OG0001138	PSC67078.1, PSC67824.1, PSC67071.1	PRW58398.1
OG0001139	PSC76001.1	PRW58332.1
OG0001140	PSC67070.1, PSC67485.1	PRW58470.1
OG0001141	PSC67499.1, PSC67069.1	PRW20979.1, PRW58641.1
OG0001142	PSC75689.1, PSC75688.1	PRW58205.1
OG0001143	PSC67247.1	PRW58235.1, PRW58236.1
OG0001144	PSC67825.1, PSC67245.1, PSC67828.1	PRW58357.1
OG0001145	PSC75937.1, PSC75936.1	PRW58354.1, PRW58355.1
OG0001146	PSC75799.1, PSC75798.1, PSC75797.1	PRW58161.1
OG0001147	PSC75857.1	PRW56295.1
OG0001148	PSC75587.1	PRW58373.1, PRW58371.1, PRW58372.1
OG0001149	PSC71678.1	PRW21083.1
OG0001150	PSC68901.1	PRW58253.1, PRW58649.1
OG0001151	PSC75367.1	PRW58622.1
OG0001152	PSC69141.1	PRW58604.1, PRW58605.1
OG0001153	PSC75502.1, PSC75296.1	PRW44293.1
OG0001154	PSC70139.1	PRW20545.1, PRW20546.1
OG0001155	PSC73940.1	PRW58175.1
OG0001156	PSC76101.1	PRW58272.1
OG0001157	PSC74506.1	PRW20398.1
OG0001158	PSC68734.1	PRW58203.1, PRW58201.1, PRW58202.1
OG0001159	PSC73946.1	PRW58433.1, PRW58434.1
OG0001160	PSC76901.1, PSC76436.1	PRW58407.1
OG0001161	PSC73298.1	PRW61068.1
OG0001162	PSC76745.1, PSC76746.1	PRW58630.1
OG0001163	PSC76536.1	PRW58182.1, PRW58583.1
OG0001164	PSC71702.1, PSC71703.1	PRW21081.1, PRW21080.1
OG0001165	PSC76851.1	PRW32525.1, PRW32524.1, PRW32523.1
OG0001166	PSC72460.1	PRW60618.1
OG0001167	PSC67811.1	PRW20770.1
OG0001168	PSC72394.1	PRW45395.1, PRW45396.1
OG0001169	PSC73884.1, PSC73883.1, PSC73882.1	PRW45423.1
OG0001170	PSC69983.1, PSC69982.1	PRW33616.1
OG0001171	PSC73885.1	PRW45404.1, PRW44282.1, PRW45405.1
OG0001172	PSC73293.1, PSC70628.1	PRW61416.1
OG0001173	PSC71530.1	PRW58259.1
OG0001174	PSC72552.1, PSC72553.1	PRW56667.1
OG0001175	PSC72446.1, PSC72447.1	PRW56880.1, PRW56881.1
OG0001176	PSC72597.1	PRW56388.1, PRW56387.1, PRW56389.1
OG0001177	PSC72594.1, PSC72593.1	PRW56486.1
OG0001178	PSC72566.1, PSC72565.1	PRW56417.1, PRW56416.1
OG0001179	PSC74280.1	PRW61054.1
OG0001180	PSC72536.1	PRW56692.1, PRW56693.1, PRW56220.1
OG0001181	PSC72417.1, PSC72416.1	PRW56501.1
OG0001182	PSC72451.1	PRW56725.1, PRW59131.1
OG0001183	PSC72494.1	PRW56846.1
OG0001184	PSC69613.1, PSC69612.1	PRW59756.1, PRW59757.1
OG0001185	PSC69578.1	PRW59457.1
OG0001186	PSC68307.1, PSC68306.1, PSC68308.1	PRW60187.1
OG0001187	PSC69676.1, PSC68388.1, PSC71499.1	PRW59523.1
OG0001188	PSC71265.1	PRW59677.1
OG0001189	PSC71398.1	PRW60003.1
OG0001190	PSC74407.1	PRW57843.1
OG0001191	PSC71426.1	PRW59644.1
OG0001192	PSC68353.1	PRW59892.1, PRW59893.1, PRW59891.1
OG0001193	PSC71222.1	PRW60120.1
OG0001194	PSC71341.1	PRW59713.1
OG0001196	PSC67587.1, PSC67586.1	PRW39358.1
OG0001197	PSC71096.1, PSC71151.1	PRW59799.1
OG0001198	PSC73213.1	PRW60998.1
OG0001199	PSC74994.1	PRW60870.1, PRW60871.1
OG0001200	PSC74003.1	PRW61571.1
OG0001201	PSC74713.1	PRW45134.1, PRW61269.1, PRW61343.1
OG0001202	PSC74312.1	PRW59141.1, PRW59142.1
OG0001203	PSC73354.1	PRW58731.1, PRW58732.1
OG0001204	PSC74221.1, PSC74222.1	PRW61604.1
OG0001205	PSC74205.1, PSC74204.1	PRW61275.1, PRW61274.1
OG0001206	PSC74184.1	PRW61186.1, PRW61208.1
OG0001207	PSC67274.1	PRW61446.1
OG0001208	PSC68061.1, PSC68062.1	PRW05923.1
OG0001209	PSC76925.1	PRW39166.1, PRW39167.1
OG0001210	PSC75546.1	PRW45513.1
OG0001211	PSC68466.1	PRW05924.1
OG0001212	PSC68409.1, PSC68410.1	PRW05900.1, PRW05899.1
OG0001213	PSC71177.1	PRW57391.1
OG0001214	PSC67167.1	PRW32918.1
OG0001215	PSC71774.1	PRW20168.1, PRW33943.1
OG0001216	PSC73112.1	PRW32983.1
OG0001217	PSC76447.1	PRW57690.1, PRW60966.1
OG0001218	PSC68907.1	PRW58629.1
OG0001219	PSC70478.1, PSC70479.1	PRW45151.1
OG0001220	PSC70342.1	PRW45001.1
OG0001221	PSC76698.1	PRW33033.1, PRW32879.1
OG0001222	PSC70892.1, PSC70893.1	PRW44861.1
OG0001223	PSC69716.1	PRW60711.1
OG0001224	PSC70279.1, PSC70278.1	PRW33831.1
OG0001225	PSC68266.1	PRW58681.1
OG0001226	PSC70190.1	PRW33770.1
OG0001227	PSC70346.1, PSC70347.1	PRW45117.1, PRW45118.1
OG0001228	PSC70446.1	PRW45233.1
OG0001229	PSC70350.1, PSC70349.1	PRW44998.1, PRW44999.1
OG0001230	PSC70457.1	PRW45230.1, PRW45229.1
OG0001232	PSC72945.1	PRW57646.1
OG0001233	PSC71183.1	PRW57386.1
OG0001234	PSC71048.1	PRW57450.1, PRW57796.1
OG0001235	PSC71216.1, PSC71217.1	PRW57009.1
OG0001236	PSC71039.1, PSC71040.1, PSC71038.1	PRW57246.1
OG0001237	PSC71067.1, PSC71066.1	PRW57108.1
OG0001238	PSC72292.1	PRW57526.1, PRW57525.1, PRW57527.1
OG0001239	PSC71073.1	PRW57082.1, PRW57083.1
OG0001240	PSC71021.1, PSC71020.1	PRW57300.1, PRW57301.1
OG0001241	PSC71286.1, PSC71377.1	PRW20275.1, PRW20216.1
OG0001242	PSC69530.1	PRW20851.1
OG0001244	PSC72572.1	PRW57550.1
OG0001245	PSC70754.1	PRW57011.1
OG0001246	PSC74544.1, PSC74545.1	PRW57639.1, PRW57640.1
OG0001247	PSC73785.1	PRW57574.1, PRW57575.1
OG0001248	PSC73773.1, PSC73774.1, PSC73772.1	PRW57880.1
OG0001249	PSC74659.1, PSC74658.1	PRW57652.1, PRW57651.1
OG0001250	PSC74430.1	PRW58068.1
OG0001251	PSC74418.1, PSC76050.1, PSC76049.1	PRW57713.1
OG0001252	PSC74724.1	PRW57868.1, PRW57869.1
OG0001253	PSC74911.1	PRW33975.1, PRW33976.1, PRW33977.1
OG0001254	PSC75160.1, PSC75159.1	PRW57726.1, PRW57727.1
OG0001255	PSC74875.1	PRW57914.1
OG0001255	PSC73078.1	PRW33139.1
OG0001256	PSC74581.1, PSC74582.1, PSC74583.1	PRW57764.1
OG0001257	PSC74361.1, PSC74360.1	PRW57951.1
OG0001258	PSC74672.1	PRW57919.1, PRW57921.1, PRW57920.1
OG0001259	PSC70274.1	PRW34099.1
OG0001260	PSC70264.1	PRW34025.1, PRW34026.1
OG0001261	PSC70223.1	PRW34014.1
OG0001262	PSC74725.1	PRW61498.1
OG0001263	PSC70287.1	PRW58165.1, PRW20181.1, PRW33910.1
OG0001264	PSC74403.1	PRW20389.1, PRW20388.1, PRW59291.1
OG0001265	PSC75451.1, PSC75452.1, PSC74386.1	PRW44521.1
OG0001266	PSC74734.1	PRW20428.1
OG0001267	PSC74509.1, PSC74510.1	PRW20361.1, PRW20360.1
OG0001268	PSC75455.1, PSC75454.1	PRW05859.1
OG0001269	PSC72842.1	PRW18316.1, PRW18403.1
OG0001270	PSC70716.1	PRW20178.1
OG0001271	PSC74732.1	PRW57035.1
OG0001271	PSC70685.1, PSC70684.1	PRW20305.1
OG0001272	PSC68121.1, PSC67130.1	PRW20506.1, PRW20507.1
OG0001273	PSC76247.1	PRW20766.1
OG0001274	PSC69536.1, PSC69492.1, PSC67628.1, PSC71973.1	PRW20782.1
OG0001275	PSC76019.1	PRW20783.1
OG0001276	PSC69493.1	PRW20923.1, PRW20940.1
OG0001279	PSC67171.1, PSC67004.1, PSC67136.1, PSC69167.1	PRW33071.1
OG0001282	PSC68468.1, PSC69992.1, PSC69993.1	PRW44308.1
OG0001283	PSC70832.1	PRW44607.1, PRW44500.1
OG0001286	PSC75054.1, PSC68210.1	PRW45483.1, PRW45573.1, PRW45670.1, PRW45472.1
OG0001288	PSC68965.1, PSC68982.1, PSC68934.1, PSC68920.1	PRW45718.1
OG0001289	PSC68106.1	PRW56409.1
OG0001290	PSC72443.1	PRW56730.1
OG0001291	PSC71488.1	PRW56738.1
OG0001292	PSC70066.1, PSC76989.1, PSC67295.1	PRW57235.1
OG0001293	PSC73664.1	PRW57556.1
OG0001294	PSC73555.1	PRW57660.1
OG0001295	PSC72792.1	PRW57781.1
OG0001296	PSC74806.1, PSC67203.1, PSC67115.1, PSC67784.1, PSC67143.1, PSC67755.1	PRW57893.1
OG0001297	PSC74617.1	PRW57955.1
OG0001298	PSC76523.1, PSC76801.1	PRW58206.1
OG0001299	PSC76299.1, PSC76301.1, PSC76300.1	PRW58987.1
OG0001300	PSC75753.1	PRW59168.1, PRW59167.1
OG0001301	PSC67900.1, PSC67901.1, PSC73756.1, PSC73916.1	PRW59207.1
OG0001302	PSC76151.1	PRW59621.1
OG0001303	PSC71281.1	PRW59946.1
OG0001304	PSC68553.1, PSC68554.1, PSC68555.1	PRW60605.1, PRW60604.1
OG0001305	PSC74991.1, PSC75078.1	PRW61324.1
OG0001306	PSC73289.1	PRW61472.1, PRW61471.1, PRW61395.1
OG0001315	PSC69314.1, PSC69315.1	PRW45556.1
OG0001316	PSC70738.1	PRW20302.1
OG0001317	PSC70243.1	PRW34089.1
OG0001318	PSC69358.1	PRW45415.1, PRW45416.1
OG0001319	PSC69359.1	PRW45529.1, PRW45528.1
OG0001320	PSC69327.1	PRW45697.1
OG0001321	PSC68579.1, PSC68580.1	PRW45399.1
OG0001322	PSC69363.1	PRW45597.1
OG0001323	PSC69404.1	PRW45466.1
OG0001324	PSC69405.1	PRW45650.1, PRW45649.1
OG0001325	PSC76898.1	PRW58872.1
OG0001326	PSC72109.1	PRW57174.1
OG0001327	PSC70114.1, PSC70113.1	PRW33518.1
OG0001328	PSC70024.1	PRW33511.1
OG0001330	PSC75329.1	PRW33725.1
OG0001331	PSC75211.1, PSC75212.1	PRW33584.1
OG0001332	PSC73793.1	PRW45545.1
OG0001333	PSC75012.1	PRW33596.1
OG0001334	PSC69344.1	PRW33648.1
OG0001335	PSC69202.1, PSC69203.1	PRW33329.1
OG0001336	PSC74832.1	PRW33660.1, PRW33661.1
OG0001337	PSC72994.1	PRW32907.1, PRW32906.1
OG0001338	PSC69087.1	PRW32938.1
OG0001339	PSC69094.1	PRW33034.1
OG0001340	PSC69222.1	PRW20924.1
OG0001341	PSC76762.1	PRW58490.1, PRW58491.1
OG0001342	PSC71335.1	PRW44243.1
OG0001343	PSC72123.1	PRW57504.1, PRW57503.1
OG0001346	PSC74841.1	PRW20169.1
OG0001347	PSC75759.1	PRW44340.1
OG0001348	PSC69101.1, PSC67135.1	PRW20521.1
OG0001349	PSC72661.1, PSC72791.1	PRW56107.1
OG0001350	PSC69106.1	PRW20471.1
OG0001351	PSC69987.1	PRW20535.1, PRW20536.1
OG0001352	PSC74126.1	PRW44383.1
OG0001353	PSC67980.1	PRW20497.1, PRW20498.1
OG0001354	PSC70023.1, PSC70022.1	PRW20530.1
OG0001355	PSC67990.1, PSC67989.1	PRW20455.1
OG0001356	PSC67947.1, PSC67948.1	PRW20510.1
OG0001357	PSC67998.1	PRW20523.1, PRW20522.1
OG0001358	PSC70106.1	PRW20588.1
OG0001359	PSC70255.1	PRW20484.1, PRW20485.1
OG0001360	PSC70155.1	PRW20453.1
OG0001361	PSC70177.1	PRW20443.1
OG0001362	PSC70185.1	PRW20441.1, PRW20442.1
OG0001363	PSC72760.1	PRW56621.1, PRW56620.1
OG0001364	PSC69205.1	PRW33281.1
OG0001365	PSC69269.1, PSC75186.1	PRW33122.1
OG0001366	PSC69247.1	PRW33103.1
OG0001367	PSC69227.1	PRW33322.1
OG0001368	PSC69208.1	PRW33305.1
OG0001369	PSC69188.1	PRW33222.1, PRW33221.1
OG0001370	PSC69261.1	PRW33224.1, PRW33223.1
OG0001371	PSC69221.1	PRW33273.1
OG0001372	PSC69276.1, PSC69275.1	PRW33293.1
OG0001373	PSC69229.1	PRW33236.1, PRW33235.1
OG0001375	PSC76727.1	PRW58761.1
OG0001376	PSC73917.1	PRW33210.1, PRW33098.1
OG0001377	PSC76491.1	PRW58776.1
OG0001378	PSC68925.1	PRW60642.1
OG0001379	PSC73745.1	PRW33290.1, PRW33291.1
OG0001380	PSC68725.1	PRW33162.1
OG0001381	PSC68715.1, PSC68716.1	PRW33175.1
OG0001382	PSC68766.1, PSC68753.1	PRW33274.1
OG0001384	PSC73741.1	PRW33234.1
OG0001385	PSC67589.1, PSC67588.1	PRW39247.1
OG0001386	PSC72361.1	PRW59169.1
OG0001387	PSC71777.1	PRW21098.1, PRW21097.1
OG0001388	PSC72608.1	PRW05848.1, PRW05849.1
OG0001389	PSC76643.1	PRW58778.1, PRW58779.1
OG0001390	PSC76586.1	PRW58813.1, PRW58814.1
OG0001391	PSC76394.1, PSC76395.1	PRW58821.1
OG0001392	PSC73662.1, PSC73663.1	PRW59157.1
OG0001393	PSC67914.1	PRW59174.1, PRW59173.1
OG0001394	PSC73686.1	PRW59064.1, PRW59065.1
OG0001395	PSC73262.1	PRW59111.1
OG0001396	PSC74148.1	PRW59097.1
OG0001397	PSC77028.1	PRW59050.1
OG0001398	PSC76587.1	PRW44586.1
OG0001399	PSC76156.1	PRW59408.1
OG0001400	PSC76401.1	PRW58998.1, PRW59404.1
OG0001402	PSC73643.1	PRW59294.1
OG0001404	PSC76557.1, PSC75987.1	PRW59189.1
OG0001405	PSC75925.1, PSC75926.1	PRW58860.1
OG0001406	PSC68732.1, PSC67147.1	PRW60319.1
OG0001408	PSC73263.1, PSC73264.1	PRW59362.1
OG0001409	PSC75371.1, PSC75370.1	PRW59148.1
OG0001410	PSC75273.1, PSC75272.1	PRW59012.1
OG0001411	PSC75282.1, PSC75520.1	PRW59130.1
