Orthogroup	oneline_m_conductrix_genome_proteins	oneline_c_vulgaris_genome_proteins
OG0000800	PSC70175.1	KAI3426087.1, KAI3426091.1
OG0000801	PSC70436.1	KAI3426268.1
OG0000801	PSC70396.1	KAI3426269.1
OG0000802	PSC73163.1	KAI3434543.1, KAI3432341.1, KAI3432342.1
OG0000803	PSC71060.1, PSC71061.1	KAI3437954.1, KAI3437955.1
OG0000804	PSC76594.1	KAI3437645.1, KAI3437660.1
OG0000805	PSC69495.1	KAI3437717.1, KAI3437707.1
OG0000806	PSC75155.1, PSC75156.1, PSC74973.1	KAI3429444.1
OG0000807	PSC70344.1	KAI3426132.1
OG0000808	PSC74513.1, PSC67123.1, PSC67122.1, PSC74531.1	KAI3425761.1
OG0000809	PSC74422.1	KAI3425790.1
OG0000810	PSC74365.1	KAI3425812.1
OG0000810	PSC74497.1	KAI3425813.1
OG0000811	PSC67957.1	KAI3438712.1
OG0000812	PSC70152.1	KAI3426057.1
OG0000813	PSC70136.1	KAI3426047.1
OG0000813	PSC70267.1	KAI3426046.1
OG0000814	PSC70200.1	KAI3425977.1, KAI3425976.1
OG0000815	PSC69575.1, PSC69576.1	KAI3435736.1
OG0000816	PSC74804.1	KAI3424416.1, KAI3424417.1
OG0000817	PSC74636.1	KAI3424340.1, KAI3424406.1
OG0000818	PSC74763.1	KAI3434445.1, KAI3424377.1, KAI3424381.1
OG0000820	PSC67631.1, PSC67624.1	KAI3431268.1, KAI3431267.1
OG0000822	PSC72787.1	KAI3430866.1, KAI3437600.1, KAI3437594.1
OG0000823	PSC68053.1	KAI3427380.1
OG0000824	PSC70880.1	KAI3426414.1
OG0000826	PSC71846.1	KAI3430825.1
OG0000828	PSC68691.1	KAI3423827.1
OG0000829	PSC76149.1	KAI3430564.1
OG0000829	PSC76520.1, PSC76521.1	KAI3430565.1
OG0000830	PSC72973.1	KAI3430462.1
OG0000830	PSC75137.1, PSC75136.1	KAI3433947.1
OG0000831	PSC72046.1	KAI3436448.1
OG0000832	PSC70418.1	KAI3426335.1, KAI3431592.1, KAI3438918.1
OG0000833	PSC76963.1, PSC76964.1, PSC76339.1	KAI3434983.1
OG0000834	PSC73181.1	KAI3427264.1, KAI3427265.1
OG0000837	PSC67552.1, PSC67561.1	KAI3428705.1, KAI3436685.1, KAI3436692.1, KAI3436713.1
OG0000838	PSC77054.1	KAI3436180.1
OG0000839	PSC70914.1	KAI3426420.1
OG0000840	PSC75274.1	KAI3427118.1
OG0000841	PSC76008.1, PSC75736.1	KAI3427207.1, KAI3427208.1
OG0000842	PSC72743.1, PSC72934.1, PSC72933.1	KAI3428196.1
OG0000844	PSC74519.1, PSC74521.1, PSC74520.1	KAI3430404.1, KAI3426190.1
OG0000845	PSC76387.1, PSC76388.1	KAI3433291.1
OG0000846	PSC75690.1	KAI3439042.1
OG0000847	PSC68314.1	KAI3435835.1, KAI3435834.1, KAI3424891.1
OG0000849	PSC69659.1	KAI3436635.1, KAI3435702.1, KAI3435703.1
OG0000850	PSC75627.1	KAI3427222.1, KAI3429328.1
OG0000851	PSC73998.1	KAI3424104.1
OG0000851	PSC69238.1, PSC69250.1	KAI3431805.1
OG0000852	PSC68481.1	KAI3429556.1, KAI3427426.1, KAI3427425.1
OG0000854	PSC76003.1, PSC73229.1, PSC70070.1, PSC70566.1	KAI3426320.1
OG0000858	PSC69362.1	KAI3425088.1
OG0000859	PSC69775.1, PSC75809.1	KAI3428828.1
OG0000860	PSC70940.1	KAI3428655.1
OG0000861	PSC74916.1	KAI3425308.1, KAI3425309.1
OG0000862	PSC75820.1, PSC75819.1	KAI3433858.1
OG0000863	PSC70090.1, PSC70089.1	KAI3425181.1, KAI3425182.1
OG0000864	PSC70096.1	KAI3425172.1, KAI3425171.1
OG0000866	PSC72573.1	KAI3428113.1, KAI3428120.1
OG0000867	PSC68635.1	KAI3424902.1, KAI3424904.1, KAI3424901.1
OG0000869	PSC70636.1	KAI3432648.1
OG0000870	PSC67300.1	KAI3425293.1
OG0000871	PSC67301.1	KAI3425280.1, KAI3425272.1, KAI3425271.1
OG0000872	PSC75208.1, PSC75209.1, PSC75210.1	KAI3425347.1
OG0000873	PSC75187.1	KAI3425349.1
OG0000874	PSC75889.1, PSC75888.1	KAI3426966.1
OG0000875	PSC73681.1	KAI3430574.1
OG0000876	PSC73317.1	KAI3432250.1, KAI3432252.1
OG0000877	PSC73141.1	KAI3430422.1, KAI3430421.1
OG0000878	PSC68285.1	KAI3430617.1
OG0000879	PSC68272.1	KAI3430621.1
OG0000882	PSC71414.1	KAI3430653.1, KAI3430651.1, KAI3430650.1
OG0000883	PSC74251.1	KAI3430274.1
OG0000884	PSC75176.1, PSC75175.1	KAI3434551.1
OG0000885	PSC67961.1	KAI3430335.1
OG0000886	PSC70433.1	KAI3426330.1
OG0000887	PSC70074.1, PSC70073.1, PSC71839.1	KAI3430273.1
OG0000888	PSC70291.1	KAI3430235.1, KAI3430234.1, KAI3430237.1
OG0000889	PSC76238.1	KAI3436145.1
OG0000890	PSC69198.1, PSC69242.1, PSC69197.1	KAI3431740.1
OG0000891	PSC68705.1, PSC75478.1	KAI3433728.1
OG0000892	PSC69304.1	KAI3431829.1
OG0000893	PSC69290.1, PSC69291.1	KAI3431826.1, KAI3423130.1
OG0000894	PSC73699.1	KAI3424855.1
OG0000895	PSC72827.1	KAI3428163.1
OG0000896	PSC73953.1	KAI3431652.1
OG0000897	PSC74333.1, PSC74309.1	KAI3424068.1
OG0000898	PSC67539.1	KAI3426134.1
OG0000899	PSC68813.1	KAI3431692.1
OG0000900	PSC70525.1	KAI3423957.1, KAI3438963.1
OG0000901	PSC68731.1, PSC68730.1	KAI3431680.1
OG0000902	PSC71287.1	KAI3431711.1
OG0000903	PSC73604.1	KAI3436256.1
OG0000903	PSC73904.1	KAI3425238.1
OG0000904	PSC70989.1, PSC70848.1	KAI3428554.1
OG0000905	PSC67296.1, PSC67052.1, PSC67006.1	KAI3432830.1
OG0000906	PSC68937.1	KAI3429701.1
OG0000907	PSC76274.1	KAI3438737.1, KAI3438728.1
OG0000908	PSC76885.1	KAI3438808.1
OG0000909	PSC73391.1	KAI3432624.1
OG0000910	PSC67832.1, PSC67833.1	KAI3438618.1
OG0000911	PSC75585.1	KAI3438855.1
OG0000912	PSC75806.1	KAI3438890.1
OG0000913	PSC75786.1	KAI3427213.1
OG0000915	PSC69271.1	KAI3431816.1
OG0000916	PSC76563.1	KAI3438813.1
OG0000917	PSC74638.1, PSC75774.1	KAI3434850.1
OG0000918	PSC75787.1	KAI3438847.1
OG0000919	PSC67834.1	KAI3438634.1, KAI3438635.1
OG0000920	PSC67846.1, PSC67848.1, PSC67847.1	KAI3438636.1
OG0000921	PSC67881.1	KAI3438624.1
OG0000922	PSC67855.1, PSC71899.1, PSC67830.1	KAI3438642.1
OG0000923	PSC67970.1, PSC67968.1, PSC67969.1	KAI3437777.1
OG0000924	PSC67340.1	KAI3429238.1
OG0000925	PSC73988.1, PSC76863.1	KAI3438594.1
OG0000926	PSC75991.1	KAI3426888.1, KAI3426890.1, KAI3426889.1
OG0000927	PSC69736.1, PSC70006.1	KAI3426857.1
OG0000928	PSC71994.1	KAI3431318.1
OG0000929	PSC69711.1	KAI3426849.1
OG0000929	PSC69806.1	KAI3426838.1
OG0000930	PSC75971.1	KAI3426924.1
OG0000931	PSC75285.1	KAI3426912.1, KAI3426909.1
OG0000932	PSC76997.1, PSC72771.1	KAI3428174.1
OG0000933	PSC68328.1	KAI3435829.1
OG0000934	PSC74099.1	KAI3432596.1
OG0000935	PSC76741.1, PSC76740.1	KAI3427018.1, KAI3427017.1
OG0000936	PSC75709.1	KAI3426986.1, KAI3426990.1, KAI3426989.1
OG0000937	PSC75469.1	KAI3427006.1
OG0000939	PSC67282.1	KAI3432336.1
OG0000940	PSC76907.1	KAI3423987.1
OG0000941	PSC75534.1	KAI3427166.1, KAI3435881.1
OG0000942	PSC76561.1	KAI3427007.1
OG0000943	PSC75590.1	KAI3427184.1
OG0000944	PSC74252.1	KAI3424222.1
OG0000944	PSC73577.1	KAI3430595.1
OG0000945	PSC73903.1, PSC73902.1, PSC73901.1	KAI3427248.1
OG0000946	PSC71618.1, PSC72972.1	KAI3436815.1
OG0000947	PSC68609.1	KAI3436788.1, KAI3424925.1
OG0000948	PSC71614.1	KAI3424909.1, KAI3436791.1
OG0000949	PSC71605.1	KAI3436762.1, KAI3436763.1
OG0000950	PSC71457.1	KAI3436754.1, KAI3432281.1, KAI3432583.1
OG0000951	PSC67462.1	KAI3436892.1, KAI3436891.1
OG0000952	PSC69240.1, PSC69239.1, PSC69224.1	KAI3431864.1
OG0000953	PSC67454.1, PSC67455.1	KAI3436879.1, KAI3436878.1
OG0000954	PSC72833.1	KAI3435501.1
OG0000955	PSC76585.1	KAI3432415.1, KAI3430305.1
OG0000956	PSC72648.1, PSC72649.1, PSC72650.1	KAI3435544.1
OG0000957	PSC75951.1	KAI3428699.1
OG0000959	PSC68160.1	KAI3429378.1
OG0000960	PSC74490.1	KAI3434533.1
OG0000961	PSC71959.1, PSC71960.1	KAI3431431.1
OG0000961	PSC71927.1	KAI3431388.1
OG0000962	PSC71560.1	KAI3428265.1
OG0000963	PSC76480.1	KAI3434889.1
OG0000964	PSC70939.1, PSC70909.1, PSC73971.1	KAI3432566.1
OG0000965	PSC74559.1, PSC74558.1	KAI3434557.1
OG0000966	PSC67208.1	KAI3427278.1
OG0000967	PSC74534.1, PSC74535.1	KAI3434400.1
OG0000968	PSC75591.1, PSC75592.1, PSC70286.1	KAI3430224.1
OG0000969	PSC74446.1	KAI3434409.1, KAI3434416.1, KAI3434408.1
OG0000970	PSC76614.1, PSC76615.1	KAI3437560.1
OG0000971	PSC69457.1, PSC69458.1	KAI3437781.1
OG0000972	PSC69481.1	KAI3437780.1
OG0000973	PSC76822.1	KAI3433369.1
OG0000974	PSC69519.1	KAI3437778.1
OG0000975	PSC76748.1	KAI3434979.1
OG0000976	PSC68278.1	KAI3427926.1, KAI3425260.1
OG0000977	PSC68128.1	KAI3428302.1, KAI3428301.1
OG0000978	PSC69508.1	KAI3437756.1
OG0000978	PSC69466.1	KAI3437786.1
OG0000979	PSC76579.1	KAI3437629.1
OG0000980	PSC70731.1	KAI3437910.1
OG0000981	PSC69832.1	KAI3428826.1
OG0000982	PSC75718.1	KAI3428806.1
OG0000983	PSC72574.1	KAI3428111.1
OG0000984	PSC72508.1, PSC72509.1	KAI3428139.1
OG0000985	PSC72485.1, PSC72484.1	KAI3428141.1
OG0000986	PSC72377.1	KAI3428096.1
OG0000987	PSC72540.1	KAI3428126.1
OG0000988	PSC74628.1	KAI3424468.1
OG0000989	PSC71569.1	KAI3428247.1, KAI3428248.1
OG0000990	PSC68082.1, PSC68083.1	KAI3428294.1
OG0000991	PSC75740.1	KAI3428802.1, KAI3428804.1, KAI3428803.1
OG0000992	PSC72149.1	KAI3438328.1
OG0000993	PSC68196.1, PSC68197.1	KAI3424733.1, KAI3424734.1
OG0000994	PSC68619.1, PSC68618.1	KAI3424933.1, KAI3424934.1
OG0000995	PSC70095.1	KAI3423797.1, KAI3423796.1
OG0000996	PSC68944.1	KAI3424953.1
OG0000998	PSC71931.1	KAI3431309.1
OG0000999	PSC71855.1	KAI3431310.1, KAI3431311.1
OG0001001	PSC70696.1	KAI3437917.1
OG0001002	PSC71914.1, PSC71984.1	KAI3431377.1
OG0001003	PSC71531.1	KAI3428258.1
OG0001004	PSC74978.1	KAI3429466.1, KAI3429467.1
OG0001005	PSC69584.1, PSC67870.1, PSC67869.1	KAI3431496.1
OG0001006	PSC67863.1, PSC67864.1	KAI3431498.1
OG0001008	PSC67682.1, PSC67681.1, PSC67680.1	KAI3431525.1
OG0001009	PSC67667.1	KAI3431562.1, KAI3435014.1
OG0001010	PSC70548.1	KAI3428297.1
OG0001011	PSC67181.1, PSC67649.1, PSC67177.1, PSC67049.1	KAI3431509.1
OG0001012	PSC70928.1, PSC68629.1	KAI3424906.1
OG0001013	PSC74001.1	KAI3432569.1
OG0001014	PSC70608.1	KAI3432608.1
OG0001015	PSC73705.1, PSC73706.1	KAI3424849.1, KAI3424848.1
OG0001016	PSC68124.1	KAI3428312.1, KAI3428313.1
OG0001017	PSC69840.1, PSC69841.1	KAI3428321.1, KAI3428322.1
OG0001018	PSC72809.1	KAI3436835.1
OG0001020	PSC72719.1	KAI3436853.1
OG0001021	PSC72714.1	KAI3436652.1
OG0001022	PSC72664.1	KAI3436541.1, KAI3436542.1
OG0001023	PSC72763.1	KAI3436544.1, KAI3436539.1
OG0001024	PSC72659.1, PSC72660.1	KAI3436525.1
OG0001025	PSC72931.1, PSC72930.1	KAI3436631.1, KAI3436632.1
OG0001026	PSC70414.1	KAI3426316.1
OG0001027	PSC72864.1	KAI3436606.1
OG0001028	PSC71592.1	KAI3436647.1
OG0001029	PSC75401.1	KAI3438846.1, KAI3432589.1
OG0001030	PSC72695.1, PSC74058.1	KAI3436583.1
OG0001031	PSC71516.1, PSC68303.1	KAI3436731.1
OG0001032	PSC69029.1	KAI3436502.1, KAI3432844.1
OG0001033	PSC68862.1, PSC68861.1, PSC68863.1	KAI3423026.1
OG0001034	PSC73409.1	KAI3432857.1
OG0001035	PSC69014.1	KAI3436389.1
OG0001036	PSC74954.1, PSC74955.1	KAI3425378.1, KAI3425379.1
OG0001037	PSC70313.1	KAI3426223.1
OG0001038	PSC71041.1, PSC76131.1, PSC74984.1	KAI3425252.1
OG0001039	PSC67345.1	KAI3429251.1
OG0001040	PSC72967.1	KAI3427946.1
OG0001041	PSC75131.1, PSC75132.1	KAI3429454.1
OG0001043	PSC71016.1	KAI3437964.1
OG0001044	PSC72358.1, PSC74915.1	KAI3429488.1, KAI3429487.1
OG0001045	PSC75010.1, PSC75011.1	KAI3429490.1, KAI3429489.1
OG0001046	PSC75088.1, PSC75090.1, PSC75089.1	KAI3429511.1
OG0001047	PSC75046.1	KAI3429542.1
OG0001048	PSC75154.1	KAI3429533.1, KAI3429532.1
OG0001049	PSC75030.1	KAI3429526.1, KAI3429527.1
OG0001050	PSC76651.1	KAI3436108.1
OG0001051	PSC75021.1	KAI3429558.1
OG0001052	PSC74306.1, PSC74304.1, PSC74305.1	KAI3429777.1
OG0001053	PSC74181.1	KAI3429772.1, KAI3429771.1
OG0001055	PSC73471.1	KAI3432387.1
OG0001056	PSC73606.1	KAI3424857.1
OG0001057	PSC75521.1, PSC68298.1, PSC68246.1	KAI3427095.1
OG0001058	PSC67102.1, PSC70503.1, PSC70502.1	KAI3432875.1
OG0001059	PSC74828.1	KAI3432771.1
OG0001060	PSC76140.1	KAI3423921.1
OG0001061	PSC76769.1, PSC76770.1, PSC75425.1	KAI3435000.1
OG0001062	PSC68094.1	KAI3426866.1
OG0001063	PSC73192.1	KAI3434773.1
OG0001064	PSC73143.1, PSC73142.1	KAI3434787.1, KAI3434786.1
OG0001065	PSC72983.1	KAI3434796.1
OG0001066	PSC76556.1	KAI3434892.1
OG0001067	PSC76242.1	KAI3434886.1
OG0001068	PSC73206.1	KAI3434812.1
OG0001069	PSC76128.1, PSC76129.1, PSC76127.1	KAI3434946.1
OG0001070	PSC67310.1	KAI3425290.1
OG0001071	PSC76378.1	KAI3434864.1
OG0001072	PSC76198.1	KAI3434834.1
OG0001073	PSC73154.1	KAI3434696.1, KAI3434695.1
OG0001074	PSC73052.1	KAI3434737.1, KAI3434736.1
OG0001075	PSC76858.1	KAI3434977.1
OG0001076	PSC76172.1, PSC76171.1	KAI3434974.1
OG0001077	PSC69798.1	KAI3425940.1, KAI3425941.1, KAI3425942.1
OG0001078	PSC73048.1, PSC73049.1	KAI3434663.1
OG0001079	PSC69139.1	KAI3434643.1, KAI3434637.1
OG0001081	PSC71608.1, PSC71609.1	KAI3436736.1
OG0001082	PSC69871.1	KAI3428609.1
OG0001083	PSC68537.1	KAI3429832.1, KAI3429831.1
OG0001084	PSC68524.1	KAI3429833.1, KAI3429834.1
OG0001085	PSC74008.1	KAI3429714.1
OG0001086	PSC68938.1	KAI3429692.1
OG0001087	PSC74717.1	KAI3434468.1
OG0001088	PSC68800.1	KAI3434487.1, KAI3434568.1, KAI3434569.1
OG0001089	PSC68773.1, PSC74744.1, PSC74743.1	KAI3434444.1
OG0001090	PSC73255.1	KAI3436008.1
OG0001091	PSC73399.1	KAI3426183.1
OG0001092	PSC67536.1	KAI3426140.1
OG0001094	PSC70497.1	KAI3433882.1
OG0001095	PSC67537.1	KAI3426120.1
OG0001096	PSC69027.1	KAI3436462.1
OG0001097	PSC69890.1	KAI3428450.1
OG0001098	PSC67094.1, PSC70435.1	KAI3426361.1
OG0001099	PSC67095.1, PSC70426.1, PSC70425.1	KAI3426373.1
OG0001100	PSC70475.1	KAI3426375.1, KAI3426376.1
OG0001101	PSC73477.1	KAI3436873.1, KAI3436874.1
OG0001102	PSC73470.1	KAI3426166.1
OG0001104	PSC71819.1	KAI3430776.1
OG0001105	PSC69380.1, PSC71748.1, PSC71768.1	KAI3430751.1
OG0001106	PSC71602.1	KAI3428222.1
OG0001107	PSC76143.1	KAI3438582.1, KAI3438583.1, KAI3438584.1
OG0001108	PSC71887.1	KAI3438447.1
OG0001109	PSC67838.1	KAI3431807.1
OG0001110	PSC71894.1	KAI3438461.1, KAI3438463.1
OG0001111	PSC68854.1	KAI3433639.1
OG0001112	PSC76460.1	KAI3438399.1, KAI3438398.1
OG0001113	PSC76051.1, PSC67397.1	KAI3438417.1
OG0001115	PSC76634.1	KAI3438539.1, KAI3438540.1
OG0001116	PSC68184.1	KAI3438379.1, KAI3438378.1
OG0001118	PSC71174.1	KAI3438019.1
OG0001119	PSC70851.1	KAI3428632.1, KAI3430644.1
OG0001120	PSC71989.1, PSC71898.1	KAI3425934.1, KAI3425933.1
OG0001121	PSC69974.1, PSC69975.1	KAI3428462.1, KAI3428463.1
OG0001122	PSC69902.1, PSC69903.1	KAI3428460.1
OG0001124	PSC69918.1	KAI3428417.1, KAI3428419.1
OG0001125	PSC69951.1	KAI3428423.1, KAI3428422.1
OG0001126	PSC69889.1	KAI3428494.1, KAI3428495.1
OG0001127	PSC69912.1, PSC69967.1	KAI3428506.1
OG0001128	PSC70890.1	KAI3428522.1
OG0001129	PSC70592.1	KAI3432881.1, KAI3432880.1
OG0001131	PSC75693.1	KAI3439032.1
OG0001132	PSC67904.1	KAI3439024.1, KAI3439023.1
OG0001133	PSC75198.1, PSC76872.1	KAI3423994.1, KAI3423997.1
OG0001134	PSC67196.1, PSC67389.1, PSC71194.1, PSC67023.1	KAI3423991.1
OG0001135	PSC67191.1, PSC67386.1, PSC71062.1	KAI3423992.1
OG0001136	PSC76857.1, PSC73967.1	KAI3423922.1
OG0001137	PSC67098.1, PSC67317.1, PSC68239.1	KAI3424697.1
OG0001138	PSC67078.1, PSC67824.1, PSC67071.1	KAI3433782.1
OG0001139	PSC68136.1, PSC76001.1	KAI3433832.1
OG0001140	PSC67070.1, PSC67485.1	KAI3433776.1, KAI3433775.1
OG0001141	PSC67499.1, PSC67069.1	KAI3433778.1
OG0001142	PSC75689.1, PSC75688.1	KAI3433756.1
OG0001143	PSC67247.1	KAI3433796.1, KAI3433797.1
OG0001144	PSC67825.1, PSC67245.1, PSC67828.1	KAI3433789.1
OG0001145	PSC75937.1, PSC75936.1	KAI3433886.1
OG0001146	PSC75799.1, PSC75798.1, PSC75797.1	KAI3433737.1
OG0001147	PSC75857.1	KAI3433721.1
OG0001148	PSC75587.1	KAI3433733.1
OG0001149	PSC71678.1	KAI3430746.1, KAI3434956.1
OG0001150	PSC68901.1	KAI3433647.1
OG0001151	PSC75367.1	KAI3433856.1
OG0001152	PSC69141.1	KAI3430585.1, KAI3433607.1
OG0001153	PSC75502.1	KAI3428674.1
OG0001153	PSC75296.1	KAI3428675.1
OG0001154	PSC70139.1	KAI3430222.1, KAI3430221.1
OG0001155	PSC73940.1	KAI3433544.1, KAI3433545.1
OG0001156	PSC76101.1	KAI3433350.1, KAI3433349.1
OG0001157	PSC74506.1	KAI3424279.1
OG0001158	PSC68734.1	KAI3423800.1
OG0001159	PSC73946.1	KAI3433440.1, KAI3433439.1
OG0001160	PSC76901.1	KAI3433428.1
OG0001160	PSC76436.1	KAI3433429.1
OG0001161	PSC73298.1	KAI3432302.1, KAI3432294.1
OG0001162	PSC76745.1, PSC76746.1	KAI3433435.1
OG0001163	PSC76536.1	KAI3433420.1
OG0001164	PSC71702.1, PSC71703.1	KAI3430807.1
OG0001165	PSC76851.1	KAI3423963.1
OG0001166	PSC72460.1	KAI3425179.1
OG0001167	PSC67811.1	KAI3434555.1
OG0001168	PSC72394.1, PSC72518.1	KAI3425016.1
OG0001169	PSC73884.1, PSC73883.1, PSC73882.1	KAI3425011.1
OG0001170	PSC69983.1, PSC69982.1	KAI3425136.1, KAI3425137.1
OG0001171	PSC73885.1	KAI3424876.1
OG0001172	PSC70628.1	KAI3429609.1
OG0001173	PSC71530.1	KAI3438150.1, KAI3438153.1, KAI3438151.1, KAI3438152.1
OG0001174	PSC72552.1, PSC72553.1	KAI3427948.1, KAI3427947.1
OG0001175	PSC72446.1, PSC72447.1	KAI3428069.1
OG0001176	PSC72597.1	KAI3427945.1
OG0001177	PSC72594.1, PSC72593.1	KAI3427996.1, KAI3427997.1
OG0001178	PSC72566.1, PSC72565.1	KAI3427960.1
OG0001179	PSC74280.1	KAI3425357.1, KAI3431449.1
OG0001180	PSC72536.1	KAI3427951.1
OG0001181	PSC72417.1, PSC72416.1	KAI3428059.1, KAI3428060.1
OG0001182	PSC72451.1	KAI3427993.1, KAI3438072.1
OG0001183	PSC72494.1	KAI3427983.1, KAI3427984.1
OG0001184	PSC69613.1, PSC69612.1	KAI3435634.1
OG0001185	PSC69578.1	KAI3435714.1
OG0001185	PSC69679.1	KAI3435712.1
OG0001186	PSC68307.1, PSC68306.1, PSC68308.1	KAI3435789.1
OG0001187	PSC69676.1, PSC68388.1, PSC71499.1	KAI3435754.1
OG0001188	PSC71265.1	KAI3435847.1
OG0001189	PSC71398.1	KAI3435871.1
OG0001190	PSC74407.1	KAI3425838.1, KAI3426145.1, KAI3426144.1
OG0001191	PSC71297.1	KAI3435905.1
OG0001191	PSC71426.1	KAI3435904.1
OG0001192	PSC68353.1	KAI3435827.1
OG0001193	PSC71222.1	KAI3435942.1
OG0001196	PSC67587.1, PSC67586.1	KAI3424110.1
OG0001197	PSC71096.1	KAI3436021.1
OG0001197	PSC71151.1	KAI3436022.1
OG0001198	PSC73213.1	KAI3432848.1, KAI3432849.1
OG0001199	PSC74994.1	KAI3429419.1
OG0001200	PSC74003.1	KAI3432568.1
OG0001201	PSC74713.1	KAI3424267.1
OG0001202	PSC74312.1	KAI3424119.1
OG0001203	PSC73354.1	KAI3439085.1, KAI3439079.1
OG0001204	PSC74221.1, PSC74222.1	KAI3423413.1, KAI3423414.1
OG0001205	PSC74205.1, PSC74204.1	KAI3424091.1
OG0001206	PSC74184.1	KAI3424190.1, KAI3424191.1
OG0001207	PSC67274.1	KAI3427139.1, KAI3427141.1
OG0001208	PSC68061.1, PSC68062.1	KAI3427393.1
OG0001209	PSC76925.1	KAI3431367.1
OG0001210	PSC75546.1	KAI3424980.1
OG0001211	PSC68466.1	KAI3427417.1, KAI3427421.1, KAI3427419.1
OG0001212	PSC68409.1, PSC68410.1	KAI3427431.1
OG0001213	PSC71177.1	KAI3438012.1
OG0001214	PSC67167.1	KAI3430398.1
OG0001215	PSC71774.1	KAI3430896.1
OG0001216	PSC73112.1	KAI3430473.1, KAI3430472.1
OG0001217	PSC76447.1	KAI3430519.1
OG0001218	PSC68907.1	KAI3433708.1
OG0001219	PSC70478.1, PSC70479.1	KAI3426247.1, KAI3426246.1
OG0001220	PSC70342.1	KAI3426245.1
OG0001221	PSC76698.1	KAI3433295.1
OG0001222	PSC70892.1, PSC70893.1	KAI3426473.1, KAI3426474.1
OG0001223	PSC67615.1	KAI3431296.1
OG0001224	PSC70279.1, PSC70278.1	KAI3426083.1
OG0001225	PSC68266.1	KAI3430660.1, KAI3433557.1
OG0001226	PSC70190.1	KAI3426061.1, KAI3426062.1
OG0001227	PSC70346.1, PSC70347.1	KAI3426296.1
OG0001228	PSC70446.1	KAI3426298.1, KAI3426299.1
OG0001229	PSC70350.1, PSC70349.1	KAI3426242.1
OG0001230	PSC70457.1	KAI3426254.1, KAI3426255.1
OG0001232	PSC72945.1	KAI3434732.1, KAI3434730.1
OG0001233	PSC71183.1	KAI3438042.1, KAI3438043.1
OG0001234	PSC71048.1	KAI3438015.1
OG0001235	PSC71216.1, PSC71217.1	KAI3438036.1
OG0001236	PSC71039.1, PSC71040.1, PSC71038.1	KAI3437989.1
OG0001237	PSC71067.1, PSC71066.1	KAI3437984.1, KAI3437983.1
OG0001238	PSC72292.1	KAI3438122.1
OG0001239	PSC71073.1	KAI3437957.1
OG0001240	PSC71021.1, PSC71020.1	KAI3437967.1
OG0001241	PSC71286.1, PSC71377.1	KAI3430666.1
OG0001242	PSC69530.1	KAI3437709.1
OG0001243	PSC70781.1, PSC70780.1	KAI3437724.1, KAI3437874.1
OG0001244	PSC72572.1	KAI3427019.1, KAI3431668.1
OG0001245	PSC70754.1	KAI3437846.1
OG0001246	PSC74544.1, PSC74545.1	KAI3425888.1
OG0001247	PSC73785.1	KAI3425740.1
OG0001248	PSC73773.1, PSC73774.1, PSC73772.1	KAI3425746.1
OG0001249	PSC74659.1, PSC74658.1	KAI3425760.1
OG0001250	PSC74430.1	KAI3425797.1, KAI3425798.1
OG0001251	PSC74418.1, PSC76050.1, PSC76049.1	KAI3425856.1
OG0001252	PSC74724.1	KAI3425860.1, KAI3425861.1
OG0001253	PSC74911.1	KAI3425944.1
OG0001254	PSC75160.1, PSC75159.1	KAI3425899.1
OG0001255	PSC74875.1, PSC73078.1	KAI3425910.1
OG0001256	PSC74581.1, PSC74582.1, PSC74583.1	KAI3425774.1
OG0001257	PSC74361.1, PSC74360.1	KAI3425781.1, KAI3425779.1
OG0001258	PSC74672.1	KAI3425788.1
OG0001259	PSC70274.1	KAI3425971.1
OG0001260	PSC70264.1	KAI3426024.1
OG0001261	PSC70223.1	KAI3425966.1, KAI3425967.1, KAI3425965.1
OG0001262	PSC74725.1	KAI3424447.1, KAI3432260.1, KAI3432259.1
OG0001264	PSC74403.1	KAI3424362.1
OG0001265	PSC75451.1, PSC75452.1, PSC74386.1	KAI3424389.1
OG0001266	PSC74734.1	KAI3424360.1
OG0001267	PSC74509.1, PSC74510.1	KAI3424280.1
OG0001268	PSC75455.1, PSC75454.1	KAI3428780.1
OG0001269	PSC72842.1	KAI3435519.1, KAI3435518.1
OG0001270	PSC70716.1	KAI3430715.1, KAI3430716.1, KAI3430717.1
OG0001271	PSC70685.1, PSC70684.1	KAI3432532.1
OG0001272	PSC68121.1, PSC67130.1	KAI3430279.1
OG0001273	PSC76247.1	KAI3436399.1
OG0001274	PSC69536.1, PSC69492.1, PSC67628.1, PSC71973.1	KAI3437733.1
OG0001275	PSC76019.1	KAI3437573.1
OG0001276	PSC69493.1	KAI3437716.1, KAI3437715.1
OG0001279	PSC67171.1, PSC67004.1, PSC67136.1, PSC69167.1	KAI3430397.1
OG0001282	PSC68468.1, PSC69992.1, PSC69993.1	KAI3429224.1, KAI3425152.1
OG0001283	PSC70832.1	KAI3428645.1, KAI3428644.1
OG0001285	PSC68195.1	KAI3424738.1, KAI3424739.1
OG0001286	PSC75054.1, PSC68210.1	KAI3429763.1
OG0001288	PSC68965.1, PSC68982.1, PSC68934.1, PSC68920.1	KAI3424951.1
OG0001289	PSC68106.1	KAI3428272.1
OG0001290	PSC72443.1	KAI3428005.1, KAI3428132.1
OG0001291	PSC71488.1	KAI3424132.1, KAI3430871.1
