Orthogroup	oneline_c_sorokiniana_genome_proteins	oneline_A99_genome_proteins
OG0000984	PRW56624.1, PRW56625.1	scaffold18.g1942.t1
OG0000985	PRW56521.1, PRW56522.1	scaffold18.g1944.t1
OG0000986	PRW56682.1, PRW56684.1, PRW56683.1	scaffold18.g1947.t1
OG0000987	PRW56585.1, PRW56584.1, PRW56583.1	scaffold18.g1951.t1
OG0000988	PRW61137.1, PRW61138.1	scaffold18.g1953.t1, scaffold12.g8161.t1
OG0000989	PRW56731.1	scaffold18.g1972.t1
OG0000990	PRW56863.1, PRW56862.1	scaffold18.g1982.t1
OG0000991	PRW05836.1	scaffold18.g1986.t1
OG0000992	PRW56898.1	scaffold21.g2086.t1, scaffold1.g5497.t1
OG0000993	PRW45549.1	scaffold21.g2160.t1
OG0000994	PRW45446.1	scaffold21.g2172.t1
OG0000995	PRW44506.1	scaffold9.g3164.t1, scaffold21.g2178.t1
OG0000996	PRW44904.1, PRW45377.1	scaffold21.g2195.t1
OG0000997	PRW61116.1, PRW39078.1	scaffold2.g6811.t1, scaffold10.g2250.t1
OG0000998	PRW05763.1, PRW56823.1	scaffold10.g2286.t1
OG0000999	PRW05800.1, PRW05799.1	scaffold10.g2297.t1
OG0001001	PRW57277.1	scaffold10.g2340.t1, scaffold6.g2777.t1, scaffold20.g7776.t1
OG0001002	PRW39261.1, PRW39262.1	scaffold10.g2377.t1
OG0001003	PRW56780.1	scaffold2.g7352.t1, scaffold10.g2392.t1
OG0001004	PRW60562.1	scaffold10.g2395.t1
OG0001005	PRW39110.1	scaffold10.g2410.t1
OG0001006	PRW39360.1, PRW39359.1	scaffold10.g2413.t1
OG0001007	PRW20795.1	scaffold9.g3186.t1, scaffold10.g2433.t1
OG0001008	PRW39097.1	scaffold10.g2442.t1
OG0001009	PRW39217.1	scaffold10.g2445.t1
OG0001010	PRW45534.1, PRW56653.1	scaffold10.g2453.t1, scaffold11.g3940.t1
OG0001011	PRW39311.1	scaffold10.g2464.t1
OG0001012	PRW45350.1	scaffold9.g3059.t1, scaffold10.g2468.t1
OG0001013	PRW61300.1, PRW61556.1, PRW61294.1	scaffold6.g2510.t1
OG0001014	PRW61016.1	scaffold6.g2535.t1
OG0001015	PRW45681.1	scaffold6.g2545.t1
OG0001016	PRW56723.1	scaffold6.g2601.t1, scaffold6.g2608.t1
OG0001017	PRW56400.1	scaffold6.g2617.t1
OG0001018	PRW56191.1, PRW56256.1	scaffold6.g2628.t1
OG0001020	PRW56890.1, PRW32536.1, PRW32537.1	scaffold6.g2644.t1
OG0001021	PRW56314.1	scaffold6.g2656.t1
OG0001022	PRW59557.1	scaffold6.g2698.t1
OG0001023	PRW56279.1, PRW56235.1	scaffold6.g2699.t1
OG0001024	PRW55950.1, PRW55951.1	scaffold6.g2701.t1
OG0001025	PRW56023.1	scaffold6.g2742.t1
OG0001026	PRW45042.1	scaffold2.g7404.t1, scaffold6.g2746.t1
OG0001027	PRW60591.1	scaffold3.g6679.t1
OG0001027	PRW55994.1	scaffold6.g2787.t1
OG0001028	PRW56119.1	scaffold2.g7172.t1, scaffold34.g4518.t1, scaffold6.g2809.t1
OG0001029	PRW61185.1	scaffold6.g2819.t1
OG0001030	PRW56242.1, PRW56241.1	scaffold6.g2826.t1
OG0001031	PRW56109.1, PRW56110.1	scaffold6.g2852.t1
OG0001032	PRW56346.1	scaffold6.g2867.t1, scaffold6.g2864.t1
OG0001033	PRW58442.1	scaffold6.g2884.t1, scaffold7.g3406.t1
OG0001034	PRW61528.1, PRW61529.1	scaffold6.g2902.t1, scaffold4.g4674.t1
OG0001035	PRW56352.1	scaffold6.g2909.t1
OG0001036	PRW33698.1	scaffold24.g2927.t1
OG0001038	PRW33530.1	scaffold24.g2991.t1
OG0001039	PRW60547.1, PRW60549.1, PRW60548.1	scaffold9.g3024.t1
OG0001040	PRW60730.1	scaffold9.g3030.t1, scaffold22.g6076.t1
OG0001041	PRW60453.1, PRW60454.1	scaffold9.g3055.t1
OG0001043	PRW56988.1	scaffold20.g7766.t1
OG0001043	PRW60081.1	scaffold9.g3092.t1
OG0001044	PRW60781.1	scaffold9.g3097.t1
OG0001045	PRW60403.1	scaffold9.g3098.t1
OG0001046	PRW60311.1	scaffold9.g3136.t1
OG0001047	PRW60765.1	scaffold9.g3143.t1
OG0001048	PRW60853.1	scaffold9.g3155.t1
OG0001049	PRW60402.1	scaffold9.g3160.t1, scaffold9.g3159.t1
OG0001050	PRW59506.1	scaffold9.g3264.t1, scaffold3.g6493.t1
OG0001051	PRW60388.1	scaffold9.g3278.t1
OG0001052	PRW60206.1	scaffold9.g3279.t1
OG0001053	PRW60312.1	scaffold9.g3283.t1, scaffold9.g3282.t1
OG0001054	PRW60836.1	scaffold9.g3293.t1
OG0001054	PRW60835.1	scaffold9.g3294.t1
OG0001055	PRW44585.1	scaffold11.g3927.t1
OG0001056	PRW45489.1	scaffold26.g3331.t1
OG0001057	PRW50965.1	scaffold26.g3332.t1
OG0001058	PRW60901.1	scaffold26.g3333.t1
OG0001059	PRW60972.1, PRW60971.1	scaffold26.g3344.t1
OG0001060	PRW32589.1	scaffold26.g3356.t1, scaffold4.g4784.t1
OG0001061	PRW33813.1	scaffold7.g3381.t1
OG0001062	PRW50976.1	scaffold7.g3396.t1
OG0001063	PRW57926.1	scaffold7.g3417.t1
OG0001064	PRW57698.1	scaffold7.g3421.t1
OG0001065	PRW57680.1	scaffold7.g3427.t1
OG0001066	PRW33905.1	scaffold7.g3431.t1
OG0001067	PRW33949.1, PRW33948.1, PRW61038.1	scaffold7.g3460.t1
OG0001068	PRW57543.1, PRW57656.1, PRW57834.1	scaffold7.g3522.t1
OG0001069	PRW34063.1	scaffold7.g3539.t1
OG0001070	PRW33679.1, PRW33680.1	scaffold7.g3562.t1, scaffold7.g3565.t1
OG0001071	PRW34065.1, PRW33929.1	scaffold7.g3586.t1
OG0001072	PRW57775.1, PRW57774.1, PRW57773.1	scaffold7.g3611.t1
OG0001073	PRW57673.1	scaffold7.g3623.t1
OG0001074	PRW57675.1, PRW57676.1	scaffold7.g3675.t1
OG0001075	PRW33974.1, PRW33973.1, PRW33972.1	scaffold7.g3679.t1
OG0001076	PRW34057.1, PRW34058.1	scaffold7.g3687.t1
OG0001078	PRW57889.1, PRW57890.1	scaffold7.g3716.t1
OG0001079	PRW57811.1	scaffold7.g3731.t1
OG0001080	PRW57207.1	scaffold7.g3740.t1
OG0001081	PRW56082.1	scaffold7.g3743.t1
OG0001082	PRW44392.1	scaffold7.g3750.t1, scaffold12.g8080.t1, scaffold4.g4872.t1
OG0001083	PRW60856.1	scaffold11.g3833.t1
OG0001084	PRW60286.1	scaffold11.g3842.t1
OG0001085	PRW60255.1	scaffold11.g3977.t1, scaffold11.g3984.t1
OG0001086	PRW60670.1	scaffold11.g4005.t1
OG0001087	PRW20747.1, PRW20709.1	scaffold11.g4032.t1
OG0001088	PRW20610.1	scaffold11.g4075.t1
OG0001089	PRW20714.1	scaffold23.g4098.t1
OG0001090	PRW33994.1	scaffold23.g4141.t1
OG0001091	PRW44880.1, PRW44882.1, PRW44881.1	scaffold23.g4142.t1
OG0001092	PRW45243.1, PRW45242.1, PRW45244.1	scaffold23.g4143.t1
OG0001093	PRW58947.1	scaffold23.g4164.t1
OG0001094	PRW61487.1, PRW61485.1, PRW61486.1	scaffold23.g4175.t1
OG0001095	PRW44943.1, PRW44942.1, PRW44941.1	scaffold23.g4179.t1
OG0001096	PRW56267.1, PRW56160.1	scaffold23.g4194.t1
OG0001097	PRW44418.1, PRW44417.1, PRW44419.1	scaffold15.g4245.t1
OG0001098	PRW44838.1	scaffold15.g4249.t1
OG0001099	PRW45152.1	scaffold15.g4265.t1
OG0001100	PRW45025.1, PRW45024.1	scaffold15.g4268.t1
OG0001101	PRW44929.1, PRW44928.1	scaffold15.g4313.t1
OG0001102	PRW44847.1, PRW44848.1, PRW44846.1	scaffold15.g4314.t1
OG0001103	PRW20583.1, PRW20582.1	scaffold30.g4431.t1
OG0001104	PRW20975.1, PRW20976.1	scaffold34.g4497.t1
OG0001105	PRW21128.1	scaffold34.g4519.t1
OG0001106	PRW56865.1	scaffold2.g6850.t1, scaffold56.g4540.t1
OG0001107	PRW59310.1	scaffold4.g4571.t1
OG0001108	PRW59224.1	scaffold4.g4585.t1
OG0001109	PRW61336.1, PRW20414.1	scaffold4.g4599.t1
OG0001110	PRW59143.1	scaffold4.g4607.t1
OG0001111	PRW58144.1, PRW58145.1	scaffold1.g5390.t1, scaffold4.g4621.t1
OG0001112	PRW57327.1	scaffold4.g4623.t1
OG0001113	PRW59289.1, PRW59288.1	scaffold4.g4680.t1
OG0001114	PRW58538.1, PRW59796.1	scaffold4.g4737.t1
OG0001115	PRW59053.1	scaffold4.g4746.t1
OG0001116	PRW57157.1	scaffold4.g4798.t1, scaffold4.g4799.t1
OG0001117	PRW44375.1	scaffold3.g6623.t1, scaffold4.g4852.t1, scaffold4.g4808.t1
OG0001118	PRW57028.1, PRW57029.1	scaffold20.g7657.t1, scaffold4.g4835.t1
OG0001119	PRW44355.1	scaffold4.g4850.t1, scaffold4.g4849.t1
OG0001121	PRW44262.1	scaffold4.g4865.t1
OG0001122	PRW44284.1, PRW44283.1	scaffold4.g4866.t1
OG0001123	PRW44424.1, PRW44575.1	scaffold4.g4911.t1
OG0001124	PRW44512.1	scaffold4.g5045.t1, scaffold4.g4926.t1
OG0001125	PRW44268.1	scaffold4.g4940.t1, scaffold4.g4935.t1
OG0001126	PRW44486.1, PRW44485.1	scaffold4.g4949.t1
OG0001127	PRW44503.1	scaffold4.g4968.t1
OG0001128	PRW44245.1	scaffold4.g5019.t1
OG0001129	PRW61026.1	scaffold4.g5032.t1
OG0001130	PRW56638.1, PRW56639.1, PRW32635.1	scaffold4.g5034.t1
OG0001131	PRW58843.1	scaffold36.g5073.t1
OG0001132	PRW59242.1, PRW59243.1	scaffold36.g5076.t1
OG0001133	PRW32594.1	scaffold25.g5087.t1
OG0001134	PRW32493.1	scaffold25.g5090.t1
OG0001135	PRW32599.1	scaffold25.g5091.t1
OG0001136	PRW32649.1, PRW32641.1	scaffold25.g5093.t1
OG0001137	PRW45500.1	scaffold1.g5173.t1
OG0001138	PRW58398.1	scaffold1.g5210.t1
OG0001140	PRW58470.1	scaffold1.g5234.t1
OG0001141	PRW20979.1, PRW58641.1	scaffold1.g5237.t1
OG0001142	PRW58205.1	scaffold430.g5907.t1, scaffold1.g5244.t1
OG0001143	PRW58235.1, PRW58236.1	scaffold1.g5260.t1
OG0001144	PRW58357.1	scaffold1.g5275.t1
OG0001145	PRW58354.1, PRW58355.1	scaffold1.g5296.t1
OG0001146	PRW58161.1	scaffold1.g5325.t1
OG0001147	PRW56295.1	scaffold1.g5330.t1, scaffold1.g5333.t1, scaffold28.g7538.t1
OG0001148	PRW58373.1, PRW58371.1, PRW58372.1	scaffold1.g5344.t1
OG0001149	PRW21083.1	scaffold1.g5353.t1
OG0001150	PRW58253.1, PRW58649.1	scaffold1.g5383.t1
OG0001151	PRW58622.1, PRW44235.1	scaffold1.g5396.t1
OG0001152	PRW58604.1, PRW58605.1	scaffold1.g5400.t1
OG0001153	PRW44293.1	scaffold1.g5438.t1
OG0001154	PRW20545.1, PRW20546.1	scaffold1.g5460.t1
OG0001155	PRW58175.1	scaffold1.g5492.t1
OG0001156	PRW58272.1	scaffold1.g5544.t1
OG0001157	PRW51125.1, PRW20398.1	scaffold12.g8283.t1, scaffold1.g5697.t1
OG0001158	PRW58203.1, PRW58201.1, PRW58202.1	scaffold1.g5752.t1
OG0001159	PRW58433.1, PRW58434.1	scaffold1.g5770.t1
OG0001160	PRW58407.1	scaffold1.g5772.t1
OG0001161	PRW61068.1	scaffold1.g5773.t1, scaffold27.g5990.t1
OG0001162	PRW44499.1, PRW58630.1	scaffold1.g5781.t1
OG0001163	PRW58583.1	scaffold1.g5807.t1
OG0001164	PRW21081.1, PRW21080.1	scaffold1.g5854.t1
OG0001165	PRW32525.1, PRW32524.1, PRW32523.1	scaffold1.g5866.t1
OG0001166	PRW60618.1, PRW39328.1	scaffold1.g5898.t1, scaffold1.g5878.t1
OG0001167	PRW60500.1, PRW20603.1, PRW20770.1	scaffold1.g5885.t1
OG0001168	PRW45395.1, PRW45396.1	scaffold29.g5924.t1
OG0001169	PRW45423.1	scaffold29.g5925.t1
OG0001170	PRW33616.1	scaffold29.g5933.t1
OG0001171	PRW45404.1, PRW44282.1, PRW45405.1	scaffold29.g5946.t1
OG0001172	PRW61416.1	scaffold27.g6026.t1
OG0001173	PRW58259.1	scaffold22.g6045.t1
OG0001174	PRW56667.1	scaffold22.g6101.t1, scaffold22.g6059.t1
OG0001175	PRW56880.1, PRW56881.1	scaffold22.g6061.t1
OG0001176	PRW56388.1, PRW56387.1, PRW56389.1	scaffold22.g6077.t1
OG0001177	PRW56486.1	scaffold22.g6080.t1
OG0001178	PRW56417.1, PRW56416.1	scaffold22.g6086.t1
OG0001179	PRW61054.1	scaffold22.g6089.t1
OG0001180	PRW56692.1, PRW56693.1, PRW56220.1	scaffold22.g6106.t1
OG0001181	PRW56501.1	scaffold22.g6111.t1
OG0001182	PRW56725.1, PRW59131.1	scaffold22.g6133.t1
OG0001183	PRW56846.1	scaffold22.g6152.t1, scaffold22.g6150.t1
OG0001184	PRW59756.1, PRW59757.1	scaffold3.g6162.t1
OG0001185	PRW59457.1	scaffold3.g6236.t1
OG0001186	PRW60187.1	scaffold3.g6249.t1
OG0001187	PRW59523.1	scaffold3.g6271.t1
OG0001188	PRW59677.1	scaffold3.g6306.t1
OG0001189	PRW60003.1	scaffold3.g6341.t1, scaffold3.g6331.t1
OG0001190	PRW57843.1	scaffold3.g6349.t1
OG0001191	PRW59644.1	scaffold3.g6370.t1
OG0001192	PRW59892.1, PRW59893.1, PRW59891.1	scaffold3.g6420.t1
OG0001193	PRW60120.1	scaffold3.g6424.t1
OG0001194	PRW59630.1, PRW59713.1	scaffold3.g6425.t1
OG0001195	PRW20407.1, PRW20405.1	scaffold3.g6513.t1
OG0001196	PRW39358.1	scaffold3.g6555.t1
OG0001197	PRW59799.1	scaffold3.g6601.t1
OG0001198	PRW60998.1	scaffold2.g6814.t1
OG0001199	PRW60870.1, PRW60871.1	scaffold2.g6817.t1, scaffold2.g6816.t1
OG0001200	PRW61571.1	scaffold2.g6887.t1, scaffold2.g6872.t1
OG0001201	PRW45134.1, PRW61269.1, PRW61343.1	scaffold2.g6892.t1
OG0001202	PRW59141.1, PRW59142.1	scaffold2.g6939.t1
OG0001203	PRW58731.1, PRW58732.1	scaffold2.g6967.t1
OG0001204	PRW61604.1	scaffold2.g7007.t1
OG0001205	PRW61275.1, PRW61274.1	scaffold2.g7031.t1
OG0001206	PRW61186.1, PRW61208.1	scaffold2.g7046.t1, scaffold2.g7038.t1
OG0001207	PRW61446.1	scaffold2.g7445.t1
OG0001208	PRW05923.1	scaffold2.g7120.t1, scaffold2.g7094.t1
OG0001209	PRW39166.1, PRW39167.1	scaffold2.g7112.t1
OG0001210	PRW45513.1	scaffold2.g7128.t1, scaffold2.g7170.t1
OG0001211	PRW05924.1	scaffold2.g7129.t1
OG0001212	PRW05900.1, PRW05899.1	scaffold2.g7132.t1
OG0001213	PRW57391.1	scaffold20.g7629.t1, scaffold20.g7646.t1, scaffold2.g7178.t1
OG0001214	PRW32918.1	scaffold2.g7197.t1
OG0001215	PRW20168.1, PRW33943.1	scaffold2.g7208.t1
OG0001216	PRW32983.1	scaffold2.g7234.t1
OG0001217	PRW57690.1, PRW60966.1	scaffold2.g7271.t1
OG0001218	PRW58629.1	scaffold2.g7299.t1
OG0001219	PRW45151.1	scaffold2.g7392.t1
OG0001220	PRW45001.1, PRW57827.1	scaffold2.g7393.t1
OG0001221	PRW33033.1, PRW32879.1	scaffold2.g7424.t1
OG0001222	PRW44861.1	scaffold2.g7440.t1
OG0001223	PRW60711.1	scaffold2.g7454.t1
OG0001224	PRW33831.1, PRW33906.1	scaffold2.g7488.t1
OG0001225	PRW58681.1	scaffold2.g7509.t1
OG0001226	PRW33770.1	scaffold2.g7517.t1
OG0001227	PRW45117.1, PRW45118.1	scaffold28.g7563.t1
OG0001228	PRW45233.1	scaffold28.g7564.t1
OG0001229	PRW44998.1, PRW44999.1	scaffold28.g7573.t1
OG0001230	PRW45230.1, PRW45229.1	scaffold28.g7575.t1
OG0001232	PRW57646.1	scaffold20.g7628.t1
OG0001233	PRW57386.1	scaffold20.g7641.t1
OG0001234	PRW57450.1	scaffold20.g7648.t1
OG0001235	PRW57009.1	scaffold20.g7670.t1
OG0001236	PRW57246.1	scaffold20.g7689.t1
OG0001237	PRW57108.1	scaffold20.g7698.t1
OG0001238	PRW57526.1, PRW57525.1, PRW57527.1	scaffold20.g7724.t1
OG0001239	PRW57082.1, PRW57083.1	scaffold20.g7760.t1
OG0001240	PRW57300.1, PRW57301.1	scaffold20.g7769.t1
OG0001241	PRW20275.1, PRW20216.1	scaffold20.g7774.t1, scaffold20.g7775.t1
OG0001242	PRW20851.1	scaffold20.g7780.t1, scaffold20.g7783.t1
OG0001244	PRW57550.1	scaffold20.g7809.t1
OG0001245	PRW57011.1	scaffold20.g7830.t1, scaffold20.g7829.t1
OG0001246	PRW57639.1, PRW57640.1	scaffold12.g7920.t1
OG0001247	PRW57574.1, PRW57575.1	scaffold12.g7936.t1
OG0001248	PRW57880.1	scaffold12.g7939.t1
OG0001249	PRW57652.1, PRW57651.1	scaffold12.g7954.t1
OG0001250	PRW58068.1	scaffold12.g7976.t1
OG0001251	PRW57713.1	scaffold12.g7986.t1
OG0001252	PRW57868.1, PRW57869.1	scaffold12.g7994.t1
OG0001253	PRW33975.1, PRW33976.1, PRW33977.1	scaffold12.g8002.t1
OG0001254	PRW57726.1, PRW57727.1	scaffold12.g8012.t1
OG0001255	PRW57914.1, PRW33139.1	scaffold12.g8017.t1
OG0001256	PRW57764.1	scaffold12.g8033.t1
OG0001257	PRW57951.1	scaffold12.g8034.t1
OG0001258	PRW57919.1, PRW57921.1, PRW57920.1	scaffold12.g8036.t1
OG0001259	PRW34099.1	scaffold12.g8102.t1
OG0001260	PRW34025.1, PRW34026.1	scaffold12.g8118.t1
OG0001261	PRW34014.1	scaffold12.g8142.t1
OG0001262	PRW61498.1	scaffold12.g8181.t1
OG0001263	PRW58165.1, PRW20181.1, PRW33910.1	scaffold12.g8192.t1
OG0001264	PRW59291.1	scaffold12.g8212.t1
OG0001265	PRW44521.1	scaffold12.g8224.t1
OG0001266	PRW20428.1	scaffold12.g8247.t1, scaffold12.g8245.t1, scaffold12.g8246.t1
OG0001267	PRW20361.1, PRW20360.1	scaffold12.g8284.t1
OG0001315	PRW45556.1	scaffold16.g9.t1
OG0001316	PRW20302.1	scaffold16.g11.t1, scaffold2.g7300.t1
OG0001317	PRW34089.1	scaffold12.g8131.t1, scaffold16.g18.t1
OG0001318	PRW45415.1, PRW45416.1	scaffold16.g19.t1
OG0001319	PRW45529.1, PRW45528.1	scaffold16.g20.t1
OG0001320	PRW45697.1	scaffold16.g31.t1
OG0001321	PRW45399.1	scaffold16.g33.t1
OG0001322	PRW45597.1	scaffold16.g40.t1
OG0001323	PRW45466.1	scaffold26.g3348.t1, scaffold16.g45.t1
OG0001324	PRW45650.1, PRW45649.1	scaffold16.g52.t1
OG0001325	PRW58872.1	scaffold16.g53.t1, scaffold4.g4731.t1
OG0001326	PRW45482.1	scaffold16.g67.t1
OG0001327	PRW33518.1	scaffold16.g74.t1
OG0001328	PRW33511.1	scaffold16.g78.t1
OG0001330	PRW33725.1	scaffold16.g89.t1
OG0001331	PRW33584.1	scaffold16.g91.t1
OG0001332	PRW45545.1	scaffold2.g7174.t1, scaffold16.g110.t1
OG0001333	PRW33596.1	scaffold16.g117.t1
OG0001334	PRW33648.1	scaffold16.g141.t1, scaffold20.g7850.t1
OG0001335	PRW33329.1	scaffold16.g158.t1
OG0001336	PRW33660.1, PRW33661.1	scaffold16.g160.t1
OG0001337	PRW32907.1, PRW32906.1	scaffold13.g181.t1
OG0001338	PRW32938.1	scaffold13.g198.t1
OG0001339	PRW33034.1	scaffold13.g200.t1
OG0001340	PRW20924.1	scaffold19.g1755.t1, scaffold13.g211.t1
OG0001341	PRW58490.1, PRW58491.1	scaffold13.g219.t1
OG0001342	PRW44243.1	scaffold20.g7643.t1, scaffold13.g241.t1
OG0001343	PRW57504.1, PRW57503.1	scaffold13.g243.t1
OG0001344	PRW59747.1	scaffold9.g3062.t1, scaffold13.g244.t1
OG0001346	PRW20169.1	scaffold13.g267.t1
OG0001347	PRW44340.1	scaffold13.g270.t1, scaffold9.g3271.t1
OG0001348	PRW20521.1	scaffold13.g312.t1
OG0001349	PRW56107.1	scaffold13.g327.t1, scaffold13.g314.t1
OG0001350	PRW20471.1	scaffold8.g1661.t1, scaffold13.g322.t1
OG0001351	PRW20535.1, PRW20536.1	scaffold13.g331.t1
OG0001352	PRW44383.1	scaffold13.g333.t1
OG0001353	PRW20497.1, PRW20498.1	scaffold13.g337.t1
OG0001354	PRW20530.1	scaffold13.g344.t1
OG0001355	PRW20455.1	scaffold13.g345.t1
OG0001356	PRW20510.1	scaffold13.g351.t1
OG0001357	PRW20523.1, PRW20522.1	scaffold13.g367.t1
OG0001358	PRW20588.1	scaffold13.g383.t1, scaffold6.g2612.t1
OG0001359	PRW20484.1, PRW20485.1	scaffold13.g396.t1
OG0001360	PRW20453.1	scaffold13.g397.t1
OG0001361	PRW20443.1	scaffold13.g399.t1
OG0001362	PRW20441.1, PRW20442.1	scaffold13.g420.t1
OG0001363	PRW56621.1, PRW56620.1	scaffold17.g426.t1
OG0001364	PRW33281.1	scaffold17.g430.t1
OG0001365	PRW33122.1	scaffold17.g440.t1
OG0001366	PRW33103.1	scaffold17.g443.t1
OG0001367	PRW33322.1	scaffold17.g451.t1
OG0001368	PRW33305.1	scaffold17.g467.t1
OG0001369	PRW33222.1, PRW33221.1	scaffold17.g485.t1
OG0001370	PRW33224.1, PRW33223.1	scaffold17.g486.t1
OG0001371	PRW33273.1	scaffold17.g488.t1
OG0001372	PRW33293.1	scaffold17.g496.t1
OG0001373	PRW33236.1, PRW33235.1	scaffold17.g500.t1
OG0001374	PRW60284.1	scaffold17.g503.t1
OG0001375	PRW58761.1	scaffold6.g2782.t1, scaffold17.g505.t1
OG0001376	PRW33210.1, PRW33098.1	scaffold17.g508.t1
OG0001377	PRW58776.1	scaffold5.g751.t1, scaffold17.g518.t1
OG0001378	PRW60642.1	scaffold11.g3974.t1, scaffold17.g540.t1
OG0001379	PRW33290.1, PRW33291.1	scaffold17.g544.t1
OG0001380	PRW33162.1	scaffold17.g555.t1
OG0001381	PRW33175.1	scaffold17.g559.t1
OG0001382	PRW33274.1	scaffold17.g565.t1
OG0001383	PRW33325.1	scaffold17.g570.t1
OG0001384	PRW33234.1	scaffold17.g587.t1
OG0001385	PRW39247.1	scaffold17.g601.t1
OG0001386	PRW59169.1	scaffold5.g606.t1, scaffold5.g607.t1
OG0001387	PRW21098.1, PRW21097.1	scaffold5.g615.t1
OG0001388	PRW05848.1, PRW05849.1	scaffold5.g668.t1, scaffold5.g643.t1
OG0001389	PRW58778.1, PRW58779.1	scaffold5.g644.t1
OG0001390	PRW58813.1, PRW58814.1	scaffold5.g647.t1
OG0001391	PRW58821.1	scaffold5.g655.t1
OG0001392	PRW59157.1	scaffold5.g678.t1
OG0001393	PRW59174.1, PRW59173.1	scaffold5.g681.t1
OG0001394	PRW59064.1, PRW59065.1	scaffold5.g689.t1
OG0001395	PRW59111.1	scaffold5.g700.t1
OG0001396	PRW59097.1	scaffold5.g706.t1
OG0001397	PRW59050.1	scaffold1.g5833.t1, scaffold5.g707.t1
OG0001398	PRW44586.1	scaffold4.g4583.t1, scaffold10.g2335.t1, scaffold5.g740.t1
OG0001399	PRW59408.1	scaffold5.g742.t1
OG0001400	PRW59404.1	scaffold5.g755.t1
OG0001402	PRW59294.1	scaffold5.g783.t1
OG0001404	PRW59189.1	scaffold5.g794.t1
OG0001405	PRW58860.1	scaffold5.g801.t1
OG0001406	PRW60319.1	scaffold5.g809.t1
OG0001408	PRW59362.1	scaffold5.g821.t1
OG0001409	PRW59148.1	scaffold5.g822.t1
OG0001410	PRW59012.1	scaffold5.g828.t1
OG0001411	PRW59130.1	scaffold5.g829.t1
OG0001412	PRW58840.1	scaffold9.g3178.t1, scaffold5.g832.t1
OG0001413	PRW58262.1	scaffold5.g845.t1
OG0001414	PRW59048.1	scaffold5.g847.t1
OG0001415	PRW59132.1	scaffold5.g853.t1
OG0001416	PRW58885.1	scaffold5.g887.t1
OG0001417	PRW59151.1, PRW59152.1	scaffold5.g896.t1
OG0001418	PRW59766.1	scaffold6.g2871.t1, scaffold5.g899.t1
OG0001419	PRW58828.1, PRW59120.1	scaffold5.g901.t1
OG0001420	PRW59115.1, PRW59114.1	scaffold5.g903.t1
OG0001421	PRW57700.1	scaffold2.g7067.t1, scaffold5.g904.t1
OG0001422	PRW58863.1	scaffold5.g918.t1
OG0001423	PRW59017.1	scaffold5.g919.t1, scaffold31.g3801.t1
OG0001424	PRW33331.1	scaffold5.g920.t1
OG0001425	PRW57049.1	scaffold5.g940.t1, scaffold20.g7707.t1
OG0001426	PRW59037.1	scaffold5.g969.t1
OG0001427	PRW59327.1	scaffold5.g973.t1
OG0001428	PRW59283.1, PRW59284.1	scaffold5.g984.t1
OG0001429	PRW32548.1, PRW61239.1	scaffold5.g994.t1
OG0001430	PRW33330.1	scaffold5.g996.t1
OG0001431	PRW59068.1, PRW59069.1	scaffold5.g1003.t1
OG0001432	PRW59080.1	scaffold5.g1009.t1
OG0001433	PRW51033.1	scaffold14.g1023.t1
OG0001434	PRW50852.1	scaffold14.g1025.t1
OG0001435	PRW33775.1, PRW33776.1	scaffold14.g1032.t1
OG0001436	PRW50821.1	scaffold14.g1034.t1
OG0001437	PRW33707.1	scaffold6.g2551.t1, scaffold14.g1048.t1, scaffold4.g4983.t1, scaffold4.g4981.t1
OG0001438	PRW51058.1	scaffold14.g1052.t1
OG0001439	PRW50949.1, PRW50950.1	scaffold14.g1061.t1
OG0001440	PRW51111.1, PRW51112.1	scaffold14.g1081.t1
OG0001441	PRW59772.1	scaffold14.g1096.t1
OG0001442	PRW51184.1	scaffold14.g1104.t1
OG0001443	PRW50762.1, PRW50764.1	scaffold14.g1108.t1
OG0001444	PRW50761.1, PRW50763.1	scaffold14.g1110.t1
OG0001445	PRW56884.1	scaffold12.g8067.t1, scaffold14.g1119.t1
OG0001446	PRW51047.1	scaffold14.g1129.t1
OG0001447	PRW45391.1	scaffold14.g1135.t1, scaffold42.g4476.t1
OG0001448	PRW50831.1, PRW50830.1	scaffold14.g1147.t1
OG0001449	PRW50920.1	scaffold14.g1154.t1
OG0001450	PRW51044.1	scaffold43.g4490.t1, scaffold14.g1156.t1
OG0001451	PRW51025.1	scaffold14.g1158.t1, scaffold32.g3807.t1
OG0001452	PRW51120.1	scaffold14.g1164.t1
OG0001453	PRW51172.1	scaffold14.g1170.t1
OG0001454	PRW50978.1	scaffold14.g1173.t1
OG0001455	PRW51151.1, PRW51152.1	scaffold14.g1174.t1
OG0001456	PRW50889.1, PRW50888.1	scaffold14.g1190.t1
OG0001457	PRW51101.1, PRW51102.1	scaffold14.g1200.t1
OG0001458	PRW50861.1	scaffold14.g1202.t1
OG0001459	PRW58402.1	scaffold14.g1222.t1
OG0001460	PRW51087.1, PRW51086.1	scaffold14.g1223.t1
OG0001461	PRW50819.1	scaffold14.g1233.t1
OG0001462	PRW50909.1, PRW61326.1	scaffold14.g1251.t1
OG0001463	PRW50886.1	scaffold14.g1252.t1
OG0001464	PRW60631.1, PRW56005.1	scaffold14.g1269.t1
