Orthogroup	oneline_c_vulgaris_genome_proteins	oneline_c_sorokiniana_genome_proteins
OG0001043	KAI3437964.1	PRW56988.1
OG0001044	KAI3429488.1, KAI3429487.1	PRW60781.1
OG0001045	KAI3429490.1, KAI3429489.1	PRW60403.1
OG0001046	KAI3429511.1	PRW60311.1
OG0001047	KAI3429542.1	PRW60466.1, PRW60765.1
OG0001048	KAI3429533.1, KAI3429532.1	PRW60853.1
OG0001049	KAI3429526.1, KAI3429527.1	PRW60402.1
OG0001050	KAI3436108.1	PRW59506.1
OG0001052	KAI3429777.1	PRW60206.1
OG0001053	KAI3429772.1, KAI3429771.1	PRW60312.1
OG0001054	KAI3429758.1	PRW60836.1
OG0001056	KAI3424857.1	PRW45489.1
OG0001057	KAI3427095.1	PRW50965.1
OG0001058	KAI3432875.1	PRW60901.1
OG0001059	KAI3432771.1	PRW60972.1, PRW60971.1
OG0001060	KAI3423921.1	PRW32589.1, PRW32642.1
OG0001061	KAI3435000.1	PRW33813.1
OG0001062	KAI3426866.1	PRW50976.1
OG0001063	KAI3434773.1	PRW57926.1
OG0001064	KAI3434787.1, KAI3434786.1	PRW57698.1
OG0001065	KAI3434796.1	PRW57680.1
OG0001066	KAI3434892.1	PRW33905.1
OG0001067	KAI3434886.1	PRW33949.1, PRW33948.1, PRW61038.1
OG0001068	KAI3434812.1	PRW57543.1, PRW57656.1, PRW57834.1
OG0001069	KAI3434946.1	PRW34063.1
OG0001070	KAI3425290.1	PRW33679.1, PRW33680.1
OG0001071	KAI3434864.1	PRW34065.1
OG0001071	KAI3434868.1	PRW33929.1
OG0001072	KAI3434834.1	PRW57775.1, PRW57774.1, PRW57773.1
OG0001073	KAI3434696.1, KAI3434695.1	PRW57673.1
OG0001074	KAI3434737.1, KAI3434736.1	PRW57675.1, PRW57676.1
OG0001075	KAI3434977.1	PRW33974.1, PRW33973.1, PRW33972.1
OG0001076	KAI3434974.1	PRW34057.1, PRW34058.1
OG0001078	KAI3434663.1	PRW57889.1, PRW57890.1
OG0001079	KAI3434643.1, KAI3434637.1	PRW57811.1
OG0001080	KAI3436686.1	PRW60387.1
OG0001081	KAI3436736.1	PRW56082.1
OG0001082	KAI3428609.1	PRW44392.1
OG0001083	KAI3429832.1, KAI3429831.1	PRW60856.1
OG0001084	KAI3429833.1, KAI3429834.1	PRW60286.1
OG0001085	KAI3429714.1	PRW60255.1
OG0001086	KAI3429692.1	PRW60670.1
OG0001087	KAI3434468.1	PRW20747.1
OG0001088	KAI3434487.1, KAI3434568.1, KAI3434569.1	PRW20610.1
OG0001089	KAI3434444.1	PRW20714.1
OG0001090	KAI3436008.1	PRW33994.1
OG0001091	KAI3426183.1	PRW44880.1, PRW44882.1, PRW44881.1
OG0001092	KAI3426140.1	PRW45243.1, PRW45242.1, PRW45244.1
OG0001093	KAI3424106.1	PRW58947.1
OG0001094	KAI3433882.1	PRW61487.1, PRW61485.1, PRW61486.1
OG0001095	KAI3426120.1	PRW44943.1, PRW44942.1, PRW44941.1
OG0001096	KAI3436462.1	PRW56267.1
OG0001097	KAI3428450.1	PRW44418.1, PRW44417.1, PRW44419.1
OG0001098	KAI3426361.1	PRW44838.1
OG0001099	KAI3426373.1	PRW45152.1
OG0001100	KAI3426375.1, KAI3426376.1	PRW45025.1, PRW45024.1
OG0001101	KAI3436873.1, KAI3436874.1	PRW44929.1, PRW44928.1
OG0001102	KAI3426166.1	PRW44847.1, PRW44848.1, PRW44846.1
OG0001103	KAI3430701.1	PRW20583.1, PRW20582.1
OG0001103	KAI3430263.1	PRW20469.1
OG0001104	KAI3430776.1	PRW20975.1, PRW20976.1
OG0001105	KAI3430751.1	PRW21128.1
OG0001106	KAI3428222.1	PRW56865.1
OG0001107	KAI3438582.1, KAI3438583.1, KAI3438584.1	PRW59310.1
OG0001109	KAI3431807.1	PRW61336.1, PRW20414.1
OG0001110	KAI3438461.1, KAI3438463.1	PRW59143.1
OG0001111	KAI3433639.1	PRW58144.1, PRW58145.1
OG0001112	KAI3438399.1, KAI3438398.1	PRW57327.1
OG0001113	KAI3438417.1	PRW59289.1, PRW59288.1
OG0001115	KAI3438539.1	PRW59053.1
OG0001116	KAI3438379.1, KAI3438378.1	PRW57157.1
OG0001117	KAI3428627.1, KAI3428628.1	PRW44375.1
OG0001118	KAI3438019.1	PRW57028.1, PRW57029.1
OG0001119	KAI3428632.1, KAI3430644.1	PRW44355.1
OG0001121	KAI3428462.1, KAI3428463.1	PRW44262.1
OG0001122	KAI3428460.1	PRW44284.1, PRW44283.1
OG0001124	KAI3428417.1, KAI3428419.1	PRW44512.1
OG0001125	KAI3428423.1, KAI3428422.1	PRW44268.1
OG0001126	KAI3428494.1, KAI3428495.1	PRW44486.1, PRW44485.1
OG0001127	KAI3428506.1	PRW44503.1, PRW44459.1
OG0001128	KAI3428522.1, KAI3428534.1	PRW44245.1
OG0001129	KAI3432881.1, KAI3432880.1	PRW61026.1
OG0001130	KAI3432458.1, KAI3432457.1	PRW56638.1, PRW56639.1, PRW32635.1
OG0001131	KAI3439032.1	PRW58843.1
OG0001132	KAI3439024.1, KAI3439023.1	PRW59242.1, PRW59243.1
OG0001133	KAI3423994.1, KAI3423997.1	PRW32594.1
OG0001134	KAI3423991.1	PRW32493.1
OG0001135	KAI3423992.1	PRW32599.1
OG0001136	KAI3423922.1	PRW32649.1, PRW32641.1
OG0001137	KAI3424697.1	PRW45500.1
OG0001138	KAI3433782.1	PRW58398.1
OG0001139	KAI3433832.1	PRW58332.1
OG0001140	KAI3433776.1, KAI3433775.1	PRW58470.1
OG0001141	KAI3433778.1	PRW20979.1, PRW58641.1
OG0001142	KAI3433756.1	PRW58205.1
OG0001143	KAI3433796.1, KAI3433797.1	PRW58235.1, PRW58236.1
OG0001144	KAI3433789.1	PRW58357.1
OG0001145	KAI3433886.1	PRW58354.1, PRW58355.1
OG0001146	KAI3433737.1	PRW58161.1
OG0001147	KAI3433721.1	PRW56295.1
OG0001148	KAI3433733.1	PRW58373.1, PRW58371.1, PRW58372.1
OG0001149	KAI3430746.1, KAI3434956.1	PRW21083.1
OG0001150	KAI3433647.1	PRW58253.1
OG0001151	KAI3433856.1	PRW58622.1
OG0001152	KAI3430585.1, KAI3433607.1	PRW58604.1, PRW58605.1
OG0001153	KAI3428674.1, KAI3428675.1	PRW44293.1
OG0001154	KAI3430222.1, KAI3430221.1	PRW20545.1, PRW20546.1
OG0001155	KAI3433544.1	PRW58175.1
OG0001156	KAI3433350.1, KAI3433349.1	PRW58272.1
OG0001157	KAI3424279.1	PRW51125.1, PRW20398.1
OG0001158	KAI3423800.1	PRW58203.1, PRW58201.1, PRW58202.1
OG0001159	KAI3433440.1, KAI3433439.1	PRW58433.1, PRW58434.1
OG0001160	KAI3433428.1, KAI3433429.1	PRW58407.1
OG0001161	KAI3432302.1, KAI3432294.1	PRW61068.1
OG0001162	KAI3433435.1	PRW44499.1, PRW58630.1
OG0001163	KAI3433420.1	PRW58182.1
OG0001164	KAI3430807.1	PRW21081.1, PRW21080.1
OG0001165	KAI3423963.1	PRW32525.1, PRW32524.1, PRW32523.1
OG0001166	KAI3425179.1	PRW60618.1, PRW39328.1
OG0001167	KAI3434555.1	PRW60500.1, PRW20603.1, PRW20770.1
OG0001168	KAI3425016.1	PRW45395.1, PRW45396.1
OG0001169	KAI3425011.1	PRW45423.1
OG0001170	KAI3425136.1, KAI3425137.1	PRW33616.1
OG0001171	KAI3424876.1	PRW45404.1, PRW44282.1, PRW45405.1
OG0001172	KAI3429609.1	PRW61416.1
OG0001173	KAI3438150.1, KAI3438153.1, KAI3438151.1, KAI3438152.1	PRW58259.1
OG0001174	KAI3427948.1, KAI3427947.1	PRW56667.1
OG0001175	KAI3428069.1	PRW56880.1, PRW56881.1
OG0001176	KAI3427945.1	PRW56388.1, PRW56387.1, PRW56389.1
OG0001177	KAI3427996.1, KAI3427997.1	PRW56486.1
OG0001178	KAI3427960.1	PRW56417.1, PRW56416.1
OG0001179	KAI3425357.1	PRW61054.1
OG0001180	KAI3427951.1	PRW56692.1, PRW56693.1, PRW56220.1
OG0001181	KAI3428059.1, KAI3428060.1	PRW56501.1
OG0001182	KAI3427993.1	PRW56725.1
OG0001182	KAI3438072.1	PRW59131.1
OG0001183	KAI3427983.1, KAI3427984.1	PRW56846.1
OG0001184	KAI3435634.1	PRW59756.1, PRW59757.1
OG0001185	KAI3435714.1	PRW59457.1
OG0001186	KAI3435789.1	PRW60187.1
OG0001187	KAI3435754.1	PRW59523.1
OG0001188	KAI3435847.1	PRW59677.1
OG0001189	KAI3435871.1	PRW60003.1
OG0001190	KAI3425838.1, KAI3426145.1, KAI3426144.1	PRW57843.1
OG0001191	KAI3435904.1	PRW59644.1
OG0001192	KAI3435827.1	PRW59892.1, PRW59893.1, PRW59891.1
OG0001193	KAI3435942.1	PRW60120.1
OG0001194	KAI3435948.1, KAI3435949.1	PRW59630.1
OG0001195	KAI3436506.1, KAI3436505.1, KAI3436531.1	PRW20407.1, PRW20405.1
OG0001196	KAI3424110.1	PRW39358.1
OG0001197	KAI3436021.1, KAI3436022.1	PRW59799.1
OG0001198	KAI3432848.1, KAI3432849.1	PRW60998.1
OG0001199	KAI3429419.1	PRW60870.1, PRW60871.1
OG0001200	KAI3432568.1	PRW61571.1
OG0001201	KAI3424267.1	PRW45134.1, PRW61269.1, PRW61343.1
OG0001202	KAI3424119.1	PRW59141.1, PRW59142.1
OG0001203	KAI3439085.1, KAI3439079.1	PRW58731.1, PRW58732.1
OG0001204	KAI3423413.1, KAI3423414.1	PRW61604.1
OG0001205	KAI3424091.1	PRW61275.1, PRW61274.1
OG0001206	KAI3424190.1, KAI3424191.1	PRW61186.1, PRW61208.1
OG0001207	KAI3427141.1	PRW61446.1
OG0001208	KAI3427393.1	PRW05923.1
OG0001209	KAI3431367.1	PRW39166.1, PRW39167.1
OG0001210	KAI3424980.1	PRW45513.1
OG0001211	KAI3427419.1	PRW05924.1
OG0001212	KAI3427431.1	PRW05900.1, PRW05899.1
OG0001213	KAI3438012.1	PRW57391.1
OG0001214	KAI3430398.1	PRW32918.1
OG0001215	KAI3430896.1	PRW20168.1
OG0001216	KAI3430473.1	PRW32983.1
OG0001217	KAI3430519.1	PRW57690.1, PRW60966.1
OG0001218	KAI3433708.1	PRW58629.1
OG0001219	KAI3426247.1, KAI3426246.1	PRW45151.1
OG0001220	KAI3426245.1	PRW45001.1
OG0001221	KAI3433295.1	PRW33033.1, PRW32879.1
OG0001222	KAI3426473.1, KAI3426474.1	PRW44861.1
OG0001224	KAI3426083.1	PRW33831.1
OG0001224	KAI3426084.1	PRW33906.1
OG0001225	KAI3430660.1, KAI3433557.1	PRW58681.1
OG0001226	KAI3426061.1, KAI3426062.1	PRW33770.1
OG0001227	KAI3426296.1	PRW45117.1, PRW45118.1
OG0001228	KAI3426298.1, KAI3426299.1	PRW45233.1
OG0001229	KAI3426242.1	PRW44998.1, PRW44999.1
OG0001230	KAI3426254.1, KAI3426255.1	PRW45230.1, PRW45229.1
OG0001232	KAI3434732.1, KAI3434730.1	PRW57646.1
OG0001233	KAI3438042.1	PRW57386.1
OG0001234	KAI3438015.1	PRW57450.1
OG0001235	KAI3438036.1	PRW57009.1
OG0001236	KAI3437989.1	PRW57246.1
OG0001237	KAI3437984.1, KAI3437983.1	PRW57108.1
OG0001238	KAI3438122.1	PRW57526.1, PRW57525.1, PRW57527.1
OG0001239	KAI3437957.1	PRW57082.1, PRW57083.1
OG0001240	KAI3437967.1	PRW57300.1, PRW57301.1
OG0001241	KAI3430666.1	PRW20275.1, PRW20216.1
OG0001242	KAI3437709.1	PRW20851.1
OG0001244	KAI3427019.1, KAI3431668.1	PRW57550.1
OG0001245	KAI3437846.1	PRW57011.1
OG0001246	KAI3425888.1	PRW57639.1, PRW57640.1
OG0001247	KAI3425740.1	PRW57574.1, PRW57575.1
OG0001248	KAI3425746.1	PRW57880.1
OG0001249	KAI3425760.1	PRW57652.1, PRW57651.1
OG0001250	KAI3425797.1	PRW58068.1
OG0001251	KAI3425856.1	PRW57713.1
OG0001252	KAI3425860.1, KAI3425861.1	PRW57868.1, PRW57869.1
OG0001253	KAI3425944.1	PRW33975.1, PRW33976.1, PRW33977.1
OG0001254	KAI3425899.1	PRW57726.1, PRW57727.1
OG0001255	KAI3425910.1	PRW57914.1, PRW33139.1
OG0001256	KAI3425774.1	PRW57764.1
OG0001257	KAI3425781.1, KAI3425779.1	PRW57951.1
OG0001258	KAI3425788.1	PRW57919.1, PRW57921.1, PRW57920.1
OG0001259	KAI3425971.1	PRW34099.1
OG0001260	KAI3426024.1	PRW34025.1, PRW34026.1
OG0001261	KAI3425966.1, KAI3425967.1, KAI3425965.1	PRW34014.1
OG0001262	KAI3424447.1, KAI3432260.1, KAI3432259.1	PRW61498.1
OG0001264	KAI3424362.1	PRW20389.1, PRW20388.1, PRW59291.1
OG0001265	KAI3424389.1	PRW44521.1
OG0001266	KAI3424360.1	PRW20428.1
OG0001267	KAI3424280.1	PRW20361.1, PRW20360.1
OG0001268	KAI3428780.1	PRW05859.1
OG0001269	KAI3435519.1	PRW18316.1
OG0001269	KAI3435518.1	PRW18403.1
OG0001270	KAI3430715.1, KAI3430716.1, KAI3430717.1	PRW20178.1
OG0001271	KAI3432532.1	PRW20305.1
OG0001272	KAI3430279.1	PRW20506.1, PRW20507.1
OG0001273	KAI3438721.1	PRW59303.1
OG0001273	KAI3436399.1	PRW20766.1
OG0001274	KAI3437733.1	PRW20782.1
OG0001275	KAI3424263.1	PRW61029.1
OG0001275	KAI3437573.1	PRW20783.1
OG0001276	KAI3437716.1	PRW20923.1
OG0001276	KAI3437715.1	PRW20940.1
OG0001277	KAI3431591.1, KAI3430698.1, KAI3430697.1	PRW32637.1
OG0001278	KAI3439100.1, KAI3439059.1, KAI3439058.1, KAI3439062.1, KAI3439057.1	PRW32850.1
OG0001279	KAI3430397.1	PRW33071.1
OG0001280	KAI3435709.1	PRW33145.1, PRW61480.1, PRW61481.1
OG0001282	KAI3429224.1, KAI3425152.1	PRW44308.1
OG0001283	KAI3428645.1	PRW44607.1
OG0001283	KAI3428644.1	PRW44500.1
OG0001284	KAI3423708.1	PRW45260.1
OG0001285	KAI3424737.1	PRW45394.1
OG0001286	KAI3429763.1	PRW45483.1, PRW45573.1, PRW45670.1, PRW45472.1
OG0001287	KAI3428817.1	PRW45710.1
OG0001288	KAI3424951.1	PRW45718.1
OG0001289	KAI3428272.1	PRW56409.1
OG0001290	KAI3428005.1, KAI3428132.1	PRW56730.1
OG0001291	KAI3424132.1, KAI3430871.1	PRW56738.1
OG0001292	KAI3438686.1	PRW57235.1
OG0001292	KAI3432324.1	PRW61289.1
OG0001293	KAI3425726.1	PRW57556.1
OG0001294	KAI3425735.1, KAI3425737.1	PRW57660.1
OG0001295	KAI3423793.1, KAI3433270.1, KAI3423311.1, KAI3434591.1	PRW57781.1
OG0001297	KAI3425892.1	PRW57954.1
OG0001297	KAI3425896.1	PRW57955.1
OG0001298	KAI3433376.1, KAI3433375.1	PRW58206.1
OG0001299	KAI3438597.1, KAI3438598.1	PRW58987.1
OG0001300	KAI3438680.1, KAI3431703.1	PRW59168.1, PRW59167.1
OG0001301	KAI3438912.1	PRW59207.1
OG0001302	KAI3436161.1, KAI3436162.1	PRW59621.1
OG0001304	KAI3429838.1, KAI3429837.1	PRW60605.1, PRW60604.1
OG0001305	KAI3432776.1, KAI3432777.1, KAI3432775.1	PRW61324.1
OG0001306	KAI3432864.1, KAI3432863.1	PRW61472.1, PRW61471.1, PRW61395.1
OG0001315	KAI3425085.1	PRW45556.1
OG0001316	KAI3430721.1	PRW20302.1
OG0001317	KAI3426012.1	PRW34089.1
OG0001318	KAI3425064.1	PRW45415.1, PRW45416.1
OG0001319	KAI3425069.1	PRW45529.1, PRW45528.1
OG0001320	KAI3425055.1, KAI3425054.1	PRW45697.1
OG0001321	KAI3424887.1	PRW45399.1
OG0001322	KAI3425077.1, KAI3425078.1	PRW45597.1
OG0001323	KAI3425074.1	PRW45466.1
OG0001324	KAI3425070.1	PRW45650.1, PRW45649.1
OG0001325	KAI3438435.1	PRW58872.1
OG0001326	KAI3438079.1	PRW57174.1, PRW45482.1
OG0001327	KAI3425174.1	PRW33518.1
OG0001328	KAI3425170.1	PRW33511.1
OG0001331	KAI3425307.1	PRW33584.1
OG0001332	KAI3424841.1	PRW45545.1
OG0001333	KAI3425244.1	PRW33596.1
OG0001334	KAI3425122.1	PRW33648.1
OG0001335	KAI3431827.1	PRW33329.1
OG0001336	KAI3425337.1	PRW33660.1, PRW33661.1
OG0001337	KAI3430447.1	PRW32907.1, PRW32906.1
OG0001338	KAI3430429.1, KAI3430426.1	PRW32938.1
OG0001339	KAI3430425.1	PRW33034.1
OG0001340	KAI3437586.1	PRW20924.1
OG0001341	KAI3433289.1	PRW58490.1, PRW58491.1
OG0001342	KAI3438039.1	PRW44243.1
OG0001343	KAI3438168.1	PRW57504.1, PRW57503.1
OG0001344	KAI3429450.1	PRW59747.1
OG0001346	KAI3430608.1, KAI3430609.1	PRW20169.1
OG0001347	KAI3428711.1	PRW44340.1
OG0001348	KAI3430383.1	PRW20521.1
OG0001349	KAI3436833.1	PRW56107.1
OG0001350	KAI3430379.1	PRW20471.1
OG0001351	KAI3430350.1	PRW20535.1, PRW20536.1
OG0001352	KAI3428471.1, KAI3428468.1	PRW44383.1
OG0001353	KAI3430333.1	PRW20497.1, PRW20498.1
OG0001354	KAI3430346.1	PRW20530.1
OG0001355	KAI3430323.1	PRW20455.1
OG0001356	KAI3430306.1	PRW20510.1
OG0001357	KAI3430287.1	PRW20523.1, PRW20522.1
OG0001358	KAI3430272.1	PRW20588.1
OG0001359	KAI3430260.1	PRW20484.1, PRW20485.1
OG0001360	KAI3430262.1, KAI3430330.1	PRW20453.1
OG0001361	KAI3430256.1, KAI3430254.1	PRW20443.1
OG0001362	KAI3430216.1	PRW20441.1, PRW20442.1
OG0001363	KAI3428192.1	PRW56621.1, PRW56620.1
OG0001364	KAI3431727.1	PRW33281.1
OG0001365	KAI3431790.1	PRW33122.1
OG0001366	KAI3431784.1, KAI3431785.1	PRW33103.1
OG0001367	KAI3431751.1, KAI3431752.1	PRW33322.1
OG0001368	KAI3431801.1, KAI3424777.1	PRW33305.1
OG0001369	KAI3431813.1	PRW33222.1, PRW33221.1
OG0001370	KAI3431811.1	PRW33224.1, PRW33223.1
OG0001371	KAI3423129.1, KAI3431825.1	PRW33273.1
OG0001372	KAI3431852.1	PRW33293.1
OG0001373	KAI3431856.1	PRW33236.1, PRW33235.1
OG0001374	KAI3429312.1, KAI3426181.1	PRW60284.1
OG0001375	KAI3438809.1	PRW58761.1
OG0001376	KAI3431646.1	PRW33210.1, PRW33098.1
OG0001377	KAI3438749.1	PRW58776.1
OG0001378	KAI3429700.1	PRW60642.1
OG0001379	KAI3431655.1	PRW33290.1, PRW33291.1
OG0001380	KAI3431674.1, KAI3431675.1	PRW33162.1
OG0001381	KAI3431667.1	PRW33175.1
OG0001382	KAI3431683.1	PRW33274.1
OG0001383	KAI3431697.1, KAI3431698.1	PRW33325.1
OG0001384	KAI3431627.1, KAI3431626.1	PRW33234.1
OG0001385	KAI3431603.1	PRW39247.1
OG0001386	KAI3438966.1	PRW59169.1
OG0001387	KAI3430799.1	PRW21098.1, PRW21097.1
OG0001389	KAI3438929.1	PRW58778.1, PRW58779.1
OG0001390	KAI3438926.1	PRW58813.1, PRW58814.1
OG0001391	KAI3438934.1	PRW58821.1
OG0001392	KAI3439000.1	PRW59157.1
OG0001393	KAI3439009.1	PRW59174.1, PRW59173.1
OG0001394	KAI3438996.1	PRW59064.1, PRW59065.1
OG0001395	KAI3438985.1, KAI3438984.1	PRW59111.1
OG0001396	KAI3438923.1, KAI3438924.1	PRW59097.1
OG0001397	KAI3438925.1	PRW59050.1
OG0001399	KAI3438759.1	PRW59408.1
OG0001400	KAI3438729.1	PRW58998.1
OG0001402	KAI3438905.1, KAI3438906.1	PRW59294.1
OG0001404	KAI3424175.1, KAI3438878.1	PRW59189.1
OG0001405	KAI3438889.1	PRW58860.1
OG0001406	KAI3429326.1	PRW60319.1
OG0001408	KAI3438898.1	PRW59362.1
OG0001409	KAI3438692.1	PRW59148.1
OG0001410	KAI3438698.1	PRW59012.1
OG0001411	KAI3438697.1	PRW59130.1
OG0001412	KAI3438679.1	PRW58840.1
OG0001413	KAI3433477.1	PRW58262.1
OG0001413	KAI3438664.1	PRW59350.1
OG0001414	KAI3438662.1	PRW59048.1
OG0001415	KAI3438739.1	PRW59132.1
OG0001416	KAI3432285.1, KAI3438827.1	PRW58885.1
OG0001417	KAI3438722.1	PRW59151.1, PRW59152.1
OG0001418	KAI3436674.1	PRW59766.1
OG0001419	KAI3438841.1	PRW58828.1, PRW59120.1
OG0001420	KAI3438844.1	PRW59115.1, PRW59114.1
OG0001421	KAI3434848.1	PRW57700.1
OG0001422	KAI3438704.1	PRW58863.1
OG0001423	KAI3438702.1	PRW59017.1
OG0001424	KAI3431836.1	PRW33331.1
OG0001425	KAI3438137.1	PRW57049.1
OG0001426	KAI3438655.1	PRW59037.1
OG0001427	KAI3438161.1, KAI3438610.1	PRW59327.1
OG0001428	KAI3438599.1	PRW59283.1, PRW59284.1
OG0001429	KAI3423835.1	PRW32548.1
OG0001429	KAI3432241.1	PRW61239.1
OG0001430	KAI3431657.1	PRW33330.1
OG0001431	KAI3438590.1	PRW59068.1, PRW59069.1
OG0001432	KAI3428633.1	PRW59080.1
OG0001433	KAI3426872.1	PRW51033.1
OG0001434	KAI3426869.1	PRW50852.1
OG0001435	KAI3425954.1	PRW33775.1, PRW33776.1
OG0001436	KAI3426840.1, KAI3426839.1	PRW50821.1
OG0001438	KAI3426859.1	PRW51058.1
OG0001439	KAI3426923.1	PRW50949.1, PRW50950.1
OG0001440	KAI3426927.1	PRW51111.1, PRW51112.1
OG0001441	KAI3436295.1	PRW59772.1
OG0001442	KAI3426943.1	PRW51184.1
OG0001443	KAI3426959.1	PRW50762.1, PRW50764.1
OG0001444	KAI3426960.1	PRW50761.1, PRW50763.1
OG0001445	KAI3428365.1	PRW56884.1
OG0001446	KAI3427020.1	PRW51047.1
OG0001447	KAI3424907.1	PRW45391.1
OG0001448	KAI3427027.1	PRW50831.1, PRW50830.1
OG0001449	KAI3427016.1	PRW50920.1
OG0001450	KAI3427009.1	PRW51044.1
OG0001451	KAI3427011.1	PRW51025.1
OG0001452	KAI3426985.1, KAI3426988.1	PRW51120.1
OG0001453	KAI3426971.1	PRW51172.1
OG0001454	KAI3427000.1, KAI3427001.1	PRW50978.1
OG0001455	KAI3426999.1	PRW51151.1, PRW51152.1
OG0001456	KAI3427127.1	PRW50889.1, PRW50888.1
OG0001457	KAI3426962.1	PRW51101.1, PRW51102.1
OG0001458	KAI3427062.1, KAI3427035.1	PRW50861.1
OG0001459	KAI3433423.1	PRW58402.1
OG0001460	KAI3427097.1	PRW51087.1, PRW51086.1
OG0001461	KAI3427134.1, KAI3430773.1	PRW50819.1
OG0001462	KAI3427043.1	PRW50909.1, PRW61326.1
OG0001463	KAI3427042.1	PRW50886.1
OG0001464	KAI3429595.1	PRW60631.1, PRW56005.1
OG0001465	KAI3427167.1	PRW50940.1, PRW50939.1
OG0001466	KAI3427161.1	PRW50902.1, PRW50901.1
OG0001467	KAI3427195.1	PRW50907.1
OG0001468	KAI3427186.1	PRW51156.1
OG0001469	KAI3434461.1	PRW50979.1
OG0001470	KAI3425232.1	PRW33557.1, PRW33558.1
OG0001471	KAI3427154.1	PRW59425.1, PRW50885.1
OG0001472	KAI3427185.1	PRW51118.1, PRW51119.1
OG0001473	KAI3427250.1	PRW51099.1
OG0001474	KAI3427169.1	PRW51182.1
OG0001475	KAI3427412.1	PRW05916.1, PRW05917.1
OG0001476	KAI3436796.1, KAI3436797.1	PRW56322.1
OG0001477	KAI3436744.1	PRW55983.1
OG0001478	KAI3436792.1	PRW60101.1
OG0001479	KAI3436848.1	PRW56196.1
OG0001480	KAI3436707.1	PRW56200.1
OG0001481	KAI3436779.1, KAI3436780.1	PRW55966.1
OG0001482	KAI3436781.1	PRW56039.1
OG0001483	KAI3436765.1	PRW55938.1
OG0001484	KAI3436865.1	PRW55909.1
OG0001485	KAI3435484.1, KAI3435483.1	PRW18369.1
OG0001486	KAI3435490.1	PRW18312.1
OG0001487	KAI3435493.1	PRW18376.1
OG0001488	KAI3435504.1	PRW18374.1
OG0001489	KAI3435525.1	PRW18303.1
OG0001490	KAI3435531.1, KAI3435530.1	PRW18411.1
OG0001491	KAI3435572.1	PRW18330.1
OG0001492	KAI3435617.1, KAI3435618.1	PRW18392.1
OG0001493	KAI3433300.1	PRW58597.1
OG0001494	KAI3427198.1	PRW51123.1, PRW51124.1
OG0001495	KAI3433845.1	PRW20735.1
OG0001496	KAI3424423.1	PRW20416.1, PRW20415.1
OG0001497	KAI3434482.1	PRW20727.1
OG0001498	KAI3434403.1	PRW20613.1
OG0001499	KAI3434521.1, KAI3434515.1	PRW20666.1
OG0001500	KAI3425184.1	PRW33532.1
OG0001501	KAI3434467.1	PRW20705.1
OG0001502	KAI3434560.1	PRW20604.1
OG0001504	KAI3434485.1	PRW20622.1
OG0001505	KAI3430445.1	PRW39064.1
OG0001506	KAI3428251.1	PRW56866.1
OG0001507	KAI3434536.1	PRW20668.1
OG0001509	KAI3437549.1	PRW45605.1
OG0001510	KAI3437551.1	PRW20784.1
OG0001511	KAI3437779.1	PRW57298.1, PRW05746.1
OG0001512	KAI3437763.1	PRW57393.1, PRW57392.1
OG0001513	KAI3437588.1	PRW20864.1
OG0001514	KAI3437782.1	PRW57169.1
OG0001515	KAI3432435.1	PRW50975.1, PRW61371.1
OG0001516	KAI3437694.1	PRW20870.1
OG0001517	KAI3437686.1, KAI3437687.1	PRW20778.1
OG0001518	KAI3437684.1	PRW20962.1, PRW20963.1, PRW20961.1
OG0001519	KAI3437728.1	PRW20925.1
OG0001520	KAI3437794.1	PRW57367.1
OG0001521	KAI3437617.1	PRW20794.1
OG0001522	KAI3428816.1	PRW05862.1
OG0001524	KAI3428776.1	PRW05828.1, PRW05829.1
OG0001525	KAI3428833.1	PRW05852.1, PRW05750.1
OG0001526	KAI3428108.1	PRW56607.1
OG0001527	KAI3424875.1	PRW45503.1, PRW45504.1
OG0001528	KAI3428097.1	PRW56715.1, PRW56424.1
OG0001529	KAI3428124.1	PRW56527.1, PRW56526.1
OG0001530	KAI3428167.1, KAI3428168.1	PRW56606.1
OG0001531	KAI3428173.1	PRW56433.1, PRW56434.1
OG0001532	KAI3428175.1	PRW56740.1
OG0001533	KAI3428154.1	PRW56796.1
OG0001534	KAI3428153.1	PRW56489.1, PRW56490.1
OG0001535	KAI3428772.1	PRW05815.1, PRW05814.1
OG0001536	KAI3423427.1	PRW60944.1
OG0001537	KAI3432584.1	PRW61562.1, PRW61563.1
OG0001538	KAI3428230.1	PRW56744.1
OG0001540	KAI3428115.1	PRW56517.1, PRW56518.1
OG0001541	KAI3428250.1	PRW56689.1
OG0001542	KAI3428017.1	PRW44589.1, PRW56767.1
OG0001543	KAI3428088.1, KAI3428087.1	PRW56771.1
OG0001544	KAI3438222.1	PRW57417.1
OG0001545	KAI3437980.1	PRW57186.1
OG0001546	KAI3437972.1	PRW57112.1
OG0001547	KAI3437969.1	PRW57227.1
OG0001548	KAI3438095.1	PRW57512.1
OG0001549	KAI3424764.1, KAI3424765.1	PRW45645.1
OG0001551	KAI3429598.1	PRW60423.1
OG0001552	KAI3424921.1	PRW45740.1
OG0001553	KAI3424920.1	PRW45703.1, PRW45702.1
OG0001554	KAI3424922.1	PRW45533.1, PRW45532.1
OG0001555	KAI3424941.1, KAI3424942.1	PRW45591.1
