Orthogroup	oneline_A99_genome_proteins	oneline_c_vulgaris_genome_proteins
OG0001179	scaffold22.g6089.t1	KAI3425357.1, KAI3431449.1
OG0001180	scaffold22.g6106.t1	KAI3427951.1
OG0001181	scaffold22.g6111.t1	KAI3428059.1, KAI3428060.1
OG0001182	scaffold22.g6133.t1	KAI3427993.1, KAI3438072.1
OG0001183	scaffold22.g6152.t1	KAI3427983.1
OG0001184	scaffold3.g6162.t1	KAI3435634.1
OG0001185	scaffold3.g6236.t1	KAI3435714.1, KAI3435712.1
OG0001186	scaffold3.g6249.t1	KAI3435789.1
OG0001187	scaffold3.g6271.t1	KAI3435754.1
OG0001188	scaffold3.g6306.t1	KAI3435847.1
OG0001189	scaffold3.g6341.t1, scaffold3.g6331.t1	KAI3435871.1
OG0001190	scaffold3.g6349.t1	KAI3425838.1, KAI3426145.1, KAI3426144.1
OG0001191	scaffold3.g6362.t1	KAI3435905.1
OG0001191	scaffold3.g6370.t1	KAI3435904.1
OG0001192	scaffold3.g6420.t1	KAI3435827.1
OG0001193	scaffold3.g6424.t1	KAI3435942.1
OG0001194	scaffold3.g6425.t1	KAI3435948.1, KAI3435949.1
OG0001195	scaffold3.g6513.t1	KAI3436506.1, KAI3436505.1, KAI3436531.1
OG0001196	scaffold3.g6555.t1	KAI3424110.1
OG0001197	scaffold3.g6601.t1	KAI3436021.1, KAI3436022.1
OG0001198	scaffold2.g6814.t1	KAI3432848.1, KAI3432849.1
OG0001199	scaffold2.g6817.t1, scaffold2.g6816.t1	KAI3429419.1
OG0001200	scaffold2.g6887.t1, scaffold2.g6872.t1	KAI3432568.1
OG0001201	scaffold2.g6892.t1	KAI3424267.1
OG0001202	scaffold2.g6939.t1	KAI3424119.1
OG0001203	scaffold2.g6967.t1	KAI3439085.1, KAI3439079.1
OG0001204	scaffold2.g7007.t1	KAI3423413.1, KAI3423414.1
OG0001205	scaffold2.g7031.t1	KAI3424091.1
OG0001206	scaffold2.g7046.t1, scaffold2.g7038.t1	KAI3424190.1, KAI3424191.1
OG0001207	scaffold2.g7068.t1	KAI3427139.1
OG0001207	scaffold2.g7445.t1	KAI3427141.1
OG0001208	scaffold2.g7120.t1, scaffold2.g7094.t1	KAI3427393.1
OG0001209	scaffold2.g7112.t1	KAI3431367.1
OG0001210	scaffold2.g7128.t1	KAI3424980.1
OG0001211	scaffold2.g7129.t1	KAI3427417.1, KAI3427421.1, KAI3427419.1
OG0001212	scaffold2.g7132.t1	KAI3427431.1
OG0001213	scaffold20.g7629.t1, scaffold20.g7646.t1	KAI3438012.1
OG0001214	scaffold2.g7197.t1	KAI3430398.1
OG0001215	scaffold2.g7208.t1	KAI3430896.1
OG0001216	scaffold2.g7234.t1	KAI3430473.1, KAI3430472.1
OG0001217	scaffold2.g7271.t1	KAI3430519.1
OG0001218	scaffold2.g7299.t1	KAI3433708.1
OG0001219	scaffold2.g7392.t1	KAI3426247.1, KAI3426246.1
OG0001220	scaffold2.g7393.t1	KAI3426245.1
OG0001221	scaffold2.g7424.t1	KAI3433295.1
OG0001222	scaffold2.g7440.t1	KAI3426473.1, KAI3426474.1
OG0001224	scaffold2.g7488.t1	KAI3426083.1, KAI3426084.1
OG0001225	scaffold2.g7509.t1	KAI3430660.1
OG0001226	scaffold2.g7517.t1	KAI3426062.1
OG0001227	scaffold28.g7563.t1	KAI3426296.1
OG0001228	scaffold28.g7564.t1	KAI3426299.1
OG0001229	scaffold28.g7573.t1	KAI3426242.1
OG0001230	scaffold28.g7575.t1	KAI3426254.1
OG0001232	scaffold20.g7628.t1	KAI3434732.1, KAI3434730.1
OG0001233	scaffold20.g7641.t1	KAI3438042.1
OG0001234	scaffold20.g7648.t1	KAI3438015.1
OG0001235	scaffold20.g7670.t1	KAI3438036.1
OG0001236	scaffold20.g7689.t1	KAI3437989.1
OG0001237	scaffold20.g7698.t1	KAI3437984.1, KAI3437983.1
OG0001238	scaffold20.g7724.t1	KAI3438122.1
OG0001239	scaffold20.g7760.t1	KAI3437957.1
OG0001240	scaffold20.g7769.t1	KAI3437967.1
OG0001241	scaffold20.g7774.t1, scaffold20.g7775.t1	KAI3430666.1
OG0001243	scaffold20.g7795.t1	KAI3437724.1
OG0001244	scaffold20.g7809.t1	KAI3427019.1
OG0001245	scaffold20.g7830.t1	KAI3437846.1
OG0001246	scaffold12.g7920.t1	KAI3425888.1
OG0001247	scaffold12.g7936.t1	KAI3425740.1
OG0001248	scaffold12.g7939.t1	KAI3425746.1
OG0001249	scaffold12.g7954.t1	KAI3425760.1
OG0001250	scaffold12.g7976.t1	KAI3425797.1, KAI3425798.1
OG0001251	scaffold12.g7986.t1	KAI3425856.1
OG0001252	scaffold12.g7994.t1	KAI3425860.1, KAI3425861.1
OG0001253	scaffold12.g8002.t1	KAI3425944.1
OG0001254	scaffold12.g8012.t1	KAI3425899.1
OG0001255	scaffold12.g8017.t1	KAI3425910.1
OG0001256	scaffold12.g8033.t1	KAI3425774.1
OG0001257	scaffold12.g8034.t1	KAI3425781.1, KAI3425779.1
OG0001258	scaffold12.g8036.t1	KAI3425788.1
OG0001259	scaffold12.g8102.t1	KAI3425971.1
OG0001260	scaffold12.g8118.t1	KAI3426024.1
OG0001261	scaffold12.g8142.t1	KAI3425966.1, KAI3425967.1, KAI3425965.1
OG0001262	scaffold12.g8181.t1	KAI3424447.1, KAI3432260.1, KAI3432259.1
OG0001264	scaffold12.g8212.t1	KAI3424362.1
OG0001265	scaffold12.g8224.t1	KAI3424389.1
OG0001266	scaffold12.g8247.t1, scaffold12.g8245.t1, scaffold12.g8246.t1	KAI3424360.1
OG0001267	scaffold12.g8284.t1	KAI3424280.1
OG0001315	scaffold16.g9.t1	KAI3425085.1
OG0001316	scaffold16.g11.t1, scaffold2.g7300.t1	KAI3430721.1
OG0001317	scaffold12.g8131.t1, scaffold16.g18.t1	KAI3426012.1
OG0001318	scaffold16.g19.t1	KAI3425064.1
OG0001319	scaffold16.g20.t1	KAI3425069.1
OG0001320	scaffold16.g31.t1	KAI3425055.1, KAI3425054.1
OG0001321	scaffold16.g33.t1	KAI3424887.1
OG0001322	scaffold16.g40.t1	KAI3425077.1
OG0001323	scaffold26.g3348.t1, scaffold16.g45.t1	KAI3425074.1
OG0001324	scaffold16.g52.t1	KAI3425070.1
OG0001325	scaffold16.g53.t1, scaffold4.g4731.t1	KAI3438435.1
OG0001326	scaffold16.g67.t1	KAI3438079.1
OG0001327	scaffold16.g74.t1	KAI3425174.1
OG0001328	scaffold16.g78.t1	KAI3425170.1
OG0001330	scaffold16.g89.t1	KAI3425176.1
OG0001331	scaffold16.g91.t1	KAI3425307.1
OG0001332	scaffold2.g7174.t1, scaffold16.g110.t1	KAI3424841.1
OG0001333	scaffold16.g117.t1	KAI3425244.1
OG0001334	scaffold16.g141.t1, scaffold20.g7850.t1	KAI3425122.1
OG0001335	scaffold16.g158.t1	KAI3431827.1
OG0001336	scaffold16.g160.t1	KAI3425337.1
OG0001337	scaffold13.g181.t1	KAI3430447.1
OG0001338	scaffold13.g198.t1	KAI3430429.1, KAI3430426.1
OG0001339	scaffold13.g200.t1	KAI3430425.1
OG0001340	scaffold19.g1755.t1, scaffold13.g211.t1	KAI3437586.1
OG0001341	scaffold13.g219.t1	KAI3433289.1
OG0001342	scaffold20.g7643.t1, scaffold13.g241.t1	KAI3438039.1
OG0001343	scaffold13.g243.t1	KAI3438168.1
OG0001344	scaffold9.g3062.t1	KAI3429450.1
OG0001345	scaffold3.g6411.t1	KAI3435818.1
OG0001345	scaffold13.g264.t1	KAI3427994.1
OG0001346	scaffold13.g267.t1	KAI3430608.1, KAI3430609.1
OG0001347	scaffold13.g270.t1, scaffold9.g3271.t1	KAI3428711.1
OG0001348	scaffold13.g312.t1	KAI3430383.1
OG0001349	scaffold13.g327.t1, scaffold13.g314.t1	KAI3436833.1
OG0001350	scaffold8.g1661.t1, scaffold13.g322.t1	KAI3430379.1
OG0001351	scaffold13.g331.t1	KAI3430350.1
OG0001352	scaffold13.g333.t1	KAI3428471.1, KAI3428468.1
OG0001353	scaffold13.g337.t1	KAI3430333.1
OG0001354	scaffold13.g344.t1	KAI3430346.1
OG0001355	scaffold13.g345.t1	KAI3430323.1
OG0001356	scaffold13.g351.t1	KAI3430306.1
OG0001357	scaffold13.g367.t1	KAI3430287.1
OG0001358	scaffold13.g383.t1, scaffold6.g2612.t1	KAI3430272.1
OG0001359	scaffold13.g396.t1	KAI3430260.1
OG0001360	scaffold13.g397.t1	KAI3430262.1, KAI3430330.1
OG0001361	scaffold13.g399.t1	KAI3430256.1, KAI3430254.1
OG0001362	scaffold13.g420.t1	KAI3430216.1
OG0001363	scaffold17.g426.t1	KAI3428192.1
OG0001364	scaffold17.g430.t1	KAI3431727.1
OG0001365	scaffold17.g440.t1	KAI3431790.1
OG0001366	scaffold17.g443.t1	KAI3431784.1, KAI3431785.1
OG0001367	scaffold17.g451.t1	KAI3431751.1
OG0001368	scaffold17.g467.t1	KAI3431801.1, KAI3424777.1
OG0001369	scaffold17.g485.t1	KAI3431813.1
OG0001370	scaffold17.g486.t1	KAI3431811.1
OG0001371	scaffold17.g488.t1	KAI3423129.1, KAI3431825.1
OG0001372	scaffold17.g496.t1	KAI3431852.1
OG0001373	scaffold17.g500.t1	KAI3431856.1
OG0001374	scaffold17.g503.t1	KAI3429312.1, KAI3426181.1
OG0001375	scaffold6.g2782.t1, scaffold17.g505.t1	KAI3438809.1
OG0001376	scaffold17.g508.t1	KAI3431646.1
OG0001377	scaffold5.g751.t1, scaffold17.g518.t1	KAI3438749.1
OG0001378	scaffold11.g3974.t1, scaffold17.g540.t1	KAI3429700.1
OG0001379	scaffold17.g544.t1	KAI3431655.1
OG0001380	scaffold17.g555.t1	KAI3431674.1, KAI3431675.1
OG0001381	scaffold17.g559.t1	KAI3431667.1
OG0001382	scaffold17.g565.t1	KAI3431683.1
OG0001383	scaffold17.g570.t1	KAI3431697.1, KAI3431698.1
OG0001384	scaffold17.g587.t1	KAI3431627.1, KAI3431626.1
OG0001385	scaffold17.g601.t1	KAI3431603.1
OG0001386	scaffold5.g606.t1	KAI3438966.1
OG0001387	scaffold5.g615.t1	KAI3430799.1
OG0001389	scaffold5.g644.t1	KAI3438929.1
OG0001390	scaffold5.g647.t1	KAI3438926.1
OG0001391	scaffold5.g655.t1	KAI3438934.1
OG0001392	scaffold5.g678.t1	KAI3439000.1
OG0001393	scaffold5.g681.t1	KAI3439009.1
OG0001394	scaffold5.g689.t1	KAI3438996.1
OG0001395	scaffold5.g700.t1	KAI3438985.1, KAI3438984.1
OG0001396	scaffold5.g706.t1	KAI3438923.1, KAI3438924.1
OG0001397	scaffold1.g5833.t1, scaffold5.g707.t1	KAI3438925.1
OG0001399	scaffold5.g742.t1	KAI3438759.1
OG0001401	scaffold12.g7908.t1, scaffold5.g757.t1, scaffold12.g7909.t1, scaffold2.g7297.t1	KAI3430561.1
OG0001402	scaffold5.g783.t1	KAI3438905.1, KAI3438906.1
OG0001403	scaffold5.g787.t1	KAI3438885.1
OG0001404	scaffold5.g794.t1	KAI3424175.1, KAI3438878.1
OG0001405	scaffold5.g801.t1	KAI3438889.1
OG0001406	scaffold5.g809.t1	KAI3429326.1
OG0001407	scaffold5.g813.t1, scaffold1.g5779.t1, scaffold9.g3043.t1	KAI3429243.1
OG0001408	scaffold5.g821.t1	KAI3438898.1
OG0001409	scaffold5.g822.t1	KAI3438692.1
OG0001410	scaffold5.g828.t1	KAI3438698.1
OG0001411	scaffold5.g829.t1	KAI3438697.1
OG0001412	scaffold9.g3178.t1, scaffold5.g832.t1	KAI3438679.1
OG0001413	scaffold5.g845.t1	KAI3433477.1
OG0001414	scaffold5.g847.t1	KAI3438662.1
OG0001415	scaffold5.g853.t1	KAI3438739.1
OG0001416	scaffold5.g887.t1	KAI3432285.1
OG0001417	scaffold5.g896.t1	KAI3438722.1
OG0001418	scaffold6.g2871.t1, scaffold5.g899.t1	KAI3436674.1
OG0001419	scaffold5.g901.t1	KAI3438841.1
OG0001420	scaffold5.g903.t1	KAI3438844.1
OG0001421	scaffold2.g7067.t1, scaffold5.g904.t1	KAI3434848.1
OG0001422	scaffold5.g918.t1	KAI3438704.1
OG0001423	scaffold5.g919.t1, scaffold31.g3801.t1	KAI3438702.1
OG0001424	scaffold5.g920.t1	KAI3431836.1
OG0001425	scaffold5.g940.t1, scaffold20.g7707.t1	KAI3438137.1
OG0001426	scaffold5.g969.t1	KAI3438655.1
OG0001427	scaffold5.g973.t1	KAI3438161.1, KAI3438610.1
OG0001428	scaffold5.g984.t1	KAI3438599.1
OG0001429	scaffold5.g994.t1	KAI3423835.1, KAI3432241.1
OG0001430	scaffold5.g996.t1	KAI3431657.1
OG0001431	scaffold5.g1003.t1	KAI3438590.1
OG0001432	scaffold5.g1009.t1	KAI3428633.1
OG0001433	scaffold14.g1023.t1	KAI3426872.1
OG0001435	scaffold14.g1032.t1	KAI3425954.1
OG0001436	scaffold14.g1034.t1	KAI3426840.1, KAI3426839.1
OG0001438	scaffold14.g1052.t1	KAI3426859.1
OG0001439	scaffold14.g1061.t1	KAI3426923.1
OG0001440	scaffold14.g1081.t1	KAI3426927.1
OG0001441	scaffold14.g1096.t1	KAI3436295.1
OG0001442	scaffold14.g1104.t1	KAI3426943.1
OG0001443	scaffold14.g1108.t1	KAI3426959.1
OG0001444	scaffold14.g1110.t1	KAI3426960.1
OG0001445	scaffold12.g8067.t1, scaffold14.g1119.t1	KAI3428365.1
OG0001446	scaffold14.g1129.t1	KAI3427020.1
OG0001447	scaffold14.g1135.t1, scaffold42.g4476.t1	KAI3424907.1
OG0001448	scaffold14.g1147.t1	KAI3427027.1
OG0001449	scaffold14.g1154.t1	KAI3427016.1
OG0001450	scaffold43.g4490.t1, scaffold14.g1156.t1	KAI3427009.1
OG0001451	scaffold32.g3807.t1	KAI3427011.1
OG0001452	scaffold14.g1164.t1	KAI3426985.1, KAI3426988.1
OG0001453	scaffold14.g1170.t1	KAI3426971.1
OG0001454	scaffold14.g1173.t1	KAI3427000.1
OG0001455	scaffold14.g1174.t1	KAI3426999.1
OG0001456	scaffold14.g1190.t1	KAI3427127.1
OG0001457	scaffold14.g1200.t1	KAI3426962.1
OG0001458	scaffold14.g1202.t1	KAI3427062.1, KAI3427035.1
OG0001459	scaffold14.g1222.t1	KAI3433423.1
OG0001460	scaffold14.g1223.t1	KAI3427097.1
OG0001461	scaffold14.g1233.t1	KAI3427134.1
OG0001462	scaffold14.g1251.t1	KAI3427043.1
OG0001463	scaffold14.g1252.t1	KAI3427042.1
OG0001464	scaffold14.g1269.t1	KAI3429595.1
OG0001465	scaffold14.g1274.t1	KAI3427167.1
OG0001466	scaffold14.g1287.t1	KAI3427161.1
OG0001467	scaffold14.g1292.t1	KAI3427195.1
OG0001468	scaffold14.g1293.t1, scaffold14.g1327.t1	KAI3427186.1
OG0001469	scaffold14.g1298.t1	KAI3434461.1
OG0001470	scaffold14.g1306.t1	KAI3425232.1
OG0001471	scaffold14.g1309.t1	KAI3427154.1
OG0001472	scaffold14.g1311.t1	KAI3427185.1
OG0001473	scaffold14.g1314.t1	KAI3427250.1
OG0001474	scaffold14.g1320.t1	KAI3427169.1
OG0001475	scaffold14.g1342.t1	KAI3427412.1
OG0001476	scaffold8.g1354.t1	KAI3436796.1, KAI3436797.1
OG0001477	scaffold8.g1378.t1	KAI3436744.1
OG0001478	scaffold8.g1391.t1	KAI3436792.1
OG0001479	scaffold8.g1408.t1	KAI3436848.1
OG0001480	scaffold8.g1411.t1	KAI3436707.1
OG0001481	scaffold8.g1424.t1	KAI3436779.1, KAI3436780.1
OG0001482	scaffold8.g1428.t1, scaffold8.g1426.t1	KAI3436781.1
OG0001483	scaffold6.g2705.t1, scaffold8.g1437.t1	KAI3436765.1
OG0001484	scaffold8.g1464.t1	KAI3436865.1
OG0001485	scaffold8.g1473.t1	KAI3435484.1, KAI3435483.1
OG0001486	scaffold8.g1478.t1	KAI3435490.1
OG0001487	scaffold8.g1481.t1	KAI3435493.1
OG0001488	scaffold8.g1488.t1	KAI3435504.1
OG0001489	scaffold26.g3316.t1, scaffold8.g1516.t1	KAI3435525.1
OG0001490	scaffold8.g1520.t1	KAI3435531.1, KAI3435530.1
OG0001491	scaffold8.g1549.t1	KAI3435572.1
OG0001492	scaffold8.g1551.t1	KAI3435617.1, KAI3435618.1
OG0001493	scaffold1.g5764.t1, scaffold8.g1580.t1	KAI3433300.1
OG0001494	scaffold8.g1582.t1	KAI3427198.1
OG0001495	scaffold8.g1588.t1	KAI3433845.1
OG0001496	scaffold8.g1590.t1	KAI3424423.1
OG0001497	scaffold8.g1603.t1	KAI3434482.1
OG0001498	scaffold8.g1605.t1, scaffold8.g1608.t1	KAI3434403.1
OG0001499	scaffold8.g1613.t1	KAI3434521.1, KAI3434515.1
OG0001500	scaffold24.g2921.t1, scaffold8.g1619.t1	KAI3425184.1
OG0001501	scaffold8.g1620.t1	KAI3434467.1
OG0001502	scaffold8.g1628.t1	KAI3434560.1
OG0001503	scaffold8.g1645.t1, scaffold8.g1657.t1, scaffold8.g1636.t1, scaffold8.g1723.t1	KAI3423434.1
OG0001504	scaffold8.g1655.t1	KAI3434485.1
OG0001505	scaffold8.g1659.t1	KAI3430445.1
OG0001506	scaffold8.g1678.t1	KAI3428251.1
OG0001507	scaffold8.g1697.t1	KAI3434536.1
OG0001509	scaffold6.g2721.t1	KAI3437549.1
OG0001510	scaffold19.g1760.t1	KAI3437551.1
OG0001511	scaffold19.g1762.t1	KAI3437779.1
OG0001512	scaffold19.g1777.t1	KAI3437763.1
OG0001513	scaffold19.g1779.t1	KAI3437588.1
OG0001514	scaffold19.g1786.t1	KAI3437782.1
OG0001515	scaffold19.g1787.t1	KAI3432435.1
OG0001516	scaffold19.g1808.t1	KAI3437694.1
OG0001517	scaffold19.g1815.t1	KAI3437686.1
OG0001518	scaffold19.g1817.t1	KAI3437684.1
OG0001519	scaffold19.g1826.t1, scaffold3.g6614.t1	KAI3437728.1
OG0001520	scaffold19.g1854.t1	KAI3437794.1
OG0001521	scaffold19.g1867.t1	KAI3437617.1
OG0001522	scaffold18.g1883.t1	KAI3428816.1
OG0001524	scaffold18.g1913.t1	KAI3428776.1
OG0001525	scaffold18.g1919.t1	KAI3428833.1
OG0001526	scaffold18.g1932.t1	KAI3428108.1
OG0001527	scaffold18.g1934.t1	KAI3424875.1
OG0001528	scaffold18.g1948.t1	KAI3428097.1
OG0001529	scaffold18.g1956.t1	KAI3428124.1
OG0001530	scaffold18.g1964.t1	KAI3428167.1, KAI3428168.1
OG0001531	scaffold18.g1965.t1	KAI3428173.1
OG0001532	scaffold18.g1966.t1, scaffold3.g6263.t1	KAI3428175.1
OG0001533	scaffold18.g1968.t1	KAI3428154.1
OG0001534	scaffold18.g1969.t1	KAI3428153.1
OG0001535	scaffold18.g1975.t1	KAI3428772.1
OG0001536	scaffold2.g7058.t1, scaffold18.g2005.t1	KAI3423427.1
OG0001537	scaffold18.g2018.t1	KAI3432584.1
OG0001538	scaffold18.g2019.t1	KAI3428230.1
OG0001540	scaffold18.g2039.t1	KAI3428115.1
OG0001541	scaffold18.g2044.t1	KAI3428250.1
OG0001542	scaffold18.g2059.t1	KAI3428017.1
OG0001543	scaffold18.g2066.t1	KAI3428088.1, KAI3428087.1
OG0001544	scaffold21.g2097.t1	KAI3438222.1
OG0001545	scaffold21.g2115.t1	KAI3437980.1
OG0001546	scaffold21.g2121.t1	KAI3437972.1
OG0001547	scaffold21.g2122.t1	KAI3437969.1
OG0001548	scaffold21.g2128.t1	KAI3438095.1
OG0001549	scaffold21.g2151.t1	KAI3424764.1, KAI3424765.1
OG0001550	scaffold21.g2161.t1	KAI3423818.1
OG0001551	scaffold11.g3925.t1, scaffold21.g2164.t1	KAI3429598.1
OG0001552	scaffold21.g2169.t1, scaffold21.g2165.t1	KAI3424921.1
OG0001553	scaffold21.g2168.t1	KAI3424920.1
OG0001554	scaffold21.g2170.t1	KAI3424922.1
OG0001555	scaffold21.g2180.t1	KAI3424941.1, KAI3424942.1
OG0001556	scaffold21.g2217.t1	KAI3424704.1, KAI3424705.1
OG0001557	scaffold10.g2231.t1	KAI3431264.1
OG0001558	scaffold10.g2232.t1	KAI3431263.1
OG0001559	scaffold1.g5656.t1, scaffold10.g2233.t1	KAI3433502.1
OG0001561	scaffold10.g2238.t1	KAI3431281.1
OG0001562	scaffold10.g2241.t1	KAI3431275.1
OG0001563	scaffold10.g2243.t1	KAI3431258.1
OG0001564	scaffold10.g2259.t1	KAI3431467.1
OG0001565	scaffold10.g2260.t1	KAI3431469.1
OG0001567	scaffold10.g2262.t1	KAI3431465.1
OG0001568	scaffold2.g7035.t1, scaffold10.g2289.t1	KAI3424208.1
OG0001569	scaffold10.g2291.t1	KAI3431301.1
OG0001570	scaffold10.g2294.t1	KAI3431314.1
OG0001571	scaffold10.g2300.t1	KAI3431723.1
OG0001572	scaffold10.g2312.t1	KAI3431332.1
OG0001573	scaffold10.g2318.t1	KAI3431384.1
OG0001574	scaffold10.g2323.t1	KAI3423187.1, KAI3431380.1
OG0001575	scaffold10.g2330.t1	KAI3431438.1
OG0001576	scaffold10.g2331.t1	KAI3431423.1
OG0001577	scaffold10.g2338.t1	KAI3425351.1
OG0001578	scaffold10.g2344.t1, scaffold12.g8004.t1	KAI3431421.1
OG0001579	scaffold10.g2354.t1, scaffold10.g2353.t1	KAI3424126.1, KAI3424127.1
OG0001581	scaffold10.g2365.t1	KAI3431405.1
OG0001582	scaffold10.g2366.t1	KAI3431427.1
OG0001583	scaffold10.g2374.t1	KAI3431396.1, KAI3431395.1
OG0001584	scaffold10.g2375.t1	KAI3431394.1
OG0001585	scaffold10.g2376.t1	KAI3424687.1
OG0001586	scaffold10.g2379.t1	KAI3431459.1
OG0001587	scaffold7.g3393.t1, scaffold10.g2390.t1	KAI3435002.1
OG0001588	scaffold10.g2434.t1	KAI3431587.1, KAI3431586.1
OG0001589	scaffold10.g2446.t1	KAI3431563.1
OG0001590	scaffold10.g2450.t1	KAI3431556.1
OG0001591	scaffold10.g2469.t1	KAI3431543.1
OG0001592	scaffold10.g2478.t1	KAI3431544.1
OG0001593	scaffold1.g5830.t1, scaffold10.g2490.t1	KAI3430863.1
OG0001594	scaffold10.g2494.t1	KAI3430740.1, KAI3430741.1
OG0001595	scaffold6.g2499.t1	KAI3438269.1
OG0001596	scaffold1.g5291.t1, scaffold6.g2502.t1	KAI3428673.1
OG0001597	scaffold6.g2503.t1	KAI3432644.1
OG0001598	scaffold6.g2505.t1	KAI3432672.1
OG0001599	scaffold6.g2513.t1	KAI3438307.1, KAI3438306.1
OG0001600	scaffold6.g2525.t1	KAI3432626.1
OG0001601	scaffold43.g4488.t1, scaffold6.g2529.t1	KAI3424192.1
OG0001602	scaffold6.g2532.t1	KAI3438319.1
OG0001603	scaffold6.g2536.t1	KAI3432618.1
OG0001604	scaffold6.g2554.t1	KAI3432606.1
OG0001605	scaffold6.g2566.t1	KAI3428748.1, KAI3428747.1
OG0001606	scaffold6.g2568.t1, scaffold7.g3497.t1	KAI3428750.1
OG0001607	scaffold6.g2584.t1	KAI3428288.1
OG0001608	scaffold6.g2588.t1	KAI3428255.1
OG0001609	scaffold4.g4996.t1, scaffold6.g2591.t1	KAI3428277.1
OG0001610	scaffold6.g2592.t1	KAI3428268.1
OG0001611	scaffold6.g2604.t1	KAI3428305.1
OG0001612	scaffold6.g2623.t1	KAI3438705.1, KAI3434473.1, KAI3432805.1, KAI3432433.1
OG0001613	scaffold6.g2625.t1	KAI3436839.1
OG0001614	scaffold6.g2629.t1	KAI3438172.1
OG0001615	scaffold6.g2635.t1	KAI3436845.1
OG0001616	scaffold6.g2636.t1	KAI3436846.1
OG0001617	scaffold6.g2648.t1	KAI3428667.1
OG0001618	scaffold25.g5089.t1, scaffold6.g2653.t1	KAI3436663.1
OG0001619	scaffold6.g2668.t1	KAI3436684.1, KAI3436683.1
OG0001620	scaffold6.g2669.t1	KAI3436588.1
OG0001621	scaffold6.g2708.t1	KAI3436524.1
OG0001622	scaffold6.g2713.t1	KAI3436461.1
OG0001623	scaffold6.g2718.t1	KAI3428029.1, KAI3428030.1
OG0001624	scaffold30.g4450.t1, scaffold6.g2719.t1	KAI3424987.1
OG0001625	scaffold6.g2741.t1	KAI3436634.1
OG0001626	scaffold6.g2743.t1	KAI3436633.1
OG0001628	scaffold6.g2761.t1	KAI3436615.1
OG0001630	scaffold6.g2781.t1	KAI3436709.1
OG0001632	scaffold6.g2823.t1	KAI3436576.1
OG0001633	scaffold6.g2836.t1	KAI3433346.1
OG0001634	scaffold6.g2844.t1, scaffold28.g7578.t1	KAI3430453.1
OG0001635	scaffold6.g2856.t1	KAI3428721.1
OG0001636	scaffold6.g2870.t1	KAI3430860.1
OG0001638	scaffold6.g2878.t1	KAI3436715.1
OG0001639	scaffold6.g2895.t1, scaffold12.g7914.t1	KAI3436445.1
OG0001640	scaffold6.g2901.t1	KAI3436434.1
OG0001641	scaffold6.g2903.t1	KAI3438629.1
OG0001642	scaffold6.g2904.t1	KAI3436415.1
OG0001643	scaffold6.g2916.t1	KAI3436388.1
OG0001644	scaffold24.g2923.t1	KAI3425695.1
OG0001645	scaffold24.g2959.t1	KAI3425220.1
OG0001646	scaffold24.g2976.t1	KAI3425195.1
OG0001646	scaffold24.g2973.t1	KAI3425196.1
OG0001648	scaffold9.g2994.t1	KAI3429290.1, KAI3429292.1
OG0001649	scaffold9.g2996.t1	KAI3429283.1
OG0001650	scaffold9.g3007.t1	KAI3429296.1
OG0001651	scaffold9.g3021.t1	KAI3425762.1
OG0001653	scaffold9.g3033.t1	KAI3429318.1
OG0001654	scaffold9.g3041.t1	KAI3429276.1
OG0001655	scaffold9.g3099.t1, scaffold9.g3105.t1	KAI3427232.1
OG0001656	scaffold9.g3109.t1	KAI3429498.1
OG0001657	scaffold9.g3117.t1, scaffold4.g4925.t1	KAI3428437.1
OG0001659	scaffold9.g3127.t1	KAI3429382.1
OG0001660	scaffold9.g3163.t1	KAI3429523.1, KAI3429522.1
OG0001661	scaffold9.g3167.t1	KAI3429520.1
OG0001662	scaffold9.g3171.t1	KAI3429516.1
OG0001663	scaffold9.g3179.t1	KAI3429385.1
OG0001664	scaffold9.g3183.t1	KAI3429359.1
OG0001665	scaffold9.g3188.t1	KAI3429351.1
OG0001666	scaffold9.g3192.t1	KAI3429348.1
OG0001667	scaffold2.g7114.t1, scaffold9.g3202.t1	KAI3429333.1
OG0001668	scaffold9.g3203.t1, scaffold9.g3204.t1	KAI3424111.1
OG0001669	scaffold9.g3212.t1	KAI3429300.1, KAI3429299.1
OG0001670	scaffold9.g3222.t1	KAI3429309.1
OG0001671	scaffold9.g3223.t1	KAI3429310.1
OG0001672	scaffold9.g3227.t1	KAI3429236.1, KAI3429264.1
OG0001673	scaffold9.g3234.t1	KAI3429263.1
OG0001674	scaffold9.g3235.t1	KAI3429631.1, KAI3429633.1
OG0001675	scaffold9.g3241.t1	KAI3429588.1
OG0001676	scaffold9.g3244.t1	KAI3429270.1
OG0001677	scaffold9.g3249.t1, scaffold2.g6781.t1	KAI3426116.1
OG0001678	scaffold9.g3270.t1	KAI3438155.1, KAI3438156.1
OG0001679	scaffold9.g3288.t1	KAI3429781.1
OG0001680	scaffold26.g3368.t1	KAI3432759.1
OG0001681	scaffold7.g3376.t1	KAI3434998.1
OG0001682	scaffold7.g3383.t1, scaffold4.g4977.t1	KAI3435010.1
OG0001683	scaffold7.g3384.t1	KAI3435011.1
OG0001684	scaffold7.g3389.t1	KAI3435027.1
OG0001685	scaffold7.g3422.t1	KAI3434768.1
OG0001686	scaffold7.g3424.t1	KAI3434798.1
OG0001687	scaffold7.g3429.t1	KAI3434806.1
